True,Baseline,Proposed
2810.70396324616,2954.95797303698,2851.81943788198
2640.80098093462,2751.3296239398,2700.68468298888
2522.6980073507602,2622.36791664896,2579.4396903647003
2432.33597323736,2599.84241866262,2509.91165781448
2436.68499165582,2586.40795435942,2488.24196607684
2520.366009536,2651.60841166754,2572.74522849158
2662.2100018769,2781.9977665258402,2717.60771460442
2826.18401577238,2977.0675642036604,2878.6191476357
3028.5769724908,3139.506295565,3071.63333397712
3222.1980286622,3356.83589141524,3276.53461847356
3358.7130075165,3469.0163225511997,3493.11468101592
3471.63197098224,3691.6935811652,3709.3049247724
3680.7579104590004,3932.5903803184997,3902.1817560443997
3837.7190278200396,4080.15537020376,4044.9248600716
3941.3550167276,4136.5210991566,4173.1760089484
4115.25208748798,4268.3432004484,4270.3261704056
4292.61603791816,4349.4801286408,4342.009067561299
4279.497843004399,4355.9696580076,4355.400750282999
3904.42504755956,4273.69645101056,4272.7802616154
3690.08199025916,4141.329539374759,4138.094413643599
3585.3050427658,4020.4225387062997,3987.1679788595998
3538.7000102106,3777.81622248,3835.76916556836
3311.38899992592,3543.03778318478,3578.4202814334203
3069.9109649678003,3255.4307611714003,3306.9899008643
2859.4489828936003,2926.7308252582397,2860.804373243
2700.5389811456,2769.32436036472,2735.5805887681
2581.3309855044,2542.79784205166,2623.13361964846
2525.62297534698,2509.22275211924,2562.80904030044
2521.22799728668,2494.32358616044,2550.9967487965
2621.69399323818,2547.19055006886,2655.00135777976
2723.42499689996,2720.60242530942,2801.12033021032
2911.4590229936402,2799.85207459222,2981.93645741576
3153.62896708864,2947.00744393102,3175.6970688522
3395.80596577912,3134.82413959068,3370.12535234996
3611.6029682232,3396.13246782438,3580.19384864558
3801.7089499636,3596.7935562762,3786.348092162
3961.1829701126,3688.81572529424,3980.1782367647797
4141.8509857367,3804.9093614972,4132.880438956559
4268.392093684401,4071.692509832,4270.693079218039
4430.1520472351,4069.2656591393998,4365.3966231458
4504.6588780072,4145.6601180585,4430.892465446839
4547.491972023699,4129.95662344376,4427.2848081811
4446.94900414924,4204.6618559828,4360.5871002917
4351.6530837436,3951.1766201277997,4245.3275477711595
4200.589049423999,3729.2159966586,4127.327773839
4072.2401140752,3606.2844318586003,3975.9424411114
3868.6490286086,3348.04356048032,3729.2301407733
3600.1519628095602,3132.3944251514004,3458.1656911519
3369.3989734817,3301.3037921362,3336.9197206629997
3158.8699378267,3106.0102380562003,3164.2633856136
2990.19099767842,2929.46032508168,3035.0552564133204
2880.68003245684,2914.2046925086997,2952.0573119638
2763.74197514442,2844.7436436917997,2924.8318119719997
2693.15704545058,2833.6535052835798,2981.3245585672203
2666.96899007922,2939.7458205203,3081.1618224275
2704.47303568538,3131.3088206935,3244.446895704
2818.0050504830797,3226.9001610158,3381.2857922468
2930.74604256978,3475.39524843342,3545.1265022267
3006.8150122320803,3657.9160383119997,3696.29604116484
3047.07897623922,3801.95746729744,3808.3024473043797
3076.1259937382,3911.8346777804,3896.7057136124
3127.3870593102,4121.3795624422,3973.18650401678
3234.43296726762,4181.596960832159,3993.5289888632
3420.6380021737596,4201.2260584416,4051.2013546244
3564.8219200184,4257.9922928447595,4107.6281651985
3738.59490673056,4228.1606436792,4127.46865620616
3772.2860482509996,4226.2064159600195,4086.59632064822
3677.8690186862,4051.6438384102,3978.82413859376
3591.4638443147996,3961.9547847666,3879.7050115991
3548.4740474769196,3762.61821407802,3781.1584243979996
3422.9930147331797,3546.3302886207603,3579.8651464046998
3200.58295765392,3292.40882032942,3345.96175633892
2902.95498753242,2924.6263206858403,3014.9935584365003
2714.58698571312,2765.5187902644,2854.46061556696
2587.04499830076,2714.39734980492,2716.6826545793
2524.14800611182,2638.46245238048,2661.98065767632
2486.45198470688,2603.19824083922,2630.9479112446797
2480.9320082099603,2685.80860162222,2704.95012889752
2478.79100832926,2624.31362297558,2858.99542828222
2518.3599899104,2705.1426285524,3006.6783905612
2633.8009712602397,2929.14653527778,3148.8419700468403
2773.84799748318,3158.75598166308,3299.72289919762
3015.85505725482,3521.8508772288997,3471.35251121476
3303.3220350707998,3751.3478691714,3599.2431073998
3533.7789758546796,3942.6838650346,3738.5462230370003
3683.3158997953,4039.1886357765998,3839.1321820354
3806.712124956,4202.073308374,3891.8708710468
3808.37404097138,4301.0573154186,3939.00800170464
3670.3370156804003,4328.857310933399,3979.8299772295
3708.3518559078,4330.949592196799,4011.79944821542
3556.2860341062997,4194.3939271854,3923.6710317412
3349.89902386278,4164.714335983799,3825.9474224732
3235.9600776466,4005.6686555059,3685.4518357337
3178.2819494683,3721.86933394098,3563.7047095758
3045.4350110262003,3598.93776914098,3330.2872833521196
2858.99301854416,3368.0671566568,3075.3721298865603
2652.76798460676,2783.24098182236,2663.83681953358
2518.34298204902,2643.23237171342,2551.4961582785
2427.89000651666,2505.89626588424,2454.9866379078603
2395.7749733824203,2458.0109988681197,2410.76288056456
2408.18400683174,2406.39409530926,2425.9854752795
2504.11997462036,2569.66425614878,2536.11322867322
2617.1730103239597,2693.296146707,2732.22647785476
2697.8570125323,2869.7445014456,2890.10528633178
2829.8710197754,3010.6399650081003,3009.49268522536
3001.9340004822,3154.50792777696,3128.10219273418
3134.8859895342202,3241.799676212,3219.190046936
3262.6220132460203,3404.872587768,3342.3828413111996
3351.52706385036,3627.6355492399603,3465.1045144338
3351.04295096648,3774.4230319015996,3587.2000048982
3450.15896974828,3740.94464580524,3678.4930011487795
3587.1748598054,3841.4581031193998,3793.74235593724
3694.8969612166998,3890.9345655774,3881.2949148626
3828.7930088084,3979.9525944806396,3902.1545155271997
3797.1489572318,3851.1485678759,3825.3987705177997
3715.1469679996,3743.1757140113996,3722.9677903352003
3563.5629191914,3712.3722768566,3631.5287080802
3440.79804540242,3515.68065561692,3508.7749051168003
3267.6090185468,3347.8410726357997,3276.98716029648
3070.10500126724,3041.953812623,3034.5999206912
2839.01398505992,2895.35002883376,2874.52262785744
2684.8390138286,2703.00257161268,2723.3155458988
2560.0419974565,2613.0252923428598,2596.88228246022
2481.03901454932,2526.9955831002,2541.47751513722
2452.0480147293,2503.9689643686,2517.56784963972
2450.70303165442,2622.09387006118,2609.49251157568
2419.6539758362,2777.7110171358,2797.87870866352
2535.93197446262,2969.2307817188803,2961.67192235702
2756.0579490984,3179.34848556416,3179.9448433484004
3017.02304681538,3285.4289267292797,3397.1930319607
3328.56201567238,3535.84020991322,3652.0701534734
3568.85295778416,3713.0667703502404,3894.470245015
3747.5240688788,3934.1069437280003,4115.46334119124
3913.29400118004,4121.91864529284,4275.766590622799
4016.6100886292,4209.17526044544,4418.29515811518
4096.3891818104,4327.05119479556,4491.55329056358
4143.4559062084,4359.0198974592,4557.4951788719
4057.0151096222,4335.8235493512,4562.429239782839
3976.1739855076,4265.2566403072,4460.499205726799
3905.07993753204,4153.70309030424,4339.4744771308
3729.25696220562,4052.4614031635997,4171.3978667263
3594.3509899006003,3873.987471505,4006.4277229947998
3407.06698604716,3633.5850178913997,3716.91110580196
3222.76299000418,3282.7231401253002,3414.8021055248
2990.9700415466,2913.4536574800004,2972.94981079148
2788.8660089292,2778.63572792352,2814.99511302744
2672.69697237158,2638.8764733181797,2680.3027343162603
2586.08801797728,2565.96586700652,2605.6886178148798
2571.88998102272,2513.4114705711,2578.87630059102
