True,Baseline,Proposed
2810.70396324616,2892.55483745538,2851.81943788198
2640.80098093462,2738.243000087,2700.68468298888
2522.6980073507602,2597.68168686882,2579.4396903647003
2432.33597323736,2502.3877571163603,2509.91165781448
2436.68499165582,2439.93736971454,2488.24196607684
2520.366009536,2561.7883590752,2572.74522849158
2662.2100018769,2732.2527055835,2717.60771460442
2826.18401577238,2860.8675852124,2878.6191476357
3028.5769724908,2980.6141049243997,3071.63333397712
3222.1980286622,3241.89878978612,3276.53461847356
3358.7130075165,3549.57690426238,3493.11468101592
3471.63197098224,3636.3153558846,3709.3049247724
3680.7579104590004,3872.9591419806998,3902.1817560443997
3837.7190278200396,3999.850884278,4044.9248600716
3941.3550167276,4122.2317016982,4173.1760089484
4115.25208748798,4286.5458029738,4270.3261704056
4292.61603791816,4342.8041065024,4342.009067561299
4279.497843004399,4343.910001653239,4355.400750282999
3904.42504755956,4372.943154427439,4272.7802616154
3690.08199025916,4303.4314312638,4138.094413643599
3585.3050427658,4116.4203913622005,3987.1679788595998
3538.7000102106,3844.2640510097,3835.76916556836
3311.38899992592,3652.2646787052,3578.4202814334203
3069.9109649678003,3374.45980756884,3306.9899008643
2859.4489828936003,2936.3387302933797,2860.804373243
2700.5389811456,2763.65993927916,2735.5805887681
2581.3309855044,2638.6186662695,2623.13361964846
2525.62297534698,2560.1463845153603,2562.80904030044
2521.22799728668,2564.47947770838,2550.9967487965
2621.69399323818,2539.97946130992,2655.00135777976
2723.42499689996,2694.7011287672003,2801.12033021032
2911.4590229936402,2824.64758075482,2981.93645741576
3153.62896708864,2963.2866913234,3175.6970688522
3395.80596577912,3237.7960186584,3370.12535234996
3611.6029682232,3441.5306406964,3580.19384864558
3801.7089499636,3522.6368359976,3786.348092162
3961.1829701126,3743.42321855678,3980.1782367647797
4141.8509857367,3871.6486286372,4132.880438956559
4268.392093684401,3993.805584884,4270.693079218039
4430.1520472351,4100.88830246338,4365.3966231458
4504.6588780072,4137.3243451766,4430.892465446839
4547.491972023699,4314.0478989864005,4427.2848081811
4446.94900414924,4312.7068273704,4360.5871002917
4351.6530837436,4164.991630479401,4245.3275477711595
4200.589049423999,3905.3430529892,4127.327773839
4072.2401140752,3819.8754064181003,3975.9424411114
3868.6490286086,3709.1241944179,3729.2301407733
3600.1519628095602,3477.133298202,3458.1656911519
3369.3989734817,3324.36963022782,3336.9197206629997
3158.8699378267,3131.60179594836,3164.2633856136
2990.19099767842,2990.72337517098,3035.0552564133204
2880.68003245684,2863.2898958188,2952.0573119638
2763.74197514442,2868.2092538352,2924.8318119719997
2693.15704545058,2928.42783963232,2981.3245585672203
2666.96899007922,2918.4174734174203,3081.1618224275
2704.47303568538,3069.9808124478,3244.446895704
2818.0050504830797,3177.8784056526,3381.2857922468
2930.74604256978,3498.9001128605796,3545.1265022267
3006.8150122320803,3721.4154300922,3696.29604116484
3047.07897623922,3831.15818417616,3808.3024473043797
3076.1259937382,4035.010359523,3896.7057136124
3127.3870593102,4172.6888227754,3973.18650401678
3234.43296726762,4146.98236577864,3993.5289888632
3420.6380021737596,4280.5876383111,4051.2013546244
3564.8219200184,4287.4587095374,4107.6281651985
3738.59490673056,4248.6402740526,4127.46865620616
3772.2860482509996,4375.2587380844,4086.59632064822
3677.8690186862,4167.75151395664,3978.82413859376
3591.4638443147996,4107.57756069924,3879.7050115991
3548.4740474769196,3947.019996593,3781.1584243979996
3422.9930147331797,3652.4344080816,3579.8651464046998
3200.58295765392,3388.01884485262,3345.96175633892
2902.95498753242,3088.8204239908,3014.9935584365003
2714.58698571312,2930.3998784589003,2854.46061556696
2587.04499830076,2770.56656287278,2716.6826545793
2524.14800611182,2666.02440768344,2661.98065767632
2486.45198470688,2653.3936783326,2630.9479112446797
2480.9320082099603,2690.4305490687802,2704.95012889752
2478.79100832926,2614.61949122638,2858.99542828222
2518.3599899104,2743.72553833464,3006.6783905612
2633.8009712602397,2854.9865321676198,3148.8419700468403
2773.84799748318,3066.1842526724,3299.72289919762
3015.85505725482,3331.6560145702,3471.35251121476
3303.3220350707998,3485.23972688332,3599.2431073998
3533.7789758546796,3571.5185471634,3738.5462230370003
3683.3158997953,3758.4370391539996,3839.1321820354
3806.712124956,3914.8489457797996,3891.8708710468
3808.37404097138,3828.63983328476,3939.00800170464
3670.3370156804003,3959.20883586162,3979.8299772295
3708.3518559078,4028.6969855007596,4011.79944821542
3556.2860341062997,3977.25812316842,3923.6710317412
3349.89902386278,3684.1388777284,3825.9474224732
3235.9600776466,3566.5067809309603,3685.4518357337
3178.2819494683,3377.4158926174,3563.7047095758
3045.4350110262003,3128.18897822808,3330.2872833521196
2858.99301854416,3083.2571769800197,3075.3721298865603
2652.76798460676,2621.8042125616203,2663.83681953358
2518.34298204902,2478.25255410594,2551.4961582785
2427.89000651666,2374.43586976762,2454.9866379078603
2395.7749733824203,2319.36396061056,2410.76288056456
2408.18400683174,2315.67461671696,2425.9854752795
2504.11997462036,2338.32646879462,2536.11322867322
2617.1730103239597,2590.8290204535,2732.22647785476
2697.8570125323,2743.4333663258,2890.10528633178
2829.8710197754,2824.75043116912,3009.49268522536
3001.9340004822,3001.3036968226797,3128.10219273418
