True,Baseline,Proposed
1289.31799618766,1397.17765198512,1344.20540343476
1245.1730123285402,1354.7915012906801,1278.9711989387401
1209.643996860592,1269.0191337387,1236.40943841424
1163.85999843962,1222.01753175448,1211.13726069816
1166.77300560519,1261.1308916418002,1215.43786076073
1209.37301039886,1285.02504848516,1238.93652294888
1268.37900023218,1333.76323656664,1286.0281475424001
1335.3649903585201,1384.1222874262,1361.01764727414
1389.76599501652,1498.88847430292,1440.44570868946
1452.93798927796,1589.321418402,1511.5010012550401
1519.8339918573602,1663.77595417604,1591.4543669478799
1598.3360212827201,1766.6344025990002,1664.1106594646
1657.9480114151002,1817.8641219820802,1739.10163181546
1741.3689919183998,1883.1897515818,1797.4212584206
1816.2050412315998,1951.186011018,1839.45143850514
1816.4759680873199,1961.9768905875,1873.463277606
1862.41702133744,2030.2537365596,1898.8182726164
1906.9700083487,2017.5715056358,1921.5908020945399
1873.0009803894,1995.5102687238,1894.9558030388
1879.98897886212,1924.72385186588,1825.2736927402602
1823.57101194512,1872.2715079896002,1768.35445679352
1741.88102509266,1770.8141514722402,1715.2818948312001
1627.3219691076401,1677.029035383,1619.76120945314
1531.3400208526,1558.0407968957002,1519.4278645414802
1437.5240148242,1480.91144133316,1422.2390172617002
1362.29598585738,1421.97242060744,1346.0878664808001
1295.6189827785402,1365.63562305384,1296.90570126582
1272.85400923898,1311.5246717689402,1267.56620213384
1268.18699874882,1304.42743651364,1267.0915804977
1304.3399909878,1355.24014171806,1287.55481529034
1354.31800165006,1350.89935142534,1340.67132792092
1442.58098888228,1408.3483621005,1420.86164504264
1541.37500853404,1499.34291755088,1517.7725880570601
1677.5170157783,1605.66982228094,1598.0840982261202
1745.5739856908401,1711.0919428112002,1695.54697538048
1803.9169988900999,1833.3382634456,1783.8133811928
1826.1769867897601,1889.9541573848,1874.40848870688
1866.68402289354,1920.3384447200601,1946.9275120841999
1841.19000562574,1997.9620042468,1993.0629159958
1833.78499297436,2053.8449195502,2027.3421581851999
1871.4359719508002,2030.5992761173998,2044.0015126038002
1907.5520435247,2073.003168366,2061.31993420332
1903.9180928783999,2069.4506500508,2024.610975653
1827.8540194685602,1980.3340521332,1946.1770899243
1825.1370021297998,1883.0663320746,1877.42434253992
1810.5159980098001,1786.81906694144,1818.7178904480802
1719.5460037426,1725.8631365502602,1714.5835402758998
1598.6579989346,1635.77261145894,1600.51712798006
1498.85498974912,1446.166185317,1471.5004058791
1423.16099954908,1393.9236195406002,1394.56133374428
1368.89700106278,1320.8770829570801,1336.00484336616
1337.2439997621,1308.6461747312,1309.1164486347002
1348.2719885411,1313.73738718382,1301.59467832452
1344.78198641378,1256.3784517115,1313.8212914113
1369.3940100157802,1311.63809850354,1358.1161843906
1411.01299627342,1375.9846642938,1434.60624794326
1473.8509864935,1476.5883925946,1526.84244921714
1581.15998792716,1554.41533134052,1603.2508174710001
1751.75600569424,1662.96611884712,1705.7477379000002
1911.8020398362,1715.190908007,1794.5377299342
1910.1080019127999,1787.1092430328,1871.6503782822
1841.4550244738002,1873.6379933458802,1939.07021252
1893.9809817749,1902.0711830654,1989.606468547
1899.85198111392,1945.8340923875999,2010.1502065182
1930.9509971266002,1950.7659639452002,2027.7565952804
1885.1970190982602,1958.6597283638,2047.840665712
1927.1900330812,1962.58034886546,2010.9350774468
1870.30401872056,1899.7949346542,1940.658537428
1778.6690317336001,1834.28848846396,1870.9891021726
1742.2380125109999,1776.8607957036802,1820.72594686764
1675.99501132424,1683.6318387687602,1715.0787084550002
1599.6709855773602,1553.30094435264,1601.9114353190002
1513.52599279448,1400.21031821978,1440.25069184314
1444.5939890946001,1320.65831136186,1366.84597572104
1389.0170104133801,1315.25986497974,1309.87095555954
1347.0910006004,1294.14820443244,1279.6473239578
1334.6319941915401,1297.33446133508,1275.85557516032
1339.6100078149,1185.83126533586,1287.768467781
1348.67799313872,1237.34597158102,1315.46915220658
1383.71798335304,1280.45526591928,1383.9296898827201
1426.3300057706,1389.2216168151601,1479.05736126754
1486.83901379004,1453.44158995464,1569.9526201144
1547.21401346956,1563.1398282546002,1677.33921455074
1594.2029754730002,1600.000536699,1770.79774228776
1635.2090190843,1618.7925591645999,1858.5005206630801
1651.9490169309001,1712.8457620584,1933.0382594174
1693.88600126256,1796.42834497894,2001.6069118806
1693.4429883439602,1818.6303747975198,2035.7052322924
1712.7659951894002,1814.7913268764,2063.98244710346
1793.812990953,1841.11043159972,2097.492473708
1857.69597975052,1800.2041579338,2055.07934252754
1830.85001047466,1744.7557529267,1981.753376466
1785.75401269408,1716.7662072482601,1912.7043696708001
1681.6979743029601,1661.94385821014,1866.4853420306001
1579.79800808414,1600.89294388572,1747.2727044393
1480.63202938632,1489.6415482248399,1633.41657864756
1407.6379986869001,1394.24079364916,1439.29724108766
1339.40399891872,1371.76743375772,1367.7162585586
1293.3479937213401,1287.20568184064,1319.22252525104
1271.00601249282,1266.38155017652,1291.18334880202
1285.44399109362,1281.1177516803,1293.5052834683001
1326.6109884685,1262.43668405292,1318.03498064902
1372.03399534962,1326.5029963997001,1374.55936182862
1431.86899962278,1350.0949682934001,1458.10181587814
1508.79900813754,1493.40489651072,1543.30161509132
1567.98600740436,1554.8270335716402,1629.5143658849001
1629.8840108151999,1722.6737415664,1726.4272548603
1659.5739932977401,1782.20633298456,1808.91953863428
1681.3680024330001,1849.74722002026,1890.0344501892
1700.3939784957001,1913.1948920872,1950.98412194912
