True,Baseline,Proposed
1289.31799618766,1322.6252922266801,1344.20540343476
1245.1730123285402,1314.74499175432,1278.9711989387401
1209.643996860592,1257.68613749006,1236.40943841424
1163.85999843962,1198.7068125815201,1211.13726069816
1166.77300560519,1224.55190926,1215.43786076073
1209.37301039886,1240.87485786558,1238.93652294888
1268.37900023218,1315.69763607552,1286.0281475424001
1335.3649903585201,1395.47726777456,1361.01764727414
1389.76599501652,1452.98350022124,1440.44570868946
1452.93798927796,1527.7508623712001,1511.5010012550401
1519.8339918573602,1589.62546165674,1591.4543669478799
1598.3360212827201,1663.7972019662,1664.1106594646
1657.9480114151002,1716.5387051254002,1739.10163181546
1741.3689919183998,1740.05331192176,1797.4212584206
1816.2050412315998,1793.95767578154,1839.45143850514
1816.4759680873199,1787.40136508514,1873.463277606
1862.41702133744,1848.45964250516,1898.8182726164
1906.9700083487,1843.06677103828,1921.5908020945399
1873.0009803894,1835.1055817014,1894.9558030388
1879.98897886212,1746.4259309141198,1825.2736927402602
1823.57101194512,1713.10676626624,1768.35445679352
1741.88102509266,1665.07973050146,1715.2818948312001
1627.3219691076401,1558.97873255688,1619.76120945314
1531.3400208526,1445.1096687543,1519.4278645414802
1437.5240148242,1462.04568272448,1422.2390172617002
1362.29598585738,1445.2457107111,1346.0878664808001
1295.6189827785402,1366.52952039086,1296.90570126582
1272.85400923898,1302.57156826766,1267.56620213384
1268.18699874882,1325.87075192418,1267.0915804977
1304.3399909878,1348.5036280224401,1287.55481529034
1354.31800165006,1383.4143783778,1340.67132792092
1442.58098888228,1456.3138283611202,1420.86164504264
1541.37500853404,1522.0732144163999,1517.7725880570601
1677.5170157783,1643.5312806044599,1598.0840982261202
1745.5739856908401,1708.17820810166,1695.54697538048
1803.9169988900999,1843.56760178852,1783.8133811928
1826.1769867897601,1901.6984701786,1874.40848870688
1866.68402289354,1961.355848536,1946.9275120841999
1841.19000562574,2011.9178753976,1993.0629159958
1833.78499297436,2022.6462563104,2027.3421581851999
1871.4359719508002,2072.84458131172,2044.0015126038002
1907.5520435247,2046.64742347648,2061.31993420332
1903.9180928783999,2029.1240273204,2024.610975653
1827.8540194685602,1929.8816652713201,1946.1770899243
1825.1370021297998,1900.9516419106,1877.42434253992
1810.5159980098001,1865.80888391912,1818.7178904480802
1719.5460037426,1707.29235757626,1714.5835402758998
1598.6579989346,1617.4424829928,1600.51712798006
1498.85498974912,1508.9546324224002,1471.5004058791
1423.16099954908,1482.77994955992,1394.56133374428
1368.89700106278,1404.8638647637,1336.00484336616
1337.2439997621,1341.8605730474,1309.1164486347002
1348.2719885411,1345.8460238527,1301.59467832452
1344.78198641378,1374.49216481568,1313.8212914113
1369.3940100157802,1401.9459751645,1358.1161843906
1411.01299627342,1471.08295342094,1434.60624794326
1473.8509864935,1533.0716456259202,1526.84244921714
1581.15998792716,1665.48412223052,1603.2508174710001
1751.75600569424,1736.7122722309,1705.7477379000002
1911.8020398362,1890.7127315434,1794.5377299342
1910.1080019127999,1939.2300092257,1871.6503782822
1841.4550244738002,2014.8859041716,1939.07021252
1893.9809817749,2052.6208925626,1989.606468547
1899.85198111392,2081.000892682,2010.1502065182
