True,Baseline,Proposed
1289.31799618766,1334.48262853794,1344.20540343476
1245.1730123285402,1255.813509436,1278.9711989387401
1209.643996860592,1238.18995764858,1236.40943841424
1163.85999843962,1250.34116913018,1211.13726069816
1166.77300560519,1241.8039928744001,1215.43786076073
1209.37301039886,1301.9439870860201,1238.93652294888
1268.37900023218,1345.8959701845201,1286.0281475424001
1335.3649903585201,1443.41670023288,1361.01764727414
1389.76599501652,1496.8917780880001,1440.44570868946
1452.93798927796,1568.8018734592001,1511.5010012550401
1519.8339918573602,1627.6752574470001,1591.4543669478799
1598.3360212827201,1674.6567161054,1664.1106594646
1657.9480114151002,1681.96656951174,1739.10163181546
1741.3689919183998,1755.78833487486,1797.4212584206
1816.2050412315998,1775.9111492142601,1839.45143850514
1816.4759680873199,1822.01666246396,1873.463277606
1862.41702133744,1811.1518539084,1898.8182726164
1906.9700083487,1854.6221678364,1921.5908020945399
1873.0009803894,1782.9595250708999,1894.9558030388
1879.98897886212,1758.9461912658999,1825.2736927402602
1823.57101194512,1708.9087323722601,1768.35445679352
1741.88102509266,1650.73933044854,1715.2818948312001
1627.3219691076401,1582.03658198952,1619.76120945314
1531.3400208526,1465.2969101802,1519.4278645414802
1437.5240148242,1463.72546779854,1422.2390172617002
1362.29598585738,1376.8831372688,1346.0878664808001
1295.6189827785402,1331.34833405282,1296.90570126582
1272.85400923898,1320.0385490865,1267.56620213384
1268.18699874882,1294.6480534366,1267.0915804977
1304.3399909878,1339.51661921904,1287.55481529034
1354.31800165006,1370.8941530883799,1340.67132792092
1442.58098888228,1467.00476267344,1420.86164504264
1541.37500853404,1535.2169010601601,1517.7725880570601
1677.5170157783,1612.8869708074399,1598.0840982261202
1745.5739856908401,1714.57068992096,1695.54697538048
1803.9169988900999,1781.31224280456,1783.8133811928
1826.1769867897601,1892.9695203448,1874.40848870688
1866.68402289354,1945.1763225139998,1946.9275120841999
1841.19000562574,1986.8717797788,1993.0629159958
1833.78499297436,2055.367677845,2027.3421581851999
1871.4359719508002,2078.96206904154,2044.0015126038002
