True,Baseline,Proposed
1380.41897619352,1316.51243626276,1296.9385082121798
1290.33996335058,1248.32237806588,1213.007707295
1203.362013867,1147.76816021196,1138.8556116918
1147.04398104536,1097.508302815292,1093.8799335255
1070.33201588624,1097.2163325492202,1092.84423998038
1096.81901181494,1107.502252109068,1099.36161178874
1162.34197259758,1225.9814357330802,1137.13229393178
1228.49701813764,1245.07479403592,1185.4854992032601
1262.8170030993401,1332.3403392259202,1275.68178875544
1270.3630282399,1372.4591730688198,1384.5372299742999
1315.78497768074,1480.45221829136,1510.8301653999401
1366.78000780726,1576.45581099752,1645.4353358056
1402.53797130106,1696.2968425776799,1778.5831219640602
1429.5890266820002,1781.4873602254602,1891.36041307506
1488.9320043216,1847.675380438,1962.51680782166
1601.6839627006402,1903.6236215630602,2033.3417409198
1707.4729699835202,1921.16575619948,2097.5310326498
1753.0710150065001,1932.3054790855201,2104.8733128249996
1692.67799261852,1984.9995472634,2095.63095740728
1602.1399819623002,1873.3748653702,2006.4429527080401
1529.9180178952402,1765.85023499788,1900.14644836732
1584.70197628706,1739.79843855588,1803.33837594634
1497.96399577036,1554.65425728536,1644.3089017384
1376.49700595586,1398.3498870323,1474.50540459332
1275.0370075456601,1252.52998839526,1270.9603632284202
1218.51198042962,1165.49556677642,1198.146539894
1207.35498796146,1111.03013288966,1133.3270287621401
1161.28299219434,1078.80021866018,1111.75256704622
1193.63003270116,1063.11979913178,1099.71915832866
1216.04498752876,1058.2032032577001,1095.03016591928
1244.27497771,1142.14020196916,1126.24719207968
1245.55602568402,1197.90455513966,1181.36035564146
1215.1639981496,1267.2059741273602,1280.62299528836
1279.51999851118,1305.2242671778,1388.99777650034
1372.6270249828399,1527.58090789684,1514.3874285392399
1634.83602447712,1575.5317379222,1635.2100282669
1719.97003990326,1628.25805869944,1753.9370514548
1812.63299140612,1776.89708122886,1851.91882364596
1907.0379142246,1804.4654719139,1928.5156783152
1975.33495958876,1857.24354126474,1988.14980185406
1991.39600191054,1878.73815372814,2044.748691033
2069.17798917436,1855.98529876676,2058.70618392432
2077.3880207215198,1907.53864184694,2049.6586979898602
2007.19899335106,1849.9411857158,1954.61916315804
1939.58999341112,1733.7554086146001,1890.5463658914
1881.23604534126,1724.419003173,1799.5940356961999
1746.3529971299201,1547.30421482412,1653.55874866474
1636.91499333512,1390.11924631484,1497.71310544754
1473.17299916864,1402.66207761856,1430.1894003949
1367.4280082597002,1338.98031303278,1350.1689563727
1354.02097577686,1240.6175269253001,1259.17519723224
1237.33702839562,1205.60453228668,1227.59189948172
1195.78800839304,1185.21336789616,1197.06935723086
1196.95599175102,1187.7491984344601,1201.12232356704
1209.02800129412,1246.02320699266,1261.9173300782
1188.7859750892599,1338.57574148092,1329.53869552032
1184.12998743874,1407.70864665424,1390.9214093783999
1278.37497106114,1460.38797250592,1473.3744876555002
1462.85800413116,1699.34687943656,1587.02723225174
1544.858974376,1778.85687793568,1728.78628192104
1674.3510547598,1821.23074613234,1798.4673007652
1647.5899719093,1986.66621236988,1871.8324870995
1648.76601841712,1979.7774542868,1933.07337376226
1765.4459943962001,2036.1025874941201,1953.30092841834
1879.606055532,2046.13783937036,1989.49011999668
1915.75099004536,2007.5896048226,1994.63344683044
1879.79899948694,2070.7529509946,1952.53116838604
1818.00999915334,2014.94969613476,1890.10581102906
1775.6910085138,1923.9895434807602,1850.5316309233
1696.97498958288,1853.25177062548,1784.90893379096
1503.4320449034599,1680.0694827472598,1637.3892148566802
1548.9610115979601,1519.0651084697402,1474.18432274596
1406.9879875941,1265.89571227836,1335.2383195202801
1281.26299276372,1237.77078373608,1242.3095849365
1201.1599917148,1200.86225689832,1167.29097150292
1194.39699470012,1166.57693144638,1157.39610267576
1185.7949977943201,1137.90045938594,1143.71609646718
1041.18899433114,1131.5272915969201,1146.43428055466
1020.7610042115,1166.59332852348,1242.17293259854
1123.55100113598,1244.4526377839002,1292.55621636052
1239.09599851594,1327.24078807506,1335.64108588934
1310.4379961407599,1390.57138443348,1402.05210635044
1550.5429835447399,1566.0674653656001,1494.2139090216401
1570.8990371298,1643.662646296,1588.7640287099998
1685.9850066101,1754.15048423452,1666.30499398364
1824.87101759406,1798.96276327104,1735.57361881714
1879.30600406426,1828.48800219766,1789.51401528652
1962.7879763646,1905.0236310836,1813.1214738718
1974.8350142123,1877.8912823039,1892.2354152646
1916.5570041655599,1897.0352759842801,1912.2359380972
1862.1899527414,1929.8809982396,1879.6229039048
1821.37501032444,1919.21366160594,1781.47953776666
1721.6750049714801,1789.07294895572,1717.1647256593
1631.6229796114,1728.2381682502,1649.4351695947
1560.8969705307,1584.7273391054,1493.3094221797
1424.94197468634,1478.02316431568,1363.20565560412
1289.65600967404,1274.72726826356,1269.0027628273401
1196.56297336908,1248.46715372644,1190.0805318479001
1177.79999360502,1150.4394697194,1127.6198530808
1179.82700328476,1134.35189121046,1105.7753961907601
1149.7059637749999,1121.7794849952,1099.80959798694
1037.43800499102,1079.251195444552,1109.70768605676
1122.3630103353,1195.35861557768,1154.1473151906
1131.5819886357601,1242.72122678766,1203.9969869169
1239.95400190078,1330.6477095735,1270.01571106918
1326.82998864254,1363.2438953931,1354.943213583
1444.16897668914,1494.4596846598602,1463.7309002741
1561.7700171055399,1558.3969427846,1564.77639862704
1710.32404561146,1675.20616985216,1673.078100022
1833.65500701248,1787.34352366056,1756.4142135521
1830.20596458204,1798.3150636824,1817.29824566168
1815.58500683896,1848.83545107804,1866.07897839296
1909.41299323456,1878.3905657799999,1924.786772378
1939.8719930508598,1873.05119609416,1941.89436942808
1952.99804883088,1887.60265429944,1923.79461382474
1860.83495244534,1815.2406080471,1829.7547290548
1768.7590463890401,1760.8274342024001,1776.6217005927201
1712.51105466004,1754.85658148674,1699.1792381271998
1676.51796610654,1571.9403267416,1561.1200610384
1596.1619686882,1403.4792236993599,1412.9551095986399
1468.56599214476,1377.0187940442001,1347.83638941768
1370.6850093265998,1295.2930840899799,1259.88767279702
1268.9190324318001,1203.8773032972601,1182.26090116762
1247.6739864905,1154.035393857,1142.99092445004
1183.2789941804401,1145.57128283074,1147.15677488398
1190.0220138388,1174.5770202339,1156.77888059006
