True,Baseline,Proposed
1380.41897619352,1345.2730900144402,1296.9385082121798
1290.33996335058,1230.32530727748,1213.007707295
1203.362013867,1168.2442283668402,1138.8556116918
1147.04398104536,1152.30133525932,1093.8799335255
1070.33201588624,1145.53972221812,1092.84423998038
1096.81901181494,1153.88649636238,1099.36161178874
1162.34197259758,1219.37254115676,1137.13229393178
1228.49701813764,1259.22814926104,1185.4854992032601
1262.8170030993401,1279.8969808525799,1275.68178875544
1270.3630282399,1431.1405812986,1384.5372299742999
1315.78497768074,1523.13004918516,1510.8301653999401
1366.78000780726,1629.31270666396,1645.4353358056
1402.53797130106,1744.5732674074002,1778.5831219640602
1429.5890266820002,1848.7097501824,1891.36041307506
1488.9320043216,1856.63275766436,1962.51680782166
1601.6839627006402,1911.53811459948,2033.3417409198
1707.4729699835202,1928.36903729908,2097.5310326498
1753.0710150065001,1975.2639557319599,2104.8733128249996
1692.67799261852,1943.3708284402,2095.63095740728
1602.1399819623002,1900.4202645117,2006.4429527080401
1529.9180178952402,1822.57229781654,1900.14644836732
1584.70197628706,1730.43639951852,1803.33837594634
1497.96399577036,1616.39259215504,1644.3089017384
1376.49700595586,1428.00503894776,1474.50540459332
1275.0370075456601,1197.40154095244,1270.9603632284202
1218.51198042962,1122.4084708554801,1198.146539894
1207.35498796146,1049.152606391548,1133.3270287621401
1161.28299219434,1052.49223669248,1111.75256704622
1193.63003270116,1031.529112166332,1099.71915832866
1216.04498752876,1068.98184445417,1095.03016591928
1244.27497771,1137.02798445232,1126.24719207968
1245.55602568402,1194.94634191254,1181.36035564146
1215.1639981496,1241.47625238326,1280.62299528836
1279.51999851118,1318.89783490106,1388.99777650034
1372.6270249828399,1359.89082851486,1514.3874285392399
1634.83602447712,1461.59588049016,1635.2100282669
1719.97003990326,1506.02684474656,1753.9370514548
1812.63299140612,1579.7126014597602,1851.91882364596
1907.0379142246,1619.8724430386,1928.5156783152
1975.33495958876,1680.8157152304,1988.14980185406
1991.39600191054,1714.7564312858199,2044.748691033
2069.17798917436,1728.45157094354,2058.70618392432
2077.3880207215198,1707.4886750738801,2049.6586979898602
2007.19899335106,1668.8607116191201,1954.61916315804
1939.58999341112,1637.00913361814,1890.5463658914
1881.23604534126,1557.11153228548,1799.5940356961999
1746.3529971299201,1430.96445563008,1653.55874866474
1636.91499333512,1311.70992794164,1497.71310544754
1473.17299916864,1456.09578936236,1430.1894003949
1367.4280082597002,1334.1297868491802,1350.1689563727
1354.02097577686,1279.64494724732,1259.17519723224
1237.33702839562,1234.22570558068,1227.59189948172
1195.78800839304,1215.9343599095,1197.06935723086
1196.95599175102,1243.29464310408,1201.12232356704
1209.02800129412,1291.67315102114,1261.9173300782
1188.7859750892599,1361.0213844161199,1329.53869552032
1184.12998743874,1409.2509647521802,1390.9214093783999
1278.37497106114,1544.7657065980002,1473.3744876555002
1462.85800413116,1636.6332644728,1587.02723225174
1544.858974376,1790.5043385705999,1728.78628192104
1674.3510547598,1922.0606454862,1798.4673007652
1647.5899719093,1981.83734837988,1871.8324870995
1648.76601841712,2031.6413489813401,1933.07337376226
1765.4459943962001,2100.94619781636,1953.30092841834
1879.606055532,2088.0333642114,1989.49011999668
1915.75099004536,2170.19337106092,1994.63344683044
1879.79899948694,2125.8950275675597,1952.53116838604
1818.00999915334,2045.00403414006,1890.10581102906
1775.6910085138,1944.3101252238,1850.5316309233
1696.97498958288,1881.385664909,1784.90893379096
1503.4320449034599,1760.6347309385,1637.3892148566802
1548.9610115979601,1554.2921977884398,1474.18432274596
1406.9879875941,1306.10176653688,1335.2383195202801
1281.26299276372,1218.4838797507,1242.3095849365
1201.1599917148,1139.99022925436,1167.29097150292
1194.39699470012,1120.88519743608,1157.39610267576
1185.7949977943201,1104.0407057790999,1143.71609646718
1041.18899433114,1091.034622447968,1146.43428055466
1020.7610042115,1164.1783549736401,1242.17293259854
1123.55100113598,1227.53933857586,1292.55621636052
1239.09599851594,1277.75702690232,1335.64108588934
1310.4379961407599,1383.74198677814,1402.05210635044
1550.5429835447399,1472.96438020972,1494.2139090216401
1570.8990371298,1603.6369297992,1588.7640287099998
1685.9850066101,1685.5581109642799,1666.30499398364
1824.87101759406,1771.4744023568,1735.57361881714
1879.30600406426,1840.9954519184998,1789.51401528652
1962.7879763646,1892.4954518469399,1813.1214738718
1974.8350142123,1910.9183652578602,1892.2354152646
1916.5570041655599,1953.35956677296,1912.2359380972
1862.1899527414,1914.1404059512,1879.6229039048
1821.37501032444,1842.57802559288,1781.47953776666
1721.6750049714801,1779.62501330346,1717.1647256593
1631.6229796114,1699.6051108361,1649.4351695947
1560.8969705307,1573.2259177590001,1493.3094221797
1424.94197468634,1425.2051402522,1363.20565560412
1289.65600967404,1295.90299518534,1269.0027628273401
1196.56297336908,1190.7759785216,1190.0805318479001
1177.79999360502,1113.98193771784,1127.6198530808
1179.82700328476,1103.7880824807921,1105.7753961907601
1149.7059637749999,1088.576474942828,1099.80959798694
1037.43800499102,1116.89553284342,1109.70768605676
1122.3630103353,1162.69494600774,1154.1473151906
1131.5819886357601,1208.65342586312,1203.9969869169
1239.95400190078,1261.058664793,1270.01571106918
1326.82998864254,1380.18303880156,1354.943213583
1444.16897668914,1462.8022841554,1463.7309002741
1561.7700171055399,1579.9099079398002,1564.77639862704
1710.32404561146,1658.44519798606,1673.078100022
1833.65500701248,1770.2324365904,1756.4142135521
1830.20596458204,1799.19187105474,1817.29824566168
1815.58500683896,1847.27950384996,1866.07897839296
1909.41299323456,1901.75796513926,1924.786772378
1939.8719930508598,1893.7589895478,1941.89436942808
1952.99804883088,1879.98388029204,1923.79461382474
1860.83495244534,1840.7406503662799,1829.7547290548
1768.7590463890401,1777.12035225484,1776.6217005927201
1712.51105466004,1673.62287410466,1699.1792381271998
1676.51796610654,1543.0483760276,1561.1200610384
1596.1619686882,1397.56586605588,1412.9551095986399
1468.56599214476,1353.3351868311402,1347.83638941768
1370.6850093265998,1266.5222912282402,1259.88767279702
1268.9190324318001,1165.80873590584,1182.26090116762
1247.6739864905,1154.0949648894,1142.99092445004
1183.2789941804401,1137.76726698168,1147.15677488398
1190.0220138388,1137.47925006594,1156.77888059006
1198.9910044078401,1192.92673348228,1210.6137641247801
1177.04599883584,1275.84299157948,1266.07638099026
1186.1039849169201,1333.55381319046,1367.83345231658
1349.00398165272,1442.2547909344,1470.5578910190402
1522.77596257894,1521.67597443976,1609.69205446524
1691.90203479194,1689.4695208825601,1751.3161667202398
1893.9639981411199,1764.2312568037,1895.6708285649001
1975.10705526026,1841.49121528814,2005.0695696338
2038.9639827504,1924.4792895744,2072.91995260048
2062.780962886,1989.1702716908999,2143.3404044059
2169.36397982346,1998.46103609404,2214.2046904890803
2185.86903694128,2048.8079454226,2224.5575341926
2145.72198207394,2001.00122915744,2212.83624158116
1935.6240368859,1927.1859806647199,2112.15683430006
1827.06001234372,1846.1370638286,1995.1293305456
1699.20099057994,1770.8717721654,1903.2230815861199
1608.92903378206,1639.310651429,1722.45186538946
1462.69400327378,1490.1611232037399,1549.95073315444
1338.00798140394,1364.8491541980002,1287.1828490652802
1360.6430181012402,1229.44239237,1199.58593248596
1312.8990018519999,1179.04120721192,1133.95068933316
1277.0349838687,1155.99504013192,1075.76408170886
1236.10902270954,1121.3337552755,1072.35627266221
1264.0129968771,1128.63860799398,1082.67474267658
1289.6100376854001,1178.65225049128,1102.40334480674
1396.6480208612202,1225.4199937959002,1150.4945277948
1492.3549919469601,1281.2493937199602,1285.4683767009801
1665.98201669434,1418.91687622754,1437.3240544617202
1818.11500061954,1528.6556535631998,1622.44952200388
1847.8110700118,1645.6560194028998,1792.87689032464
1907.76395874676,1798.6053972494,1958.3168394328
1991.3810489796801,1875.2996415307,2075.0417644636
2071.4449979073597,1936.92927430944,2145.4983500114004
2120.76397597684,1988.64017976168,2220.53787347908
2221.50599301472,2028.28494251492,2272.5323731492
2299.2969159333998,2046.06295437054,2278.0828589635003
2330.6810719347004,2005.19662441654,2250.5362207312
2300.9029268978,1944.2260037053202,2170.5170704233396
2203.3679976224003,1850.4513002887,2049.0796254340003
2024.0239890338,1771.27814890006,1955.56586119112
1903.0019767795,1649.6038037546,1784.8641953439
1728.069985386,1467.9105001837002,1603.9493166827401
1524.66099463146,1611.3125670648,1527.9040957908
1450.1059822273,1502.10508511356,1436.7607170826
1236.1530089971,1435.37698429364,1340.1868972163002
1190.68499730848,1376.4699883866201,1291.65413642898
1295.9279969671202,1363.23447835616,1271.3113509375
1310.1700167541,1330.8557568912001,1291.0753948233
1348.87400849112,1408.5174287214,1350.8397623011801
1474.6999732127802,1444.2622444671401,1410.5714559703802
1480.25996632316,1516.28900810076,1491.89734802078
1628.82699214524,1679.23927917754,1583.6427251064001
1647.09198214754,1787.86555243994,1734.48301762852
