True,Baseline,Proposed
1559.75699432476,1630.94815140691,1550.70722817892
1494.58698377779,1584.4924152463,1494.39813871222
1469.15600380507,1527.0764834046402,1463.38015756198
1461.0849893239601,1511.13922961323,1447.69290311044
1480.89000934714,1546.4790849743201,1470.1750473050201
1559.74999574296,1610.56294895251,1545.87399092455
1674.7409938457802,1753.4880031354,1679.36344048165
1802.2479557005001,1854.4345472212,1770.4774437105702
1843.43002718875,1937.3987352706001,1840.5674405996501
1916.478974473,1980.9932345686002,1887.6217388003502
1984.6840199972803,2007.41431390654,1950.4860332467301
2010.0669763682201,2067.12001508026,1976.5002283694503
2038.3329818483803,2100.9677561383,2003.2618886917
2097.79994806627,2101.6273891362403,2029.51868465353
2113.5470403922,2123.40897529264,2024.0601741052
2147.6970202042603,2114.6281046575305,2019.8410624037801
2154.3299427685,2116.0293707035003,2022.0936559358502
2190.7680589102,2121.7142187199,2025.4091340838602
2166.90597768085,2086.15785723184,1993.8016890498702
2084.85495458674,2049.28132993024,1964.5333366863401
2038.4929827589601,2026.9906302744703,1946.9741282362002
1990.88498009485,1958.4205920460302,1895.3000995159
1835.7230056144,1833.46386340936,1781.0690807434003
1703.4270142136802,1711.09384393255,1653.03910820545
1619.34900187081,1696.0439769868,1613.9174025358302
1552.71598778842,1606.92435294811,1557.1998625046501
1498.6770049715801,1588.0886864941,1523.76775388908
1473.74699014942,1571.08909797532,1508.06881847125
1473.15099425599,1567.64073008956,1527.96910252336
1543.64999159812,1679.4050153902,1611.56531249917
1644.8830109656,1797.9944176419401,1731.6427632112
1768.323996754,1902.9984061895802,1826.5286687645203
1868.00902980706,1945.08137845168,1907.20415393242
1960.22301013546,2021.36513689705,1973.57795387557
2057.8070022790002,2058.67296013372,2046.3791513641002
2103.35000672986,2121.6470156713303,2099.0113192594004
2155.2540888319,2155.29814657066,2140.3404442819
2172.9480033184,2146.7064875935002,2163.2511349687
2170.5309931039,2167.57520873383,2160.7223140783
2185.7660725180003,2176.58301671545,2163.2303058562
2188.3700448463,2136.1617910486,2167.34288914465
2178.8949648865,2174.57305734907,2162.70997796266
2143.4619783976,2127.4438909864,2131.528729897
2095.9429410388,2088.8428798027003,2079.2449913956
2025.6100267081001,2030.0965842140201,2049.96102552934
1962.5770164504702,1957.2960365938002,1984.0027247223402
1855.3769895770201,1850.31331568524,1859.33835350872
1724.24299604116,1744.6216331593,1728.5477237266
1631.9869908953801,1673.1115740331302,1616.8348113490301
1550.41400426479,1571.16066680587,1555.962030007
1508.94199153054,1533.55618701733,1512.9080378467302
1473.66100757302,1500.6197446261,1483.8219818758
1470.1609834882602,1478.9103438419802,1478.9270071319802
1481.1980135995,1533.05727145144,1504.30574769055
1499.5959854150801,1562.4335686075901,1541.8895483362
1585.19500620586,1646.8447301074302,1618.6564922017
1713.47997707068,1745.3845952185302,1715.98906862572
1827.5190014158002,1847.6564207479,1806.0222242120801
1912.9039822465302,1903.9278511792,1887.27897492505
1995.01802590342,1972.3601506525001,1945.8254443400501
2028.1410138262002,2018.7227556853002,1985.3885105719
2053.3560208972303,2048.8644810676,2004.5742394222302
2050.4459939215003,2069.82651663193,2009.7936984122202
2054.5679919688,2101.5779658181,2035.0167871789001
2022.3229927961202,2096.8678369502504,2052.50512665667
2019.5969785318603,2142.1781385562604,2065.0806949969
1953.64201038286,2099.4740588227,2044.6651653547
1918.41401568754,2054.730958945,1997.6623567201
1885.70597701234,2008.7556087718,1967.7924095977
1864.7770180786601,1941.7800141103,1917.0298628404
1778.9900020501,1850.93600616925,1813.5898906921602
1692.41097984784,1738.13218152196,1710.8624741509002
1610.82001352734,1589.3378333656601,1581.0945204659502
1546.91999562772,1531.17350318023,1512.89064137197
1488.57800144431,1470.75684607537,1469.2652150077301
1469.17599975307,1437.340394287084,1441.0756440388
1451.6120089387,1431.10431463951,1432.136348840344
1457.61300955627,1429.4055755404602,1448.3140105819
1477.1999904298,1476.16689977638,1488.44399526613
1579.32099652138,1549.63826146213,1575.47460929068
1666.3719897496,1633.32660276835,1684.7604301633
1753.0690047083501,1745.12776392976,1770.55799405443
1787.3359774795001,1782.23237834488,1867.1197600096302
1860.63002509636,1844.11617148108,1930.2612649484502
1906.6069749454,1922.4604957045601,1979.1964320079
1896.8470027164701,1947.11265016597,2017.3004772306401
1895.94000317848,1966.48460794534,2033.7928185385301
1908.4310053219601,2007.4610044451201,2065.8866483443303
1943.71800472717,2026.1139245977001,2088.0472077052
1987.0929985060002,2058.4710343855004,2106.48707103184
1982.2979701756,2018.34836488558,2090.5202065741
1945.2139849135,1948.7330718020203,2043.85979522242
1911.88498873645,1949.55738809503,2019.42391360192
1884.87897792964,1903.1668387249001,1974.29067611545
1782.8400218780203,1799.2703924104003,1853.8713780090702
1667.39501577586,1685.5669333993,1744.6657075613502
1572.26299342924,1614.9076185440802,1594.2910962979001
1506.70799423011,1582.37891019586,1538.3522651350002
1476.28899170221,1550.9007722922702,1510.35120596584
1448.9119894068401,1528.94910393484,1492.66512322564
1453.7890011240402,1538.32600378996,1517.69440126633
1501.8999851968001,1627.37335913992,1606.6947661384902
1578.51500984737,1774.35324164812,1755.8163646471
1680.4069790179,1891.55097590893,1872.7120101235
1775.28298657696,1946.59145578135,1965.4809113354802
1860.5360108141801,2030.3560649659,2028.19841886025
1904.15902100137,2092.3969929268,2096.5665813303403
1964.0180077798,2163.5080829005,2149.56584150434
2010.6400102480302,2253.6014929435,2199.25690538806
2030.9420128954603,2250.53789708713,2237.7775328608
2043.8819907247002,2272.85332506526,2234.8271307334003
2059.1809905192404,2287.5746752486602,2233.74629975413
2078.70600061726,2261.5128897697005,2214.9449430142304
2087.4090036982,2266.6046912950005,2226.57353658376
2049.4329825325303,2211.1560941239004,2175.6992791303
2015.9340207974801,2159.4269099137,2153.8462074598
1927.4849942015503,2134.98561272395,2114.26647793795
1885.0050190552001,2085.4675637803,2059.99730843305
1783.9349999905003,1938.18850856344,1923.32012150908
1671.8799902692301,1807.9832101691502,1780.9655350593403
1570.42100002606,1683.2262410530002,1570.69332817453
1513.91500046143,1609.66783034029,1518.87692830447
1458.63000347155,1578.55883430007,1489.10094547438
1437.738993514516,1550.96955835339,1478.2142848921
1428.0280046928701,1595.6931121919201,1501.42998043906
1436.644998536146,1661.3035501568802,1597.8707042557
1464.09601250038,1832.6845379993501,1737.20433620818
1540.38598635292,1923.2083274964702,1837.98364751554
1632.80899099108,1989.9929108647002,1914.53230228204
1753.66001827807,2038.29448964848,1978.4104246186002
1824.8690384071,2169.56977122025,2035.8331217560003
1922.1100000627002,2196.50511301417,2078.38956474016
1968.75899706073,2230.190403658,2113.3734089104
1996.7890336912,2290.12067599105,2139.04645649695
2012.4279812650302,2298.7045198852,2127.51479328535
2052.03797132152,2282.8072413265,2126.173148491
2092.61401561576,2291.21847019954,2114.0559372688003
2116.5619794417703,2256.2092978285,2111.5583933737303
2101.94899063324,2207.05369210564,2072.65725967384
2060.1930187741,2197.59844146094,2057.11844180962
1993.96600575256,2164.4153990410005,2021.7694716289002
1935.82602063382,2105.5519938502002,1959.86629908643
1833.8660152502202,1978.27116950407,1837.7320984897
1766.5940139862,1813.6216509229002,1704.6976733926301
1655.7049846561001,1744.7741022628002,1665.4416116157402
1582.31400668131,1630.9211735404,1601.90640312409
1546.2300021154,1568.26676989486,1571.9985803435202
1517.4949916749001,1544.6391411558102,1554.5238047838102
1539.6069942087101,1558.898101705,1576.42809940777
1619.28299857912,1666.3330643041602,1657.75611901207
1740.03397947295,1809.65483809537,1804.55873744125
1922.7640341952,1932.06323312905,1923.85078064242
2048.9700096831702,2022.9437336752003,2022.7187792602
2170.8439296901,2106.3903239701003,2112.7696979137
2314.46204343067,2181.6614042923,2202.4215307717
2427.1329950035,2242.20853495786,2269.2144957748
2482.47604689574,2306.9953398247,2317.3219139035
2543.47400287225,2395.46999456065,2378.31548743474
2568.7819577749005,2360.35974267247,2370.8358197891503
2578.8779119201,2352.6402569572,2370.1352117611004
2585.2320076527703,2382.5816895937,2360.13747104716
2553.39299287765,2389.42691913583,2376.0601777864003
2535.8179709653004,2357.15009307925,2328.922063237
2477.2110138076005,2312.7343435336,2297.49088248463
2444.4009957976004,2256.9065565352603,2245.1920303792003
2335.6200392854003,2187.24998848237,2181.5489270848
2176.5769346146,2028.0792263468802,2039.45515445014
2002.93598806588,1861.65835004884,1888.28543764105
1873.5800008996002,1927.75975519036,1856.2986361469202
1781.94200385334,1814.6188988395302,1776.3052460918802
1718.2360133024802,1767.16314865615,1725.73156106344
1694.5089880385801,1732.5702419326,1685.93430895393
1712.68502149465,1765.8811251134202,1699.2888194485001
1768.4959952333802,1809.4155699142602,1757.56026126205
1883.8479868507602,1946.4002112020203,1898.3862408036402
2038.1779799248002,2075.4994170694,2038.00854759208
2162.8360524148,2204.0720296462,2147.61457024534
2307.4839574773705,2319.9668779252,2247.57366442903
2442.5090458510003,2432.2672879183,2367.07126597564
2552.3099623441003,2510.5018343872603,2453.24187094
2587.4750031298,2544.9767816809,2520.9008271244
2637.0139645024,2642.5958333866,2583.2803531381
2666.52103515847,2655.81573782455,2602.7114156071
2624.7129571915,2633.1624116518,2588.34760963723
2564.3450235466003,2648.2866801874,2576.1944556985
2499.72700114417,2667.1413594553,2572.8104747653006
2468.46603589915,2582.7286316062,2536.2828767563
2429.92801195165,2551.336992841,2459.7992088208002
2338.4699617741003,2488.66612586494,2396.0436283189
2304.17399487835,2359.8667925644004,2338.4512988893002
2158.8810205333,2222.6346014404003,2160.22953060313
1956.79300519528,2052.29388612934,1997.7348920214702
1847.8540473673002,1887.9672521185003,1863.6139704265302
1780.2810237694302,1797.5931989453202,1788.3039146690203
1717.8679878795401,1728.3312675895002,1734.3400166369202
1710.7110048448,1726.9193870278002,1693.35447199093
1733.6960138050001,1730.63310114352,1706.0586142768002
1782.90100951942,1767.6842930509001,1766.2952911863702
1905.9099995145702,1934.9129556582702,1891.4900882472703
2017.1040170415401,2038.7703598843002,1997.12188290895
2131.4549115223,2115.33774418876,2090.0064773434
2216.71703391586,2211.1425468691305,2184.08184714454
2339.0130183952,2291.89295018887,2302.52297944186
2349.5670463825,2334.7293864349003,2376.03180020353
2418.12003806527,2377.6923470419,2433.01222029775
2449.2920046784,2434.8902563972,2491.87210953436
2467.91599735954,2441.9292633387404,2495.7500903629
2460.9940167036702,2445.95693050135,2489.58325668325
2416.54104136816,2410.15838475643,2478.09828401023
2383.1029173049,2462.7144514063,2478.6938799847003
2373.41598027604,2391.19304457964,2435.3923213249
2261.9459686768005,2332.7699501638,2366.5097797558
2185.3899820627003,2262.8713644869504,2307.4844073862
2138.55402295087,2186.79479738944,2245.8735589402004
2009.0269871127402,2063.9951816331404,2086.8257885482003
1867.5340260623202,1910.0969677295802,1942.20569451664
1741.1210091961002,1789.3541351845602,1774.57919586052
1671.01599868273,1700.8197425539602,1697.7822913996001
1624.28100244501,1630.42684037926,1643.5712767768
1549.0930052867502,1641.1816276844802,1609.15246810717
1554.518989093,1618.6855529794602,1611.81501189982
1562.56699157062,1653.16321638937,1643.9048091894401
1576.27699669405,1713.5859222685,1720.4124389359602
1650.37701432163,1856.5127927500002,1797.2957925454002
1748.4980143120001,1940.5979203177003,1901.6304000704502
1866.5139994282601,2061.57123949,1994.91388034092
1980.66901693507,2110.4899932088,2097.5458995469303
2064.84799215205,2183.523193684,2159.2438636730503
2087.5219808044003,2246.4901006702003,2206.4888732278005
2136.2339430943002,2246.7458155185404,2243.2303612272403
2165.09804404243,2312.2639388569005,2247.7783396201003
2175.6819493087,2347.6980917761002,2257.59941613346
2216.5060100113,2306.5544291713004,2263.4821573819
2199.9530309911,2360.4516740434,2271.4255477249003
2177.7840233422003,2327.8882727254004,2216.5026773533
2096.8110151313504,2249.3641849294,2148.38491414204
2040.7659888212802,2159.02109214904,2092.8329045932
1981.46702189317,2058.9997272506203,2038.95020677327
1894.7719898659302,1953.4211218106202,1905.4508758852003
1774.0530024889001,1835.5267953746502,1790.67366779308
1694.30602916638,1699.8906474934302,1679.9977286155001
1601.16900255172,1615.7275523918202,1603.90961385802
1572.66401216638,1562.67125377615,1555.03935031312
1525.06600747627,1544.8963723635402,1533.1203253408
1527.2420165275,1507.03719418735,1527.3755228069801
1516.3909987225302,1582.28214647083,1547.71281830263
1540.99199688364,1642.43612347213,1592.5972728694
1607.75000230432,1743.70488559666,1671.07580323054
1697.9909824435601,1840.7329070693502,1772.49276865633
1794.82399343338,1921.6891186838802,1874.62408932442
1879.62302633455,2014.96231770442,1960.4175373829203
1911.7049752145801,2071.16804478325,2013.95593830487
1903.5469950229601,2136.9807917521002,2059.6041047789204
1897.4970209960802,2169.7554002708503,2075.30902231786
1905.15600230536,2181.5689230328,2079.11191836166
1904.74296933613,2224.37119953433,2091.823442485
1963.9090298632,2181.8957901294402,2108.46980258236
1996.9949919556002,2233.9844681581,2127.9866143417003
1994.21098944214,2199.7042480714,2076.76606039546
1973.0910025519001,2148.3606523918,2018.2641819445003
1935.51300073117,2084.0285220559,1973.9591599609003
1923.6280257817002,2031.88233901345,1920.59350736638
1792.47598590277,1933.0623639974501,1820.36848373758
1744.4130087685,1791.1332080047,1713.7553879278
1647.68600962966,1749.71106849742,1662.92293866895
1590.1229909271701,1636.18797293728,1603.71345360814
1566.8629876921,1654.67194399255,1567.79141622103
1582.24100480782,1615.32665029771,1547.36795485279
1597.56999852436,1618.04473283593,1557.1851654828702
1703.3519960821,1688.0301842435501,1611.1070553608802
1829.57598458656,1788.9869762527,1684.8764066617
1956.97998397237,1936.3790252390502,1780.29968665423
2060.80201203373,1956.8315473850503,1887.46058812276
2122.7250138913,2059.95876624328,1978.7865484004801
2178.9889458421003,2139.75183022594,2061.6905486464
2269.9170200812005,2157.64370459764,2118.38779279036
2307.7340234704,2170.66608239593,2171.9590370569
2344.8070109611003,2233.2319539817,2195.16706749046
2375.0020588714005,2228.7448632505,2201.8173865294602
2358.900988276,2236.51288912954,2211.5190205801
2375.17395737104,2229.3447416905,2220.7871424781
2370.70402982854,2222.7074200177003,2228.2660602756405
2329.0780316314003,2216.7767884738005,2182.9354794457004
2310.80495117437,2142.3518700178,2142.0394999834602
2230.40097765373,2125.73685356893,2099.5767046891
2154.1519788313,2018.2276893394,2035.81822477474
1989.84300790786,1952.16817570894,1917.2964754804002
1831.9640173397502,1814.3967605205403,1792.9475570097702
1712.3160129376001,1830.0957792548202,1747.8023219545003
1632.3450016810302,1732.6529918307401,1674.0106085185
