True,Baseline,Proposed
1559.75699432476,1573.79549954725,1550.70722817892
1494.58698377779,1573.85433762424,1494.39813871222
1469.15600380507,1539.51059707606,1463.38015756198
1461.0849893239601,1475.74168594216,1447.69290311044
1480.89000934714,1526.61344390212,1470.1750473050201
1559.74999574296,1622.08601390647,1545.87399092455
1674.7409938457802,1759.23922103587,1679.36344048165
1802.2479557005001,1819.38654938446,1770.4774437105702
1843.43002718875,1892.4738055724201,1840.5674405996501
1916.478974473,1949.0539734408403,1887.6217388003502
1984.6840199972803,2002.53240318208,1950.4860332467301
2010.0669763682201,2002.8969626407002,1976.5002283694503
2038.3329818483803,2042.5673237968601,2003.2618886917
2097.79994806627,2153.0352051355003,2029.51868465353
2113.5470403922,2042.7285577909001,2024.0601741052
2147.6970202042603,2065.8758671957003,2019.8410624037801
2154.3299427685,2041.36856671426,2022.0936559358502
2190.7680589102,2107.6012452544,2025.4091340838602
2166.90597768085,2040.05888211013,1993.8016890498702
2084.85495458674,2037.85509535447,1964.5333366863401
2038.4929827589601,2007.6530321990801,1946.9741282362002
1990.88498009485,1935.4460143053702,1895.3000995159
1835.7230056144,1858.01585483458,1781.0690807434003
1703.4270142136802,1716.91663066357,1653.03910820545
1619.34900187081,1682.01128725252,1613.9174025358302
1552.71598778842,1628.85079308448,1557.1998625046501
1498.6770049715801,1642.5842434569402,1523.76775388908
1473.74699014942,1530.01703752765,1508.06881847125
1473.15099425599,1585.41907746649,1527.96910252336
1543.64999159812,1713.56867576335,1611.56531249917
1644.8830109656,1850.7984507103001,1731.6427632112
1768.323996754,1926.63013409797,1826.5286687645203
1868.00902980706,2009.3077302226602,1907.20415393242
1960.22301013546,2121.86790424357,1973.57795387557
2057.8070022790002,2145.32721709033,2046.3791513641002
2103.35000672986,2145.5510550649,2099.0113192594004
2155.2540888319,2180.5189691299,2140.3404442819
2172.9480033184,2313.3552177190004,2163.2511349687
2170.5309931039,2229.5313705385,2160.7223140783
2185.7660725180003,2265.1134934729002,2163.2303058562
2188.3700448463,2251.7683644106,2167.34288914465
2178.8949648865,2335.2876066499,2162.70997796266
2143.4619783976,2208.9083829358,2131.528729897
2095.9429410388,2235.8549224606,2079.2449913956
2025.6100267081001,2176.9535249686,2049.96102552934
1962.5770164504702,2091.9312539713,1984.0027247223402
1855.3769895770201,2000.95547273293,1859.33835350872
1724.24299604116,1834.8535984586501,1728.5477237266
1631.9869908953801,1634.37010797802,1616.8348113490301
1550.41400426479,1609.51964370232,1555.962030007
1508.94199153054,1573.65654437194,1512.9080378467302
1473.66100757302,1516.82701036867,1483.8219818758
1470.1609834882602,1555.05766326883,1478.9270071319802
1481.1980135995,1589.3249359792,1504.30574769055
1499.5959854150801,1626.5021856754302,1541.8895483362
1585.19500620586,1657.2884637782201,1618.6564922017
1713.47997707068,1755.8283622159001,1715.98906862572
1827.5190014158002,1901.58670892407,1806.0222242120801
1912.9039822465302,1919.50559448886,1887.27897492505
1995.01802590342,1916.5487103416501,1945.8254443400501
2028.1410138262002,1929.8284359907002,1985.3885105719
2053.3560208972303,2104.6126841929004,2004.5742394222302
2050.4459939215003,1969.9143129463,2009.7936984122202
2054.5679919688,2051.91616267162,2035.0167871789001
2022.3229927961202,1958.27358850165,2052.50512665667
2019.5969785318603,2063.7590961404203,2065.0806949969
1953.64201038286,1925.9143291494402,2044.6651653547
1918.41401568754,1978.6269807354402,1997.6623567201
1885.70597701234,1887.32511557506,1967.7924095977
1864.7770180786601,1900.4232613529803,1917.0298628404
1778.9900020501,1794.7173150508002,1813.5898906921602
1692.41097984784,1660.42729438894,1710.8624741509002
1610.82001352734,1584.32421599704,1581.0945204659502
1546.91999562772,1520.89700228788,1512.89064137197
1488.57800144431,1491.65866050964,1469.2652150077301
1469.17599975307,1439.7421809198402,1441.0756440388
1451.6120089387,1447.7666714952702,1432.136348840344
1457.61300955627,1496.7345985828601,1448.3140105819
1477.1999904298,1532.098532398,1488.44399526613
1579.32099652138,1532.02174795768,1575.47460929068
1666.3719897496,1697.52024450106,1684.7604301633
1753.0690047083501,1779.1513026973003,1770.55799405443
1787.3359774795001,1839.3385396254403,1867.1197600096302
1860.63002509636,1827.68601757147,1930.2612649484502
1906.6069749454,1915.6343622927702,1979.1964320079
1896.8470027164701,2012.3227192621002,2017.3004772306401
1895.94000317848,1933.8622852339001,2033.7928185385301
1908.4310053219601,1969.50043014928,2065.8866483443303
1943.71800472717,1962.42589707346,2088.0472077052
1987.0929985060002,2008.2732398528801,2106.48707103184
1982.2979701756,1923.9178837112502,2090.5202065741
1945.2139849135,1960.1577900184002,2043.85979522242
1911.88498873645,1888.06743181798,2019.42391360192
1884.87897792964,1847.16806970787,1974.29067611545
1782.8400218780203,1803.72722260696,1853.8713780090702
1667.39501577586,1663.7728831019801,1744.6657075613502
1572.26299342924,1565.31661771681,1594.2910962979001
1506.70799423011,1552.52214373585,1538.3522651350002
1476.28899170221,1521.4427250353801,1510.35120596584
1448.9119894068401,1457.5636362280002,1492.66512322564
1453.7890011240402,1521.63600253609,1517.69440126633
1501.8999851968001,1611.08720938249,1606.6947661384902
1578.51500984737,1746.07712155093,1755.8163646471
1680.4069790179,1823.99246603665,1872.7120101235
1775.28298657696,1896.47644447345,1965.4809113354802
1860.5360108141801,1937.4887170366,2028.19841886025
1904.15902100137,2036.0555766775,2096.5665813303403
1964.0180077798,2002.29745079308,2149.56584150434
2010.6400102480302,2095.9345094140604,2199.25690538806
2030.9420128954603,2194.5956166232,2237.7775328608
2043.8819907247002,2092.8757292485,2234.8271307334003
2059.1809905192404,2137.08218787175,2233.74629975413
2078.70600061726,2105.23929055006,2214.9449430142304
2087.4090036982,2149.7315412601,2226.57353658376
2049.4329825325303,2105.0977525648004,2175.6992791303
2015.9340207974801,2076.2171049697,2153.8462074598
1927.4849942015503,2070.51281089387,2114.26647793795
1885.0050190552001,1972.7081967907302,2059.99730843305
1783.9349999905003,1898.9063687377002,1923.32012150908
1671.8799902692301,1757.7111473530001,1780.9655350593403
1570.42100002606,1595.0014523506002,1570.69332817453
1513.91500046143,1570.10071492897,1518.87692830447
1458.63000347155,1559.69340721012,1489.10094547438
1437.738993514516,1473.15256060525,1478.2142848921
1428.0280046928701,1514.63900374864,1501.42998043906
1436.644998536146,1639.47254068234,1597.8707042557
1464.09601250038,1781.1910560262002,1737.20433620818
1540.38598635292,1833.5357155158401,1837.98364751554
1632.80899099108,1936.7257049875002,1914.53230228204
1753.66001827807,1982.95077122464,1978.4104246186002
1824.8690384071,2090.7829866574,2035.8331217560003
1922.1100000627002,2069.4676393552,2078.38956474016
1968.75899706073,2179.41862543804,2113.3734089104
1996.7890336912,2268.624282043,2139.04645649695
2012.4279812650302,2184.88983341335,2127.51479328535
2052.03797132152,2225.0764399570003,2126.173148491
2092.61401561576,2216.68504039906,2114.0559372688003
2116.5619794417703,2264.8220525308,2111.5583933737303
2101.94899063324,2196.11070960316,2072.65725967384
2060.1930187741,2206.87402851286,2057.11844180962
1993.96600575256,2167.5839236345,2021.7694716289002
1935.82602063382,2029.4532812402801,1959.86629908643
1833.8660152502202,1984.9981730036502,1837.7320984897
1766.5940139862,1820.5870394492201,1704.6976733926301
1655.7049846561001,1745.51301919456,1665.4416116157402
1582.31400668131,1687.1814895572702,1601.90640312409
1546.2300021154,1649.83908999385,1571.9985803435202
1517.4949916749001,1567.92753863704,1554.5238047838102
1539.6069942087101,1622.51016129013,1576.42809940777
1619.28299857912,1720.5721399073202,1657.75611901207
1740.03397947295,1876.0909920697,1804.55873744125
1922.7640341952,1932.55333381453,1923.85078064242
2048.9700096831702,2073.0007567339,2022.7187792602
2170.8439296901,2167.04195012725,2112.7696979137
2314.46204343067,2218.5452634415,2202.4215307717
2427.1329950035,2281.2666035229704,2269.2144957748
2482.47604689574,2309.74023359653,2317.3219139035
2543.47400287225,2511.07173556855,2378.31548743474
2568.7819577749005,2415.9782554117,2370.8358197891503
2578.8779119201,2455.2169707037,2370.1352117611004
2585.2320076527703,2391.2183727804404,2360.13747104716
2553.39299287765,2458.9555464481,2376.0601777864003
2535.8179709653004,2353.65280177405,2328.922063237
2477.2110138076005,2387.4233751361,2297.49088248463
2444.4009957976004,2304.11132424466,2245.1920303792003
2335.6200392854003,2208.3426642403,2181.5489270848
2176.5769346146,2101.3638425416,2039.45515445014
2002.93598806588,1907.54401839526,1888.28543764105
1873.5800008996002,1880.2388182165,1856.2986361469202
1781.94200385334,1825.0480021417002,1776.3052460918802
1718.2360133024802,1828.17660149236,1725.73156106344
1694.5089880385801,1675.5329666929001,1685.93430895393
1712.68502149465,1795.1790548167,1699.2888194485001
1768.4959952333802,1879.6427723332001,1757.56026126205
1883.8479868507602,1967.9433290152301,1898.3862408036402
2038.1779799248002,2154.72844534885,2038.00854759208
2162.8360524148,2074.0199335401703,2147.61457024534
2307.4839574773705,2307.74795398084,2247.57366442903
2442.5090458510003,2369.0602629232,2367.07126597564
2552.3099623441003,2351.0634098245,2453.24187094
2587.4750031298,2383.0289322973003,2520.9008271244
2637.0139645024,2567.6158607407,2583.2803531381
2666.52103515847,2457.2985488905,2602.7114156071
2624.7129571915,2456.0516348998003,2588.34760963723
2564.3450235466003,2411.4095145595,2576.1944556985
2499.72700114417,2477.0637103240006,2572.8104747653006
2468.46603589915,2402.80902403864,2536.2828767563
2429.92801195165,2306.828207026,2459.7992088208002
2338.4699617741003,2297.4359436175,2396.0436283189
2304.17399487835,2310.5081279896003,2338.4512988893002
2158.8810205333,2159.7281821969,2160.22953060313
1956.79300519528,1961.6338242466,1997.7348920214702
1847.8540473673002,1948.38857494456,1863.6139704265302
1780.2810237694302,1881.65566443862,1788.3039146690203
1717.8679878795401,1842.56781857428,1734.3400166369202
1710.7110048448,1774.26037713295,1693.35447199093
1733.6960138050001,1786.9805495038,1706.0586142768002
1782.90100951942,1952.3179620227502,1766.2952911863702
1905.9099995145702,2034.10737146386,1891.4900882472703
2017.1040170415401,2097.8380570105,1997.12188290895
2131.4549115223,2215.7483302150004,2090.0064773434
2216.71703391586,2322.1436034979,2184.08184714454
2339.0130183952,2411.473668226,2302.52297944186
2349.5670463825,2398.8953837695,2376.03180020353
2418.12003806527,2480.4775185463004,2433.01222029775
2449.2920046784,2597.3118431155,2491.87210953436
2467.91599735954,2526.66890827435,2495.7500903629
2460.9940167036702,2495.6949348730004,2489.58325668325
2416.54104136816,2491.22344098124,2478.09828401023
2383.1029173049,2487.62117094904,2478.6938799847003
2373.41598027604,2413.4167744729,2435.3923213249
2261.9459686768005,2398.6607646463,2366.5097797558
2185.3899820627003,2325.0235199086,2307.4844073862
2138.55402295087,2240.22560344786,2245.8735589402004
2009.0269871127402,2141.6210181184,2086.8257885482003
1867.5340260623202,1979.2082629438,1942.20569451664
1741.1210091961002,1754.4298122862,1774.57919586052
1671.01599868273,1748.6397022668702,1697.7822913996001
1624.28100244501,1729.7072887511201,1643.5712767768
1549.0930052867502,1626.3829764987702,1609.15246810717
1554.518989093,1743.88191638962,1611.81501189982
1562.56699157062,1783.3936096984,1643.9048091894401
1576.27699669405,1832.9055765412,1720.4124389359602
1650.37701432163,1902.9839091272802,1797.2957925454002
1748.4980143120001,1975.91119773124,1901.6304000704502
1866.5139994282601,2179.95050099155,1994.91388034092
1980.66901693507,2211.4093761319,2097.5458995469303
2064.84799215205,2203.1059920717403,2159.2438636730503
2087.5219808044003,2177.644384972,2206.4888732278005
2136.2339430943002,2356.024904422,2243.2303612272403
2165.09804404243,2255.7365602912,2247.7783396201003
2175.6819493087,2386.0534860652,2257.59941613346
2216.5060100113,2270.1401415343003,2263.4821573819
2199.9530309911,2330.96988159826,2271.4255477249003
2177.7840233422003,2215.29217265125,2216.5026773533
2096.8110151313504,2229.0528841661503,2148.38491414204
2040.7659888212802,2138.3325178369,2092.8329045932
1981.46702189317,2080.8871586251,2038.95020677327
1894.7719898659302,1994.6299212160302,1905.4508758852003
1774.0530024889001,1806.24986141677,1790.67366779308
1694.30602916638,1696.5238797388001,1679.9977286155001
1601.16900255172,1691.80840195486,1603.90961385802
1572.66401216638,1638.72695843458,1555.03935031312
1525.06600747627,1663.1005693403501,1533.1203253408
1527.2420165275,1712.31231368722,1527.3755228069801
1516.3909987225302,1640.4978329160401,1547.71281830263
1540.99199688364,1800.9783796354002,1592.5972728694
1607.75000230432,1835.1581200834003,1671.07580323054
1697.9909824435601,2015.8843641932801,1772.49276865633
1794.82399343338,2063.0777675389,1874.62408932442
1879.62302633455,2037.6666335445702,1960.4175373829203
1911.7049752145801,2066.8719986719,2013.95593830487
1903.5469950229601,2088.26722978636,2059.6041047789204
1897.4970209960802,2278.6572489520004,2075.30902231786
1905.15600230536,2091.1632429352003,2079.11191836166
1904.74296933613,2239.7186395129,2091.823442485
1963.9090298632,2110.51542138934,2108.46980258236
1996.9949919556002,2176.2045100831,2127.9866143417003
1994.21098944214,2111.84581846294,2076.76606039546
1973.0910025519001,2036.2830972391603,2018.2641819445003
1935.51300073117,2047.73391016768,1973.9591599609003
1923.6280257817002,1961.1392577994002,1920.59350736638
1792.47598590277,1948.1801005233701,1820.36848373758
1744.4130087685,1683.4448634178002,1713.7553879278
1647.68600962966,1750.63948036306,1662.92293866895
1590.1229909271701,1725.00717452056,1603.71345360814
1566.8629876921,1686.4675175706402,1567.79141622103
1582.24100480782,1662.28485130498,1547.36795485279
1597.56999852436,1746.2924612476,1557.1851654828702
1703.3519960821,1737.20471946385,1611.1070553608802
1829.57598458656,1928.2775835904001,1684.8764066617
1956.97998397237,2099.4695597344,1780.29968665423
2060.80201203373,2130.1575077629004,1887.46058812276
2122.7250138913,2181.7070617069003,1978.7865484004801
2178.9889458421003,2164.44649274014,2061.6905486464
2269.9170200812005,2256.28178314,2118.38779279036
2307.7340234704,2188.91210167,2171.9590370569
2344.8070109611003,2421.7787466607,2195.16706749046
2375.0020588714005,2211.7579721587,2201.8173865294602
2358.900988276,2345.482040839,2211.5190205801
2375.17395737104,2224.1726231074,2220.7871424781
2370.70402982854,2269.8996902596,2228.2660602756405
2329.0780316314003,2249.096572492,2182.9354794457004
2310.80495117437,2110.9434013297005,2142.0394999834602
2230.40097765373,2182.2152920519,2099.5767046891
2154.1519788313,2105.738955964,2035.81822477474
1989.84300790786,2016.23719269574,1917.2964754804002
1831.9640173397502,1793.3779697904702,1792.9475570097702
1712.3160129376001,1846.9540630744,1747.8023219545003
1632.3450016810302,1796.79044494957,1674.0106085185
1595.0280136348601,1791.6643837000302,1619.31520871869
1578.5840125312602,1709.42614854277,1585.8433248298902
1594.9040054306802,1725.9987402553002,1572.4961795095
1663.24002441436,1820.10453722398,1610.08587895981
1782.07401043672,1943.44625979385,1662.58797321337
1879.3559971123,1971.6781221928002,1763.9720453047003
1987.9499915107,2094.772844815,1878.0041877110502
2076.9349595029003,2199.6557578975,1977.5155392924403
2202.9720025568504,2238.1961147056,2095.68024427195
2277.4929848797,2316.0243435112,2175.8735771437
2350.09502272615,2336.0284565233,2247.5910442405
2406.5130067930004,2494.5619977859,2300.68801794706
2439.8320049960503,2363.6409111063704,2322.9769346308003
2447.1669353047,2390.4630425080304,2348.89046681863
2461.3679575945603,2327.5566732544003,2356.6067865088003
2473.0829669860304,2390.0436774886,2361.2925036568004
2463.5779430941,2319.54569660716,2359.3233360243403
2413.0030249822003,2267.9645823919,2275.8816447367
2315.6889114835003,2243.31816010225,2247.0106618498003
2271.19804382653,2150.91401830837,2182.7698463431
2077.80903237985,2083.11197445274,2037.4438620205601
1932.43499112895,1879.2015950671603,1915.8619994974601
1825.40301353515,1923.2916606097601,1834.9063377715001
1715.1809990404602,1862.8535078608002,1757.1024373693
1689.04301233633,1879.60369691815,1705.2114192866202
1640.3019892686702,1778.5194640670802,1666.6418184045701
1668.8759823379,1776.237393175,1677.96589034935
1777.3709967937002,1914.2168495390501,1754.9699694948401
1879.01999853274,2038.0118802500801,1901.4287409348701
2000.3730074309801,2164.09053153916,2026.76769211756
2095.2730767808002,2169.2284237246,2131.16007126904
2207.6879635762,2320.17210300484,2221.3585266922
2266.8769694536004,2373.9687682585,2355.1265364682304
2341.037941396,2472.4773063844004,2446.6866992869
2381.2379618881005,2472.2264238901603,2520.15791100304
2446.36999679716,2600.0172948799,2607.7750561723005
2461.6310042905,2504.304856816,2622.5890042582305
2456.3069165026,2536.6249741,2626.1506658527005
2453.4979857073004,2460.0035007562,2614.2555762862003
2453.5719707149,2489.15885935024,2613.90288109006
2420.02105284163,2445.8359550159503,2593.8015544441005
2368.694003809,2357.3598005839003,2508.2672205451
2314.90700326354,2390.016349693,2460.2662808395003
2257.8429667801,2261.57662685395,2389.8760447912
2093.35703171686,2127.0369734446,2190.30956848585
1935.6189792555701,1992.06674062165,2044.1652000015401
1849.52300916712,1849.70507227366,1848.54714025156
1740.3559975522,1830.6592317428801,1767.0592530430001
1718.37401867026,1798.58079881704,1714.05022818106
1712.16397707964,1776.47811106234,1676.1184647136301
1709.48498661976,1764.36826501432,1690.19159625274
1782.4310214249701,1858.3653506790401,1775.86226919052
1915.23102735832,2038.2388009333001,1939.0748456218303
2048.6690206759004,2118.0465286111603,2068.0648569498403
2176.6809135442,2200.8993392302,2172.19422273196
2266.0999602409,2332.78706336263,2254.35957265876
2308.3680616549,2389.01315298184,2382.0175705740403
2427.2770324822604,2413.006690906,2469.06911369083
2451.17603956225,2480.4590222944003,2545.79206647073
2496.4109564443,2542.7955570199,2627.33187649093
2528.04797881804,2484.698829802,2643.4313307472003
2526.21996591517,2524.2201544924,2644.894700875
2519.42204345335,2456.5525333972,2624.5131643444
2496.0640267465005,2486.65438352653,2624.6993766101505
2466.3500480185003,2423.51764428865,2581.3280820817004
2423.9519729425,2379.37375631935,2492.82380001613
2327.459026375,2349.8788165384003,2436.3168006541
2265.67996201645,2206.7863129543002,2367.0340068592004
2114.15801658334,2120.3806556212003,2171.7537453241002
1933.4850283483001,1965.0702278901401,2012.3915386498002
