True,Baseline,Proposed
1559.75699432476,1539.4960000340202,1550.70722817892
1494.58698377779,1490.53417171057,1494.39813871222
1469.15600380507,1450.16621858185,1463.38015756198
1461.0849893239601,1444.79099115694,1447.69290311044
1480.89000934714,1475.42500011571,1470.1750473050201
1559.74999574296,1567.24477699258,1545.87399092455
1674.7409938457802,1755.28173965074,1679.36344048165
1802.2479557005001,1845.1639591562803,1770.4774437105702
1843.43002718875,1880.4090003972701,1840.5674405996501
1916.478974473,1956.19087721113,1887.6217388003502
1984.6840199972803,1999.1998284985302,1950.4860332467301
2010.0669763682201,2034.40901033944,1976.5002283694503
2038.3329818483803,2077.5181746529,2003.2618886917
2097.79994806627,2119.1855644624,2029.51868465353
2113.5470403922,2091.31131293014,2024.0601741052
2147.6970202042603,2077.386368029,2019.8410624037801
2154.3299427685,2074.10376655216,2022.0936559358502
2190.7680589102,2086.36214916724,2025.4091340838602
2166.90597768085,2050.1833804711,1993.8016890498702
2084.85495458674,2026.59652680268,1964.5333366863401
2038.4929827589601,1985.3100931291601,1946.9741282362002
1990.88498009485,1960.7759314242403,1895.3000995159
1835.7230056144,1817.54182320172,1781.0690807434003
1703.4270142136802,1751.22949413538,1653.03910820545
1619.34900187081,1632.17118690304,1613.9174025358302
1552.71598778842,1570.67811459076,1557.1998625046501
1498.6770049715801,1516.8337590011201,1523.76775388908
1473.74699014942,1505.70701373652,1508.06881847125
1473.15099425599,1498.75005683494,1527.96910252336
1543.64999159812,1615.0616040069701,1611.56531249917
1644.8830109656,1749.0742308802,1731.6427632112
1768.323996754,1841.93261395948,1826.5286687645203
1868.00902980706,1906.85662435618,1907.20415393242
1960.22301013546,2011.4322330445002,1973.57795387557
2057.8070022790002,2052.3834346498,2046.3791513641002
2103.35000672986,2099.75041948735,2099.0113192594004
2155.2540888319,2131.6627027486,2140.3404442819
2172.9480033184,2152.74133135306,2163.2511349687
2170.5309931039,2150.0382124492603,2160.7223140783
2185.7660725180003,2166.6281173201,2163.2303058562
2188.3700448463,2172.8750181082005,2167.34288914465
2178.8949648865,2152.6297872898003,2162.70997796266
2143.4619783976,2075.31787052485,2131.528729897
2095.9429410388,2031.6785803033301,2079.2449913956
2025.6100267081001,1996.77828586915,2049.96102552934
1962.5770164504702,1925.2524965972202,1984.0027247223402
1855.3769895770201,1837.5753469206702,1859.33835350872
1724.24299604116,1700.62764814684,1728.5477237266
1631.9869908953801,1524.45863055577,1616.8348113490301
1550.41400426479,1514.28462556021,1555.962030007
1508.94199153054,1450.60216357483,1512.9080378467302
1473.66100757302,1463.22505565866,1483.8219818758
1470.1609834882602,1453.8051145254701,1478.9270071319802
1481.1980135995,1468.98418862188,1504.30574769055
1499.5959854150801,1500.7610326620102,1541.8895483362
1585.19500620586,1548.88268124037,1618.6564922017
1713.47997707068,1675.71582963736,1715.98906862572
1827.5190014158002,1779.7108559755002,1806.0222242120801
1912.9039822465302,1902.3816645001002,1887.27897492505
1995.01802590342,2002.3291277073702,1945.8254443400501
2028.1410138262002,2118.1374435214,1985.3885105719
2053.3560208972303,2162.5848199914703,2004.5742394222302
2050.4459939215003,2173.1332991032,2009.7936984122202
2054.5679919688,2215.1219571439,2035.0167871789001
2022.3229927961202,2268.7907483101,2052.50512665667
2019.5969785318603,2259.35144443393,2065.0806949969
