True,Baseline,Proposed
1559.75699432476,1569.64194122869,1550.70722817892
1494.58698377779,1496.45103937693,1494.39813871222
1469.15600380507,1480.31270966509,1463.38015756198
1461.0849893239601,1466.25549156793,1447.69290311044
1480.89000934714,1482.89980208062,1470.1750473050201
1559.74999574296,1584.15759976033,1545.87399092455
1674.7409938457802,1754.26856162887,1679.36344048165
1802.2479557005001,1853.7856120554402,1770.4774437105702
1843.43002718875,1885.9342640853401,1840.5674405996501
1916.478974473,1947.6211137970301,1887.6217388003502
1984.6840199972803,2010.6860509183002,1950.4860332467301
2010.0669763682201,2022.71331370108,1976.5002283694503
2038.3329818483803,2099.0283158152,2003.2618886917
2097.79994806627,2086.1972492494,2029.51868465353
2113.5470403922,2062.00290201745,2024.0601741052
2147.6970202042603,2051.5224424555,2019.8410624037801
2154.3299427685,2050.43176347184,2022.0936559358502
2190.7680589102,2038.05647121412,2025.4091340838602
2166.90597768085,1981.68462779728,1993.8016890498702
2084.85495458674,1973.0731061784402,1964.5333366863401
2038.4929827589601,1973.22924120574,1946.9741282362002
1990.88498009485,1901.1898226828503,1895.3000995159
1835.7230056144,1776.1905693301,1781.0690807434003
1703.4270142136802,1657.77866444344,1653.03910820545
1619.34900187081,1628.14575262129,1613.9174025358302
1552.71598778842,1533.87875498515,1557.1998625046501
1498.6770049715801,1524.33287270614,1523.76775388908
1473.74699014942,1494.1148627822201,1508.06881847125
1473.15099425599,1527.92942722987,1527.96910252336
1543.64999159812,1625.26976874703,1611.56531249917
1644.8830109656,1773.63372078592,1731.6427632112
1768.323996754,1864.6436451055001,1826.5286687645203
1868.00902980706,1932.33681102427,1907.20415393242
1960.22301013546,2014.1563476937001,1973.57795387557
2057.8070022790002,2089.2859566838,2046.3791513641002
2103.35000672986,2130.9593452777,2099.0113192594004
2155.2540888319,2214.2774116168302,2140.3404442819
2172.9480033184,2238.6648530533002,2163.2511349687
2170.5309931039,2226.7217732116,2160.7223140783
2185.7660725180003,2206.54427866705,2163.2303058562
2188.3700448463,2222.6634289321,2167.34288914465
2178.8949648865,2171.9147127055003,2162.70997796266
