True,Baseline,Proposed
2373.3350132164996,2349.041880514466,2223.915899720966
2172.2909818770304,2191.5999768805577,2058.7587813564287
2073.6829858786414,2092.1210270203846,1965.3871575483859
2002.064986806623,2023.83645431492,1899.8523543031383
1992.0649909255699,1987.7679982125799,1921.6600171494738
2079.193003887554,2044.378413204338,1998.119298454376
2221.7730110928997,2153.1235395335316,2184.1247615979246
2407.2399623761476,2303.5033871894266,2363.818528142171
2591.2819842013414,2366.9419762331236,2495.8647290350473
2737.4439137794607,2513.2131149062952,2595.9107391911566
2823.54610894508,2565.8048844325144,2679.042877463645
2816.7850010593966,2610.7884958617396,2733.559400646434
2804.2539371268376,2717.6165154367654,2823.4966023324887
2937.3699679876845,2783.670628320725,2908.6562459723477
3070.8060358750067,2900.015586119852,3019.63307828492
3199.47802692185,2961.522850835285,3152.489341038968
3423.7340322510827,3037.520825672291,3245.856603280455
3669.2028847071797,3103.2478777083093,3286.1194703161486
3598.198960219943,3074.4432425199648,3267.7212497106198
3335.230936305965,2985.66270562694,3116.172558861572
3145.228918748262,2831.740302984713,2958.0449263351848
2949.450034609661,2724.34142798441,2766.282818419313
2704.181021203016,2513.442352047206,2557.477407716192
2450.095978982111,2317.856453067755,2309.29135593974
2224.7520176940275,2176.3964621676287,2188.12703702795
2071.8890225750147,2020.9269495600724,2013.9920020931058
2011.310035167524,1933.261076140585,1916.9110981688682
1940.2359857530698,1891.3083286395213,1849.2043707239136
1937.680980064858,1887.6363993932837,1872.0651536403768
2017.344970543577,1962.7441048594742,1925.391337337704
2159.441976735692,2150.576271377676,2043.4624275839615
2338.2850112267297,2331.966347449684,2196.923637045735
2469.2019628877824,2486.4700279619433,2326.834143063176
2581.0380238117878,2643.0716786311204,2468.412179478908
2728.478005678112,2737.7570969156345,2594.836264438023
2938.7510552052977,2899.8761859212404,2729.71011990818
3098.783049648515,3049.1294466002223,2886.403080256415
3321.8529354495377,3182.531924760695,3041.3241117086864
3476.9849081206758,3349.1043431506305,3205.39276432088
3568.829983634294,3523.1531663413516,3393.453884761385
3718.456016644467,3662.644787919353,3521.7502146472398
3837.06202187471,3761.5264863800294,3555.674875821969
3736.535049879344,3702.242714308358,3520.967568347274
3604.879973883425,3513.040506098235,3339.4697559169745
3467.1349048141547,3311.1015039590657,3145.9330568502287
3296.337941031027,3085.664137174229,2942.595238008617
3002.2160968669355,2801.919762651266,2720.355465946176
2688.1570788278814,2482.9709187100025,2455.7736057629418
2425.8359828571547,2438.5385639784154,2271.10102603001
2199.748006287168,2279.0596954756456,2098.507493332067
2063.048976822839,2155.12413913319,1995.7100710478162
1985.563991009015,2081.3267162327375,1914.5912488904637
1974.840994666736,2065.8315429978047,1930.4685689924959
2017.5070282307884,2097.561543183017,1973.065213997711
2129.9069774023264,2229.087358206473,2091.809939701907
2272.9459686829864,2407.9740650067874,2234.4005959268943
2399.157979548806,2552.041706269887,2363.584136422604
2532.8150145936997,2736.2781293472694,2508.840842687432
2708.580029258427,2875.2921310655825,2637.5981958225752
2921.4810076008844,3051.283494041424,2792.749484002745
3202.839038780774,3232.200934901235,2963.035124911892
3365.7318810220695,3375.2947573043075,3140.7919027557245
3569.2020762408274,3533.9245364217913,3356.2157358100694
3731.3390646624275,3691.433392934513,3544.8891748799897
3934.5559491586373,3819.4188054330543,3693.013979339249
4034.42800644602,3911.6870661899984,3753.333538502269
3966.6319858384923,3851.181602333015,3701.0932999116803
3803.914965708733,3681.073709421935,3498.474289895903
3593.219014156827,3511.5229075118077,3283.0170370458723
3379.2800962616047,3293.746207553795,3061.9942553398596
3051.539070512832,3016.5692193889845,2798.7466380165574
2739.3759744761046,2694.554534021534,2531.4144419358904
2447.105983499012,2469.6665546915256,2278.0846870974665
2260.3090376349437,2292.415378705802,2094.8293332764642
2133.598958525975,2165.1410714869717,1994.611805931653
2018.7189772960023,2093.2851121409312,1913.0156754550803
2035.42802548268,2065.682739941424,1923.056964609107
2085.860989495091,2110.5357309488704,1968.6643933432113
2159.979978802499,2233.1080994897075,2084.799259579295
2313.517997150627,2403.275411664641,2221.5851238686837
2486.051940653552,2549.4430056149104,2358.5942777082255
2701.3200034737724,2733.4370502079937,2509.48272933947
2936.4940861221303,2883.257541114077,2661.890705443673
3217.373024705573,3099.0521073256396,2830.907243772612
3453.104028423719,3306.759536131205,3054.017516547065
3630.4740429371486,3460.6916814935303,3279.0794487457997
3811.725058672874,3616.599956367825,3549.211770555098
4011.0280319445983,3835.255823527239,3774.694225742249
4110.800169707255,3969.027392177006,3949.6887158634127
4138.587880163509,4018.9580396671545,4031.150883938638
4041.0430301739543,3945.918962910144,3965.348835615353
3817.90891039275,3767.9348171682104,3719.5482208824305
3594.055018842446,3560.20490080521,3477.2146550550797
3370.632016081592,3345.846989302052,3227.781081956312
3080.391966151895,3029.831780340995,2935.177855965635
2767.2909633745694,2711.081982437082,2638.3227823080033
2475.838058080115,2512.7365712773158,2420.9477429791477
2271.3020545976133,2330.659180288628,2240.5739685582935
2133.361961195219,2218.3337176108625,2133.6349272891275
2038.9649727405829,2129.605179654174,2036.4809189779219
1989.5159668143483,2092.767105307814,2047.1141916653448
1976.1019405510474,2134.4328107501765,2083.3191024927783
1983.1440012953703,2227.705024826987,2187.620189007968
2069.2360005911196,2378.0820402968075,2321.100892147832
2256.046031154854,2506.838487132407,2470.6576498866107
2431.4070061541224,2700.370258195382,2621.55459807608
2684.5519325292917,2858.5415063873243,2776.999357377341
2933.235995905172,3040.648352111192,2933.602990576771
3077.743022515947,3246.1695598417427,3118.3021362150857
3291.926074850835,3393.2986809644744,3282.730929608576
3441.6749680929424,3543.683230049255,3478.4621763773957
3594.5030140357894,3708.1267508103347,3642.661052905317
3687.353005812539,3793.893501857231,3771.934996780541
3727.309033808867,3853.3708821689897,3815.58572479915
3600.33697748796,3773.06141382629,3727.904246034389
3402.5689924251647,3594.132394166015,3526.5938192727053
3275.600957808485,3408.8426810873407,3344.926245609069
3156.116918251271,3234.7962369329225,3124.8119725521947
2976.0191120415648,2946.9658109158354,2865.527773065969
2776.0200440763274,2668.100783206604,2597.835889353777
2558.4430132366024,2483.543869952975,2451.542319766892
2391.6380157261874,2309.5884522590077,2276.188255301646
2284.435977658097,2201.3311983030935,2173.1250040323966
2190.6390161453105,2132.9255213210613,2076.9283312582625
2151.3949997282375,2086.84919586038,2106.6514443907295
2147.5280461488755,2094.947662010678,2147.1518185506725
2146.3099795617395,2157.5646338740175,2263.2209214260943
2222.211999934524,2293.261296042683,2468.745131273885
2416.7410403582285,2443.6704851463155,2692.8284298962644
2687.7230746337477,2714.962813728212,2914.8995169560776
2947.59699190451,2936.8084021327336,3163.9317126442966
3231.86010962897,3189.26629680983,3422.365123433592
3580.16915037905,3456.5123377900954,3662.706869438117
3937.561011871655,3645.7080886159665,3870.8862537312198
4049.525993905794,3853.0166323347285,4055.83253592644
4293.53678032676,3992.1870840118245,4210.993453539264
4392.836056302334,4117.5781574219445,4301.392358199266
4415.28906106772,4214.632642714475,4348.67038021157
4347.315122530961,4155.020790207875,4295.780721353983
4161.84805796027,3955.39075608821,4118.071864098539
3986.0159204855645,3736.7514855391955,3897.7368504589786
3797.9291404392197,3513.0555733281544,3631.503259356805
3559.488980809172,3235.0712422008046,3327.1468576609277
3248.472013833275,2910.1088175664936,3005.4544184250904
2952.961945342661,2895.4677750080596,2703.771260521685
2720.1390302863247,2717.5456541411686,2512.314632195862
2579.740032933615,2554.99709243915,2378.6811042953914
2463.3209851467664,2425.5318060726995,2269.6719049365647
2422.8189683189003,2382.16237077506,2300.475893562695
2423.226010101599,2387.380163824754,2364.6881791983606
2522.5720171474113,2436.713333340521,2547.750207997883
2690.77096000022,2639.692597425038,2796.4035704767102
2927.755036125389,2829.72367321187,3013.7848972586526
3323.007957574644,3101.6435575842647,3262.1494334015506
3584.3281023427444,3379.2240189773192,3508.027310170599
3696.4629588976622,3675.46881317951,3779.029622898416
4016.9509826832455,3934.246674439247,4036.34635936206
4312.723991329062,4088.102124202661,4271.184204879594
4530.844915182631,4264.06165340702,4501.820502354866
4688.071855893446,4391.717626021317,4652.842066731635
4901.266701863045,4465.073624400121,4750.08064411904
5071.393003983612,4530.961771180085,4834.7807938900905
5065.69492881932,4450.7446321034295,4734.25212258308
4870.894904831959,4264.33241039579,4487.89498328642
4533.311919185119,4077.2534920860953,4202.854147265764
4253.536966733713,3820.5283992935174,3882.705702590574
3921.922926527378,3475.039196287151,3505.348628580864
3578.5900367110726,3145.0807954165402,3151.5732987748697
3250.908940019648,3124.543934462057,2968.4681641032857
2984.640966178523,2912.4586257091996,2739.5250607510925
2760.5709221869747,2710.7414970271457,2590.53536330825
2611.92403254665,2594.782962696092,2452.4818691754126
2526.226953277199,2522.761377108386,2467.4256157815425
2507.594001089774,2571.954636632048,2536.4740857151564
2501.712003761771,2706.320511207792,2721.68183532882
2603.033970388389,2946.3568909097103,2983.921137765701
2769.5520674494064,3197.4566390764007,3212.6090045088154
3024.2209931515335,3490.435469584344,3488.6128445576387
