True,Baseline,Proposed
1469.94499513728,1455.04561997544,1463.51891658832
1406.4630204842401,1405.5525541664001,1410.0392019232
1367.57901403624,1358.98275811144,1373.33059466432
1356.33698456072,1326.72570555712,1348.32777146352
1352.8529866286399,1345.49031213712,1365.61515995992
1411.68000255904,1424.92256215376,1433.55847507784
1512.25798545304,1536.00346180264,1533.9568399300001
1611.6359997669601,1634.64156162144,1627.30912841864
1669.26000448592,1708.54977049576,1718.8896392147199
1726.46102177088,1761.5984799820799,1783.0473041711998
1795.32199861864,1815.05695790264,1854.04706584016
1872.5769991973598,1854.86314891088,1920.6771154764801
1935.6309907446398,1900.64040117152,1974.2958043848
2023.06700590368,1941.69302256304,2023.1705376032
2069.6329575528002,1940.83870101712,2065.73376379
2107.6070527576,1949.55359900664,2097.8063876556
2170.3489895656,1958.3795530408,2126.16369137248
2197.13997544,1963.0289610170398,2145.9274528628
2183.22604278904,1937.01302380664,2119.91930725568
2112.890952164,1883.752029108,2055.83717356688
2063.920006008,1830.36240100112,2003.25433617008
1975.8010023419201,1767.8946299486402,1909.3029782366398
1816.497027102,1626.5394865928001,1777.2325067091201
1657.80597761456,1512.90431847552,1638.3665647388798
1546.20698774336,1536.3952622652,1525.17849896496
1446.71701281872,1473.03242307656,1463.8237553572799
1402.23600375072,1422.12607555912,1423.41685023864
1370.84799249944,1386.7409718252,1396.14827403232
1383.71698686144,1406.0101823696,1404.047273976
1428.13101692288,1488.45291053376,1488.4901622096
1505.9460261384,1625.00805621936,1590.31496609496
1624.65502874832,1737.50904238056,1699.64088419872
1717.70200562664,1797.76206561944,1792.5389366069599
1793.91202679976,1866.131493036,1864.8361132928
1894.78697462616,1935.02908425168,1948.72849083344
1999.2579837869598,2005.6318236448,2029.9032846116002
2098.1699615448,2071.372910966,2094.2653198272
2136.2249537387997,2126.8712265136,2152.8061639432
2148.89897299392,2144.4751103464,2195.7463269272
2151.33698416272,2145.77612306928,2225.46263838768
2151.5280531887997,2158.4140624727997,2235.06440174368
2156.5011107968,2170.1298378744,2244.0291861128
2108.2439495112,2126.4220272216,2213.2938809632
2038.53303003968,2063.2403479488,2136.0069327552
1969.1969709750401,1971.62186593568,2073.4917542168
1899.2840454512,1893.9608796536,1960.748591046
1758.7879726132,1740.9120816484801,1827.4312779688
1614.0899847504,1607.4369629069602,1675.75522066504
1486.25499998424,1501.05298151184,1500.34700880304
1392.68800040152,1427.91926622688,1420.37331431256
1347.87501558216,1371.1649606772,1364.345046392
1302.0080056964,1337.5091200300799,1331.90198215832
1293.7109761192,1325.93914423392,1317.25358296704
1298.6269843892,1384.8981034620801,1354.63235034128
1326.6720072252801,1461.58616725016,1393.22839640104
1392.015003238,1567.30224994512,1472.74697080336
1500.26598846392,1646.61147897488,1579.27492211344
1598.17297274856,1718.18216574856,1665.3975895576
1669.32200837904,1798.3697901169598,1749.03812767824
1746.9429881704,1864.8596114525599,1824.43276476352
1787.94997009152,1913.4072412414398,1882.8981187284799
1809.850008288,1952.3210161368002,1940.7376774326399
1816.181970848,1990.9093939432,1976.8106419954402
1847.35101543296,2009.19217517736,2012.8638294544
1856.79698784,2020.5420535996,2034.5438113936
1876.97699363536,2015.7060171944,2048.4800909384003
1848.4990331384,1985.16289122016,2021.6931139364
1812.95998870432,1945.6817889260801,1964.98892957088
1781.8590332752,1875.13722957856,1904.05813963824
1729.89898962448,1803.0944004277599,1814.39446604064
1645.66702975408,1670.7957109899198,1705.943119428
1539.9019976992,1560.1092638268801,1573.52033997064
1439.85300093712,1422.95120429064,1459.3326053284
1370.01799144608,1370.72616389512,1401.7544045464
1323.50999370104,1314.51340561088,1356.92998930112
1300.52301656784,1285.30794784408,1329.69251783296
1286.1870010489602,1283.4959580775999,1333.12563392304
1297.1800075943202,1358.70306216784,1371.97923461576
1329.83998266232,1470.357621178,1445.65307864208
1390.2319801444,1551.44245174784,1535.29475483728
1524.6880185664,1638.14348640856,1668.65168379712
1619.664989968,1711.12005389544,1775.0825998368
1702.0459814972,1790.32180402824,1878.20333854
1796.887987528,1855.0605087828799,1969.59590517464
1880.8749744572801,1918.2495068176,2047.3261524368
1960.00400981224,1969.20396080384,2117.70213356032
2016.1970115509598,1994.02722763776,2173.7770894256
2064.9719752424,2025.47705775728,2210.4613556336
2142.8779344656,2045.8707261724003,2248.4173595168
2170.001965124,2058.19013496584,2300.7681962724
2152.7340042399996,2015.75735131944,2298.9009868584
2091.43702951152,1970.79291335664,2243.6262430408
2019.5229776771998,1912.79141676584,2176.2898300876
1952.1379648555198,1826.2360172439999,2079.2101537164
1811.9820088636,1683.5442952716799,1934.95556769936
1676.9940033532798,1550.53243771304,1793.1527463672
1553.2789881484,1530.6785074312002,1612.77933017544
1446.7840123836,1469.13425722976,1551.66828489304
1412.2780029712,1420.17731128968,1502.86527965312
1376.3279977203201,1398.0732317672,1475.83711244088
1372.25800543496,1421.97100415136,1492.14345790688
1402.8300158488,1522.877447324,1567.92841525568
1480.68299628136,1676.97138920128,1681.0080153332801
1582.14597373472,1778.805403214,1806.0497000444
1687.1129934821602,1880.09441616352,1914.78333294896
1773.16899029456,1963.9620620452001,2016.6282223129601
1864.93300465496,2038.12400170496,2126.28229232056
1938.92700339864,2124.4307483464,2224.51763409224
2009.58399619824,2201.43923411,2303.6020578928
2083.0030609648,2258.4118895764,2371.7415816168
2165.8360271592,2288.1292495111998,2414.6149300608
2224.3930095564,2318.3591283636,2431.9762257176
2304.3359899168,2347.0323312256,2457.1247251739196
2315.2769222376,2363.2047392368,2479.95229309384
2225.200026408,2328.12595447088,2461.2551794784
2150.5030153536,2270.5920774268,2382.9945892352002
2058.619043196,2169.17825491656,2303.1392901096
1972.39502323424,2088.3722773992,2182.9931786984002
1859.60099877976,1919.1520170656,2022.82211519584
1717.92600908136,1769.595789812,1862.639662384
1607.4790046713601,1583.04295379464,1631.39530010184
1510.340983788,1528.47961008232,1563.8206162198398
1455.789995626,1472.49453519208,1510.96943107208
1404.39298268512,1455.6577028368001,1484.5759608732
1378.36000262744,1472.05670465104,1492.5759021680801
1386.2600099288,1550.6266564936,1571.9266178876
1398.70801101384,1710.080995286,1670.42545564672
1480.86701380368,1815.8883158051199,1797.9151839868
1617.6190259616,1888.02501424504,1907.0688644856
1752.8819990019201,1954.35785224912,2006.0622737489598
1882.5330235236001,2036.1593664124798,2112.77376974
1992.90700478096,2106.2612023388,2213.4005786440002
2055.50104503488,2180.08466981808,2289.90295968584
2097.58006111072,2221.898874174,2353.4516666455997
2142.36198230856,2237.6976347192,2386.4460433467198
2187.6958943984,2255.349316646,2398.53824158752
2246.5520003516,2242.50116842048,2408.029277832
2272.1690033624,2271.8739914703997,2407.7063066248
2266.70102475872,2247.79053634,2382.7267143256
2223.3999399087998,2184.60961772504,2308.99485472024
2116.8800269018398,2078.1093584719997,2226.1800415224
2005.0830192924,2002.06530461624,2109.1177809028
1892.50099223376,1825.45019602032,1968.27022246776
1754.77702382288,1697.66148803248,1811.31608376216
1627.79999942528,1623.1395516312,1678.15038829496
1527.26198190536,1558.7834783284,1607.98348528584
1466.2729913688,1507.0403866286401,1548.73707962744
1424.4949902143999,1464.61181743784,1521.0896958168
1440.92299981816,1473.7054407984,1535.16334605584
1503.31799441784,1552.8438713056,1607.8132212796
1638.3490079336,1708.1873684308,1710.5470112837602
1836.731039604,1820.05653574344,1845.34349548496
1997.0429687152,1930.18819608296,1982.9975244912
2131.8440168634397,2009.15584862592,2088.43058079472
2264.5389884776,2109.9049589756,2216.01526801488
2373.6540193348,2203.9071576344,2328.9652684432
2470.28803244504,2283.90525485072,2416.9129390703997
2563.71402251088,2351.16833627648,2498.36056231328
2605.7320626096002,2355.2058052996,2531.8020824744
2637.9259805632,2379.5119070356,2535.6873993711997
2681.9419604328,2362.2021099704,2539.3181014748
2710.3310473124,2380.6005728712,2549.979337852
2704.9199946968,2359.9057456264,2527.80316030128
2658.1660577696002,2258.55439985064,2442.79389035168
2523.8379948896,2150.8340043056,2346.8958239808
2399.1030608712,2073.2464934592,2220.1589207608
2222.1499940528,1884.90816734984,2072.1543327092
2022.30702648824,1747.29626234128,1902.2871020451998
1864.40101700832,1816.1205014712,1876.02483504456
1753.15297821784,1729.70128026104,1780.34004068536
1678.063981676,1671.3327765416,1713.31064568304
1627.37797823232,1614.0347856612002,1667.2874747985602
1627.3030225976,1596.5485570937599,1671.0848432024
1668.4909999679999,1648.6258037267999,1741.4018013892
1779.4500093376,1814.18725873336,1834.48099315496
1935.40197105984,1934.19462204288,1974.75421380416
2092.9430086847997,2012.13674335096,2103.15095466432
2237.6020385312,2120.50320466032,2228.4769198244
2387.3550089072,2204.438692998,2368.50475636608
2511.9799559136,2332.9594416443997,2479.9973774896002
2554.9209412304,2437.094630648,2583.66833906928
2586.99594986112,2500.8206942344,2662.9734153184
2598.1740018448,2515.05782423408,2700.5435395352
2620.14796776,2498.319877398,2713.0915157304
2658.2289662288,2471.6564558992,2714.6788236176
2683.4710882744,2490.9932005247997,2713.7406446844
2654.5989836664003,2394.44331206,2667.96078151712
2571.3430505963197,2259.5165909016,2554.3490087679997
2465.4079601184,2151.786265688,2457.17202986824
2363.2880004328,2054.328521812,2335.04183499384
2192.0210154349597,1874.2147160852,2172.57265969008
2006.81501663576,1717.16473449176,1988.5004933555201
1862.54996643384,1853.3801539393598,1859.33918857456
1751.7779966596,1768.753926608,1762.536576682
1694.3029986440001,1710.7855289124,1694.001819256
1657.97998323504,1648.08156332144,1651.37449222744
1636.6850175128002,1623.55250660504,1650.05734122336
1687.12802161408,1705.97134600136,1712.3076258085598
1781.34902247264,1845.1673517991999,1805.06142048536
1917.5549850930402,1972.14988582656,1931.9959302772
2045.2460616192002,2055.5973813224,2056.83458102
2190.7409927568,2149.9090854888,2161.84134
2324.5400900632,2268.61089268672,2271.4400053352
2432.1359638639997,2374.21487086272,2364.3669010664
2509.2220572856,2465.21401292752,2440.3052234824
2539.70005450208,2521.8588454232,2506.08370638768
2466.048968536,2547.1059014656,2533.0571679104
2393.47906517704,2549.89722792192,2544.7721209792
2414.4710218208,2534.1595050288,2527.5843375432
2417.2510206428,2544.47067433304,2519.9771423936
2360.7480199968,2444.8239422183997,2473.5104051968
2296.1870830352,2328.4032039743997,2366.6427070904
2214.33503652128,2211.4905051328,2291.88511066696
2147.2670329939997,2117.32998685168,2188.28682274848
2000.78302052288,1927.7764378888,2046.6415603808
1852.92902216528,1779.45502556768,1877.77091483712
1699.35997531424,1692.61676412096,1724.95921593656
1607.0580113944,1607.8655422040001,1626.7101206488
1541.346014096,1518.77834445752,1556.99619966256
1491.33701668824,1471.72758650616,1517.213116206
1485.55100087416,1446.92777671536,1501.4480713056
1479.6400110328,1472.74162564016,1521.3286451701601
1515.27999681808,1540.0331597808,1559.1898135232
1623.7799844158399,1639.65113080576,1637.56847019816
1772.9280262258399,1751.27222087096,1756.9389573124
1911.3530127904,1851.28659742216,1844.3209657648
2032.41799887232,1970.59452556864,1931.63065004744
2159.96506436688,2078.7701028768,1996.6338581472
2229.28804834,2147.9373370176,2053.82743332032
2297.21203863712,2190.77849113248,2107.12387056264
2318.9829705839998,2242.38316366368,2126.1105686736
2365.3960505656,2272.1558460376,2139.29940937816
2410.7109050928,2272.85926951472,2136.55838913088
2448.06995703816,2264.61129208904,2137.7858441847998
2411.8210543728,2208.72773418296,2090.7945614532
2318.24505024592,2128.14625352,2020.43521201056
2214.997960108,2029.8334891151999,1956.0342598952
2133.2970583627202,1944.50605860528,1874.9779437152001
1990.62603861864,1798.0303105787998,1764.4993000507202
1838.8059908416,1661.4329175456,1634.6532387472
1711.1599987112,1676.6089871363201,1686.8962471144
1608.4460063692,1593.35541827304,1598.98122309936
1533.26499078704,1518.07946436912,1536.19631940256
1497.33100046744,1492.69849143024,1498.05566068912
1464.3219862424799,1466.7476829776,1488.60347966944
1464.63001155104,1518.7903505164,1528.4999217024802
1469.45601549608,1602.1398445007999,1573.0946388384
1550.8879527407998,1693.532061644,1650.63252190032
1673.69500974288,1810.51451486536,1749.8895093844
1781.43497680856,1904.45049517544,1811.28142243464
1892.31399375504,2006.14800194336,1880.7249192796
1991.5800063416,2135.5254569008,1919.7694862068
2029.14203058032,2213.96093677224,1973.34609223408
2005.2420378975999,2283.1132250144,2011.93835556296
1917.3360184267199,2314.72957752592,2023.0153222872
1842.1280097703998,2354.2596086216,2023.5111889656
1824.8139982496,2360.19981183568,2010.43531622944
1828.70001412928,2392.8299773396798,2009.57620459496
1804.1050268806398,2318.8859353136,1970.9270769529599
1763.1750153096,2250.30592902528,1919.6959079795201
1742.83099523728,2129.203979084,1865.2797618384
