True,Baseline,Proposed
1469.94499513728,1444.36273568728,1463.51891658832
1406.4630204842401,1418.98200944824,1410.0392019232
1367.57901403624,1383.56415631056,1373.33059466432
1356.33698456072,1334.67110562904,1348.32777146352
1352.8529866286399,1366.65689115096,1365.61515995992
1411.68000255904,1452.92062978696,1433.55847507784
1512.25798545304,1560.4415273947202,1533.9568399300001
1611.6359997669601,1639.77953807248,1627.30912841864
1669.26000448592,1721.92727490296,1718.8896392147199
1726.46102177088,1813.612180848,1783.0473041711998
1795.32199861864,1874.9460783191998,1854.04706584016
1872.5769991973598,1944.5300296064001,1920.6771154764801
1935.6309907446398,1997.1931061261598,1974.2958043848
2023.06700590368,2044.63973508744,2023.1705376032
2069.6329575528002,2083.0905366164,2065.73376379
2107.6070527576,2100.7835407664,2097.8063876556
2170.3489895656,2129.5598436032,2126.16369137248
2197.13997544,2127.7130897176,2145.9274528628
2183.22604278904,2118.676063412,2119.91930725568
2112.890952164,2068.003916276,2055.83717356688
2063.920006008,2005.7066559296,2003.25433617008
1975.8010023419201,1933.7188614014399,1909.3029782366398
1816.497027102,1793.3803886445598,1777.2325067091201
1657.80597761456,1640.0021024448001,1638.3665647388798
1546.20698774336,1557.57592372824,1525.17849896496
1446.71701281872,1499.79845115048,1463.8237553572799
1402.23600375072,1445.4842537182399,1423.41685023864
1370.84799249944,1408.6937626708,1396.14827403232
1383.71698686144,1421.7558818908801,1404.047273976
1428.13101692288,1494.42890578296,1488.4901622096
1505.9460261384,1585.53382040416,1590.31496609496
1624.65502874832,1702.4803787988,1699.64088419872
1717.70200562664,1781.8026006868,1792.5389366069599
1793.91202679976,1886.02882193136,1864.8361132928
1894.78697462616,1966.2394099432,1948.72849083344
1999.2579837869598,2077.0597534444,2029.9032846116002
2098.1699615448,2144.9450735416,2094.2653198272
2136.2249537387997,2198.09752031064,2152.8061639432
2148.89897299392,2251.4069504112,2195.7463269272
2151.33698416272,2264.08534858848,2225.46263838768
2151.5280531887997,2290.6418873816,2235.06440174368
2156.5011107968,2285.2253868111998,2244.0291861128
2108.2439495112,2238.9198268432,2213.2938809632
2038.53303003968,2172.38726476032,2136.0069327552
1969.1969709750401,2085.7751448336,2073.4917542168
1899.2840454512,2008.01632150664,1960.748591046
1758.7879726132,1860.30049561776,1827.4312779688
1614.0899847504,1703.0969844905599,1675.75522066504
1486.25499998424,1524.34251544048,1500.34700880304
1392.68800040152,1432.9681634773601,1420.37331431256
1347.87501558216,1380.4523873204,1364.345046392
1302.0080056964,1331.81064154256,1331.90198215832
1293.7109761192,1328.29405867328,1317.25358296704
1298.6269843892,1358.02358913352,1354.63235034128
1326.6720072252801,1404.68836462688,1393.22839640104
1392.015003238,1491.1465849700799,1472.74697080336
1500.26598846392,1603.0779206424,1579.27492211344
1598.17297274856,1725.6846984910399,1665.3975895576
1669.32200837904,1816.9257091906402,1749.03812767824
1746.9429881704,1933.1830704656,1824.43276476352
1787.94997009152,2007.68810792784,1882.8981187284799
1809.850008288,2057.1990800336002,1940.7376774326399
1816.181970848,2097.5289531272,1976.8106419954402
1847.35101543296,2117.2049100328,2012.8638294544
1856.79698784,2137.0843120731197,2034.5438113936
1876.97699363536,2150.71694523152,2048.4800909384003
1848.4990331384,2119.12637285328,2021.6931139364
1812.95998870432,2076.58343772832,1964.98892957088
1781.8590332752,1981.8615539612802,1904.05813963824
1729.89898962448,1931.4400333044,1814.39446604064
1645.66702975408,1816.8026265288,1705.943119428
1539.9019976992,1668.64224752824,1573.52033997064
1439.85300093712,1434.56190611872,1459.3326053284
