True,Baseline,Proposed
1469.94499513728,1563.89277592304,1463.51891658832
1406.4630204842401,1458.94676677864,1410.0392019232
1367.57901403624,1438.49310918576,1373.33059466432
1356.33698456072,1424.9573468312,1348.32777146352
1352.8529866286399,1425.80108084232,1365.61515995992
1411.68000255904,1462.41622997848,1433.55847507784
1512.25798545304,1575.09101617696,1533.9568399300001
1611.6359997669601,1683.73875642056,1627.30912841864
1669.26000448592,1726.85829074656,1718.8896392147199
1726.46102177088,1818.431051056,1783.0473041711998
1795.32199861864,1877.95896179016,1854.04706584016
1872.5769991973598,1951.33345611896,1920.6771154764801
1935.6309907446398,1966.14654801176,1974.2958043848
2023.06700590368,2040.9460217330397,2023.1705376032
2069.6329575528002,2061.42928330672,2065.73376379
2107.6070527576,2050.89378161464,2097.8063876556
2170.3489895656,2072.52477307728,2126.16369137248
2197.13997544,2169.7725342728,2145.9274528628
2183.22604278904,2096.8610133104,2119.91930725568
2112.890952164,2090.13383760672,2055.83717356688
2063.920006008,2026.5358523539198,2003.25433617008
1975.8010023419201,1894.3552704644799,1909.3029782366398
1816.497027102,1753.75605653504,1777.2325067091201
1657.80597761456,1671.87979232016,1638.3665647388798
1546.20698774336,1687.8614602384,1525.17849896496
1446.71701281872,1592.91618976624,1463.8237553572799
1402.23600375072,1513.51372875528,1423.41685023864
1370.84799249944,1476.29001223048,1396.14827403232
1383.71698686144,1500.0130183363199,1404.047273976
1428.13101692288,1599.01522656064,1488.4901622096
1505.9460261384,1699.89901446464,1590.31496609496
1624.65502874832,1776.3255558639999,1699.64088419872
1717.70200562664,1868.1260612424,1792.5389366069599
1793.91202679976,2007.55593848856,1864.8361132928
1894.78697462616,2083.7339092408,1948.72849083344
1999.2579837869598,2191.252072592,2029.9032846116002
2098.1699615448,2237.70764662104,2094.2653198272
2136.2249537387997,2305.7503200995197,2152.8061639432
2148.89897299392,2312.7303631392,2195.7463269272
2151.33698416272,2360.3881466052,2225.46263838768
2151.5280531887997,2409.8020217656,2235.06440174368
2156.5011107968,2349.54447569632,2244.0291861128
2108.2439495112,2394.1762594832,2213.2938809632
2038.53303003968,2291.519110896,2136.0069327552
1969.1969709750401,2119.87103632032,2073.4917542168
1899.2840454512,2106.650474128,1960.748591046
1758.7879726132,1914.7219046888,1827.4312779688
1614.0899847504,1737.8101600936,1675.75522066504
1486.25499998424,1619.47182399328,1500.34700880304
1392.68800040152,1542.5748671156798,1420.37331431256
1347.87501558216,1429.9058989217601,1364.345046392
1302.0080056964,1384.7672703136,1331.90198215832
1293.7109761192,1369.80835825704,1317.25358296704
1298.6269843892,1427.69783256216,1354.63235034128
1326.6720072252801,1486.43400127648,1393.22839640104
1392.015003238,1494.17147449992,1472.74697080336
1500.26598846392,1651.0664874772,1579.27492211344
1598.17297274856,1804.86506797104,1665.3975895576
1669.32200837904,1917.33124889648,1749.03812767824
1746.9429881704,1968.2335258665598,1824.43276476352
1787.94997009152,2047.0677343544003,1882.8981187284799
1809.850008288,2153.85990119312,1940.7376774326399
1816.181970848,2185.9574828592,1976.8106419954402
1847.35101543296,2232.1892384584003,2012.8638294544
1856.79698784,2266.862489804,2034.5438113936
1876.97699363536,2120.32662924984,2048.4800909384003
1848.4990331384,2245.2194100491997,2021.6931139364
1812.95998870432,2195.533342732,1964.98892957088
1781.8590332752,2052.3861717383998,1904.05813963824
1729.89898962448,1964.60159026376,1814.39446604064
1645.66702975408,1855.1416319136,1705.943119428
1539.9019976992,1677.1638973097602,1573.52033997064
1439.85300093712,1471.77322597656,1459.3326053284
1370.01799144608,1423.2712562164,1401.7544045464
1323.50999370104,1328.07190546736,1356.92998930112
1300.52301656784,1337.81513062328,1329.69251783296
1286.1870010489602,1337.72385168248,1333.12563392304
1297.1800075943202,1322.05018851448,1371.97923461576
1329.83998266232,1450.44386618496,1445.65307864208
1390.2319801444,1491.68342438024,1535.29475483728
1524.6880185664,1588.05686078448,1668.65168379712
1619.664989968,1780.41657931072,1775.0825998368
1702.0459814972,1907.23020618096,1878.20333854
1796.887987528,2009.06744784992,1969.59590517464
1880.8749744572801,2105.2197589642396,2047.3261524368
1960.00400981224,2136.4618883768,2117.70213356032
2016.1970115509598,2209.4782567712,2173.7770894256
2064.9719752424,2330.4537936028,2210.4613556336
2142.8779344656,2376.6363120256,2248.4173595168
2170.001965124,2322.9105348283997,2300.7681962724
2152.7340042399996,2444.4765066104,2298.9009868584
2091.43702951152,2328.0263699688,2243.6262430408
2019.5229776771998,2203.73459109632,2176.2898300876
1952.1379648555198,2086.0703623087998,2079.2101537164
1811.9820088636,1977.56576964736,1934.95556769936
1676.9940033532798,1790.42480121144,1793.1527463672
1553.2789881484,1714.0761964032,1612.77933017544
1446.7840123836,1654.9356660928001,1551.66828489304
1412.2780029712,1564.2107720168,1502.86527965312
1376.3279977203201,1575.1533490032,1475.83711244088
1372.25800543496,1590.7338829816,1492.14345790688
1402.8300158488,1659.3637226376,1567.92841525568
1480.68299628136,1806.59589349016,1681.0080153332801
1582.14597373472,1875.07835055008,1806.0497000444
1687.1129934821602,1996.882408236,1914.78333294896
1773.16899029456,2114.530992142,2016.6282223129601
1864.93300465496,2234.49444288,2126.28229232056
1938.92700339864,2282.3513336752,2224.51763409224
2009.58399619824,2398.67573563168,2303.6020578928
2083.0030609648,2479.3438284967997,2371.7415816168
2165.8360271592,2517.57584838432,2414.6149300608
2224.3930095564,2585.65859002848,2431.9762257176
2304.3359899168,2587.1921584672,2457.1247251739196
2315.2769222376,2460.1475999884,2479.95229309384
2225.200026408,2463.505904352,2461.2551794784
2150.5030153536,2362.7360095408,2382.9945892352002
2058.619043196,2252.2802678448,2303.1392901096
1972.39502323424,2183.22885927888,2182.9931786984002
1859.60099877976,2051.8765309856,2022.82211519584
1717.92600908136,1857.11703976576,1862.639662384
1607.4790046713601,1686.17964575416,1631.39530010184
1510.340983788,1620.7382576219202,1563.8206162198398
1455.789995626,1533.98833527624,1510.96943107208
1404.39298268512,1514.7128133276,1484.5759608732
1378.36000262744,1525.78723082016,1492.5759021680801
1386.2600099288,1614.225772454,1571.9266178876
1398.70801101384,1723.31267952944,1670.42545564672
1480.86701380368,1804.0063880612802,1797.9151839868
1617.6190259616,1921.3895846144,1907.0688644856
1752.8819990019201,2061.9509301184,2006.0622737489598
1882.5330235236001,2192.6789227916,2112.77376974
1992.90700478096,2262.4087353592,2213.4005786440002
2055.50104503488,2363.994898266,2289.90295968584
2097.58006111072,2462.11357157168,2353.4516666455997
2142.36198230856,2470.7860166304,2386.4460433467198
2187.6958943984,2525.8588777456002,2398.53824158752
2246.5520003516,2516.8748096723198,2408.029277832
2272.1690033624,2392.2808851708,2407.7063066248
2266.70102475872,2492.7342846456,2382.7267143256
2223.3999399087998,2437.1976278312,2308.99485472024
2116.8800269018398,2260.0130743296,2226.1800415224
2005.0830192924,2174.9723501504,2109.1177809028
1892.50099223376,2030.62440880224,1968.27022246776
1754.77702382288,1830.7751709500799,1811.31608376216
1627.79999942528,1705.5656686728,1678.15038829496
1527.26198190536,1619.32442083888,1607.98348528584
1466.2729913688,1532.44430265264,1548.73707962744
1424.4949902143999,1524.41198200376,1521.0896958168
1440.92299981816,1533.0605999696,1535.16334605584
1503.31799441784,1570.79658871216,1607.8132212796
1638.3490079336,1754.2413973536,1710.5470112837602
1836.731039604,1806.6866995896,1845.34349548496
1997.0429687152,1920.72213819728,1982.9975244912
2131.8440168634397,2070.5371124664002,2088.43058079472
2264.5389884776,2200.1914468776,2216.01526801488
2373.6540193348,2257.0014860328,2328.9652684432
2470.28803244504,2359.1091107264,2416.9129390703997
2563.71402251088,2443.8598392436797,2498.36056231328
2605.7320626096002,2516.9963915768,2531.8020824744
2637.9259805632,2565.0929923832,2535.6873993711997
2681.9419604328,2589.1399770539197,2539.3181014748
2710.3310473124,2356.6392341616,2549.979337852
2704.9199946968,2502.3171343472,2527.80316030128
2658.1660577696002,2426.88586233568,2442.79389035168
2523.8379948896,2279.849180548,2346.8958239808
2399.1030608712,2188.62233453088,2220.1589207608
2222.1499940528,2046.5416469456,2072.1543327092
2022.30702648824,1837.4736677973601,1902.2871020451998
1864.40101700832,1869.98755544344,1876.02483504456
1753.15297821784,1809.9597897168,1780.34004068536
1678.063981676,1730.64566780688,1713.31064568304
1627.37797823232,1621.8086676693601,1667.2874747985602
1627.3030225976,1672.7532947786399,1671.0848432024
1668.4909999679999,1701.817578562,1741.4018013892
1779.4500093376,1863.160815796,1834.48099315496
1935.40197105984,1923.30730582064,1974.75421380416
2092.9430086847997,2069.300118352,2103.15095466432
2237.6020385312,2232.7258106104,2228.4769198244
2387.3550089072,2340.5513208456,2368.50475636608
2511.9799559136,2475.01453412128,2479.9973774896002
2554.9209412304,2559.81957772,2583.66833906928
2586.99594986112,2567.50703255088,2662.9734153184
2598.1740018448,2689.72754012504,2700.5435395352
2620.14796776,2729.0579293752,2713.0915157304
2658.2289662288,2675.1797122352,2714.6788236176
2683.4710882744,2758.7815595976,2713.7406446844
2654.5989836664003,2594.8086048608,2667.96078151712
2571.3430505963197,2474.04808749808,2554.3490087679997
2465.4079601184,2492.3618706787997,2457.17202986824
2363.2880004328,2284.3580312904,2335.04183499384
2192.0210154349597,2132.5454256252,2172.57265969008
2006.81501663576,2064.0211529424,1988.5004933555201
1862.54996643384,1934.02612605216,1859.33918857456
1751.7779966596,1855.3247448698398,1762.536576682
1694.3029986440001,1797.4200368496,1694.001819256
1657.97998323504,1730.88381538576,1651.37449222744
1636.6850175128002,1718.86077533344,1650.05734122336
1687.12802161408,1819.59818799904,1712.3076258085598
1781.34902247264,1956.49735661152,1805.06142048536
1917.5549850930402,2006.9685256112,1931.9959302772
2045.2460616192002,2245.5740410692,2056.83458102
2190.7409927568,2349.2143913104,2161.84134
2324.5400900632,2514.40139707648,2271.4400053352
2432.1359638639997,2623.78232924456,2364.3669010664
2509.2220572856,2729.4089832475197,2440.3052234824
2539.70005450208,2962.44839524048,2506.08370638768
2466.048968536,2891.4729746223998,2533.0571679104
2393.47906517704,2839.5485379819197,2544.7721209792
2414.4710218208,2839.7451577544,2527.5843375432
2417.2510206428,2643.4275925784,2519.9771423936
2360.7480199968,2792.5383210376,2473.5104051968
2296.1870830352,2707.90212292104,2366.6427070904
2214.33503652128,2499.0190658612,2291.88511066696
2147.2670329939997,2449.26090051576,2188.28682274848
2000.78302052288,2257.20392380984,2046.6415603808
1852.92902216528,2034.9835538584,1877.77091483712
1699.35997531424,1802.40205788512,1724.95921593656
1607.0580113944,1712.51966432104,1626.7101206488
1541.346014096,1631.45037584112,1556.99619966256
1491.33701668824,1597.2650556624,1517.213116206
1485.55100087416,1571.916235936,1501.4480713056
1479.6400110328,1596.7408185024,1521.3286451701601
1515.27999681808,1688.32231609784,1559.1898135232
1623.7799844158399,1812.5225898879999,1637.56847019816
1772.9280262258399,1911.8566916304,1756.9389573124
1911.3530127904,2065.09705206128,1844.3209657648
2032.41799887232,2175.4106535327996,1931.63065004744
2159.96506436688,2249.0207462088,1996.6338581472
2229.28804834,2347.10231174688,2053.82743332032
2297.21203863712,2415.7731858096,2107.12387056264
2318.9829705839998,2487.9470742504,2126.1105686736
2365.3960505656,2418.4963408768,2139.29940937816
2410.7109050928,2412.0368139412,2136.55838913088
2448.06995703816,2422.96541127,2137.7858441847998
2411.8210543728,2368.7146773716,2090.7945614532
2318.24505024592,2299.8581822376,2020.43521201056
2214.997960108,2201.7762877664,1956.0342598952
2133.2970583627202,2125.3628625752,1874.9779437152001
1990.62603861864,2002.5187594804802,1764.4993000507202
1838.8059908416,1781.3479534399999,1634.6532387472
1711.1599987112,1803.2563383144,1686.8962471144
1608.4460063692,1712.36196144832,1598.98122309936
1533.26499078704,1619.10880517872,1536.19631940256
1497.33100046744,1568.76920942704,1498.05566068912
1464.3219862424799,1568.6493133048,1488.60347966944
1464.63001155104,1578.18146618928,1528.4999217024802
1469.45601549608,1699.14413351256,1573.0946388384
1550.8879527407998,1699.7489592869601,1650.63252190032
1673.69500974288,1829.1467669812,1749.8895093844
1781.43497680856,2017.7607184868,1811.28142243464
1892.31399375504,2140.84547727544,1880.7249192796
1991.5800063416,2214.2422362648,1919.7694862068
2029.14203058032,2342.83212254136,1973.34609223408
2005.2420378975999,2375.80719498,2011.93835556296
1917.3360184267199,2367.5392554256,2023.0153222872
1842.1280097703998,2406.0366626659998,2023.5111889656
1824.8139982496,2373.9372101927997,2010.43531622944
1828.70001412928,2356.5062218312,2009.57620459496
1804.1050268806398,2256.0171536712,1970.9270769529599
1763.1750153096,2184.4316443488,1919.6959079795201
1742.83099523728,2226.5992256672,1865.2797618384
1721.1940007452,2119.2738993576,1783.80479602992
1636.4449991268,1990.9192619368,1681.465869678
1544.11700837384,1812.072876638,1562.8989456176
1453.5769952696,1558.7564441376,1449.0114857972799
1402.77899009856,1482.65028359712,1386.06561045488
1362.07598349696,1369.19880406904,1336.98206638024
1357.2520148255999,1377.77639303928,1304.5025522452
1372.88299892128,1377.41606736464,1298.0450811416
1462.48300340184,1388.07319207784,1316.98406339184
1579.2469833565601,1477.5952805256,1347.0599398691202
1694.32400924704,1547.7949534968002,1395.75684361952
1770.13902285968,1608.55247790848,1516.83252002784
1852.1869901631999,1710.98636314048,1599.3182150808
1924.02096734112,1770.40504752048,1684.16758241744
2016.4909749686399,1949.29014413584,1773.06299159664
2103.03993973632,1965.9376138056,1836.7260028156
2183.7310168032,2032.6366160471998,1899.0377567776
2256.4429164783996,2116.3955289744,1975.26190151656
2316.6600860072,2185.4860805816,2022.48066205896
2406.2579729808,2250.72182383888,2081.9965256175997
2451.6069543191998,2276.4110071112,2137.91400475168
2429.25401633312,2257.5508043432,2124.3128874978397
2349.3770076215997,2178.82339632776,2070.26113757872
2232.6489224936,2087.6567450715997,2010.5247038048
2129.2880626128,2054.3640877056,1936.30910692984
1972.41897367704,1915.6782777352,1800.9844383712
1794.9230233024,1793.34706360784,1680.79836158592
1652.39399987456,1750.4664169602402,1636.39500129256
1557.3510157074402,1687.0755156648002,1565.2382768503999
1492.6069863479202,1655.62733021088,1513.15260130616
1452.9150173656,1557.7972340430401,1476.8486023432001
1457.9290065887199,1597.83312316064,1474.3768960879202
1517.66801015264,1611.99106251168,1534.645029692
1625.5910284996,1742.90623868848,1606.38707006288
1737.0379895944,1784.7074501861598,1705.00286410448
1862.86298741416,1913.19929383464,1828.5523231584
1954.46202125656,2116.47418510672,1934.398478344
2051.7529754824,2265.11392245472,2055.30389074608
2152.09903996848,2400.2789967752,2174.7161934832
