True,Baseline,Proposed
1469.94499513728,1486.38718998184,1463.51891658832
1406.4630204842401,1437.4682152588,1410.0392019232
1367.57901403624,1389.29121086288,1373.33059466432
1356.33698456072,1370.66372827728,1348.32777146352
1352.8529866286399,1376.06363828344,1365.61515995992
1411.68000255904,1448.4140815764,1433.55847507784
1512.25798545304,1568.65659095008,1533.9568399300001
1611.6359997669601,1648.32908549424,1627.30912841864
1669.26000448592,1705.9673782455998,1718.8896392147199
1726.46102177088,1770.3974409420798,1783.0473041711998
1795.32199861864,1822.6373655612801,1854.04706584016
1872.5769991973598,1867.14884205952,1920.6771154764801
1935.6309907446398,1877.6346954087999,1974.2958043848
2023.06700590368,1923.06829479232,2023.1705376032
2069.6329575528002,1941.757842946,2065.73376379
2107.6070527576,1959.2820632888001,2097.8063876556
2170.3489895656,1954.90431295304,2126.16369137248
2197.13997544,1993.01403139488,2145.9274528628
2183.22604278904,1981.17969616184,2119.91930725568
2112.890952164,1951.47142300448,2055.83717356688
2063.920006008,1923.58650836456,2003.25433617008
1975.8010023419201,1796.63405115936,1909.3029782366398
1816.497027102,1697.38689055224,1777.2325067091201
1657.80597761456,1578.8251060718399,1638.3665647388798
1546.20698774336,1572.2012359261598,1525.17849896496
1446.71701281872,1507.98306783392,1463.8237553572799
1402.23600375072,1437.2474600186401,1423.41685023864
1370.84799249944,1455.1467669098402,1396.14827403232
1383.71698686144,1446.29505330072,1404.047273976
1428.13101692288,1506.5299029847201,1488.4901622096
1505.9460261384,1603.7678989782398,1590.31496609496
1624.65502874832,1686.56312009712,1699.64088419872
1717.70200562664,1782.4842734613599,1792.5389366069599
1793.91202679976,1872.36543352624,1864.8361132928
1894.78697462616,1977.2051561562398,1948.72849083344
1999.2579837869598,2052.4694329343997,2029.9032846116002
2098.1699615448,2121.47026803312,2094.2653198272
2136.2249537387997,2155.2521928568,2152.8061639432
2148.89897299392,2218.6267091712,2195.7463269272
2151.33698416272,2237.4668675772,2225.46263838768
2151.5280531887997,2257.5839032384,2235.06440174368
2156.5011107968,2285.49087695568,2244.0291861128
2108.2439495112,2246.6049380256,2213.2938809632
2038.53303003968,2186.5438061456,2136.0069327552
1969.1969709750401,2094.562181968,2073.4917542168
1899.2840454512,1993.537569572,1960.748591046
1758.7879726132,1863.902971148,1827.4312779688
1614.0899847504,1712.72950309328,1675.75522066504
1486.25499998424,1512.11477619592,1500.34700880304
1392.68800040152,1440.6090125968,1420.37331431256
1347.87501558216,1381.6179412728,1364.345046392
1302.0080056964,1352.5638955328,1331.90198215832
1293.7109761192,1321.75957610296,1317.25358296704
1298.6269843892,1316.75718177232,1354.63235034128
1326.6720072252801,1437.61115725776,1393.22839640104
1392.015003238,1488.0220492632,1472.74697080336
1500.26598846392,1593.7974221530399,1579.27492211344
1598.17297274856,1665.2781457184,1665.3975895576
