True,Baseline,Proposed
6240.8910106697,6333.82011995656,6127.99448398841
5970.11097231494,5931.844084226061,5859.17614419324
5877.86503249913,5934.9647113295005,5727.778242890001
5740.70405890894,5789.3856655155405,5641.447574212671
5812.30594620456,5727.054472374621,5677.77706563287
5942.93095927333,6009.78575484518,5860.19865910171
6248.65197738397,6313.75967991626,6275.862092465681
6524.1761706781,6612.976454777001,6654.87460335687
6817.27591731208,7037.181158470321,6940.79038799157
7090.05098672937,7271.133626770641,7209.965840769781
7364.93907252246,7756.1146431043,7530.072844103041
7612.938107188371,7970.271275638761,7723.95597288898
7877.513087203981,7908.4111427156,7963.4442797833
8343.3680014542,8198.66800863077,8158.44353348046
8803.94206341595,8338.502483899501,8291.187216235001
9057.60821093854,8597.8227490078,8374.8062784562
9290.3128395473,8529.923559483701,8456.4386060308
9399.929785669501,8749.4034074216,8432.943890313141
9360.1341544612,8338.11666384895,8334.9144675588
9088.36904519907,8225.211106555631,8027.832984074861
8792.91899000977,8264.4830356858,7926.48837225058
8496.100907227341,7824.915425439201,7582.4794680426
8040.133044757771,7433.796461376671,7110.833068116361
7555.38212548185,6832.851079957871,6615.2737543739
7026.1768804843,7086.84218267432,6959.913259612171
6613.513005286881,6751.992962170721,6634.4373738780505
6407.81908409907,6475.67282688458,6425.1221038466
6245.525990649,6316.02915348097,6301.703812856211
6197.36896715585,6461.650562409901,6299.0201058518805
6370.846950832541,6599.890510588651,6432.042195767541
6690.30389693886,6722.92349546576,6824.19901943703
7138.373938541121,7152.31881874686,7267.0675753492305
7656.67703223016,7764.267890794801,7706.27476873034
7974.978941031961,8103.407312789141,8131.854695138571
8297.9587068653,8621.2487439705,8635.951020873
8591.82700997676,9097.4931203926,8998.7386055699
9023.89392602654,9235.862654183,9347.729177155601
9402.77090431767,9634.323358986701,9541.24234452675
9667.467173529,9624.3360894384,9624.098209902
9910.953031348601,9773.1701202421,9656.3411658296
10062.446320426501,9778.223959096451,9681.346416603401
9989.5839652664,9782.4723848291,9615.7291085581
9814.423864905,9372.722680791801,9511.53398037557
9443.7561534668,9169.8863242448,9142.18694088205
9057.980154682802,8982.6406218813,8938.8384825553
8866.32009826805,8545.59688414806,8570.18210133305
8340.04693881546,8090.04259434162,7969.14942399796
7779.879102469101,7850.2004049271,7385.16015466944
7253.36997238997,7209.675025694571,7084.535044849681
6845.495992548951,6881.092242324081,6720.48948855504
6516.83905537236,6756.82837768532,6477.25788284487
6397.0540072024305,6426.9047319774,6341.77491444123
6116.027014138801,6423.004975972641,6351.61703342056
6159.294071347121,6609.9706559436,6443.23567608853
6127.46696409056,6787.6536009438205,6760.9155005348
6321.83701173002,7209.1605744873,7147.99822153758
6782.661948499141,7628.61473573518,7541.66638787892
7368.221956964,8186.414349141381,7970.54498394484
7981.5759866689,8430.7542238645,8472.78217831485
8232.69998019524,9095.786114460101,8851.1424293908
8338.225178032531,9133.2396601094,9207.3868584445
8378.200834124551,9354.2620540534,9394.316856485
8260.208913089651,9637.7792200294,9457.83906253934
8210.29892298814,9612.537264432962,9491.20108016256
8155.94697306202,9660.6641124664,9510.807052816961
8227.710089821201,9457.973126747202,9449.474439791651
8169.500967264121,8874.771062477099,9303.86286909046
8081.979946449861,8820.029401261101,8969.66767047274
7852.637201783,8755.37638637354,8732.020580558
7686.15104098622,8336.0884471227,8403.06658763935
7439.70798811504,7936.734666182961,7840.177306609121
7028.398924980951,7521.98112204572,7268.4057945807
6640.433920524801,6928.3553086458705,6534.45432872122
6346.9500424913,6580.87549237514,6200.30274135184
6112.55698311137,6528.88721337336,6029.377190416801
5964.81499558681,6172.0292900585,5910.698282091131
5932.91799286153,6167.32558932424,5948.194925051501
