True,Baseline,Proposed
4055.524053744304,4054.047266392813,4134.064100515065
3801.0989765213244,3825.828352909022,3892.9397972774077
3714.2399836262903,3685.925642198325,3708.020805623168
3640.4499970328343,3604.905311190517,3628.952032516688
3622.362026219574,3575.599986313622,3604.611379982888
3825.188956663358,3730.06006224244,3716.330736690947
4043.18593978415,3960.9714501735916,4000.642340828521
4341.975993757253,4273.100894866551,4271.265859934235
4588.864080092002,4500.745670349448,4540.890120576476
4703.22397375777,4691.055396680936,4742.846088920474
4794.83914899534,4784.909333373364,4905.943799948282
4936.413883579509,4846.558999037205,5013.725595264693
5127.209077430854,4989.643150095251,5105.957090894364
5341.040969898337,5068.767157241892,5186.7949679229805
5524.401971416098,5130.273658426486,5281.512802678388
5630.963975767638,5136.738193974635,5313.97723209102
5375.86694045315,5108.110074759446,5290.2624532181435
5170.83899069401,5137.1462261958,5201.648551751124
5047.101016319006,5060.91854141575,5077.598817885126
4871.30499273053,4903.46048826689,4883.611083057168
4776.7121577883,4712.2275932398,4741.621857703897
4639.9571146013695,4573.022203876568,4602.293150441012
4388.708028325918,4262.99454560099,4308.96326053547
4080.8139782716144,3993.4068161205123,3977.394999362512
3775.23693228935,3822.56194229039,3839.507221054765
3613.360021374528,3625.980024041472,3633.40856514561
3506.817998155665,3486.747589508758,3476.612311330567
3419.352009397113,3427.5015801017644,3404.556175751763
3455.564038160225,3423.7643682492144,3412.30690421075
3602.175027327114,3495.098559266547,3541.008810886898
3900.48701419987,3706.01677201986,3784.858755906629
4238.14393688641,3961.7372590397954,4080.523814550281
4520.681996850142,4200.677294820805,4359.2487074466735
4745.664908711833,4417.973996426328,4552.962021263893
4880.699085256524,4581.050851726426,4748.889944257749
5063.093053773951,4771.877867381663,4936.03444388827
5210.59000770927,4900.75731684951,5082.661848531163
5320.071948493292,5012.03473395974,5223.90067134612
5483.0200364939155,5140.651737641147,5358.04134814979
5488.617982917443,5233.954881292406,5473.005923366065
5483.77985774797,5283.620711261,5543.4516603829525
5518.951024234655,5324.338963106216,5566.307452380342
5447.42496052239,5211.139253389993,5497.635057707674
5267.468017426147,5074.793991614295,5287.61357396935
5049.059032768269,4894.205523627685,5110.734599900397
4914.308023184648,4701.583637135108,4954.279034488978
4563.529954877255,4444.593305403798,4637.775807312527
4258.117938250064,4145.558835757243,4300.627629829029
3921.817983395494,3892.773422391515,3853.90742827311
3662.826981887926,3682.671543186696,3649.041211318534
3499.2070030723353,3549.414880131766,3503.777569438252
3405.268028832084,3476.8651029333746,3412.920533541211
3385.668017759849,3509.244124777207,3427.155845957565
3491.4570146552987,3633.69583597568,3566.050619531
3753.965031896724,3892.590362923454,3816.4778555815965
4063.198961541584,4214.908301538535,4100.169977329642
4337.02699684821,4489.4818281959815,4373.306342518247
4523.879919950036,4712.391344340594,4578.0854363522285
4796.538083485213,4871.293824824724,4766.285303081415
5038.155120109153,5027.727121701072,4975.299253341724
5284.490058723802,5181.2668545490105,5148.65118747221
5444.7719101280545,5313.414531102097,5294.70923074862
5660.183993990545,5454.2272915829,5438.6855360168665
5805.337975108997,5575.840807346206,5588.716259039327
5881.646997227115,5642.6959953699225,5674.44964812689
5926.7830976901805,5665.758730007428,5682.04113301333
5804.6270639002505,5495.503938718417,5526.130911243257
5516.835917062155,5272.794099347493,5268.31597094891
5298.339943836767,5089.2786981681365,5063.050131340794
5115.09701264846,4861.257375885261,4875.108539252506
4735.630074409355,4524.883820494838,4542.435059064001
4391.376014112355,4163.424726708662,4207.28418752971
4041.2400331122662,4069.9100656124983,4008.0255375440247
3820.627001694689,3814.589403075726,3786.498150657717
3670.639941147338,3670.012991061759,3629.952838340604
3550.3199783484556,3590.474291316394,3532.516896775714
3577.816008297621,3570.641637965381,3533.468388895077
3670.04198725093,3690.590059338937,3665.268380284275
3874.3529709126333,3879.394876724796,3893.645393639416
4196.172995847774,4205.165178317833,4177.6374342072395
4516.867080592737,4525.73500329157,4474.226065205739
4801.143970035155,4768.538528992587,4719.938561263056
5094.75393218088,4959.165195108726,4955.963235416371
5385.238966273696,5142.308086080566,5207.97967791847
5590.718072516782,5355.766324639334,5419.267978923825
5793.540966368106,5534.039605020513,5602.262256016595
5967.92001145004,5680.3370182298,5772.359216540421
6033.779910326203,5827.083771456427,5934.687149386105
6018.866988588897,5885.221265297364,6017.836379257318
6001.908927281732,5907.94095685231,5999.683150199288
5802.945015822168,5754.197106978978,5809.545651812759
5509.359878720072,5500.296719499257,5505.9609333156695
5276.970896118937,5269.105797540251,5284.924126966334
5027.263922716287,5046.612857737509,5068.1944993249
4700.01286445584,4708.9313791135055,4718.954305468226
4353.35501334891,4337.548928253288,4360.337847368923
4074.923984383605,4078.0789177737997,4086.9237646190704
3836.670976639287,3831.1774434073914,3854.589208739604
3680.5820683763177,3686.57586996709,3683.51680564782
3577.172037247169,3592.9835044660713,3576.6609373651922
3536.833023263569,3581.671626862331,3538.209299462806
3545.548968256283,3657.4276358134302,3587.662131902594
3590.9679665742524,3786.521697447067,3675.639933674458
3813.095998418608,4052.50306794724,3879.4090720749473
4088.371017569062,4318.81523719951,4164.977603828024
4374.93800046712,4580.0108236791075,4446.519903708415
4543.689901106733,4787.867482881133,4699.763672147976
4804.3769442129105,4941.48855306714,4916.031917271232
5029.136027022694,5128.66736373357,5099.917204873007
5222.891926890366,5284.1118300103,5266.19406884577
5472.805977486214,5440.764112027604,5401.511681457694
5551.7659644258965,5559.4074357823,5521.397333818497
5629.7010605399855,5562.504982283022,5561.386173406192
5437.071908180982,5605.428626418759,5539.415538858741
5257.233910009226,5463.927694200067,5418.361696640013
5033.493057647477,5262.889176045686,5202.8375300602165
4907.07794787646,5071.915228424905,5055.476272908096
4802.870084247592,4872.70367201792,4878.4087226947195
4581.215006486466,4584.099017246054,4606.236968550973
4364.540007396324,4267.968703936366,4295.358060202122
4162.777055448455,4116.391831448644,4181.689365718588
3968.580023301446,3915.185256494845,3976.113112150298
3857.227996507247,3765.748585329415,3813.618400759473
3747.508031321167,3682.612878042944,3754.340098612799
3726.729940739481,3619.88934423166,3736.831647923713
3698.273040321137,3613.574902646482,3818.5276372327844
3779.651955292475,3558.755285978042,3976.283725458274
3923.5079701054137,3718.949139666667,4207.312510953471
4226.697977136457,4014.106529531933,4519.026455729214
4622.306037645364,4406.2856392991525,4863.1078171454665
4980.334969712114,4705.8819353395975,5203.103003291003
5361.8200023515965,4973.055647975914,5455.42548677811
5634.594016090376,5262.844504422462,5714.288461028154
5877.215962407234,5466.075834154197,5921.779606782928
6055.3909517620095,5669.56402571947,6066.825474499993
6080.995999607364,5822.096965131343,6168.9439978715645
6152.017825644834,5920.829662024008,6239.391214972355
6268.53312513116,6080.00205599063,6264.67952486268
6268.9502396853595,6017.3453950611,6208.49688547358
6079.10996905697,5868.00560211471,6046.462143793571
5900.9779694118915,5658.051462193927,5870.3012795232535
5741.798040472678,5459.130405890979,5691.412418791924
5408.579889408235,5159.62937343259,5363.278019548148
5097.722980488292,4857.932300122878,4999.052648949134
4773.556013420367,4722.852039147601,4776.837023048396
4515.6980161397805,4478.052889410902,4524.49711493717
4338.760982415944,4318.682904243363,4340.127436240195
4227.08905566929,4214.765204335828,4244.55539124371
4143.726962822354,4203.395267077205,4230.426375762136
4247.948012653258,4338.6143868331055,4369.206241003543
4435.029070505615,4553.058428547146,4650.98104860963
4835.981983090807,4921.441825762666,5007.220559238862
5189.974053591393,5312.618380515902,5358.513965850315
5348.037999268499,5637.14009678452,5673.883986970162
5647.1950467727565,5861.017184141794,5951.567439011875
5966.7399809209,6117.818872452141,6274.756877939069
6215.273920554674,6409.33014290137,6525.45752585229
6457.386112520375,6630.538100771009,6720.396416416906
6607.32500306437,6793.290481313865,6901.469477328339
6807.18813277094,6889.137014597629,7041.74712020203
6919.11005914395,6956.19894343184,7136.609734073671
6966.78087056573,7014.1684477499,7097.04574584239
6823.97632081208,6800.94486976614,6885.371210215155
6424.48216546539,6458.25835287444,6551.870968614299
6179.63121279212,6175.214844258175,6286.5565104650605
5925.539961765582,5896.654980716855,6033.09012395133
5468.493954867359,5456.156311842993,5576.080782767953
5059.5010246968795,5021.56849258485,5149.875351412245
4682.140985892272,4652.544420869388,4822.711550825476
4453.795054299073,4415.792554584403,4541.864150337074
4282.961953863626,4216.255850654765,4352.012375420173
4170.214947991792,4128.854676115812,4228.655320820311
4121.027992442036,4092.017002432016,4203.5025731601
4116.5880098422,4187.737324924865,4340.224381735776
4188.031996174445,4409.753274051915,4602.195128520775
4347.21602898266,4717.846193561415,4967.568169632708
4567.432061531796,5068.95539700361,5329.8232121754545
4909.052918014057,5369.52747199472,5636.459056359978
5292.696114812277,5620.575065029877,5918.5493236668135
5660.58597132302,5836.82561642285,6222.587687879866
5958.687988111315,6089.17184852893,6445.513754053563
6250.24803405277,6312.861907102224,6644.817277492097
6432.982892803444,6419.96790956429,6836.89139838785
6463.65594975887,6502.069912798295,6955.8840892199605
6479.670053919264,6540.83559759407,6998.67533312301
6454.0481869386595,6595.39081745638,6921.539415039459
6261.30964292399,6431.2131833924395,6711.655848210186
6041.280033669965,6151.1194147163205,6356.47029187226
5797.102048236318,5857.093750823756,6089.140497660824
5632.811995072367,5641.039310547798,5849.44534998363
5380.263933343287,5249.942074836399,5440.315041116428
5087.067991030875,4890.6943609528935,5020.215157686094
4744.692089928973,4784.38235622771,4876.691488985694
4490.782014627348,4553.916002615273,4616.168937022262
4314.114019790971,4380.96732407154,4417.397772852663
4195.448965713531,4292.372461865624,4308.614229840762
4161.545962024697,4254.289499407918,4282.116355019797
4297.014004982296,4323.379210464409,4383.892238968056
4563.537960785634,4424.486029212423,4595.635800326357
5022.1620062295515,4701.6010617592265,4958.176162679485
5465.646946205323,5067.283911342465,5366.202328955795
5858.276943350323,5457.11883731508,5765.265712610462
6266.9638998123355,5842.061076843469,6160.5807837833145
6612.248098505127,6092.477615924046,6508.801468937674
6932.914936250985,6407.31521049842,6789.87249664836
7129.020940248869,6668.1382867705,7027.976285024741
7315.200021516041,6880.649809844315,7216.622800709625
7385.478845434705,6981.584400647371,7291.989816700663
7400.35732158302,7031.713967813077,7313.4333395493795
7407.79608872139,7067.72662927459,7231.493472779184
7199.535837549904,6856.375761086105,7010.5700274014325
6936.65107167888,6553.69954499868,6696.937355676369
6605.952830734134,6312.6237481470835,6388.345647891896
6422.647937851565,6057.01904405421,6166.538794254274
5950.254940973506,5645.951507188913,5754.497698564166
5580.479928507402,5290.302348206956,5353.939362891939
5159.260899817533,5098.030501557203,5190.456291837282
4862.545990751576,4815.280587765862,4887.368276042394
4651.9679954661,4622.18601629622,4671.673697984246
4526.208966522915,4500.5684639404535,4547.460482123618
4490.461038250237,4486.70182696878,4494.763373047187
4579.93903960986,4595.570205698882,4603.364260250273
4826.242963739107,4891.0019492983465,4846.964003814025
5247.439925723527,5290.4013792753085,5227.471508312777
5708.3149769527645,5710.994063368467,5668.83205695339
6203.74379785193,6183.30787575777,6072.9908985468555
6581.79624681651,6477.791760171085,6431.3362994624695
6945.525116542944,6774.578520582831,6774.267030198
7115.206846255716,7079.3190500543005,7029.389765151151
7365.637917069149,7354.492885287091,7239.540823507441
7465.07062637092,7422.63729366599,7411.859793627413
7627.51790780034,7490.71038891143,7512.74614715057
7711.057879821679,7578.634773109739,7540.462332852505
7704.577130627149,7613.649521638601,7427.1387670243
7577.505872751759,7430.585344219729,7177.132816673446
7189.150021533031,7119.8047268972805,6805.47258097544
6886.512825839383,6790.276828659769,6500.27995314845
6613.380900902484,6462.73291561635,6269.735626024994
6080.329961851464,5970.991185546691,5838.854340516705
5666.830983517886,5484.929412004037,5416.25102971922
5248.581945007003,5272.785689779868,5338.11807329805
4985.601915553922,4997.209271725735,5023.840017715174
4803.72099793816,4772.134863768283,4809.466750922265
4693.52202378016,4663.786061764324,4674.534229231025
4735.933020673478,4645.932347866826,4614.1741875816115
4797.464010518996,4762.720184620743,4731.421388557477
4999.487928169404,4986.864225292705,4975.1174048514
5276.800080981338,5389.301863861227,5341.87883193995
5585.5860834162195,5790.689652007444,5763.203350246107
5916.110078119776,6207.21392183671,6146.01648908147
6254.0908700746895,6512.8384650569205,6459.456077133863
6628.055865514274,6796.66608175854,6733.704658098281
6886.257847748993,6965.498579694269,6925.53362327863
7143.180970215844,7119.296789012729,7090.051676640031
7179.762253001891,7176.76441033493,7222.069980404773
6930.048955604385,7121.13882070531,7275.958960681561
6557.91711135397,7079.02236050849,7249.866830679366
6525.288930840545,7003.713336895795,7126.567162968977
6544.44296572249,6835.180555950219,6946.6638392759105
6360.898030141634,6611.88567977876,6643.406084768079
6130.6189071428,6376.82211829017,6389.10681467677
5956.261928766315,6157.17564893714,6206.407948875531
5578.329972086665,5747.678682921487,5834.9066876439065
5309.391932162624,5367.241280578458,5414.178508597174
5004.257027607811,4899.809054004115,5028.47779334555
4706.93696605556,4619.24401315829,4760.170067334138
4542.890924905816,4470.521953411362,4561.156774893479
4402.634070483295,4342.861353036812,4449.98430918721
4336.379998353413,4344.359736157964,4384.447203154765
4322.005019837943,4437.581071535367,4439.199476005664
4422.42514693197,4572.32804452653,4533.781008489006
4671.85090439324,4847.077835721397,4772.77109801652
5066.32690254674,5123.908893988641,5113.020656763578
5504.530095841682,5458.634106848023,5519.50370101897
5918.910060479655,5706.632390662355,5863.822750454576
6215.856939058979,5952.081297232033,6040.525729092273
6400.70999970304,6099.500546762496,6191.485810252107
6562.541700782311,6182.82684848962,6308.39649396989
6494.8541001168,6218.01247943262,6352.90598073008
6385.74904251546,6225.105176044086,6303.03320812137
6294.745141929416,6147.06398482484,6182.7636085410795
6032.26598632408,6093.063325489993,6039.512006172485
5691.039908584407,5971.67673349948,5900.4019476678495
