True,Baseline,Proposed
3921.81797754536,3826.59388389386,3856.4749643337
3662.8270462394003,3722.24118264742,3642.8147908495203
3499.206988447,3545.23280068932,3511.0666725985
3405.26799373128,3551.20309644168,3408.2762847375643
3385.668020684916,3524.37613695788,3405.648720452
3491.4570234305,3642.4192632897802,3550.1298893593803
3753.9650552972603,3904.4849665248003,3787.60566585086
4063.19898494212,4219.5649935772,4111.62890975174
4337.0269090962,4462.9100925082,4391.84687677268
4523.87995505084,4780.94513924668,4615.95761263178
4796.5379694076,5019.9089558224005,4815.9832298102
5038.15505575768,5240.1381277724995,5010.574891521381
5284.4900411734,5536.86903402988,5167.5019865084
5444.7720125054,5664.616538145,5316.55070603762
5660.1838916132,5715.1277651278,5434.8925987129005
5805.3380014346,5872.3376555923805,5566.033005044001
5881.6471493306,5906.17711220064,5643.97176626704
5926.78292218616,5846.761922768501,5661.87849992898
5804.62697614824,5635.15187024328,5488.54546465638
5516.83595216296,5449.50851499716,5251.6049754259
5298.34005791438,5237.2844324073,5064.90280442712
5115.09695414712,4971.89011992896,4877.4327448395
4735.629884280001,4577.73453361464,4529.6864470512
4391.37594098568,4264.006706535,4195.52053332782
4041.2399804610604,4034.26849277594,3974.7628017708203
3820.6269812192204,3880.6315131505203,3749.11225214158
3670.63995869774,3710.5487538269804,3603.05482312924
3550.3200187143802,3670.3052725316,3511.904704294
3577.81599952242,3654.2771924010804,3492.40889873364
3670.0420165016003,3686.0772337956,3625.88233850394
3874.3529738377,3913.3260400336403,3844.90568083396
4196.1729402715,4192.601725971201,4181.560768073
4516.867048417,4580.6025033068,4471.65066071492
4801.14401391116,4927.61297124058,4729.4310822936
5094.754049183561,5424.6779722422,4972.0355542602
5385.23894287316,5746.506128863601,5203.8377537958
5590.71799646504,6019.8004037942,5398.6091901248
5793.540913716901,6262.6049503436,5572.4782731758205
5967.919894447359,6461.3772933151995,5717.4172735700395
6033.7798840006,6612.597407081201,5849.1598926951
6018.8670149145,6648.17458749282,5940.674240873181
6001.908938982,6566.72919744884,5930.8494088309
5802.9447116152005,6386.4300566144,5749.2480866694
5509.3599489216795,6143.5433156823,5479.00325258764
5276.97098094588,5846.11015933956,5266.34503155364
5027.26391979122,5579.633513569881,5064.59596489882
4700.01298145852,5198.080051913001,4698.68412352042
4353.3549255969,4823.70353464732,4353.16696079148
4074.92399900894,4036.0027650002403,4107.50006067856
3836.67097371422,3871.2753353429803,3854.7804730206
3680.58196892404,3653.2518394149,3683.1443276160403
3577.17195827036,3598.85208686364,3588.2945840392003
3536.8330027881,3491.7995487762,3522.0205220014404
3545.54900043202,3545.317744635,3553.83513022962
3590.96797827452,3725.35023636172,3624.5706799598
3813.09598671834,3912.80145851786,3837.84702615224
4088.37105852,4209.0259771762,4106.69326869862
4374.93794196578,4489.45062943136,4371.8893201357005
4543.69002980968,4857.466120494821,4631.28379368498
4804.376973463581,5081.60704304536,4833.9554264716
5029.1360796739,5313.58381057952,5016.0636627442
5222.892049743181,5403.6338702174,5161.916278565201
5472.806030137421,5555.99370708928,5299.84798845422
5551.7659907515,5687.9354647757,5406.899532018881
5629.70106639012,5649.83699361276,5510.78036145688
5437.07194913192,5766.33708860082,5501.84574430538
5257.233974360701,5710.730804413401,5392.45449814876
5033.4929669704,5501.14817432722,5151.93343440358
4907.0780063778,5138.07195139996,5011.05378349062
4802.870037446521,4968.02569691258,4851.333834532001
4581.2150123366,4680.2645086107,4539.39322338936
4364.5400892982,4364.09770216512,4247.8737920032
4162.77698232178,4105.54915799224,4205.7165563724
3968.5800291515798,3864.3789048770805,3993.57127508752
3857.22799358218,3674.37146666964,3835.81422158992
3747.50796989476,3559.9696977447,3749.61489565486
3726.73004896696,3510.13837333538,3726.8155194247
3698.2730081454,3470.64470371478,3811.3468551536803
3779.65199916848,3633.9335269201,3958.06844987904
3923.5080227566204,3774.2135975994,4220.037450399041
4226.6980619634005,4065.61117069434,4556.85464485122
4622.305944043221,4362.745092682981,4862.6807544384
4980.33496386198,4661.59971458504,5166.95698802496
5361.8200374524,4800.773349420921,5436.6088525244795
5634.5939429637,4934.29376576724,5668.451300982
5877.21590683096,5171.79756440058,5881.6173136472
6055.3910980153605,5327.437278899561,6031.363544653241
6080.99614001058,5385.43574138092,6154.42327789282
6152.0181123014,5559.00956816896,6269.2237919512
6268.53312513116,5665.261807925201,6304.3283985383005
6268.95000568,5642.89428858692,6209.16842235544
6079.1100568089805,5431.4261018112,5990.176495244999
5900.9780396135,5231.063516914381,5808.240486917361
5741.797941020401,5042.3350935033595,5610.502798645
5408.58004151172,4782.864041700021,5248.38149309056
5097.7230506898995,4431.8903419866,4901.49481399222
4773.55595199396,4770.50908520408,4674.3464545549605
4515.69795763844,4576.58188171262,4443.8447983089
4338.76100581648,4383.130528120721,4275.721775374021
4227.0888509146,4281.14537610408,4179.118395629341
4143.72695697222,4248.10966940608,4185.9328657179
4247.948088705,4376.42323248704,4362.90287079696
4435.0289388776,4718.60786638288,4653.3489195968
4835.9819128891995,5002.084650548521,5034.21744756496
5189.97398923992,5486.81066592002,5370.0927119418
5348.03805776984,5820.41695582496,5695.9814465726
5647.19495609568,6200.1272742638,6010.9140502482005
5966.73986391822,6464.59638805004,6322.339908100181
6215.274090208561,6829.832187943401,6589.9296003647
6457.3860393937,7062.3954899124,6835.1724827653
6607.3249738137,7288.782805417601,6966.1274398486
6807.1880742696,7368.851483427361,7068.100540589201
6919.109912890601,7446.425196288799,7152.519963254759
6966.7808998164,7440.159117761401,7134.3613228227805
6823.9759113027,7203.6305949672005,6886.7732972056
6424.4822532174,6848.399928246001,6603.00810143376
6179.6307447814,6558.917747523999,6354.0024713457005
5925.5401197192,6262.609045437401,6111.0414337118
