True,Baseline,Proposed
3921.81797754536,3910.5373396571804,3856.4749643337
3662.8270462394003,3623.98648557856,3642.8147908495203
3499.206988447,3614.92813809296,3511.0666725985
3405.26799373128,3464.13642963978,3408.2762847375643
3385.668020684916,3468.41123955626,3405.648720452
3491.4570234305,3656.17257731574,3550.1298893593803
3753.9650552972603,3938.8015600621,3787.60566585086
4063.19898494212,4282.65207811578,4111.62890975174
4337.0269090962,4560.01921633718,4391.84687677268
4523.87995505084,4731.1612594241,4615.95761263178
4796.5379694076,4905.867262645161,4815.9832298102
5038.15505575768,5022.50161820852,5010.574891521381
5284.4900411734,5060.2712533393205,5167.5019865084
5444.7720125054,5335.745288198321,5316.55070603762
5660.1838916132,5346.81602327858,5434.8925987129005
5805.3380014346,5447.257734442001,5566.033005044001
5881.6471493306,5502.3996349925,5643.97176626704
5926.78292218616,5593.7872107668,5661.87849992898
5804.62697614824,5445.3093473133,5488.54546465638
5516.83595216296,5259.6854730134,5251.6049754259
5298.34005791438,5082.2865946107995,5064.90280442712
5115.09695414712,4855.10758047138,4877.4327448395
4735.629884280001,4643.02717717256,4529.6864470512
4391.37594098568,4226.79967879098,4195.52053332782
4041.2399804610604,4024.6300460029,3974.7628017708203
3820.6269812192204,3732.9474543794804,3749.11225214158
3670.63995869774,3661.95736531896,3603.05482312924
3550.3200187143802,3617.5671920417003,3511.904704294
3577.81599952242,3573.22744691952,3492.40889873364
3670.0420165016003,3648.8353392529402,3625.88233850394
3874.3529738377,3916.9514265747803,3844.90568083396
4196.1729402715,4221.3919904254,4181.560768073
4516.867048417,4530.04312972118,4471.65066071492
4801.14401391116,4933.7784274631795,4729.4310822936
5094.754049183561,5231.88259417572,4972.0355542602
5385.23894287316,5444.55930163316,5203.8377537958
5590.71799646504,5709.4104291696,5398.6091901248
5793.540913716901,6069.71860269342,5572.4782731758205
5967.919894447359,6242.5699964338,5717.4172735700395
6033.7798840006,6333.715669167201,5849.1598926951
6018.8670149145,6415.14930044184,5940.674240873181
6001.908938982,6385.721605387,5930.8494088309
5802.9447116152005,6092.72899325696,5749.2480866694
5509.3599489216795,5834.70473809316,5479.00325258764
5276.97098094588,5567.71474306498,5266.34503155364
5027.26391979122,5281.94423836062,5064.59596489882
4700.01298145852,4986.04732720628,4698.68412352042
4353.3549255969,4482.67863131564,4353.16696079148
4074.92399900894,4093.85947873478,4107.50006067856
3836.67097371422,3884.9244584824,3854.7804730206
3680.58196892404,3740.9339403136,3683.1443276160403
3577.17195827036,3604.8783098970403,3588.2945840392003
3536.8330027881,3558.26180962474,3522.0205220014404
3545.54900043202,3511.82327042872,3553.83513022962
3590.96797827452,3729.62873186262,3624.5706799598
3813.09598671834,3905.74871247148,3837.84702615224
4088.37105852,4155.2933739063,4106.69326869862
4374.93794196578,4531.4502624522,4371.8893201357005
4543.69002980968,4853.446551924761,4631.28379368498
4804.376973463581,5022.113871327,4833.9554264716
5029.1360796739,5267.86653440436,5016.0636627442
5222.892049743181,5511.5097561640005,5161.916278565201
5472.806030137421,5608.965383429801,5299.84798845422
5551.7659907515,5659.991714711301,5406.899532018881
5629.70106639012,5748.5097997586,5510.78036145688
5437.07194913192,5772.999630709401,5501.84574430538
5257.233974360701,5627.2119513758,5392.45449814876
5033.4929669704,5390.09853218428,5151.93343440358
4907.0780063778,5302.81347988016,5011.05378349062
4802.870037446521,5041.65630245534,4851.333834532001
4581.2150123366,4705.92775943922,4539.39322338936
4364.5400892982,4386.41280430276,4247.8737920032
4162.77698232178,3997.7167385412604,4205.7165563724
3968.5800291515798,3816.20539144068,3993.57127508752
3857.22799358218,3629.4453041153,3835.81422158992
3747.50796989476,3544.75197817586,3749.61489565486
3726.73004896696,3503.1409110553,3726.8155194247
3698.2730081454,3458.2692717498403,3811.3468551536803
3779.65199916848,3715.0693863741403,3958.06844987904
3923.5080227566204,3955.18608885724,4220.037450399041
4226.6980619634005,4272.11107266922,4556.85464485122
4622.305944043221,4599.3963512885,4862.6807544384
4980.33496386198,4958.0113205287,5166.95698802496
5361.8200374524,5247.197308966281,5436.6088525244795
5634.5939429637,5446.60210992462,5668.451300982
5877.21590683096,5729.3207752252,5881.6173136472
6055.3910980153605,5867.47262565664,6031.363544653241
6080.99614001058,5944.38784743504,6154.42327789282
6152.0181123014,6044.45778258276,6269.2237919512
6268.53312513116,6067.4152294336,6304.3283985383005
6268.95000568,5884.8027116102,6209.16842235544
6079.1100568089805,5591.04314691276,5990.176495244999
5900.9780396135,5420.97091783042,5808.240486917361
5741.797941020401,5208.568347652221,5610.502798645
5408.58004151172,4762.03469809436,5248.38149309056
5097.7230506898995,4437.3309666066,4901.49481399222
4773.55595199396,4714.6552233457805,4674.3464545549605
4515.69795763844,4452.106065037,4443.8447983089
4338.76100581648,4285.77727819992,4275.721775374021
4227.0888509146,4296.8066528328,4179.118395629341
4143.72695697222,4221.064675428101,4185.9328657179
4247.948088705,4376.73369909842,4362.90287079696
4435.0289388776,4646.8704812052,4653.3489195968
4835.9819128891995,5053.87793439742,5034.21744756496
5189.97398923992,5385.17856949028,5370.0927119418
5348.03805776984,5774.50878977738,5695.9814465726
5647.19495609568,6067.5100016044,6010.9140502482005
5966.73986391822,6460.51246800598,6322.339908100181
6215.274090208561,6695.62051976364,6589.9296003647
6457.3860393937,6972.354322478201,6835.1724827653
6607.3249738137,7069.66755748244,6966.1274398486
6807.1880742696,7274.1334848682,7068.100540589201
6919.109912890601,7246.1742319487,7152.519963254759
6966.7808998164,7349.05188040838,7134.3613228227805
6823.9759113027,7074.797539987039,6886.7732972056
6424.4822532174,6743.2806254402,6603.00810143376
6179.6307447814,6519.725359804401,6354.0024713457005
5925.5401197192,6163.370472832421,6111.0414337118
5468.49407187004,5704.632624731799,5614.86775912642
5059.500907694201,5205.173339388,5206.972255593
4682.1409390912,4708.0279575452205,4695.79327980432
