True,Baseline,Proposed
3860.714999797,3834.0331971537,3833.43291974898
3705.02002793464,3655.77684364154,3664.96671382754
3583.67300381814,3541.3045160748798,3549.83894232488
3539.47200407048,3497.28949854406,3501.46809018688
3563.5310295971003,3514.32052646692,3527.77374083802
3737.99595855808,3673.37601400948,3686.5685528652
3993.4819965748,3939.64879301822,3997.14123993222
4264.60401382032,4246.06036694738,4314.8777926689
4522.64701145848,4397.6574031846,4526.24257661684
4675.58898223882,4546.97727243056,4670.81580280878
4944.03401169212,4773.8128091151,4839.41541888136
5070.8879938284,4885.6162964218,4967.5756916786995
5230.841985766559,4947.52142860104,5062.237726966099
5381.5529437328005,5045.8773456372,5179.6432116633
5504.8059897118,5081.131126006,5201.4433224916
5482.63987716896,5128.099328120959,5247.042648152999
5553.5450738944,5162.42556428644,5279.5472053458
5580.244855729,5161.92851930164,5283.1972087644
5468.4270305862,5038.5028730861595,5200.82128798956
5263.0901005194,4902.38259782162,5039.108066320399
5016.74404612244,4771.4716453062,4899.11830495258
4845.71505441124,4549.3744675926,4716.49523828458
4513.46806533808,4264.69677734404,4408.4607123427795
4170.00706775712,3940.39213016536,4086.1405127142198
3889.60696849588,3876.0660429813997,3875.5316741058
3689.4579682164003,3676.2006132381202,3716.99257624754
3550.58296222612,3548.47115827788,3600.82319508992
3498.29100777488,3447.40498056636,3534.37670125606
3558.12302540488,3427.37566077182,3570.86931618084
3664.4680302329,3427.9651961787004,3722.0669867865
3915.9539030116002,3508.33500333998,3992.35326749668
4193.82494453562,3694.4998796602,4288.86791109388
4452.980967907601,3926.7654507359202,4526.361557898
4596.32305190642,4158.769572508279,4694.20695827478
4839.756067660321,4444.45232230898,4911.7429289479205
5045.443887817581,4610.8963016201,5110.7560539897
5241.755855572001,4736.1193207623,5256.9302930292
5354.78197340404,4834.42849190108,5407.519447664
5428.4381229492,4941.3930277994405,5453.90412260816
5450.1799720943,5008.841121898,5524.58428358224
5455.73813667158,5147.55385999718,5551.4025915286
5477.3838540394,5144.1634396874,5528.254951691601
5375.3967775978,5123.5442658674,5459.8928319209
5168.52711009344,4926.81932291636,5260.4323663928
5020.861053345439,4799.15336408742,5104.290600247399
4862.53907129098,4580.4304481699,4882.66233804968
4533.40293748212,4296.29859706582,4565.41846067156
4201.23705959604,3994.60508155236,4224.3873849325
3913.1200183272003,3967.09141131362,3891.06628710922
3694.91299140764,3786.18160226722,3727.93175347162
3556.16998454336,3671.8256159991997,3604.33937870492
3492.76302092882,3598.8009684796,3521.02121175514
3431.03499516312,3595.82593576426,3534.40797139384
3490.4670099244,3717.2617634307003,3618.05240376954
3573.38403608196,3942.73620705842,3796.2323798563802
3752.1099878641003,4225.42121119072,4051.5031227469
4034.566952127,4434.98211328952,4313.21223680042
4272.02304745562,4652.11566869612,4499.4994171384205
4450.0890491247,4964.3046167856,4715.63683431312
4610.1689409189,5162.3301607802005,4901.00238765
4722.04197810992,5292.59900582304,5046.6388440434
4780.6660671862,5411.05493046156,5179.89223484204
4768.57503827848,5479.299662043999,5238.348002274201
4828.94506613928,5501.003777645839,5287.2518577796
4842.125998175299,5538.32571121742,5323.14678976524
4840.34000448358,5508.77793444702,5318.4295961714
4780.20102061022,5412.3060090744,5272.9094699856
4695.1078750682,5275.904939807,5093.9769168128005
4602.76292512844,5112.64596285544,4953.177682184019
4527.51295441224,4862.50202050182,4771.9350077554
4310.3429399367,4466.9405582362,4485.1887546516
4055.1469813786,4123.3402333019,4182.54689369324
3832.4970004286997,3797.18969213846,3854.8697143622003
3667.31302105066,3632.79511305084,3699.79841561172
3518.65396673962,3536.54080416836,3605.3380658854603
3467.592016558,3500.6653079161,3536.53820970278
3451.8769744044203,3504.9464492247403,3538.35729420988
3472.8769884614003,3622.6680945871803,3595.9562962804202
3536.99697494104,3856.06603609622,3745.4014736622003
3759.15400743074,4168.75348571258,4009.24942872632
3995.5471001426004,4377.71811589738,4301.25880560232
4282.962998467679,4621.39473831416,4555.257987257
4540.00699030672,4943.83255371568,4818.9581032999995
4713.143962543199,5198.2434816096,5061.4172841226
4898.37396643276,5348.41993414942,5241.558312052401
5052.7868171292,5471.2158535,5396.02614721236
5124.864029542699,5583.1975396268,5509.691322881999
5187.7167788957995,5626.428391315299,5603.821265140799
5280.26805712458,5677.68360642416,5708.884831556999
5312.826916026799,5663.6225588362995,5751.889054401239
5237.004797374801,5549.498617928401,5688.1345689498
5099.017917917799,5415.9610193564,5546.705243320599
4965.59192688268,5220.7994012266,5370.814860349639
4842.94698722208,5056.3510211159,5162.145362003799
4566.10408233878,4640.71850002176,4822.8912220854
4246.41699217228,4292.876952135201,4521.1389442024
3958.4259873103,3997.37902042678,3983.04669187652
3779.6329435586003,3822.96866627686,3830.2268430462
3669.40402375732,3669.20516024646,3712.76027461552
3565.6810222579998,3615.2004943768998,3655.35740503944
3601.5710384141203,3573.6118028497203,3685.28916271568
3712.94102238426,3668.17943600356,3892.8124079615
3929.811990564,3810.01263344138,4243.8938971542
4238.47000754992,4073.1828867858403,4581.3455662486
4492.5829815546,4341.458547705401,4823.029320481361
4690.75003771566,4612.0035011856,5016.83644551064
4948.3859773593995,4930.117298321,5278.8548926884
5166.5058848558,5168.0061231982,5521.7803945612995
5314.980777627599,5313.75241196782,5706.2359732337
5462.21788273304,5456.26144493076,5889.8092060242
5585.3759803752,5562.9729976766,5962.76211884636
5712.2450286186195,5614.634269407199,6033.39999458318
5762.33009423396,5687.1392955397605,6052.303498383761
5800.0070144206,5699.864739557201,6023.5568652743
5665.184017463,5635.655630909039,5910.429062598299
5394.1379224734,5491.9645230143,5690.9384124538
5232.0621128602,5348.014105112379,5526.57915451162
5055.95493270402,5047.981138604,5264.648372960301
4716.224093873,4672.7408507522,4849.7892301937
4401.45201392158,4307.67578380352,4490.8253449165
4143.79695716304,4097.3402744198,4064.915371872
3924.3340268350003,3871.90565811458,3908.4040081738
3787.1850232095203,3762.34897800016,3792.64773876362
3668.9890002984002,3683.5469108033,3720.49997509312
3669.68499982794,3664.12842834356,3752.1996562359
3648.977022458,3806.9021423126,3933.1115135446
3754.3969865144,4031.6709368194997,4265.048805358
3920.1209788686,4299.79716562504,4544.32053967664
4234.26497056496,4557.37466151782,4766.13537581142
4525.40998075036,4762.3618849346,4961.44492399622
