True,Baseline,Proposed
2420.66601574425,2463.94556140125,2403.39675515775
2274.9819796234997,2408.9813204092497,2261.66318871675
2183.4179929278,2265.5932244245,2172.11358560055
2139.94902042075,2224.46432157375,2124.4296610127
2146.289020448,2202.41423196775,2147.3946162214997
2290.094015307,2383.66186077675,2265.7664874787497
2469.89702123975,2527.5432538035,2462.030302234
2624.632979489,2687.668639421,2635.4244089775
2793.5559759744997,2837.72564379,2792.7292515239997
2878.016983016,2894.643686874,2931.8540153795
2973.7330480325,2985.1053393724997,3039.3029462002496
3094.2690537569997,3149.9879763495,3170.19602852125
3205.2979575279996,3337.8079761237495,3306.77918612225
3338.6429855019996,3309.73674159525,3467.26020144475
3420.3570314197495,3447.0863368799996,3606.7876520849995
3548.5509956187498,3561.699306945,3730.5949271475
3625.81590434775,3540.62235250875,3846.7004940775
3736.2031355524996,3581.3142827274996,3874.04720676225
3629.5310558819997,3506.36237519125,3769.44085757525
3500.6930940975,3369.16947310525,3590.2825041629994
3334.564967231,3229.64670525025,3442.51620045
3223.8160481725,3157.493334969,3266.6900580775
3022.4599828052496,2895.4656302989997,3061.402188678
2762.797019193,2731.6553183975,2832.8113390175
2560.94798425125,2546.36755930725,2550.36898293
2420.09098281425,2503.297756584,2413.64465408975
2338.2939893787498,2308.9186155315,2341.4651191552502
2303.749017096,2258.0494866139998,2305.2264849625
2305.8780143004997,2304.19027955225,2331.1286730112497
2437.02498217425,2410.2891928575,2479.91261472725
2643.4579726744996,2506.0177671325,2698.5706219374997
2820.5090399775,2682.06085672375,2852.29509857275
2965.9160058464995,2848.4141174965,3016.5525673455
3124.5190605499997,2957.5483925527496,3175.6396845074996
3289.371046569,3118.36650291975,3293.2301528162498
3454.59402051875,3322.833116576,3415.059884393
3628.8540495724997,3432.4858709249997,3558.2965921525
3782.9869764204996,3425.0277986125,3677.2145809594995
3866.31491316525,3602.7876365724997,3759.7834152924997
3857.37298737,3665.435902452,3820.434129422
3819.5668644949997,3656.8066753724997,3853.68855228725
3635.334958865,3722.50002878775,3808.6201171712496
3436.8990521822498,3703.2769333625,3627.13451773
3276.02900546975,3559.7531675925,3455.6509218749998
3207.1630159275,3342.08987566025,3322.20932373525
3151.5559889797496,3198.30786901975,3148.33161298775
3007.0829931675,2970.8434748125,2966.96452403475
2830.4509532775,2819.65719876975,2758.839246988
2660.3680014134998,2587.370059703,2653.7992653375
2531.0079909405,2508.4263560885,2516.84570924725
2399.45601126275,2417.1286790625,2409.159364489
2319.9569882617498,2346.34189615225,2356.25125918275
2304.2800056472497,2329.33388913725,2329.5884951185
2295.182991244,2230.7206864014997,2360.19540873975
2336.37902493225,2331.68700509875,2417.3432357684997
2428.9550368379996,2409.15992118375,2521.1227950115
2622.3600275715,2463.348948363,2699.75834656
2816.0200172472496,2594.75261801,2924.590458762
2970.9249487264997,2945.909640908,3098.1936207575
3153.2749641274995,3029.2007048122496,3243.0755907305
3330.9790016254997,3105.5644557279998,3378.3738313549998
3410.69700214375,3179.9967050884998,3489.44491294
3514.3889965772496,3386.1572753755,3573.1171162675
3563.22203082,3457.0740956299996,3619.8885133705
3589.30989294125,3379.1413169347497,3673.7144773325
3583.7879722225,3355.6121548715,3644.607528595
3489.4699969505,3398.361661633,3570.9741689474995
3329.57505021275,3302.7002836889997,3449.2951051675
3226.7039840549996,3140.4172802075,3345.652099872
3179.1669679369998,3121.8731886435,3222.3842292755
3051.471016312,2931.34352629375,3078.4601672335
2890.31702253025,2777.22946157375,2895.1572214075
2731.8370628599996,2601.12906517,2713.879662069
2589.7709859194997,2618.663639925,2589.9787967949997
2506.1579887159996,2386.6922122749997,2476.8387427982498
2452.5849933977497,2373.593643262,2403.56081637525
2426.1439903245,2339.6788166895,2374.67480996
2413.61400313175,2304.2003000577497,2374.6155383425
2427.57099544925,2364.9418864185,2375.0974395155
2514.8439986599997,2416.7350631275,2462.7917951585
2629.713965219,2435.66952869825,2613.6014508294998
2790.03900777125,2705.7736953077497,2831.8906641412495
2989.15103660125,2871.2789462425,3034.8284957737496
3257.6340098584997,3102.4167726244996,3225.605396086
3425.7740970449995,3324.1160687475,3364.9975699019997
3557.1300219305,3276.19306668725,3523.3328871774997
3649.49792824,3497.7964475794997,3667.52697892
3739.08910663,3614.2155973874997,3772.4500546729996
3902.3220278354997,3604.7756917649995,3905.5909394074997
3882.8530043177498,3656.4975460525,4001.7557003925
3951.9099074124997,3626.0581320574997,4010.8351952845
3911.6451585474997,3441.6218867074995,3941.1100292625
3809.3921218025,3281.3309662687498,3833.6671565905
3747.4760077595,3222.5217656255,3730.1286134274997
3558.9530335029995,2988.477141233,3548.9775220375
3370.27500338525,2883.754868551,3331.8170237047498
3162.0870490589996,3123.6230439765,3136.06631777525
3011.8469903574996,3021.14618319525,2966.90911653375
2875.2589862375,2818.6678867054998,2860.5942056655
2807.880910775,2747.755127048,2794.08863461
2827.601003625,2748.48239961875,2801.690465155
2938.4180359234997,2953.2263782475,2917.02271758375
3084.0560301137502,3047.7616609525,3097.5306955505
3269.2790161325,3250.747957775,3248.58578811275
3374.94599980525,3478.0968541949997,3431.4605701825
3573.2429947745,3680.2409046075,3624.8039315325
3643.5979462924997,3929.95330977775,3812.8269284099997
3808.4159411849996,4172.777370592,3972.4024960949996
3878.8989324955,4350.918904669999,4143.15207354875
4033.3648282975,4417.759605965,4262.9640813775
4204.1890355945,4581.47174311,4315.6280596625
4286.6650001445,4705.27148642,4362.663330077
4332.857107239999,4708.7639273075,4333.063411765
4306.180065592749,4688.4448964,4300.0546877649995
4131.5048732425,4593.7527567625,4092.9095536924997
3968.5269182324996,4327.131338002499,3919.58133341
3802.0039310545,4056.528896845,3788.4668175654997
3703.9999816025,3916.3525038599996,3611.2852872105
