True,Baseline,Proposed
2420.66601574425,2494.782815662,2403.39675515775
2274.9819796234997,2381.330521404,2261.66318871675
2183.4179929278,2291.53955509225,2172.11358560055
2139.94902042075,2220.73793790425,2124.4296610127
2146.289020448,2274.2360741519997,2147.3946162214997
2290.094015307,2350.22716705275,2265.7664874787497
2469.89702123975,2479.2927514965,2462.030302234
2624.632979489,2668.279943681,2635.4244089775
2793.5559759744997,2816.7084521725,2792.7292515239997
2878.016983016,2932.7753779375,2931.8540153795
2973.7330480325,3044.3925115787497,3039.3029462002496
3094.2690537569997,3158.25584304275,3170.19602852125
3205.2979575279996,3290.5330977394997,3306.77918612225
3338.6429855019996,3402.15206519875,3467.26020144475
3420.3570314197495,3521.1598128475,3606.7876520849995
3548.5509956187498,3642.0814443,3730.5949271475
3625.81590434775,3738.26149801725,3846.7004940775
3736.2031355524996,3747.3897528199996,3874.04720676225
3629.5310558819997,3663.1084599425,3769.44085757525
3500.6930940975,3528.8991797424997,3590.2825041629994
3334.564967231,3422.485144462,3442.51620045
3223.8160481725,3274.7244076965,3266.6900580775
3022.4599828052496,3105.673567899,3061.402188678
2762.797019193,2870.29631451525,2832.8113390175
2560.94798425125,2607.059108634,2550.36898293
2420.09098281425,2459.9628689194997,2413.64465408975
2338.2939893787498,2382.8607770315,2341.4651191552502
2303.749017096,2314.263474573,2305.2264849625
2305.8780143004997,2344.9197702932497,2331.1286730112497
2437.02498217425,2445.7826420072497,2479.91261472725
2643.4579726744996,2613.4068041474998,2698.5706219374997
2820.5090399775,2759.0123790552498,2852.29509857275
2965.9160058464995,2896.0842819,3016.5525673455
3124.5190605499997,3029.7584802049996,3175.6396845074996
3289.371046569,3145.9868474474997,3293.2301528162498
3454.59402051875,3301.7994205964997,3415.059884393
3628.8540495724997,3439.61133449775,3558.2965921525
3782.9869764204996,3540.8567864919996,3677.2145809594995
3866.31491316525,3629.4408713325,3759.7834152924997
3857.37298737,3707.1908249225,3820.434129422
3819.5668644949997,3739.533807495,3853.68855228725
3635.334958865,3733.2791782449995,3808.6201171712496
3436.8990521822498,3590.760082765,3627.13451773
3276.02900546975,3466.53790638,3455.6509218749998
3207.1630159275,3333.1832508615,3322.20932373525
3151.5559889797496,3197.6555537597496,3148.33161298775
3007.0829931675,3024.4443376149998,2966.96452403475
2830.4509532775,2816.4726755724996,2758.839246988
