True,Baseline,Proposed
2420.66601574425,2574.8824795515,2403.39675515775
2274.9819796234997,2456.74992154325,2261.66318871675
2183.4179929278,2325.81544733025,2172.11358560055
2139.94902042075,2312.7406852045,2124.4296610127
2146.289020448,2328.1301513539997,2147.3946162214997
2290.094015307,2448.911299249,2265.7664874787497
2469.89702123975,2615.2232663699997,2462.030302234
2624.632979489,2875.39095564,2635.4244089775
2793.5559759744997,3002.20601969,2792.7292515239997
2878.016983016,3091.2149608649997,2931.8540153795
2973.7330480325,3202.8706374309995,3039.3029462002496
3094.2690537569997,3298.1481579715,3170.19602852125
3205.2979575279996,3366.33023164,3306.77918612225
3338.6429855019996,3438.1974280729996,3467.26020144475
3420.3570314197495,3525.6490648050003,3606.7876520849995
3548.5509956187498,3575.0714423074996,3730.5949271475
3625.81590434775,3699.21807194025,3846.7004940775
3736.2031355524996,3680.5506888624996,3874.04720676225
3629.5310558819997,3544.1735738125,3769.44085757525
3500.6930940975,3429.6673581525,3590.2825041629994
3334.564967231,3330.7880225794997,3442.51620045
3223.8160481725,3165.55548657875,3266.6900580775
3022.4599828052496,2955.8930115935,3061.402188678
2762.797019193,2802.0278221734998,2832.8113390175
2560.94798425125,2630.3864524769997,2550.36898293
2420.09098281425,2521.26507964025,2413.64465408975
2338.2939893787498,2436.752954922,2341.4651191552502
2303.749017096,2398.41839774225,2305.2264849625
2305.8780143004997,2406.188317355,2331.1286730112497
2437.02498217425,2527.2966707759997,2479.91261472725
2643.4579726744996,2663.73430182,2698.5706219374997
2820.5090399775,2874.669741218,2852.29509857275
2965.9160058464995,2970.78878774,3016.5525673455
3124.5190605499997,3105.0180434574995,3175.6396845074996
3289.371046569,3251.4880998185,3293.2301528162498
3454.59402051875,3345.9559242184996,3415.059884393
3628.8540495724997,3382.9891583,3558.2965921525
3782.9869764204996,3508.6266492199998,3677.2145809594995
3866.31491316525,3599.5278940904996,3759.7834152924997
3857.37298737,3647.8777500369997,3820.434129422
3819.5668644949997,3784.5229299825,3853.68855228725
3635.334958865,3777.823927335,3808.6201171712496
3436.8990521822498,3587.86281405875,3627.13451773
3276.02900546975,3486.3578768175,3455.6509218749998
3207.1630159275,3366.885092572,3322.20932373525
3151.5559889797496,3216.47478351725,3148.33161298775
3007.0829931675,3028.4394411149997,2966.96452403475
2830.4509532775,2887.8049210975,2758.839246988
2660.3680014134998,2667.4415613875,2653.7992653375
2531.0079909405,2532.53854128875,2516.84570924725
2399.45601126275,2472.3963186932497,2409.159364489
2319.9569882617498,2406.1260002897498,2356.25125918275
2304.2800056472497,2383.3451669574997,2329.5884951185
2295.182991244,2388.69565844,2360.19540873975
2336.37902493225,2479.87417004275,2417.3432357684997
2428.9550368379996,2531.95614034,2521.1227950115
2622.3600275715,2676.8557280645,2699.75834656
2816.0200172472496,2817.90492017725,2924.590458762
2970.9249487264997,2979.34092897,3098.1936207575
3153.2749641274995,3063.303203009,3243.0755907305
3330.9790016254997,3093.56306657375,3378.3738313549998
3410.69700214375,3195.56794844725,3489.44491294
3514.3889965772496,3264.3790544365,3573.1171162675
3563.22203082,3316.62416904225,3619.8885133705
3589.30989294125,3449.1791816725,3673.7144773325
3583.7879722225,3486.70384623125,3644.607528595
3489.4699969505,3370.664198509,3570.9741689474995
3329.57505021275,3317.7304524974998,3449.2951051675
3226.7039840549996,3242.01790345225,3345.652099872
3179.1669679369998,3097.6538560772497,3222.3842292755
3051.471016312,2952.2575656487497,3078.4601672335
2890.31702253025,2881.43721731975,2895.1572214075
2731.8370628599996,2759.7913259975,2713.879662069
2589.7709859194997,2631.209967746,2589.9787967949997
2506.1579887159996,2528.447915519,2476.8387427982498
2452.5849933977497,2470.75334875225,2403.56081637525
2426.1439903245,2430.3846944495,2374.67480996
2413.61400313175,2386.28101133525,2374.6155383425
2427.57099544925,2438.6538710127497,2375.0974395155
2514.8439986599997,2492.7123696464996,2462.7917951585
2629.713965219,2633.9940309374997,2613.6014508294998
2790.03900777125,2826.1159385125,2831.8906641412495
2989.15103660125,3033.3836436702495,3034.8284957737496
3257.6340098584997,3178.7180427412495,3225.605396086
3425.7740970449995,3292.26887197,3364.9975699019997
3557.1300219305,3378.352873435,3523.3328871774997
3649.49792824,3497.8009011374997,3667.52697892
3739.08910663,3556.7624069149997,3772.4500546729996
3902.3220278354997,3705.5424845145,3905.5909394074997
3882.8530043177498,3684.9462851149997,4001.7557003925
3951.9099074124997,3582.803932385,4010.8351952845
3911.6451585474997,3546.479927415,3941.1100292625
3809.3921218025,3445.2724943975,3833.6671565905
3747.4760077595,3349.6150460635,3730.1286134274997
3558.9530335029995,3140.066169554,3548.9775220375
3370.27500338525,3032.877280675,3331.8170237047498
