True,Baseline,Proposed
2420.66601574425,2516.02592710775,2403.39675515775
2274.9819796234997,2379.24805733125,2261.66318871675
2183.4179929278,2285.6504123189998,2172.11358560055
2139.94902042075,2300.5973388889997,2124.4296610127
2146.289020448,2358.700290375,2147.3946162214997
2290.094015307,2483.12441596725,2265.7664874787497
2469.89702123975,2645.8309331665,2462.030302234
2624.632979489,2859.77206576,2635.4244089775
2793.5559759744997,2894.1442006962498,2792.7292515239997
2878.016983016,3083.65897577,2931.8540153795
2973.7330480325,3128.8860361429997,3039.3029462002496
3094.2690537569997,3230.69826888625,3170.19602852125
3205.2979575279996,3278.16180129725,3306.77918612225
3338.6429855019996,3399.69786002,3467.26020144475
3420.3570314197495,3452.0461596349996,3606.7876520849995
3548.5509956187498,3569.8982744762498,3730.5949271475
3625.81590434775,3541.71773129625,3846.7004940775
3736.2031355524996,3585.6091827237497,3874.04720676225
3629.5310558819997,3473.9437476262497,3769.44085757525
3500.6930940975,3416.89962955475,3590.2825041629994
3334.564967231,3264.6879217825,3442.51620045
3223.8160481725,3055.98099696225,3266.6900580775
3022.4599828052496,2959.87996115275,3061.402188678
2762.797019193,2702.94182186125,2832.8113390175
2560.94798425125,2598.237003197,2550.36898293
2420.09098281425,2474.44236838,2413.64465408975
2338.2939893787498,2367.1204622024998,2341.4651191552502
2303.749017096,2353.994058452,2305.2264849625
2305.8780143004997,2412.25213129275,2331.1286730112497
2437.02498217425,2518.7402724685,2479.91261472725
2643.4579726744996,2668.2866895115,2698.5706219374997
2820.5090399775,2888.222966108,2852.29509857275
2965.9160058464995,2991.7281730795003,3016.5525673455
3124.5190605499997,3158.741248118,3175.6396845074996
3289.371046569,3277.8953409924998,3293.2301528162498
3454.59402051875,3415.5148677375,3415.059884393
3628.8540495724997,3569.8326172424995,3558.2965921525
3782.9869764204996,3651.5655580349994,3677.2145809594995
3866.31491316525,3794.3607086174998,3759.7834152924997
3857.37298737,3887.04170660375,3820.434129422
3819.5668644949997,3927.3965745247497,3853.68855228725
3635.334958865,3937.5285172149997,3808.6201171712496
3436.8990521822498,3767.3570836325,3627.13451773
3276.02900546975,3637.4330431375,3455.6509218749998
3207.1630159275,3439.8750440754998,3322.20932373525
3151.5559889797496,3306.666570049,3148.33161298775
3007.0829931675,3130.3270896235,2966.96452403475
2830.4509532775,2872.6202531225,2758.839246988
2660.3680014134998,2595.50150343575,2653.7992653375
2531.0079909405,2467.2553081705,2516.84570924725
2399.45601126275,2367.017964875,2409.159364489
2319.9569882617498,2340.841653782,2356.25125918275
2304.2800056472497,2292.49890388025,2329.5884951185
2295.182991244,2336.31870541875,2360.19540873975
2336.37902493225,2399.7259754697498,2417.3432357684997
2428.9550368379996,2505.791356103,2521.1227950115
2622.3600275715,2677.0756552375,2699.75834656
2816.0200172472496,2771.0963227662496,2924.590458762
2970.9249487264997,2937.3709585922497,3098.1936207575
