True,Baseline,Proposed
4744.951961184077,4787.266854492536,4726.803089016024
4475.688913611262,4537.623175640472,4459.234008220674
4335.0029676737195,4349.5150244498145,4293.003144587713
4225.0470902682955,4218.008326943881,4201.8478079053
4223.753039794087,4156.2348925603765,4189.05082389692
4292.969037307469,4334.251425572898,4277.14891567964
4510.031989978335,4451.038805478482,4530.162292511058
4824.372958255217,4689.804456955696,4784.398634841522
5112.168922594674,4773.8843058906605,4983.57569598285
5308.301064734615,4927.093026811253,5126.47929052794
5433.112013469678,5000.782818865948,5215.734243848243
5425.6959594635555,5055.046995190386,5281.173535466291
5367.547014573702,5229.4340576955565,5367.388466374944
5478.017118325578,5342.257901480113,5477.66101805808
5694.344062904446,5517.655603222414,5638.648731593135
5905.4009261418505,5677.091182234486,5811.201092577855
6202.253048777777,5731.663337168652,5931.006206969384
6444.173876949444,5751.407653351683,5932.922630884084
6236.915923109118,5724.875903976135,5836.626381520537
5969.538906825042,5603.293496357634,5650.918150269227
5771.6100539471,5405.98085397103,5485.65849988361
5570.481955067062,5293.096900326242,5295.285338243284
5307.337871763566,4987.712807767694,4990.09407001166
4901.31889806172,4708.5295226575745,4644.674699939575
4591.746954917768,4516.484851013409,4563.161339419011
4346.434056417082,4238.299372698348,4315.039571311894
4182.942074926882,4107.638687705595,4158.448151121952
4101.655055045759,4002.437905479534,4076.683291621569
4103.274982009427,3938.9160508637187,4059.7130623730372
4200.5920014854255,4119.442761508654,4124.9981114143375
4377.353065773916,4310.844291417921,4315.314540152871
4660.6889966777035,4550.088035786278,4555.361578510143
4840.050994356683,4794.106630540873,4745.40134992848
4977.05310075599,4937.35948701262,4947.59167108582
5223.422987248396,5061.29555023984,5109.636710308439
5512.9780936632105,5244.849535278313,5264.977811635972
5792.437107429956,5425.78502674241,5458.483271077321
6011.031004209595,5618.6009112703105,5650.089613515973
6248.28884374335,5865.4001780283625,5863.380081489555
6321.638913778979,6148.9856661608665,6090.498603307208
6456.075966971224,6286.06603357202,6239.4353029532795
6616.329023197658,6342.781375180131,6305.128541846016
6520.839107085621,6259.070627802659,6252.24579479542
6370.337018354688,6072.485822564287,6122.922891888673
6256.18501681568,5849.67266948575,5977.668427725577
6084.777107046277,5612.935894639288,5777.755780612057
5757.190019288495,5300.473443918618,5434.760138036319
5262.861134085781,4911.020730811918,5065.54207547814
4854.620037306453,4999.3587554917995,4900.3085120964715
4514.716000182537,4761.933503243383,4606.419754915606
4283.009964748104,4544.606894542314,4409.646834911675
4135.263051984405,4410.298081346829,4305.514944455835
4096.9389637363765,4369.6971632945915,4264.969746217857
4163.4180208581,4509.144947420108,4303.834907631935
4328.424905904483,4705.5520584010255,4473.3680144994105
4621.330968179309,4954.9655975354035,4727.703048440284
4827.054094408655,5197.546367810208,4962.5034753172495
4975.840097284342,5384.7372526645995,5165.3980611572515
5184.830852924193,5575.31759070522,5348.2661015126
5453.81800299246,5682.58667555182,5530.459172299754
5706.27097357076,5899.367989888789,5742.213799574822
5947.728989588226,6100.9496142873195,5925.163477900457
6201.087913692016,6300.86808665415,6160.319414077194
6481.6240083532,6501.590443977622,6393.188051878558
6724.3731200062375,6677.385022760585,6574.811007657077
6880.272094868058,6759.268413502212,6652.331114822342
6843.891108506406,6653.866364553127,6552.034858186615
6664.300153045195,6486.849513843256,6361.482295629165
6490.61600443931,6340.016574881343,6175.2437130548515
6257.39481217681,6073.989919853462,5969.657438066287
5877.10792409192,5705.070464845339,5592.42104096421
