True,Baseline,Proposed
4854.61996756492,4744.2445948385,4830.86056892676
4514.716033218,4488.5108357236,4548.17163389522
4283.00999411296,4290.65858474314,4342.23406346372
4135.2629969253,4202.06488760328,4248.08145225878
4096.93907018398,4183.32673251684,4212.7763061263995
4163.4180208581,4309.459654033561,4298.99144993026
4328.42494628116,4450.71877993658,4501.87867253262
4621.3310158972,4674.40241379456,4757.9462366481
4827.0538558192,4975.744052181581,4953.31378033812
4975.840075260699,5164.248735375841,5132.5316809981005
5184.83100341908,5244.1530045646,5329.9643081863205
5453.8180764046,5462.75365526112,5524.590022201641
5706.27097357076,5620.94932892284,5691.0174725337
5947.728934529121,5868.50548952672,5917.0721716894
6201.08788432716,6043.6420422634,6104.45247454742
6481.624008353201,6228.81432818664,6340.610078997781
6724.3729952056,6419.75108216696,6536.004564943181
6880.271749830999,6442.63643586628,6633.862800738901
6843.890895611201,6470.528937986441,6534.967912114241
6664.300208104301,6288.9898188718,6404.73624399704
6490.615820908961,6178.0273692618,6204.3280025382
6257.3949222950205,5836.2490761564,5992.74379053432
5877.107924091921,5422.5030269055005,5600.7576134644005
5469.1079898631,5054.966396001881,5226.70014922528
5013.447059042781,4876.6629903698795,4905.6400834464
4725.1820315054,4560.75697070398,4625.57078721862
4488.9770028126,4385.26502979756,4426.49086502094
4352.4550154795,4293.20818836534,4321.159126548941
4310.2370151840205,4252.3943420716405,4290.12421777608
4343.0340355533,4365.7426128195,4364.9453569791
4483.66695590212,4518.99977841128,4543.77865143762
4723.8018832734,4781.10284820472,4794.29060503432
4989.89093862028,4993.7618139382,5007.7049816884
5228.077948268799,5221.21670284012,5233.15469139836
5522.88106099458,5336.5326391764,5470.29667923398
5852.040027470401,5585.612688982401,5734.22778472556
6108.96798186668,5756.93004854772,5949.4201299983
6312.12095641584,6016.2629846504005,6248.121060297381
6544.8751740558,6270.3607542254,6456.19565812428
6782.86514552056,6448.3132498282,6711.093106140301
6902.8408440312005,6674.885871631601,6903.204968245601
7013.35892995778,6659.48209594396,6982.0187735068
6908.5780027722,6646.387278883601,6877.987898155601
6627.913847974001,6457.090038225901,6684.22932833796
6405.00405148376,6281.78750064068,6451.734255552201
6142.64903122584,5929.03438625384,6200.983565676221
5795.08292500284,5533.98464716958,5814.0290566819
5362.40102177248,5154.250515792821,5429.67987112404
4989.7320747493195,4874.77490354122,5030.5130324043
4650.5600594381995,4579.4134180786,4728.60648759998
4421.158941292741,4394.06369501298,4506.303148798281
4259.36005297554,4309.4307296504,4373.4688734938
4163.9770543042,4261.94540830992,4293.831530846081
4077.40292513574,4316.91722627546,4278.670308869
4056.62303161162,4496.77836410612,4296.52531591124
4179.60297512748,4687.28051821764,4390.7409147323
4389.00706680978,4912.209735855,4564.80579704926
4517.51296233986,5130.24731543772,4772.4363248413
4829.9650876430405,5293.47032585878,5065.54882939502
5084.99599892958,5491.8521720172,5326.05922281116
5203.88695965958,5647.620546681961,5561.170116969401
5492.3289838665005,5897.75053691424,5824.763746853399
5703.73003258108,6181.69415883052,6037.50023580672
5937.201046356,6310.8666365918,6250.01766293428
6147.457085923001,6517.3463556772,6426.149023580101
6208.32793639824,6484.851940148999,6501.411957041641
6075.47699653798,6471.23824608312,6472.256252228501
5904.015088469,6249.492619309,6315.4049750866
5788.00305822124,6118.68877697264,6142.85363086002
5684.23800822898,5801.2543899640805,5961.62724746178
5498.06996003878,5441.098468791781,5651.998553063
5244.82208280856,5110.770854459301,5340.1122151228
5030.32003188824,4652.63593452098,5039.48230743308
4793.27891233298,4372.84024533898,4771.95415390578
4620.28797621208,4163.4150843725,4563.340564147
4512.98299282902,4083.7320793737,4450.57569967572
4442.23299726184,4037.86219217392,4386.242879502361
4418.7509496886,4124.68922616468,4384.799670242101
4346.29404845428,4308.15137628662,4425.3396892536
4400.143982096341,4509.1847955297,4580.5168025428
4567.87405744056,4798.23246989162,4780.624641524761
4873.96296527282,5002.53148135832,5084.4793977004
5119.20392721752,5210.987602076801,5474.58879341122
5361.17687433798,5358.42590121576,5827.515600921301
5810.827920317201,5560.09073827498,6169.739725952921
6276.539854049201,5804.29879140988,6472.699074256981
6619.916329442401,6020.67387967016,6724.958824082801
6788.428757962601,6187.6792303683005,6897.02469382756
6960.558936742,6357.310826962801,7054.07616587524
7149.90015127156,6299.461620169961,7156.354766856781
7161.543023027,6274.760343775601,7172.525185522441
7061.2341431738005,6056.749045739,7061.491085663801
6993.90324461498,5978.66840751998,6883.250373999361
6838.7358951404,5643.3080239298,6656.7670213582005
6488.885203120601,5244.34490389856,6283.7180930984
6107.707128362181,4897.22250064972,5915.5830064295005
5636.9250585932205,5368.272965202521,5564.7599706154
5277.88713090098,5034.1120625677995,5228.7404928323
5079.89803969156,4798.7538429099,5004.14941151178
4930.147992264,4669.17693766936,4894.650873385521
4886.8399685138,4671.25039015152,4867.92210050864
4920.9920301632,4815.0194037090005,4985.76701165578
5031.44000749608,5037.3473355776005,5204.329855100201
5293.053932200701,5298.65226858496,5588.713617776
5480.8340375731605,5801.9678091406,5937.5692082381
5849.803159564601,6111.19692126136,6294.46607086724
6154.0561031876005,6271.81681061016,6660.0496451983
6391.266144077001,6558.63437098316,6976.570858597401
6775.539054421401,6810.354761816401,7243.35821021996
7139.57913850896,7114.92073480436,7479.14567066044
7507.670031069581,7247.115149896601,7650.39497717198
7625.35725294,7494.4788238694,7812.166556173101
7879.954959188401,7749.968047145961,7896.604098419
8051.3590919032,7687.79104787584,7885.440314289201
8065.312831001561,7680.23378194782,7723.51126624778
7901.6276911592,7498.549306795981,7531.75677444
7610.7930184854,7263.78308263504,7286.671813292801
7370.032032384201,6879.7331983719605,7002.5811468601005
6878.6801746358005,6313.58376671748,6531.83101137204
6389.9770268986,5823.26379000892,6077.229564556201
5930.983038098,5667.4525426544005,5837.3550300455
5578.8609744666,5335.2883034034,5502.7834598996205
5323.88101120522,5094.4950159606,5265.8068696154205
5141.64888148898,5008.1256332506,5130.6027770196
5057.352877849,4960.79924919322,5087.542886302601
4995.475987407201,5034.00811097756,5187.914533535501
4951.79407562798,5227.274672632921,5386.998787049441
5028.09696546476,5505.87337687222,5739.85034711602
5216.00701032502,5895.50052823538,6079.5258962954
5484.9341055921595,6236.54668206856,6456.60456374408
5720.054910389301,6424.64400129796,6824.17268845576
5912.939068207401,6722.0663857668005,7175.536845153801
6159.977966872841,6990.9655110086005,7481.2092125037
6518.7962454422,7216.1649587333,7722.7876427838
6590.84482835384,7428.9805125614,7897.011535796
6432.28503047772,7574.410402374241,8069.391315851401
6322.51809756762,7737.64523214984,8161.267343182801
6484.6030729944005,7779.2126540606405,8103.844000214101
6463.1021254312,7744.5855424533,7937.0622628944
6445.36296274588,7507.7333857464,7691.19883941464
6319.1500954087005,7222.5810329450205,7464.365384277821
6215.10505151448,6822.2585403174,7166.9693547672405
5993.1719301348,6330.0031993620205,6714.4256502356
5681.76005485542,5903.79426475188,6274.45906035304
5345.63089933516,5060.576404916401,5423.12857175044
5071.0420395948,4775.1239432867005,5136.118671570641
