True,Baseline,Proposed
4854.61996756492,5105.07458628028,4830.86056892676
4514.716033218,4902.90893160198,4548.17163389522
4283.00999411296,4607.1401555866405,4342.23406346372
4135.2629969253,4396.8267811383,4248.08145225878
4096.93907018398,4416.27967681978,4212.7763061263995
4163.4180208581,4592.3563454213,4298.99144993026
4328.42494628116,4748.3997219625,4501.87867253262
4621.3310158972,4982.64104932244,4757.9462366481
4827.0538558192,5346.91208800244,4953.31378033812
4975.840075260699,5481.062789801401,5132.5316809981005
5184.83100341908,5608.6680651979605,5329.9643081863205
5453.8180764046,5849.5608995026005,5524.590022201641
5706.27097357076,6128.356715337801,5691.0174725337
5947.728934529121,6331.7824893992,5917.0721716894
6201.08788432716,6528.4580171876005,6104.45247454742
6481.624008353201,6756.332676706041,6340.610078997781
6724.3729952056,6962.66858140918,6536.004564943181
6880.271749830999,7182.143937753801,6633.862800738901
6843.890895611201,7151.264956366301,6534.967912114241
6664.300208104301,6816.20893950856,6404.73624399704
6490.615820908961,6722.6716688611,6204.3280025382
6257.3949222950205,6302.438629271241,5992.74379053432
5877.107924091921,6078.292719167681,5600.7576134644005
5469.1079898631,5565.67806283824,5226.70014922528
5013.447059042781,4991.6512149131995,4905.6400834464
4725.1820315054,4763.37998301448,4625.57078721862
4488.9770028126,4541.80305733808,4426.49086502094
4352.4550154795,4392.208423410901,4321.159126548941
4310.2370151840205,4346.96320011038,4290.12421777608
4343.0340355533,4533.0022631706,4364.9453569791
4483.66695590212,4549.21342557396,4543.77865143762
4723.8018832734,4790.4189955950005,4794.29060503432
4989.89093862028,5173.0048949622,5007.7049816884
5228.077948268799,5332.36048043592,5233.15469139836
5522.88106099458,5687.60182589592,5470.29667923398
5852.040027470401,6090.60202633004,5734.22778472556
6108.96798186668,6256.738103878441,5949.4201299983
6312.12095641584,6428.167930842241,6248.121060297381
6544.8751740558,6835.861075738001,6456.19565812428
6782.86514552056,7168.9657245024,6711.093106140301
6902.8408440312005,7216.579370263601,6903.204968245601
7013.35892995778,7323.0086202286,6982.0187735068
6908.5780027722,7291.936931973601,6877.987898155601
6627.913847974001,7041.947305753,6684.22932833796
6405.00405148376,6801.4873094258,6451.734255552201
6142.64903122584,6508.748325840401,6200.983565676221
5795.08292500284,6181.22329336456,5814.0290566819
5362.40102177248,5760.6554944163,5429.67987112404
4989.7320747493195,5184.1639073029,5030.5130324043
4650.5600594381995,4856.4704673779,4728.60648759998
4421.158941292741,4661.71547458404,4506.303148798281
4259.36005297554,4565.7116294447205,4373.4688734938
4163.9770543042,4462.60670141534,4293.831530846081
4077.40292513574,4450.35355454008,4278.670308869
4056.62303161162,4417.21318559202,4296.52531591124
4179.60297512748,4620.63925330198,4390.7409147323
4389.00706680978,4753.9559197784,4564.80579704926
4517.51296233986,5094.84350338918,4772.4363248413
4829.9650876430405,5316.0502850557,5065.54882939502
5084.99599892958,5680.782498799181,5326.05922281116
5203.88695965958,5909.44788047756,5561.170116969401
5492.3289838665005,6076.28078605884,5824.763746853399
5703.73003258108,6423.7344982955,6037.50023580672
5937.201046356,6694.024783590301,6250.01766293428
6147.457085923001,6798.0842896761005,6426.149023580101
6208.32793639824,6828.0551628918,6501.411957041641
6075.47699653798,6794.131412997801,6472.256252228501
5904.015088469,6547.28338589636,6315.4049750866
5788.00305822124,6320.43106383956,6142.85363086002
5684.23800822898,6085.44196042158,5961.62724746178
5498.06996003878,5813.7416481538,5651.998553063
5244.82208280856,5466.205200435361,5340.1122151228
5030.32003188824,4961.00561071876,5039.48230743308
4793.27891233298,4708.24783293518,4771.95415390578
