True,Baseline,Proposed
4854.61996756492,4943.1489886094405,4830.86056892676
4514.716033218,4725.8229194876,4548.17163389522
4283.00999411296,4515.02318961176,4342.23406346372
4135.2629969253,4363.909658507981,4248.08145225878
4096.93907018398,4376.018477116,4212.7763061263995
4163.4180208581,4421.62452108462,4298.99144993026
4328.42494628116,4592.50779466612,4501.87867253262
4621.3310158972,4927.05822211568,4757.9462366481
4827.0538558192,5222.63179525076,4953.31378033812
4975.840075260699,5359.60556089342,5132.5316809981005
5184.83100341908,5602.753689551,5329.9643081863205
5453.8180764046,5808.993938235721,5524.590022201641
5706.27097357076,5972.43549659756,5691.0174725337
5947.728934529121,6226.86824576738,5917.0721716894
6201.08788432716,6468.72087039038,6104.45247454742
6481.624008353201,6554.69669061784,6340.610078997781
6724.3729952056,6770.6035562492,6536.004564943181
6880.271749830999,6854.261094507601,6633.862800738901
6843.890895611201,6862.494266008601,6534.967912114241
6664.300208104301,6684.9411324474,6404.73624399704
6490.615820908961,6512.13159772444,6204.3280025382
6257.3949222950205,6258.330853667881,5992.74379053432
5877.107924091921,5767.36741955222,5600.7576134644005
5469.1079898631,5421.553440874601,5226.70014922528
5013.447059042781,5040.530265731581,4905.6400834464
4725.1820315054,4788.36213425648,4625.57078721862
4488.9770028126,4582.6848832734195,4426.49086502094
4352.4550154795,4413.07310795672,4321.159126548941
4310.2370151840205,4411.56081787272,4290.12421777608
4343.0340355533,4441.97091592204,4364.9453569791
4483.66695590212,4591.59484129308,4543.77865143762
4723.8018832734,4919.45169664172,4794.29060503432
4989.89093862028,5204.9123804311,5007.7049816884
5228.077948268799,5346.91186776602,5233.15469139836
5522.88106099458,5604.18713499664,5470.29667923398
5852.040027470401,5815.9726430884,5734.22778472556
6108.96798186668,6025.4031631411,5949.4201299983
6312.12095641584,6256.418907893721,6248.121060297381
6544.8751740558,6515.87958112,6456.19565812428
6782.86514552056,6603.882383945001,6711.093106140301
6902.8408440312005,6794.84321710724,6903.204968245601
7013.35892995778,6885.814366401,6982.0187735068
6908.5780027722,6854.6879861017005,6877.987898155601
6627.913847974001,6681.3997308138005,6684.22932833796
6405.00405148376,6494.88253448576,6451.734255552201
6142.64903122584,6256.627545195601,6200.983565676221
5795.08292500284,5801.11725608656,5814.0290566819
5362.40102177248,5454.98518260632,5429.67987112404
4989.7320747493195,4974.92888377902,5030.5130324043
4650.5600594381995,4705.2212706394,4728.60648759998
4421.158941292741,4486.701666945441,4506.303148798281
4259.36005297554,4356.52256192048,4373.4688734938
4163.9770543042,4294.1316396744005,4293.831530846081
4077.40292513574,4251.97670040718,4278.670308869
4056.62303161162,4333.3453215525205,4296.52531591124
4179.60297512748,4425.96853764484,4390.7409147323
4389.00706680978,4672.5506659752,4564.80579704926
4517.51296233986,4839.79945132958,4772.4363248413
4829.9650876430405,5043.55675461522,5065.54882939502
5084.99599892958,5254.762159976701,5326.05922281116
5203.88695965958,5361.715352384881,5561.170116969401
5492.3289838665005,5584.4581362566205,5824.763746853399
5703.73003258108,5751.91878904704,6037.50023580672
5937.201046356,5914.232002817081,6250.01766293428
6147.457085923001,6104.4309647904,6426.149023580101
6208.32793639824,6243.686453156401,6501.411957041641
6075.47699653798,6295.455005805181,6472.256252228501
5904.015088469,6139.911639349521,6315.4049750866
5788.00305822124,5984.13827265924,6142.85363086002
5684.23800822898,5806.509084121,5961.62724746178
5498.06996003878,5453.034768870801,5651.998553063
5244.82208280856,5197.711530442781,5340.1122151228
5030.32003188824,4891.54216290508,5039.48230743308
4793.27891233298,4682.9794477593205,4771.95415390578
4620.28797621208,4489.86918055002,4563.340564147
4512.98299282902,4312.6171101749605,4450.57569967572
4442.23299726184,4297.916108903541,4386.242879502361
4418.7509496886,4184.74968002646,4384.799670242101
4346.29404845428,4265.21804809898,4425.3396892536
4400.143982096341,4314.4944788311805,4580.5168025428
4567.87405744056,4569.4242281888,4780.624641524761
4873.96296527282,4789.1307593622805,5084.4793977004
5119.20392721752,5033.29395767964,5474.58879341122
5361.17687433798,5280.31538425576,5827.515600921301
5810.827920317201,5366.956979180881,6169.739725952921
6276.539854049201,5634.516626516241,6472.699074256981
6619.916329442401,5891.2795504218,6724.958824082801
6788.428757962601,6026.13522900118,6897.02469382756
6960.558936742,6332.7941086884,7054.07616587524
7149.90015127156,6387.755208481501,7156.354766856781
7161.543023027,6475.000030961,7172.525185522441
7061.2341431738005,6312.156487891601,7061.491085663801
6993.90324461498,6205.302181636001,6883.250373999361
6838.7358951404,5976.98205725204,6656.7670213582005
6488.885203120601,5608.4702928928,6283.7180930984
