autoformer,CNN,impactnet,informer,LSTM,nbeats,ANN,Proposed,Actual
12859.439237898,12736.2599217121,13041.2825158728,12909.37417306084,13025.1371479159,12944.976629354269,12859.87052698376,13023.150573424178,13105.2816457155
12752.2399960925,12395.959863859149,12418.740624572378,12376.344602284798,12392.1822698916,12325.95193106396,12439.80156919658,12408.85810308016,12371.86489206384
11962.121442553898,11885.1048078173,12030.64020737373,12082.61842543992,11938.78376963677,11861.8391011804,11947.926538799698,12076.73956866834,11972.14738801096
12163.77528282113,11614.30154416144,11725.525303108,11830.43383024102,11748.23028307385,11853.8083763406,11613.7970173064,11740.13166071878,11794.714651252798
11486.378556627798,11770.61688218158,11744.3026533984,12044.55004328292,11618.874581678669,11692.080818030228,11898.90478707257,11856.09807382184,11849.2793323445
11686.83694289022,12017.726964581929,12175.29115914698,12383.129267855598,11928.6227920426,12278.58082642154,12446.141213599878,12251.81369323875,12301.6471635754
12092.67615812323,12492.709754353938,12880.07982824227,12976.97517708438,12395.3533635823,12731.7156198474,13055.745703816548,12794.99864705714,12781.7970305488
13508.85888192856,13059.64942949786,13392.05481183936,13758.36063523196,12893.23160237985,13524.2398306686,13751.7651672318,13338.065860989498,13377.92526262233
13265.9139433582,13500.5850483824,14058.86384871334,14263.54383291957,13698.099683196258,13855.091453391,14348.6224711266,13894.098194466898,13945.83864408074
14643.392540481527,14269.5917977348,14802.385380143158,14896.421404409628,14358.9037315849,14602.949779672555,14797.4631917328,14786.772511800398,14622.3562627449
15032.96178183074,14916.2558706962,15576.763916433998,15876.2326464243,15147.27373338194,15210.00391715274,15279.100700894698,15593.34031917885,15365.65757227126
16095.40582571586,15796.0601758656,16265.682113504998,16601.039893420602,15973.20275882255,15851.53651460615,16041.378730194498,16353.6767846993,16253.34510955066
16382.78269484066,16703.7634937701,16937.5470994374,17335.3883942481,16876.335073592298,16796.9229534855,16641.6487106995,17224.26610012773,17058.709833989997
18046.0109094026,17353.873302057,17733.2729196865,18181.0633903374,17635.4470951576,16968.76368140176,17229.07258303454,17869.8969610871,17812.219674801
17258.361587599098,17832.0243882438,18022.7045151161,18299.051216732147,18105.8014104898,17292.3281460808,17405.760227209397,18233.1283239568,18328.8383907065
18651.725406019697,18180.6336270385,18382.399866937747,19032.5490913852,18505.25927647867,17656.3300313148,17664.911056615438,18536.2258836958,18812.5128253265
17073.59007034215,18553.60357883996,18519.52512932186,18940.8340432306,18741.38471067826,17721.9592101196,17776.3306248757,18757.9354293443,19125.9450480639
18295.8407068809,18608.17588886596,18505.459154557328,19271.2991332818,18873.50946092653,17766.7613982854,17929.89751216536,18785.30906280394,18978.07697469634
17815.21097994003,18401.79210933273,18432.698702266694,18773.1653251852,18618.46172668484,17643.999893401327,17631.9530432482,18664.486070125506,18597.00636615733
16599.295410444,17792.9642446278,17778.6345630343,18476.0742797184,17987.245228489697,17044.9218067318,17207.415564343697,18157.2484004309,17896.6872353706
16633.040729831002,17311.654779640798,17282.7334897095,17683.117762620197,17258.8650972629,16655.8359855194,16524.321804312942,17475.72162350536,17249.005971169197
16486.877214683867,16662.33685473424,16683.343379627102,17209.6533850717,16798.474170126497,16006.454994755955,15894.865046963,16849.7889252064,16937.542013481198
