autoformer,CNN,impactnet,informer,LSTM,nbeats,ANN,Proposed,Actual
2722.6753937446,2954.95797303698,2833.8271810426,2892.55483745538,2897.33275432478,2885.14999178692,2892.0412140112003,2851.81943788198,2810.70396324616
2707.5090611748,2751.3296239398,2697.15864250352,2738.243000087,2717.8243116399,2718.79236278896,2703.3461513668,2700.68468298888,2640.80098093462
2486.45666448804,2622.36791664896,2552.5268276933803,2597.68168686882,2588.88024083776,2614.63220346774,2596.34602843252,2579.4396903647003,2522.69800735076
2492.74007394136,2599.84241866262,2488.30695915698,2502.3877571163603,2520.51223523538,2504.8879825867,2522.3081187174,2509.91165781448,2432.33597323736
2471.87872708976,2586.40795435942,2498.22806029244,2439.93736971454,2512.47121871908,2518.27194716186,2500.92703676712,2488.24196607684,2436.68499165582
2424.54860784468,2651.60841166754,2481.80712728688,2561.7883590752,2581.84422478744,2549.09665287432,2589.65216026298,2572.74522849158,2520.366009536
2750.6156080755,2781.99776652584,2592.21545800776,2732.2527055835,2715.59760890124,2697.4010831066,2733.26084918608,2717.60771460442,2662.2100018769
2807.11953026752,2977.0675642036604,2786.33187250732,2860.8675852124,2825.81630371392,2835.16566830184,2905.5181106585,2878.6191476357,2826.18401577238
2994.79324813562,3139.506295565,2915.42587092528,2980.6141049244,3016.39323208822,3053.3384280069,3067.08584394424,3071.63333397712,3028.5769724908
3258.6687157255,3356.83589141524,3187.5428522228003,3241.89878978612,3242.7624538763203,3205.1438933267,3261.52928434516,3276.53461847356,3222.1980286622
3391.549180958,3469.0163225512,3388.6976575870003,3549.57690426238,3456.51861772602,3426.0798542643,3466.6079814408,3493.11468101592,3358.7130075165
3648.675216708,3691.6935811652,3607.7285285076,3636.3153558846,3646.8672146882,3650.994153044,3645.3075204598,3709.3049247724,3471.63197098224
3811.54476732598,3932.5903803185,3806.7571765806,3872.9591419807,3813.7628788246,3781.07300092996,3783.78702953658,3902.1817560444,3680.757910459
3921.6821247482,4080.15537020376,3890.74821250076,3999.850884278,3975.30599087364,3920.15022981684,3927.4787671134,4044.9248600716,3837.71902782004
4104.365065551599,4136.5210991566,4102.6405312704,4122.2317016982,4084.4166252636,4066.52079287036,4004.09914770656,4173.1760089484,3941.3550167276
4103.6400487092,4268.3432004484,4159.88319533464,4286.5458029738,4205.9578759742,4105.4967693463,4082.65831972582,4270.3261704056,4115.25208748798
4044.387383713,4349.4801286408,4214.6364253642005,4342.8041065024,4306.31976425676,4169.9200686682,4133.3107343571,4342.009067561299,4292.61603791816
4233.606651694799,4355.9696580076,4268.0854632472,4343.910001653239,4326.2048528804,4219.15286819222,4153.512197141399,4355.400750282999,4279.497843004399
4115.9524132462,4273.69645101056,4242.20885778916,4372.943154427439,4284.27939194276,4157.5633509814,4101.215502983439,4272.7802616154,3904.42504755956
3929.02498077816,4141.329539374759,4079.32732832836,4303.4314312638,4106.90562794164,3974.1202949769,3960.76612035196,4138.094413643599,3690.08199025916
3847.5250552322,4020.4225387063,3940.5950761452,4116.4203913622005,3911.8888095774,3813.2267994156,3849.5467905408,3987.1679788596,3585.3050427658
3679.20575975844,3777.81622248,3877.3673910622,3844.2640510097,3794.907900836,3683.2617679983,3662.8940682116,3835.76916556836,3538.7000102106
3272.24388777716,3543.03778318478,3603.55500188264,3652.2646787052,3568.9247609936,3416.04043149772,3417.35737080938,3578.4202814334203,3311.38899992592
3237.53643049898,3255.4307611714003,3257.2892279955,3374.45980756884,3267.20550965484,3178.94172876438,3156.9327878163804,3306.9899008643,3069.9109649678003
2910.77479707956,2926.73082525824,2816.9747303056,2936.33873029338,2879.77432018368,2781.89428748422,2972.82415517496,2860.804373243,2859.4489828936003
2812.68131048122,2769.32436036472,2684.8889547768,2763.65993927916,2677.5816860379,2664.19862947998,2753.59324107164,2735.5805887681,2700.5389811456
2575.86356923618,2542.79784205166,2570.78188567626,2638.6186662695,2560.7834284567,2554.67917778958,2622.27474011064,2623.13361964846,2581.3309855044
2606.32227415344,2509.22275211924,2486.1742711264,2560.1463845153603,2482.81942681452,2422.39922626638,2575.69998643802,2562.80904030044,2525.62297534698
2510.07028144156,2494.32358616044,2497.89230345608,2564.47947770838,2446.65575434956,2462.9035354522,2547.40110529732,2550.9967487965,2521.22799728668
2515.36576813776,2547.19055006886,2515.4258718943,2539.97946130992,2458.21512812842,2446.4596924732,2595.1564210769,2655.00135777976,2621.69399323818
2755.5330452862,2720.60242530942,2664.9015745187,2694.7011287672003,2493.0355637055,2605.79063005942,2722.4513230287603,2801.12033021032,2723.42499689996
2814.9610274572,2799.85207459222,2807.63982414604,2824.64758075482,2533.78206902822,2723.8907398966003,2874.3177651986,2981.93645741576,2911.45902299364
3050.10368643688,2947.00744393102,2963.34655061376,2963.2866913234,2691.4315682284,2932.0177207144,3045.0772173099003,3175.6970688522,3153.62896708864
3322.06749221076,3134.82413959068,3181.85964216512,3237.7960186584,2928.31182296804,3076.8634085083,3242.3495504983,3370.12535234996,3395.80596577912
3583.4975646021,3396.13246782438,3408.2369662609,3441.5306406964,3181.52472349852,3300.7773167557,3477.9892790694,3580.19384864558,3611.6029682232
3791.8656938446,3596.7935562762,3555.8947135996,3522.6368359976,3350.66395854,3478.65691620698,3683.2519893511,3786.348092162,3801.7089499636
4019.0224459697,3688.81572529424,3726.9330317748,3743.42321855678,3543.62066040538,3626.67280649938,3848.3798137687,3980.17823676478,3961.1829701126
3940.5507229954,3804.9093614972,3836.9861182124,3871.6486286372,3692.85594800362,3784.4650041012,4000.98751232004,4132.880438956559,4141.8509857367
4319.9295806585,4071.692509832,4011.91019139496,3993.805584884,3804.744172207,3921.310885392,4089.2842961448,4270.693079218039,4268.392093684401
4190.0190302756,4069.2656591394,4071.5402423256,4100.88830246338,3930.3467046422,3931.5047758606,4159.037028038179,4365.3966231458,4430.1520472351
4234.4664741736,4145.6601180585,4142.0942295858,4137.3243451766,4031.11580373316,4030.69158506338,4210.79331224338,4430.892465446839,4504.6588780072
4369.2029615684,4129.95662344376,4178.317377179979,4314.0478989864005,4073.9213429188,4064.0728482388,4226.083379624,4427.2848081811,4547.491972023699
4271.1783096616,4204.6618559828,4077.6588815736,4312.7068273704,4022.4999773802,4022.481467798,4167.195074007221,4360.5871002917,4446.94900414924
4092.0589872878,3951.1766201278,3891.9642920513,4164.991630479401,3841.8866174092,3828.6788081786,4035.244348581,4245.32754777116,4351.6530837436
3876.5239827412,3729.2159966586,3784.784311856021,3905.3430529892,3685.99765886616,3673.10556024516,3883.94443932144,4127.327773839,4200.589049423999
3800.766358221,3606.2844318586,3641.82303922504,3819.8754064181,3589.53092007702,3569.5963445138,3693.5668905788,3975.9424411114,4072.2401140752
3328.7810922934,3348.04356048032,3386.18119257756,3709.1241944179,3391.711576349,3309.5265867192,3463.97214708804,3729.2301407733,3868.6490286086
3285.7003889603,3132.3944251514004,3118.76571500632,3477.133298202,3130.69496611552,3060.4117076878,3192.4098246292,3458.1656911519,3600.15196280956
3238.27978230488,3301.3037921362,3469.5646252692,3324.36963022782,3348.16076455176,3252.26024435924,3236.9849147969,3336.919720663,3369.3989734817
3256.29484434648,3106.0102380562003,3253.3465123682,3131.60179594836,3141.28070094692,3093.31482993888,3000.0846138305,3164.2633856136,3158.8699378267
2921.34286049852,2929.46032508168,3102.6090150176,2990.72337517098,2987.3761442344203,2912.446107581,2860.3808181242803,3035.0552564133204,2990.19099767842
2877.4678865466,2914.2046925087,3054.43946875788,2863.2898958188,2912.27274613564,2802.52405501588,2771.7579164154,2952.0573119638,2880.68003245684
2994.6569407784,2844.7436436918,3003.090674751,2868.2092538352,2884.41310087292,2862.10835584712,2723.30810714218,2924.831811972,2763.74197514442
2887.14043542448,2833.65350528358,2981.5422033149,2928.42783963232,2980.70539558076,2765.9211117492,2756.58257352068,2981.3245585672203,2693.15704545058
3203.74390536132,2939.7458205203,3080.15193263792,2918.4174734174203,3129.18224431742,2941.11325956,2852.71694307624,3081.1618224275,2666.96899007922
3211.50322699078,3131.3088206935,3211.35637266408,3069.9808124478,3234.5491585506,3027.24962590462,3006.46507635728,3244.446895704,2704.47303568538
3434.90539767596,3226.9001610158,3377.24763003808,3177.8784056526,3386.9893628449,3254.18356456852,3203.1610979882,3381.2857922468,2818.00505048308
3742.689924788,3475.39524843342,3653.3452192208,3498.90011286058,3581.84539231018,3518.6307337822,3442.55470952442,3545.1265022267,2930.74604256978
4001.4018475714,3657.916038312,3880.5471975892,3721.4154300922,3803.03510914262,3744.633430919,3738.895460437,3696.29604116484,3006.8150122320803
4339.58668710742,3801.95746729744,4177.7957212756,3831.15818417616,3919.9719092004,3984.9339072118,3970.485257499,3808.30244730438,3047.07897623922
4516.461914720039,3911.8346777804,4267.564051809,4035.010359523,4062.12815470064,4160.6603882446,4138.4932427544,3896.7057136124,3076.1259937382
4537.2161853848,4121.3795624422,4376.82869989236,4172.6888227754,4140.90905754516,4325.33574068676,4283.1183871302,3973.18650401678,3127.3870593102
4875.39100180744,4181.596960832159,4502.2858098742,4146.98236577864,4144.6771893962,4472.73379509482,4373.65175711204,3993.5289888632,3234.43296726762
4709.2225896328,4201.2260584416,4573.69078390698,4280.5876383111,4161.6656681005,4436.46035731504,4438.57778367124,4051.2013546244,3420.63800217376
4638.367454962579,4257.99229284476,4550.1260951132,4287.4587095374,4160.2145867035,4482.54572461904,4490.881462577199,4107.6281651985,3564.8219200184
4777.2033957298,4228.1606436792,4649.500549570999,4248.6402740526,4135.28993255038,4512.95480290176,4478.7063483384,4127.46865620616,3738.59490673056
4793.5023051878,4226.20641596002,4539.2216811543,4375.2587380844,4049.816279096,4548.65287206504,4455.4855536124,4086.59632064822,3772.286048251
4392.3654336486,4051.6438384102,4298.97746700664,4167.75151395664,3908.7194801724,4331.83372159864,4292.05631513718,3978.82413859376,3677.8690186862
4285.94696560402,3961.9547847666,4227.5538436967,4107.57756069924,3766.7569217342,4127.1569967504,4143.9266782236,3879.7050115991,3591.4638443148
4232.0424173802,3762.61821407802,4048.6809083086,3947.019996593,3694.35117300798,3924.0740517008,3961.16700996342,3781.158424398,3548.47404747692
3689.8211448451,3546.3302886207603,3735.48746219284,3652.4344080816,3499.1466046175,3701.86246623596,3720.95841803056,3579.8651464047,3422.99301473318
3518.49990945216,3292.40882032942,3559.2129927557,3388.01884485262,3225.6362708652,3424.07379971496,3459.72150884516,3345.96175633892,3200.58295765392
3260.7487736799003,2924.6263206858403,3070.51975560348,3088.8204239908,3008.63069747468,2999.7442819842,3032.4070590566,3014.9935584365003,2902.95498753242
3094.90808588142,2765.5187902644,2911.965906156,2930.3998784589003,2795.81178203536,2841.2970197912,2812.8910275399203,2854.46061556696,2714.58698571312
2631.5892158823,2714.39734980492,2783.7454901704,2770.56656287278,2711.9202787742,2715.828943755,2701.6981000762,2716.6826545793,2587.04499830076
2755.26657715,2638.46245238048,2715.9071729326,2666.02440768344,2663.92374472244,2632.79275781018,2630.60562366894,2661.98065767632,2524.14800611182
2646.7261426630203,2603.19824083922,2682.7519711262003,2653.3936783326,2656.116333103,2683.10532952752,2604.5484624751,2630.94791124468,2486.45198470688
2587.9490342344,2685.80860162222,2680.41326795336,2690.43054906878,2714.99122800362,2576.3651789138,2622.11653556844,2704.95012889752,2480.9320082099603
