autoformer,CNN,impactnet,informer,LSTM,nbeats,ANN,Proposed,Actual
11992.4973438003,12550.838838723,12060.08529649,12220.7659728702,12042.354421112,12285.0687469438,12335.5087397982,12278.2579352915,12187.6211109005
11523.543407735498,12017.297354011,11681.3494648898,11906.6568042114,11471.2564604208,11606.6567805457,11699.385375483,11743.7695469825,11587.6970409751
11032.7247219118,11611.1677279786,11358.923584252,11377.466292283,11090.3513331804,11143.4529271261,11455.7086691752,11367.9257812718,11186.4289840344
10335.446017916,11344.8166904413,11061.4175892877,11284.2463767869,10869.2931006388,11181.8914445094,11194.467674987,10995.6194673049,10909.5870144164
10872.793407873,11243.5276930302,11243.5872086649,11297.728004686,10853.5745009286,11219.07169163,11204.8278977896,11037.1291602774,10894.2149560969
10964.6099925405,11440.8415792078,11600.8639254349,11633.9468798886,11152.1641588207,11466.9975047178,11576.510212135,11180.9075371017,11207.093994273
11270.658943315,11777.8296552967,12367.5409548667,12198.101068467,11678.584450107,11782.4866481878,12059.191858475,11544.3735984827,11669.552987716
12131.024274881,12224.7318527645,13170.714153367298,13122.2982548883,12351.1734518297,12495.697532824,12669.5106224335,11990.267688332,12272.4331415304
12652.012603735,12874.072331046798,13383.359857979,13201.5061076323,12932.4221346614,12974.101932604,13206.8997999638,12565.0968431523,12783.072222096
13407.374346231,13718.230274924,13978.7403383267,13978.172899663,13633.681069839298,13786.1030021873,13678.0614424685,13403.8031267512,13266.263198453998
14168.532883407,14557.852367663,14576.8371516378,14579.4829944523,14403.4095770143,14462.7908442648,14348.296410895298,14062.914440144,13976.2169035552
14477.711681212,15393.8110831427,15299.543805035,15302.373259913998,14969.1058255367,15209.6939095917,15022.5241327063,14928.173560849798,14655.0209977876
14985.2805710807,16167.1402158676,15720.818823458998,16019.480378489,15532.278076492,15674.407884305,15440.884292019,15545.2116821756,15318.0282637214
15694.723398476,16705.601378317,16258.757148796,17237.951143346,16145.6343890026,16202.503618092498,15985.934946751,16198.8161813213,15922.1820239786
15883.819906098,17115.2836515744,16444.9870570294,17712.8021924065,16635.441871832,16466.0131006454,16333.132979217298,16502.373073179,16455.395117458
15963.587740464,17428.351929771,16743.8582534204,17844.570229729,17097.840364748,16616.0894416315,16615.1158052435,16873.4811953135,16884.0672398506
16458.65651796,17507.551340580998,17051.4806399936,18354.465857307,17437.0101179803,16755.2972146893,16861.184814948,17062.913269812,17240.7939646205
16672.4915503734,17452.1138634975,17099.056003244,18181.8685468924,17540.286346655,16889.075557894997,16762.910854265,17053.185347866,17378.291261151
16567.1545049104,17109.732235776,16683.421603721,17920.302819643,17403.169640648997,16616.1976390856,16498.864042613,17010.342532815997,17139.857277255
15430.196803575,16544.008691666997,16291.051767313,16241.570778161,16742.3370169136,16423.86167999,16062.715743469998,16392.589942476,16673.706344676
15126.9059733372,15999.4216398105,15702.8960347814,16538.944938255998,16201.465963705,15722.813933861,15671.053622528998,15872.0579001547,15969.504129209
15098.1455704893,15233.063574785,15051.0899489755,15716.99040639,15308.859479203998,15055.0604719335,14963.3934501967,15001.4439200138,15341.4881169096
13570.2143286295,14227.7154838107,13892.996599581,14672.786485095,14331.887120285,14091.070681915298,14023.6351061343,14048.3021558845,14279.1219374092
12609.2574440997,13241.3963562658,13139.703130915,13766.926164214,13261.2132335352,13152.109959917,13146.3799972145,13070.4788500183,13196.0859639076
12642.312821569,12466.7200315734,12189.3809727417,12303.7614400022,12200.5151801932,12388.1167620027,12399.415868565,12684.9665372974,12390.1018827828
11946.9504365912,11900.5956362983,11667.6750794977,11743.4709839167,11592.5417261988,11680.920051847,11853.9605637966,12080.5896285848,11761.5778067555
11531.7430582297,11527.0237357259,11239.7406414378,11492.3302009639,11246.2088512686,11191.1902348104,11580.1178726299,11713.456672472,11321.5939148996
10722.4044339311,11237.7521438841,11042.061219518,11059.337637449,11049.961462753,11292.7257366943,11235.9462735026,11399.9111436066,11072.9828981688
11182.2686582603,11127.2845130326,11069.8681059206,11185.0962840536,11064.6139868979,11364.1536437628,11282.5215489718,11447.6670235457,11028.1498971783
11223.4972348306,11354.0093937717,11372.5452075566,11535.065944151,11390.9048663187,11524.8265817035,11579.511319672,11602.9787706008,11317.2090336811
11049.0916621532,11772.399662649,11886.056234069,11901.737126474,12170.0002620623,11866.9980052684,12068.0169155797,12139.8342772034,11790.0171347136
11865.0573453407,12479.4898637374,12621.548477907,12766.5854063918,12738.9635390427,12473.3535626117,12665.497186311,12695.9207908558,12399.590335201
12349.9217944153,13358.2994141044,12975.9597208796,13124.5197498204,13298.6439246978,13097.0696758282,13199.3923880576,13191.1548895593,13049.1348268883
13996.8291517063,14282.1900176226,13737.988621451,14046.7603773383,14079.1135265977,13984.1952346797,13846.8152810318,13941.66575608,13800.0281130192
14876.764715369998,15155.3305279108,14468.716800535,14961.3434672237,14914.2107427127,14814.9352872595,14693.41997878,14738.217101551,14677.882036457398
15720.654205746,16029.813305705,15403.931695718598,15802.349615042,15732.8888192944,15676.456460289,15586.078521873998,15559.925410342,15583.564232531
16264.164207523,16738.5807783803,15953.177428853,16702.2085650424,16341.2610139714,16353.5821573433,16047.0424488056,16206.6187795197,16383.1556591343
17309.5801091426,17286.228453408497,16561.1818366054,17898.9329079154,16956.426714336,16885.244326848,16593.225166886998,16742.433536359,17090.809640715
17878.833225857,17681.30181918,16803.388520806,18258.367101618,17306.083178681998,17216.989821224,16963.3581049456,16959.317654634302,17429.062459216
18169.158371062,17835.996038763,17092.389689362,18423.4931597437,17473.7647509284,17384.897074506,17225.7632418324,17119.0557890834,17480.124904004
18261.513129022,17755.755456093,17177.2852951385,18728.5199330097,17455.926100193,17668.233705348,17296.4488215045,17160.7450138523,17473.621800846
18593.3351635996,17665.094712889,17289.273881098998,18335.634716531,17328.92142413,17606.502062973,17195.977847497998,17037.172406056998,17400.120695486
17690.338909527,17519.731644354,16913.709121307,17480.3773178306,16860.906231126,17345.060994949,16968.9299220845,16786.842330166,16943.490153975497
17043.8381571434,16853.567376502,16364.203939401,17213.3481115953,16170.5970471417,17082.190426101,16544.6045515085,16206.400274128,16322.360790035498
16230.248737678,16136.391315466,15756.369214522,16497.1397775935,15492.2403754113,16129.089042556,16051.231899251998,15653.8721763555,15846.4117267594
16217.1561422374,15382.207222763,15049.700547338,15392.324880662,14617.37222333,15607.77992021,15323.414780409,14776.0237401744,15336.4738895114
14728.2376099718,14458.046195959,14085.571184011,14431.885627385298,13671.8857456508,14449.0280999635,14446.8963709296,13893.415882303,14495.970177464998
13519.7706776037,13495.4830927868,13320.7761430656,13357.378399105,12706.401170519,13477.5287875556,13582.4831320106,12943.051092363,13615.7498392277
11860.0322841272,13020.2532822875,12698.744336381,12758.3291949398,12645.1781546675,12430.824928205398,12403.7123908743,12820.968063822,12818.3478282073
11650.8714098707,12361.6542535896,12161.3606461078,11967.6537169306,12071.2162678668,12000.6346646818,11822.0444253206,12158.557642622,12209.0578546056
11164.6278301783,11880.0495166302,11660.1593663564,11739.4555780096,11674.78135884,11243.6838688092,11497.2234273081,11781.566195984,11731.684918461498
10625.9589961525,11475.7747241965,11408.0622529803,11117.8911730708,11491.6932570436,11242.6954590367,11323.6198383607,11485.032289719798,11459.5510154353
10912.0993339748,11228.771473796,11333.8323273183,10958.3545194465,11448.5024936139,11138.2555097601,11290.5472956256,11512.7456113539,11296.5900319828
11041.466063171,11169.4145474552,11402.6962783321,11044.8623939181,11696.188696475,11184.7311704081,11434.2588404724,11637.9936616504,11287.8679664729
11316.5726525564,11113.3468799986,11668.0604537848,11437.36603498,12258.96319164,11331.9292339969,12020.7433514698,12121.9722704506,11369.2850733447
11739.4468546778,11449.1958577931,12129.8038526224,11786.8021648486,12774.7163958228,11922.8343637334,12564.1386836433,12714.8301602202,11795.31810647
12385.561247882,12375.0627180607,12683.792264278,12369.7713138295,13301.0348211055,12766.462716951,13069.491565837,13236.7772113788,12619.5819293817
13486.9190321416,13426.998043910698,13500.556413723,13187.6233471693,14050.0344407413,13328.1724028408,13622.6245281806,14014.250911601,13479.6032521372
14295.1230605106,14415.6510848088,14252.39927673,13928.887481982,14781.5610860828,14263.6110092754,14483.964340328,14890.7311916785,14414.177123132398
14749.6730873868,15161.1132527008,15138.5175721564,14690.5193302576,15318.888496796,15231.071278361,15171.0657300912,15713.9617218686,15434.375560905
15375.2697821007,15772.619937471998,15679.632034462,15180.3510132978,15865.787512977298,15765.652527944,15734.942179040998,16398.863706427,16339.550678143
16666.5667196944,16128.413687836,16138.1168467756,16104.5221704226,16360.022368093,16190.430948978,16276.249398839598,16931.0087545565,17062.499615046
16075.591099808998,16435.857668204,16438.1547184454,16513.3018602365,16776.375738995,16593.4816609817,16642.0174349235,17137.966284039,17574.200409511
16675.5233302706,16647.0769673675,16723.865502525998,16979.753184967,17066.612806688598,16607.134660141,16966.140566391998,17283.2580182317,17833.878520317998
16714.437269236998,16693.250266079398,16819.373322835,17056.911054738,17189.317161572,16944.851415833,16969.983053351,17312.1463163797,17967.030331322
17050.889141818,16726.5857750586,16998.416894052,16421.7535883713,17101.490094213998,16929.648899688,16950.015065462998,17181.5698580413,17655.399573786697
16725.071292098997,16500.583383171,16717.3911019436,15598.028079451,16878.7251840154,16853.388688899,16858.413609413597,16907.7795068654,16678.2782147326
15784.327492941,16000.082221146,16194.0812412396,14977.004239686,16188.16288271,16442.058268727,16247.3862857947,16322.465610716,16184.438582827
15350.5730448826,15417.853289078,15839.188808029,14691.0594733347,15654.113474969,15841.169848541,15805.5821722695,15770.6028780416,15717.8026611397
14847.3718709666,14832.6630672617,15217.216657678,14141.7260847856,14843.026526139,15256.461801855,15188.799700845,14902.804142190798,15302.647622769
13739.7427146373,14004.6262626476,14312.0184658204,13316.392809534998,14014.281865359,13902.5679236513,14178.5361531003,14040.4694481215,14619.1569888765
12668.7146887562,13062.6741413364,13396.845847543998,12410.9548667518,12998.613087973,13232.5635607216,13364.2286064493,13090.594712450198,13809.3339382652
