autoformer,CNN,impactnet,informer,LSTM,nbeats,ANN,Proposed,Actual
2574.12346069625,2304.91560382616,2370.4141674035,2409.1565026931003,2439.10566367868,2438.5183914252502,2275.2778355426,2409.6400430530703,2425.83596069222
2338.91429834489,2149.98729242429,2232.31022341697,2265.7712951355497,2258.70693646712,2212.37256930176,2154.53336974565,2218.44723901706,2199.74796442007
2295.42438185162,2038.56254126426,2111.69057082896,2185.97004411323,2142.42432124043,2143.0580906009,2030.81412346175,2099.51443645532,2063.04903100379
2206.10806923632,1952.20022335289,2066.1674402663,2036.70216442856,2102.18969479406,2097.3761605964,1994.1125383192696,2030.96450022848,1985.56396638131
2199.14744246135,1999.79715444278,2046.626341457,2065.53288281927,2120.1728942404698,2043.37484407667,2007.18393902507,2014.34267105906,1974.8410143689
2275.33807490903,2094.803057978,2143.40539049681,2107.36200539816,2213.6184356423,2188.08807599864,2063.34958751561,2068.38762787205,2017.50698636369
2339.87660129006,2288.96093918519,2331.89461433333,2204.80984439495,2344.45242887906,2279.88395520875,2193.85233812012,2182.37902919177,2129.90699464172
2573.7198126113,2443.68119573522,2543.77764589394,2418.6557532994702,2503.68477651755,2489.69658486542,2367.47470304552,2326.02292616264,2272.94603517779
2774.971014668,2580.41618411162,2695.7610748427296,2544.30783112718,2702.75352061256,2630.94804806177,2473.58134758785,2483.78716705067,2399.15794999556
2941.2676224641,2704.89041732,2818.22627838803,2659.9921408886003,2819.39707948373,2760.1131202415,2590.9202943374003,2619.4671045448704,2532.81501705647
3023.22443799425,2875.03121284496,3057.57378177677,2878.1980401755,2998.5698887958,2931.87747259088,2739.3731447528,2767.64466647378,2708.58004157228
3194.12898790667,3085.23709769507,3240.90167896562,3102.1707628652,3136.09325926466,3095.10231599774,2829.79164567767,2956.83183947,2921.48103469136
3503.7821366117,3316.83923711672,3447.54157064255,3241.2739513544,3306.3639905612,3332.8445855745804,2998.45980295445,3126.11061606455,3202.8389698232
3670.47702365306,3549.2263600075403,3660.868967846,3508.26053699972,3444.42764362235,3428.06539046363,3147.30832207838,3262.06357629638,3365.7320287883003
3802.772523415341,3661.94150439875,3882.8128601978,3681.506492081901,3565.13999489198,3589.83754406336,3273.69952658855,3448.66070281316,3569.20203929927
3982.1629923842,3781.23214751414,4064.668069883061,3926.04359472365,3710.3785357616,3790.9964907371295,3386.1843526826,3610.978458589461,3731.3391754871
4051.4781606608,3906.84723452894,4165.3684898792,4086.58416605174,3835.78704558686,3921.4960889954,3518.01241860398,3793.32784780325,3934.556160956901
4237.5456437538505,3891.5497848236,4241.69693896406,4137.1397218541,3896.0029664417,4056.1341268018696,3567.20566827656,3876.180816262941,4034.4279079352
4137.103420616931,3746.268490258101,4203.52355291537,4264.40018583995,3839.66088507254,3858.50610344936,3569.6661730277,3800.0667267224,3966.63207203546
3858.7762201178,3572.4824496052697,3987.45223533164,3985.3503099653,3719.364200207901,3721.0226298626,3380.3971867954697,3597.81179792072,3803.9150519057
3688.9066248803,3444.5143823993603,3795.3431329034,3707.63126601344,3512.75134975106,3543.08381633726,3240.87084507896,3391.2527343716,3593.21892795986
3530.97521113073,3182.4770296062497,3602.412647258,3541.14793095803,3318.045551363029,3380.0289040949,3055.9800244754,3166.0087295498,3379.27992633044
3186.02691626036,2895.10476263636,3188.2189790270004,3107.6950526291603,3023.6865522508697,3073.3398474528503,2741.83660482854,2872.91618553956,3051.53895968816
2886.24524129507,2561.1153531923,2825.77393113938,2723.51615358986,2738.20938718073,2771.17721522357,2528.64244350914,2567.482255255129,2739.3759030557603
2632.82492545982,2392.7389357089496,2422.35522863375,2399.19696028028,2471.5667028080297,2523.29567024282,2356.62979463795,2420.9971092138203,2447.10597364793
2394.862090157,2226.11054347109,2257.57647555221,2259.87291053264,2282.08552426952,2301.98825629904,2199.59596222481,2224.95166218461,2260.30901793278
2297.45991092528,2114.96684368052,2142.5335204844,2198.58184258832,2159.39148008936,2188.67909166323,2083.26867234125,2096.1186699791,2133.59898315368
2192.70355419269,2037.09138067838,2110.63167802478,2070.24741364283,2117.02389736835,2162.07673727633,2043.81415307846,2026.7441489334497,2018.7189649821496
2110.9201177057403,2038.94830963538,2064.7769107865897,2056.6808483003,2135.2202249738298,2112.29675715983,2046.6226473012496,2010.45976857794,2035.42802548268
2212.90644869075,2104.12336367984,2154.29792888585,2120.58127084478,2206.36271970602,2178.95026159085,2100.36133397486,2067.8367061112,2085.86103382496
2223.57753475643,2256.40897456898,2306.59521330716,2261.72378107421,2352.75551185358,2269.12095854801,2241.9377843663897,2180.96337945296,2159.97998372804
2402.97751001942,2469.22485433958,2522.25608555936,2485.4014146026,2514.44994041633,2459.50232895968,2460.48980141936,2341.63738368674,2313.51801192725
2502.74207722556,2661.24677469212,2654.4916414876698,2660.0504100386297,2703.85329540704,2597.86496235953,2519.77410544946,2511.75172905653,2486.0520785687
2799.38559150893,2832.2790438826696,2873.96020320992,2813.72531902223,2831.92627663625,2777.50101880265,2646.64924436288,2659.29586641284,2701.3198926490995
2883.0093086243,3046.10047284842,3133.18162421333,2946.59198451887,3008.61286987316,3008.42776804238,2804.21084849417,2827.76532736568,2936.49398514854
3187.97797230587,3299.15807184443,3381.35072227766,3117.7236511268,3192.29309100974,3184.65278883218,2921.33119973414,3060.51240879278,3217.37300992895
3298.74146958665,3539.6913007181,3648.75376241453,3497.96891461268,3422.1291284504305,3519.63080361035,3124.1246379333497,3266.45459758706,3453.10398409385
3322.51306630544,3778.90138151294,3909.3964975289,3875.847652669701,3574.47763849814,3583.27770855956,3274.97322223574,3453.0475866494,3630.4739468891
3756.587991207201,3934.05410056277,4141.7116090103,3961.37952436847,3749.56638623465,3776.87944693244,3439.8170909693,3684.9282654146,3811.7249897153
3791.13800153006,4094.6633339324,4303.873717691,4205.66995591694,3906.4736814995,3943.11941100704,3559.8349409579296,3876.4318218323,4011.02799254027
