autoformer,CNN,impactnet,informer,LSTM,nbeats,ANN,Proposed,Actual
4880.30012143404,5105.07458628028,4943.1489886094405,5204.4311638534,4896.76918068522,4891.290946562,4744.2445948385,4830.86056892676,4854.61996756492
4913.0947192027,4902.90893160198,4725.8229194876,4903.28957354788,4629.61579613262,4459.20962804898,4488.5108357236,4548.17163389522,4514.716033218
4332.3074207172,4607.1401555866405,4515.02318961176,4712.763633903,4425.80901306462,4471.3353314492,4290.65858474314,4342.23406346372,4283.00999411296
4568.64415078916,4396.8267811383,4363.909658507981,4498.99181353926,4296.6291206772,4409.88232270376,4202.06488760328,4248.08145225878,4135.2629969253
4421.16745710098,4416.27967681978,4376.018477116,4573.42687829802,4266.18459233422,4407.08032814424,4183.32673251684,4212.7763061264,4096.93907018398
4438.70422251632,4592.3563454213,4421.62452108462,4575.1382621057,4385.5286527923,4549.7270169054,4309.459654033561,4298.99144993026,4163.4180208581
4613.76567463378,4748.3997219625,4592.50779466612,4894.41588112538,4600.55002119098,4812.92099109924,4450.71877993658,4501.87867253262,4328.42494628116
4798.88723276828,4982.64104932244,4927.05822211568,5390.3040952408,4854.3528941996,5147.337294569021,4674.40241379456,4757.9462366481,4621.3310158972
5281.2701825486,5346.91208800244,5222.63179525076,5627.6299804871205,5089.08879914672,5230.28706638568,4975.744052181581,4953.31378033812,4827.0538558192
5406.56605884504,5481.062789801401,5359.60556089342,5892.36928022796,5300.2912680226,5522.37084662158,5164.248735375841,5132.5316809981005,4975.840075260699
5568.2345672016,5608.6680651979605,5602.753689551,6071.959527262021,5434.27018541396,5650.53566934922,5244.1530045646,5329.9643081863205,5184.83100341908
5706.291749206381,5849.5608995026005,5808.993938235721,6457.20140444228,5658.7187003586005,5835.650253330421,5462.75365526112,5524.590022201641,5453.8180764046
5867.580643387,6128.356715337801,5972.43549659756,6714.6312042276,5799.122574830621,6161.024163279981,5620.94932892284,5691.0174725337,5706.27097357076
6221.82703411358,6331.7824893992,6226.86824576738,6891.07331846204,5952.84612774782,6339.711294167761,5868.50548952672,5917.0721716894,5947.728934529121
6322.103098740201,6528.4580171876005,6468.72087039038,7404.7963512812,6196.7555402972,6553.286737057,6043.6420422634,6104.45247454742,6201.08788432716
6587.28213719964,6756.332676706041,6554.69669061784,7508.42390033524,6378.604311818361,6981.129752491401,6228.81432818664,6340.610078997781,6481.624008353201
6597.62399901,6962.66858140918,6770.6035562492,7511.4788731292,6584.417155024001,6951.8728123372,6419.75108216696,6536.004564943181,6724.3729952056
6877.889525888,7182.143937753801,6854.261094507601,7811.434049840181,6699.2829281178,7174.509809315201,6442.63643586628,6633.862800738901,6880.271749830999
6597.984232380981,7151.264956366301,6862.494266008601,7754.7292648978,6598.707929257101,6884.99193019658,6470.528937986441,6534.967912114241,6843.890895611201
6616.101100526601,6816.20893950856,6684.9411324474,7390.3958258988,6448.2438753559,6777.942054000021,6288.9898188718,6404.73624399704,6664.300208104301
6111.3636402313,6722.6716688611,6512.13159772444,7071.900560055101,6251.18271359608,6451.148059614301,6178.0273692618,6204.3280025382,6490.615820908961
5992.13292811738,6302.438629271241,6258.330853667881,6882.469709302601,5988.8420821176005,6233.960592612781,5836.2490761564,5992.74379053432,6257.3949222950205
5480.581206163,6078.292719167681,5767.36741955222,6349.95155357636,5593.4846727546,5970.440154632361,5422.5030269055005,5600.7576134644005,5877.107924091921
5182.14823017492,5565.67806283824,5421.553440874601,5849.644002045081,5213.854125907381,5397.90614257422,5054.966396001881,5226.70014922528,5469.1079898631
5289.6039286814,4991.6512149132,5040.530265731581,5181.59690500352,4981.4696852166,5035.92512218938,4876.66299036988,4905.6400834464,5013.447059042781
5354.153901964881,4763.37998301448,4788.36213425648,4888.31834218912,4679.4998591476,4680.5445138998,4560.75697070398,4625.57078721862,4725.1820315054
