true,forecasted
0.57167983,0.54694366
0.52066845,0.49632472
0.4953093,0.47404033
0.49706832,0.47347343
0.552917,0.535337
0.7176781,0.7108972
0.86367637,0.85223305
0.8710056,0.8768717
0.8954852,0.8896201
0.89108765,0.87736684
0.8953386,0.8843759
0.8507769,0.8476658
0.8569335,0.8510768
0.8336265,0.8327978
0.8248314,0.8305611
0.8198475,0.8335751
0.8800938,0.895988
0.9639402,0.9386918
0.90149516,0.86377513
0.81691587,0.785353
0.7248607,0.7044883
0.7266198,0.71514624
0.73072416,0.7080791
0.66138965,0.61568743
0.5990912,0.5838538
0.5558487,0.5323032
0.51773673,0.5035715
0.52506596,0.5015434
0.5727059,0.5636963
0.7377602,0.73057216
0.8755497,0.8633299
0.89387274,0.8914703
0.9076517,0.90318286
0.8902081,0.89162153
0.87496334,0.88824326
0.8201407,0.8516277
0.81545,0.8498207
0.78965116,0.82632047
0.80357665,0.8222822
0.81735563,0.82260066
0.8699795,0.8797984
0.9659924,0.9566324
0.91073,0.8926738
0.832747,0.8124118
0.75989443,0.71929216
0.7683964,0.7276314
0.7588684,0.7266077
0.69275874,0.6393855
0.632659,0.5890471
0.5854588,0.5368198
0.551158,0.5088034
0.5379654,0.5089951
0.59718555,0.57290906
0.7651715,0.7449212
0.89885664,0.8738965
0.91893876,0.8895726
0.9319848,0.88821805
0.9138083,0.86383396
0.89812374,0.8592653
0.8487247,0.8143308
0.82820284,0.8115261
0.79038405,0.78800625
0.7862797,0.7866905
0.7837877,0.79356515
0.8491645,0.85539484
0.9504544,0.9479407
0.88742304,0.8880147
0.8216066,0.8060448
0.7387863,0.7162982
0.7387863,0.7281356
0.7384931,0.72721046
0.65904427,0.64000964
0.5979185,0.6041466
0.5555556,0.5487698
0.5265318,0.51828974
0.513046,0.5105401
0.58032835,0.5631503
0.741718,0.72117376
0.889915,0.8582498
0.8850777,0.8978685
0.90647906,0.9059078
0.89885664,0.8907114
0.8927001,0.8882585
0.859572,0.8460697
0.8544415,0.8367163
0.86646146,0.8070498
0.8658751,0.7926818
0.8642627,0.7990207
0.88199943,0.8419768
0.92714745,0.8790213
0.8642627,0.80608255
0.77719146,0.7333586
0.6942246,0.658144
0.71870416,0.6869274
0.7316036,0.6937946
0.661243,0.60451025
0.58135444,0.58286804
0.51759017,0.513938
0.4828496,0.47128874
0.44898856,0.4286372
0.45558488,0.4222787
0.49369687,0.45396045
0.52242744,0.5124919
0.5949868,0.5955003
0.6666667,0.6636331
0.6871885,0.69165164
0.6720903,0.69754374
0.63617706,0.6836232
0.5784227,0.6591533
0.5447083,0.6208289
0.54397535,0.6239202
0.55834067,0.6336413
0.6347112,0.70433766
0.73321605,0.7762529
