true,forecasted
0.57167983,0.5647184
0.52066845,0.5270061
0.4953093,0.48669153
0.49706832,0.5069168
0.552917,0.56130433
0.7176781,0.70311505
0.86367637,0.8190609
0.8710056,0.8619117
0.8954852,0.855336
0.89108765,0.8501117
0.8953386,0.8474367
0.8507769,0.792092
0.8569335,0.7815498
0.8336265,0.7723459
0.8248314,0.7883374
0.8198475,0.7953335
0.8800938,0.85247815
0.9639402,0.9141006
0.90149516,0.8633083
0.81691587,0.7917638
0.7248607,0.7062167
0.7266198,0.71834016
0.73072416,0.71101105
0.66138965,0.6329176
0.5990912,0.5661116
0.5558487,0.52535963
0.51773673,0.49684715
0.52506596,0.50995314
0.5727059,0.5565352
0.7377602,0.74385643
0.8755497,0.8584788
0.89387274,0.9110382
0.9076517,0.9074633
0.8902081,0.90276873
0.87496334,0.9065385
0.8201407,0.8385322
0.81545,0.83925724
0.78965116,0.8175878
0.80357665,0.8289277
0.81735563,0.8312849
0.8699795,0.8747902
0.9659924,0.9271142
0.91073,0.8867167
0.832747,0.81283855
0.75989443,0.72586524
0.7683964,0.74275184
0.7588684,0.7334752
0.69275874,0.65668476
0.632659,0.5787174
0.5854588,0.5478921
0.551158,0.50054
0.5379654,0.5096403
0.59718555,0.5633695
0.7651715,0.73230624
0.89885664,0.8618675
0.91893876,0.89145184
0.9319848,0.8785955
0.9138083,0.8723889
0.89812374,0.8682868
0.8487247,0.80549675
0.82820284,0.79620665
0.79038405,0.764503
0.7862797,0.7742831
0.7837877,0.7712635
0.8491645,0.83079916
0.9504544,0.93185925
0.88742304,0.8701196
0.8216066,0.79350686
0.7387863,0.7149449
0.7387863,0.7314882
0.7384931,0.722068
0.65904427,0.6486837
0.5979185,0.58319885
0.5555556,0.5497301
0.5265318,0.50895596
0.513046,0.52072704
0.58032835,0.57576495
0.741718,0.71453315
0.889915,0.85576916
0.8850777,0.9038743
0.90647906,0.8776291
0.89885664,0.8914938
0.8927001,0.89844114
0.859572,0.8388914
0.8544415,0.83775616
0.86646146,0.81243336
0.8658751,0.7957032
0.8642627,0.80088615
0.88199943,0.83655775
0.92714745,0.8817557
0.8642627,0.79848385
0.77719146,0.74690175
0.6942246,0.6606653
0.71870416,0.69206506
0.7316036,0.6943394
0.661243,0.6176529
0.58135444,0.56554884
0.51759017,0.49972528
0.4828496,0.45091003
0.44898856,0.44212312
0.45558488,0.44466233
0.49369687,0.48399925
0.52242744,0.52403706
0.5949868,0.6096827
0.6666667,0.6625599
0.6871885,0.70470554
0.6720903,0.6990424
0.63617706,0.6823281
0.5784227,0.65277076
0.5447083,0.6281824
0.54397535,0.5956305
0.55834067,0.6171597
0.6347112,0.667858
0.73321605,0.74450064
0.7012606,0.6927287
0.60788625,0.6327527
0.5259455,0.5603919
0.54998535,0.59744287
0.57651716,0.61068517
0.5083553,0.52994734
0.45397243,0.4302666
0.39856347,0.3857327
0.3718851,0.34646273
0.3582527,0.33502787
0.35546762,0.34442872
0.3765758,0.3585596
0.37716213,0.38084075
0.42172384,0.43564034
0.492231,0.5041661
0.5408971,0.5448867
0.5898563,0.58232665
0.59381413,0.5854285
0.53283495,0.5470374
0.479185,0.51523346
0.4703899,0.4947396
0.47302845,0.48405787
0.55438286,0.5550493
0.67692757,0.6493499
0.67253006,0.6463932
0.61169744,0.5978455
0.56713575,0.5432586
0.5778364,0.55620444
0.58501905,0.55122507
0.5279977,0.4680974
0.47229552,0.44747823
0.4218704,0.41897735
0.40428028,0.3861686
0.4097039,0.410995
0.48153034,0.47913665
0.63720316,0.661578
0.7537379,0.76631933
0.8069481,0.8230419
0.8289358,0.84130615
0.80753446,0.8244244
0.7936089,0.83625996
0.78364116,0.7859725
0.7788039,0.79059297
0.7546174,0.7866884
0.7673703,0.785528
0.7535913,0.770555
0.79331577,0.8400346
0.8965113,0.9235548
0.8641161,0.8748344
0.7821753,0.7804418
0.69349164,0.6974511
0.7081501,0.7186614
0.7044855,0.7039297
0.6427734,0.6239118
0.5828203,0.5485617
0.52741134,0.5055214
0.49501613,0.46233767
0.5,0.48427215
0.557168,0.5432005
0.68806803,0.6896048
0.7930226,0.8024394
0.81427735,0.8316325
0.807681,0.8248885
0.7689827,0.810344
0.7531516,0.8190974
0.69451773,0.75336707
0.6926121,0.7422617
0.6808854,0.7253212
0.6920258,0.7423453
0.71225446,0.7273514
0.78598654,0.781536
0.883905,0.8812158
0.85883904,0.8477798
0.7845207,0.77497697
0.69539726,0.6779177
0.7159191,0.6981116
0.71240103,0.6947773
0.64204043,0.6154939
0.5847259,0.5578881
0.53620636,0.52403593
0.5105541,0.4757669
0.5158311,0.48293343
0.5741718,0.52742946
0.71606565,0.6769843
0.8164761,0.76641536
0.83787745,0.8162876
0.84022284,0.8200852
0.80474937,0.81692034
0.7861331,0.8220491
0.7313105,0.7441699
0.73424214,0.752247
0.71811783,0.7501497
0.7544708,0.7588294
0.7801231,0.73984087
0.8114922,0.8076903
0.88273233,0.89441925
0.8424216,0.8653015
0.76443857,0.77502686
0.6858692,0.6818067
0.6946643,0.7075404
0.6942246,0.7000112
0.6124304,0.6008919
0.5477866,0.5539635
0.5114336,0.51413935
0.47874522,0.47783947
0.4771328,0.49243698
0.5294635,0.55154365
0.66754615,0.71837044
0.76473176,0.83761126
0.82175314,0.843125
0.8633832,0.83614486
0.87525654,0.8224686
0.8855174,0.82348156
0.8528291,0.7416415
0.82922894,0.7240658
0.79067725,0.7210421
0.7758722,0.7217772
0.7515391,0.7240933
0.7681032,0.7668407
0.859572,0.8706424
0.8271768,0.8450684
0.7515391,0.7668493
0.675022,0.67373496
0.6874817,0.700658
0.6807388,0.6931427
0.59454703,0.59758294
0.53151566,0.53920126
0.49296394,0.48987454
0.46745822,0.45689535
0.47185576,0.4684236
0.52316034,0.5372629
0.6728232,0.6797473
0.7767517,0.8254878
0.79917914,0.8278829
0.79141015,0.8258018
0.766051,0.8113753
0.7430372,0.82150173
0.70287305,0.7557497
0.6720903,0.7281301
0.64204043,0.7026651
0.6505424,0.6898638
0.65933746,0.69063437
0.70785695,0.72163
0.81134564,0.8257244
0.7793902,0.77929276
0.7241278,0.72527015
0.63647026,0.6246376
0.6635884,0.66506594
0.66402817,0.6766928
0.59205514,0.57721895
0.5205218,0.4992498
0.46086192,0.46534097
0.41234243,0.41921508
0.3954852,0.41532424
0.39372617,0.40786737
0.44151276,0.44968376
0.47903842,0.4784912
0.5351803,0.5460296
0.6077397,0.6002426
0.6150689,0.61294246
0.6043682,0.6087709
0.58164763,0.57718635
0.52887714,0.56233495
0.47126943,0.5338465
0.4646731,0.5176885
0.47566697,0.52400434
0.54148346,0.57206297
0.6684257,0.6829762
0.66783935,0.6815594
0.6130167,0.6162153
0.54529464,0.553769
0.57050717,0.58094275
0.5828203,0.59428734
0.5249194,0.5329426
0.4639402,0.4457829
0.40178832,0.39393008
0.370859,0.36655
0.35209617,0.36976087
0.36338317,0.36093837
0.39519203,0.38684833
0.3915274,0.39477327
0.4352096,0.4198019
0.47405452,0.47662005
0.4828496,0.4897013
0.5008795,0.509075
0.46789798,0.5022303
0.4136617,0.46586412
0.38859573,0.43449628
0.3907945,0.41257697
0.40413368,0.42986292
0.4849018,0.48635784
0.6380827,0.6076037
0.6694518,0.6390621
0.6228379,0.5980915
0.5599531,0.53807324
0.5592202,0.54749507
0.54353565,0.56002885
0.4761067,0.47108632
0.4218704,0.43325695
0.38361186,0.4018945
0.37320435,0.37663603
0.3888889,0.4103972
0.46760482,0.4849267
0.65713865,0.6428229
0.7937555,0.7461101
0.82351214,0.80101144
0.85810614,0.8229203
0.8559074,0.8228322
0.8710056,0.82948905
0.83289355,0.781641
0.8298153,0.7829805
0.8185283,0.76301694
0.8090003,0.77854115
0.8057754,0.76905453
0.83318675,0.80761
0.90853125,0.83797383
0.87393725,0.8239813
0.7808561,0.75915647
0.69041336,0.6739104
0.69334507,0.6806973
0.67091763,0.67528456
0.598798,0.5840447
0.5428027,0.5328159
0.50014657,0.5013413
0.4695104,0.45972848
0.4705365,0.4724304
0.52345353,0.53436416
0.6956904,0.6851199
0.8175022,0.783848
0.83289355,0.80266845
0.8372911,0.8145434
0.8286426,0.8092306
0.8283495,0.810507
0.76927584,0.74209577
0.7780709,0.74486357
0.76678395,0.7178874
0.7741132,0.7320262
0.7805629,0.7284937
0.804163,0.7468041
0.8730578,0.8248902
0.8437408,0.8173128
0.7612137,0.7691941
0.6741425,0.6613642
0.6805922,0.67787224
0.67663443,0.6750344
0.6007036,0.5982843
0.5501319,0.55787975
