true,forecasted
0.57167983,0.57745737
0.52066845,0.53010833
0.4953093,0.474913
0.49706832,0.50855803
0.552917,0.5808825
0.7176781,0.75323474
0.86367637,0.86829436
0.8710056,0.8883798
0.8954852,0.8733896
0.89108765,0.8756741
0.8953386,0.84089476
0.8507769,0.79664683
0.8569335,0.8454446
0.8336265,0.78833663
0.8248314,0.7897725
0.8198475,0.82279646
0.8800938,0.90090466
0.9639402,0.91902816
0.90149516,0.87220615
0.81691587,0.78665936
0.7248607,0.6932088
0.7266198,0.72735554
0.73072416,0.70732546
0.66138965,0.60724646
0.5990912,0.6159115
0.5558487,0.56745833
0.51773673,0.5169282
0.52506596,0.5313121
0.5727059,0.5964847
0.7377602,0.75951636
0.8755497,0.88747704
0.89387274,0.90190506
0.9076517,0.9215362
0.8902081,0.9114549
0.87496334,0.89503175
0.8201407,0.8633346
0.81545,0.8606566
0.78965116,0.8307837
0.80357665,0.83851314
0.81735563,0.84424627
0.8699795,0.9267632
0.9659924,0.9536116
0.91073,0.92505527
0.832747,0.8229376
0.75989443,0.718338
0.7683964,0.758616
0.7588684,0.73868054
0.69275874,0.6421692
0.632659,0.639818
0.5854588,0.5839634
0.551158,0.53062975
0.5379654,0.55000746
0.59718555,0.59813535
0.7651715,0.76139176
0.89885664,0.8776035
0.91893876,0.8945658
0.9319848,0.9132061
0.9138083,0.89526325
0.89812374,0.87476176
0.8487247,0.83547854
0.82820284,0.8262656
0.79038405,0.78322864
0.7862797,0.80863345
0.7837877,0.81675196
0.8491645,0.8947201
0.9504544,0.9410356
0.88742304,0.9180504
0.8216066,0.81679016
0.7387863,0.71795136
0.7387863,0.767269
0.7384931,0.7546208
0.65904427,0.6654656
0.5979185,0.6294273
0.5555556,0.5609626
0.5265318,0.5252653
0.513046,0.5358035
0.58032835,0.59697556
0.741718,0.7477222
0.889915,0.87292355
0.8850777,0.8720446
0.90647906,0.8923399
0.89885664,0.8679396
0.8927001,0.85195494
0.859572,0.7990655
0.8544415,0.77808994
0.86646146,0.75318104
0.8658751,0.75832003
0.8642627,0.75971115
0.88199943,0.81718063
0.92714745,0.86267626
0.8642627,0.824384
0.77719146,0.747653
0.6942246,0.67312944
0.71870416,0.7221569
0.7316036,0.715935
0.661243,0.62376654
0.58135444,0.58249867
0.51759017,0.5287218
0.4828496,0.4635954
0.44898856,0.4442286
0.45558488,0.43262947
0.49369687,0.4745283
0.52242744,0.5063662
0.5949868,0.5431545
0.6666667,0.6577586
0.6871885,0.680518
0.6720903,0.69204336
0.63617706,0.69799495
0.5784227,0.64535016
0.5447083,0.6259349
0.54397535,0.62721545
0.55834067,0.6127298
0.6347112,0.6955116
0.73321605,0.7293079
0.7012606,0.7312032
0.60788625,0.633047
0.5259455,0.576578
0.54998535,0.6052359
0.57651716,0.6209484
0.5083553,0.5457851
0.45397243,0.46306658
0.39856347,0.40602112
0.3718851,0.35121644
0.3582527,0.37909284
0.35546762,0.3785609
0.3765758,0.39580113
0.37716213,0.38532022
0.42172384,0.40393806
0.492231,0.49347788
0.5408971,0.53646624
0.5898563,0.54089427
0.59381413,0.54764247
0.53283495,0.535957
0.479185,0.47519776
0.4703899,0.46117312
0.47302845,0.47558185
0.55438286,0.5829067
0.67692757,0.6485439
0.67253006,0.6762839
0.61169744,0.62608695
0.56713575,0.5403222
0.5778364,0.5711223
0.58501905,0.55890834
0.5279977,0.47274435
0.47229552,0.4873154
0.4218704,0.42092365
0.40428028,0.39822936
0.4097039,0.41836274
0.48153034,0.501269
0.63720316,0.6730965
0.7537379,0.7940495
0.8069481,0.8241528
0.8289358,0.8324998
0.80753446,0.8419305
0.7936089,0.8362247
0.78364116,0.7960244
0.7788039,0.7763171
0.7546174,0.7509366
0.7673703,0.75513816
0.7535913,0.7652285
0.79331577,0.815078
0.8965113,0.89403266
0.8641161,0.8725671
0.7821753,0.77098715
0.69349164,0.6674949
0.7081501,0.7032945
0.7044855,0.70707947
0.6427734,0.6009181
0.5828203,0.5942077
0.52741134,0.53987765
0.49501613,0.4937997
0.5,0.5080458
0.557168,0.5635595
0.68806803,0.72839856
0.7930226,0.8507499
0.81427735,0.8663809
0.807681,0.87812144
0.7689827,0.8669576
0.7531516,0.8571444
0.69451773,0.8160683
0.6926121,0.81122106
0.6808854,0.78225917
0.6920258,0.7901824
0.71225446,0.8001288
0.78598654,0.8587023
0.883905,0.9154683
0.85883904,0.8839548
0.7845207,0.7901164
0.69539726,0.7003375
0.7159191,0.736367
0.71240103,0.72610915
0.64204043,0.6293823
0.5847259,0.59270144
0.53620636,0.5358504
0.5105541,0.48722893
0.5158311,0.49734792
0.5741718,0.54672945
0.71606565,0.70524496
0.8164761,0.8248441
0.83787745,0.84233266
0.84022284,0.8637836
0.80474937,0.8435186
0.7861331,0.84218144
0.7313105,0.808659
0.73424214,0.7727438
0.71811783,0.7591744
0.7544708,0.7733668
0.7801231,0.7773057
0.8114922,0.82537735
0.88273233,0.9093583
0.8424216,0.88567287
0.76443857,0.78958356
0.6858692,0.69387615
0.6946643,0.72842413
0.6942246,0.72497416
0.6124304,0.63441044
0.5477866,0.58119404
0.5114336,0.52653146
0.47874522,0.48575535
0.4771328,0.49662948
0.5294635,0.563295
0.66754615,0.7300752
0.76473176,0.8227049
0.82175314,0.8513046
0.8633832,0.84490144
0.87525654,0.82783693
0.8855174,0.804145
0.8528291,0.76173466
0.82922894,0.7430973
0.79067725,0.7233514
0.7758722,0.7297456
0.7515391,0.7511081
0.7681032,0.7850046
0.859572,0.8639248
0.8271768,0.85774595
0.7515391,0.77127016
0.675022,0.68821454
0.6874817,0.7107995
0.6807388,0.7035334
0.59454703,0.6126089
0.53151566,0.5611186
0.49296394,0.49916118
0.46745822,0.46675926
0.47185576,0.47882873
0.52316034,0.53853023
0.6728232,0.70073766
0.7767517,0.8084337
0.79917914,0.8341534
0.79141015,0.8549208
0.766051,0.82693696
0.7430372,0.8255613
0.70287305,0.7852859
0.6720903,0.7218777
0.64204043,0.7171414
0.6505424,0.7242667
0.65933746,0.717978
0.70785695,0.7398406
0.81134564,0.8148485
0.7793902,0.7776005
0.7241278,0.70214546
0.63647026,0.63824046
0.6635884,0.6676211
0.66402817,0.66318905
0.59205514,0.57563186
0.5205218,0.51199764
0.46086192,0.44794083
0.41234243,0.3970644
0.3954852,0.39630872
0.39372617,0.3871799
0.44151276,0.43427765
0.47903842,0.44532582
0.5351803,0.48593637
0.6077397,0.571048
0.6150689,0.59887016
0.6043682,0.60417676
0.58164763,0.60487485
0.52887714,0.5677128
0.47126943,0.52454174
0.4646731,0.5272355
0.47566697,0.5399201
0.54148346,0.59978706
0.6684257,0.65959895
0.66783935,0.6674845
0.6130167,0.5895815
0.54529464,0.5282296
0.57050717,0.5457401
0.5828203,0.5648017
0.5249194,0.48379266
0.4639402,0.46296078
0.40178832,0.39033186
0.370859,0.34919012
0.35209617,0.36343342
0.36338317,0.35216057
0.39519203,0.3834719
0.3915274,0.3804717
0.4352096,0.40687573
0.47405452,0.4892811
0.4828496,0.5288497
0.5008795,0.53755176
0.46789798,0.54001904
0.4136617,0.5141885
0.38859573,0.461455
0.3907945,0.44690603
0.40413368,0.46617296
0.4849018,0.5248568
0.6380827,0.6277599
0.6694518,0.65981305
0.6228379,0.61659455
0.5599531,0.53918314
0.5592202,0.5672967
0.54353565,0.5754574
0.4761067,0.48612076
0.4218704,0.46278724
0.38361186,0.394052
0.37320435,0.37110257
0.3888889,0.39809477
0.46760482,0.47298986
0.65713865,0.63234043
0.7937555,0.73407054
0.82351214,0.7564792
0.85810614,0.7623293
0.8559074,0.7662406
0.8710056,0.75573134
0.83289355,0.71770436
0.8298153,0.69999623
0.8185283,0.6702099
0.8090003,0.67390704
0.8057754,0.6956148
0.83318675,0.7318937
0.90853125,0.831378
0.87393725,0.8200083
0.7808561,0.73922205
0.69041336,0.64081055
0.69334507,0.6713084
0.67091763,0.6700635
0.598798,0.5710215
0.5428027,0.56040716
0.50014657,0.5073327
0.4695104,0.4759254
0.4705365,0.48461673
0.52345353,0.5516707
0.6956904,0.7128822
0.8175022,0.8298533
0.83289355,0.85244447
0.8372911,0.8647163
0.8286426,0.8630022
0.8283495,0.8571863
0.76927584,0.82384694
0.7780709,0.806839
0.76678395,0.7952832
0.7741132,0.7872498
0.7805629,0.7916955
0.804163,0.8298861
0.8730578,0.88450426
0.8437408,0.86384684
0.7612137,0.7787688
0.6741425,0.69325495
0.6805922,0.713598
0.67663443,0.7010062
0.6007036,0.59917474
0.5501319,0.53569347
0.5096746,0.48689687
0.47962475,0.4480629
0.47566697,0.469136
0.5389915,0.5256406
0.70785695,0.67787313
0.83318675,0.7973212
0.8280563,0.8241106
0.82746994,0.8503882
0.79214305,0.8428076
0.7697156,0.8435034
0.70961595,0.8186567
0.6873351,0.7667274
0.6808854,0.76440847
0.70111406,0.7677097
0.7022867,0.75852466
0.75403106,0.7851512
0.859572,0.8596138
0.85576075,0.837903
0.78173554,0.7553143
0.7040457,0.67526126
0.70888305,0.6984487
0.6926121,0.6795728
0.619613,0.58939195
0.5615655,0.5744501
0.52535915,0.51269084
0.49252418,0.47189742
0.50058633,0.48743635
0.5549692,0.5542629
0.71826446,0.70610166
0.84637934,0.8043549
0.84022284,0.8216002
0.8161829,0.8247951
0.7622398,0.8122107
0.733949,0.79458314
0.6606567,0.7635438
0.65831137,0.73413473
0.64702433,0.7042586
0.65831137,0.70536816
0.68029904,0.72852945
0.7302844,0.7561995
0.838757,0.8477168
0.84828496,0.84919703
0.77601874,0.7665725
0.6899736,0.67520076
0.70595133,0.7035651
0.69744945,0.7019042
0.6212255,0.60896695
0.57725006,0.57803726
0.52917033,0.50775325
0.50014657,0.47594488
0.49882734,0.48901665
0.56039286,0.5458268
0.73512167,0.7018502
0.8444738,0.80282235
0.8306948,0.8084913
0.8151568,0.83545125
0.758282,0.7955457
0.7317502,0.78339744
0.6728232,0.7405969
0.6609499,0.68004346
0.63954854,0.6704532
0.64204043,0.68020797
0.6531809,0.68412256
0.70668423,0.71363914
0.7994723,0.7928444
0.8032835,0.7628806
0.7484609,0.6959669
0.6778071,0.63571286
0.69539726,0.6664239
0.7063911,0.6623409
0.63691,0.5849229
0.573732,0.5430609
0.5152448,0.4807623
0.47390795,0.4275264
0.44503078,0.42156637
0.45016125,0.4176361
0.49780124,0.4604863
0.52272063,0.4757237
0.568455,0.5107158
0.6012899,0.58983403
0.59352094,0.61283505
0.5637643,0.6127276
0.52403986,0.6065364
0.49076518,0.57270575
0.4705365,0.53471756
0.48314276,0.5396298
0.5105541,0.55306125
0.568455,0.61627084
0.6890941,0.67692995
0.6977426,0.6894164
0.6253298,0.60570097
0.5727059,0.54861176
0.5790091,0.5650409
0.5913222,0.58502424
0.54133683,0.5085337
0.49413663,0.48110318
0.43227792,0.41533592
0.40911755,0.36756486
0.39211375,0.3837573
0.38566402,0.38513622
0.4193785,0.4079633
0.41454118,0.39447352
0.441073,0.42003226
0.479185,0.49286342
0.48534155,0.51857793
0.47962475,0.5208198
0.47317502,0.52454704
0.43022573,0.48770475
0.3965113,0.4362548
0.40515977,0.43201876
0.42362943,0.45231616
0.51744354,0.52241147
0.66314864,0.63425565
0.7298446,0.6823157
0.68103194,0.63786876
0.6134565,0.55132854
0.6159484,0.5789761
0.6225447,0.57822907
0.5602463,0.49973637
0.5143653,0.5280097
0.47889182,0.46174496
0.448842,0.4294647
0.4703899,0.43310618
0.5340076,0.5122445
0.7159191,0.6721848
0.84432715,0.7770387
0.8501906,0.8015949
0.8669012,0.8107449
0.87012607,0.801734
0.87188506,0.7853076
0.7977133,0.7502512
0.78334796,0.71633077
0.7764585,0.6931052
0.7987394,0.70460755
0.81061274,0.72365606
0.85033715,0.77467346
0.9299326,0.87751323
0.93682206,0.8928561
0.85678685,0.7961158
0.77059513,0.68435323
0.77689826,0.72193944
0.77250075,0.7255678
0.71459985,0.634064
0.65537965,0.6756673
0.61184406,0.61525154
0.5655233,0.5848087
0.5633245,0.5541887
0.62107885,0.6232834
0.7663442,0.77268434
0.86045146,0.8882097
0.8573732,0.8971907
0.84095573,0.9105351
0.79712695,0.8961322
0.7767517,0.87764776
0.71709174,0.8328107
0.73013777,0.8275549
0.697596,0.8106445
0.7338024,0.8055827
0.7544708,0.8151493
0.8097332,0.87926126
0.9116095,0.92773545
0.9374084,0.94521517
0.8608912,0.8470955
0.7748461,0.7505932
0.7845207,0.7880454
0.7700088,0.7840959
0.7159191,0.68367314
0.6523014,0.68697417
0.61829376,0.63046676
0.58883023,0.58878505
0.5750513,0.56062436
0.6300205,0.6299014
0.7909704,0.77845323
0.8780416,0.90138423
0.8798006,0.91004604
0.8748168,0.9339243
0.8299619,0.90726507
0.80079156,0.89094007
0.75241864,0.85599405
0.7424509,0.81585336
0.7298446,0.80949473
0.75403106,0.8127601
0.76956904,0.81256974
0.82175314,0.877491
0.92509526,0.94134754
0.93579596,0.9668349
0.8545881,0.86399066
0.76678395,0.762324
0.78290826,0.8034009
0.7842275,0.79695
0.74934036,0.70840114
0.6902668,0.6991067
0.6350044,0.6348318
0.5882439,0.58664346
0.5856054,0.5706047
0.6414541,0.6275035
0.7922897,0.78348994
0.89885664,0.890419
0.9327177,0.90185714
0.9495749,0.92002034
0.93682206,0.8807706
0.90955734,0.862138
0.8430079,0.8245769
0.8471123,0.77148056
0.8104661,0.75394
0.8224861,0.7682727
0.8258575,0.77593327
0.8680739,0.83420366
0.9379947,0.9174154
0.9362357,0.9392215
0.8619173,0.84386754
0.77792436,0.7467104
0.78026974,0.78906107
0.7823219,0.79099524
0.7216359,0.71029997
0.66754615,0.6999748
0.6187335,0.6335759
0.5804749,0.6001648
0.58208734,0.56717515
0.63647026,0.6335153
0.781589,0.7773988
0.8855174,0.9059185
0.92245674,0.9085355
0.96892405,0.94991213
0.9727353,0.8952203
0.98270303,0.89362365
0.95866317,0.8468427
0.9508942,0.7522916
0.9252419,0.768029
0.9114629,0.77815807
0.8919672,0.75226504
0.8840516,0.8123843
0.92348284,0.87832814
0.90472,0.880965
0.8192612,0.79155076
0.7308707,0.71526426
0.758282,0.76360875
0.76986223,0.76074123
0.70492524,0.68425125
0.6391088,0.6347543
0.5760774,0.5841447
0.54250956,0.5163557
0.5137789,0.47824186
0.4953093,0.48231608
0.54045737,0.51788247
0.54720026,0.5631772
0.6272354,0.58638924
0.6965699,0.71499765
0.7034594,0.7297708
0.675022,0.7341838
0.6336851,0.74468595
0.57563764,0.66841257
0.54866606,0.6707432
0.5504251,0.6617838
0.5845793,0.63328516
0.6300205,0.72566056
0.6970097,0.7465411
0.7126942,0.775372
0.6455585,0.6765825
0.58062154,0.6163356
0.59146875,0.64862704
0.59923774,0.6600654
0.53649956,0.5905244
0.47977132,0.51558065
0.41424802,0.4561727
0.3752565,0.4037676
0.3604515,0.42955709
0.370859,0.42986816
0.39988273,0.45708543
0.3831721,0.44375202
0.41879213,0.4482013
0.46921724,0.53660613
0.47009674,0.57103646
0.49193785,0.55105436
0.5334213,0.55353904
0.5255057,0.5442337
0.49765465,0.4805349
0.49736148,0.4642427
0.5033714,0.47941703
0.54602754,0.579422
0.6322193,0.6411925
0.66212255,0.6917346
0.6111111,0.6612571
0.54119027,0.5786869
0.5407505,0.61675775
0.52711815,0.59749687
0.46144825,0.51242876
0.4163002,0.46250674
0.37965405,0.3890263
0.35092348,0.3921315
0.3696863,0.3750304
0.45411903,0.40618175
0.6376429,0.54929733
0.7398124,0.6294421
0.7578423,0.63687724
0.77689826,0.67960066
0.7619466,0.70526433
0.7414248,0.6812052
0.69349164,0.62944674
0.682791,0.6531747
0.6788332,0.6193374
0.69070655,0.6035204
0.69613016,0.63793814
0.7225154,0.68399477
0.7959543,0.7536239
0.8034301,0.75946546
0.7338024,0.6735678
0.6417473,0.62288344
0.6396951,0.64179176
0.617854,0.6456437
0.5344474,0.5339165
0.46804455,0.5152326
0.42245677,0.4613709
0.39900324,0.43153104
0.41204926,0.45111263
0.49267077,0.5348108
0.65068895,0.6992932
0.7471416,0.80407226
0.7780709,0.8214786
0.7977133,0.8106178
0.76004106,0.8005587
0.7398124,0.7921792
0.69378483,0.7491616
0.68880093,0.73127055
0.6844034,0.71722704
0.6929053,0.70343715
0.699355,0.7189832
0.72031665,0.74010825
0.7795368,0.8194854
0.8022574,0.7951834
0.7151862,0.7298
0.638669,0.6542834
0.6424802,0.6686997
0.6284081,0.6555958
0.5238933,0.55515414
0.47302845,0.48645374
0.41864556,0.44173598
0.40076223,0.4050825
0.40340075,0.42207724
0.4695104,0.4991997
0.6329522,0.6649187
0.73717386,0.7778959
0.7774846,0.80906737
0.8063618,0.8155433
0.78862506,0.80393964
0.8202873,0.8066232
0.7930226,0.7837221
0.7974201,0.7275218
0.78261507,0.7375138
0.7663442,0.72751427
0.74464965,0.72905296
0.7458223,0.73488283
0.77983,0.83055466
0.7741132,0.80663633
0.70888305,0.73282564
0.6226913,0.6536454
0.63177955,0.6592661
0.6191733,0.6450943
0.54192317,0.55082905
0.47903842,0.48151404
0.44136617,0.42906004
0.4105834,0.39561194
0.43491644,0.4178741
0.4951627,0.49892414
0.65039575,0.6576942
0.7455292,0.749243
0.7804163,0.79699934
0.8050425,0.79476726
0.8126649,0.79091793
0.8504837,0.7775564
0.8326004,0.7519744
0.8286426,0.69328535
0.7908238,0.70201176
0.7566696,0.6942332
0.7245676,0.70146716
0.72207564,0.6962804
0.786866,0.7915103
0.8202873,0.78213143
0.7305775,0.7139081
0.65171504,0.6322754
0.6599238,0.6415118
0.6350044,0.6346872
0.5515978,0.5422137
0.48021108,0.5053685
0.44077983,0.4446474
0.41439462,0.43515915
0.43946058,0.45625916
0.5108473,0.5364134
0.66417474,0.6874624
0.7619466,0.7755127
0.7855468,0.81004566
0.79903257,0.8305894
0.8016711,0.82586586
0.7909704,0.8234707
0.75813544,0.788997
0.75168574,0.7266662
0.7292583,0.72367245
0.71328056,0.7251141
0.7082967,0.7109526
0.714893,0.70909536
0.7566696,0.7800629
0.7348285,0.7615073
0.67150396,0.6843543
0.5965992,0.6215532
0.6027558,0.6433665
0.59308124,0.63415736
0.4989739,0.535534
0.4097039,0.45247072
0.34828496,0.39223266
0.313691,0.35324222
0.28657284,0.352845
0.2927294,0.34603322
0.34300792,0.41810113
0.370859,0.45170507
0.43975374,0.5026416
0.5090882,0.58604956
0.5247728,0.6120967
0.54793316,0.62018126
0.54763997,0.6201805
0.52975667,0.56777734
0.50219876,0.5487673
0.5073292,0.54733574
0.50513047,0.5479617
0.53312814,0.55748415
0.58106124,0.6203727
0.5854588,0.5993591
0.5085019,0.5355996
0.44048667,0.4943959
0.44444445,0.5027981
0.4401935,0.51875424
0.37818822,0.43205947
0.30680153,0.31012794
0.25535035,0.25451916
0.23629434,0.22440892
0.224421,0.25640514
0.24508941,0.2596916
0.2719144,0.26833037
0.2746995,0.28039783
0.34960422,0.31942296
0.4209909,0.3993849
0.44429785,0.44730902
0.46701846,0.47201693
0.47185576,0.47603294
0.41292876,0.40845484
0.3649956,0.38679364
0.34725887,0.36851856
0.33069482,0.37211898
0.38141307,0.41724226
0.47390795,0.5169673
0.5639109,0.5442624
0.5212548,0.5100144
0.44708297,0.44966248
0.44327176,0.45065713
0.42143068,0.4312895
0.3413955,0.3524755
0.283348,0.29863864
0.25417766,0.24875703
0.24670185,0.23439294
0.26751685,0.28888392
0.3537086,0.36819723
0.53488714,0.5186771
0.6376429,0.5975036
0.66241574,0.64284736
0.6855761,0.6462585
0.6759015,0.6896753
0.7047787,0.6686026
0.68117857,0.6448554
0.6786866,0.6602691
0.6701847,0.60309386
0.65904427,0.5970527
0.66681325,0.6248226
0.68968046,0.63465494
0.7442099,0.69723123
0.75271183,0.68252146
0.66007036,0.62625146
0.57739663,0.55539507
0.57050717,0.5670205
0.54426855,0.5378904
0.45367926,0.43625396
0.3850777,0.39582515
0.3450601,0.35285157
0.33025506,0.33293355
0.36147758,0.37723422
0.4305189,0.46588498
