true,forecasted
0.30717257,0.29804257
0.26507276,0.25638545
0.25987527,0.25140023
0.27234927,0.25842577
0.34511435,0.34458652
0.5540541,0.5532872
0.69282746,0.68526983
0.7655925,0.76250076
0.78118503,0.78213537
0.76871103,0.7616714
0.79002076,0.7762855
0.7796258,0.7601134
0.7510395,0.7204784
0.73128897,0.68956304
0.71257794,0.666432
0.739605,0.69278574
0.82952183,0.8068061
0.85446984,0.8525647
0.86434513,0.85316676
0.8264033,0.80562013
0.80457383,0.7751119
0.6969854,0.6658493
0.56912684,0.5205251
0.4246362,0.38046548
0.35239086,0.34636778
0.32016632,0.31958848
0.29885656,0.31560838
0.31392932,0.3161119
0.3783784,0.3907506
0.57484406,0.554766
0.6871102,0.6761445
0.758316,0.7531065
0.77650726,0.7821549
0.7635135,0.7699719
0.79365903,0.78342175
0.78118503,0.76771575
0.745842,0.7285614
0.7240125,0.6931944
0.71465695,0.6693046
0.72557175,0.6950446
0.8160083,0.7912526
0.8477131,0.8326605
0.8570686,0.81772614
0.8154886,0.79085934
0.80613303,0.76629186
0.6985447,0.6668328
0.57172555,0.5244854
0.43866944,0.38385174
0.34927234,0.33652893
0.30405405,0.3119056
0.28586277,0.3120557
0.30405405,0.309638
0.36694387,0.36361453
0.5608108,0.5319861
0.6746362,0.6601188
0.7432432,0.73526096
0.76611227,0.7624928
0.75363827,0.7482101
0.7759875,0.7635851
0.76299375,0.75077516
0.73492724,0.7143205
0.7047817,0.68501174
0.67411643,0.66213715
0.6787942,0.6883839
0.7817048,0.77557755
0.81912684,0.82192034
0.82276505,0.82332796
0.7889813,0.7800324
0.7723493,0.7662519
0.6678794,0.6607541
0.54106027,0.5168607
0.3960499,0.3793764
0.3108108,0.32867378
0.27702704,0.3049386
0.26767153,0.3015526
0.28222454,0.31035042
0.3508316,0.35754147
0.55093557,0.5271627
0.6720374,0.6630219
0.73700625,0.7409564
0.7442827,0.7568557
0.71361744,0.72962725
0.71465695,0.73520666
0.6923077,0.71646875
0.6621622,0.6732975
0.63461536,0.64255655
0.6029106,0.6164999
0.60758835,0.64091045
0.7318087,0.76125515
0.7962578,0.8276318
0.7962578,0.82906455
0.7577963,0.78241634
0.7448025,0.7648052
0.6486486,0.66413826
0.5306653,0.52322876
0.3991684,0.38566986
0.31652805,0.35924506
0.27546778,0.33282506
0.25987527,0.32064587
0.26195425,0.3212906
0.29054055,0.33976653
0.38929313,0.39458787
0.46933472,0.4579357
0.5810811,0.55356395
0.6351351,0.6114748
0.64449066,0.62932223
0.66268194,0.6426542
0.6512474,0.6204788
0.6081081,0.560179
0.5644491,0.5176115
0.54365903,0.4888012
0.55717254,0.50765514
0.65800416,0.61064374
0.720894,0.6979689
0.7323285,0.7197843
0.6923077,0.6959447
0.6756757,0.68670094
0.59719336,0.6008344
0.47661123,0.46815127
0.3601871,0.37169817
0.27390853,0.34304124
0.22141372,0.31614697
0.20322245,0.29787707
0.20426196,0.29563367
0.23284823,0.2989144
0.2920998,0.2908081
0.3300416,0.28390387
0.44074845,0.38429362
0.52858627,0.4699894
0.5821206,0.5187657
0.5987526,0.5421934
0.5587318,0.5156641
0.491684,0.4550422
0.43035343,0.39760175
0.39449066,0.36223152
0.40072766,0.36414784
0.5155925,0.45776078
0.62785864,0.5903216
0.6621622,0.62913525
0.6543659,0.61459136
0.6408524,0.6172049
0.5654886,0.5469418
0.42931393,0.41568455
0.31860706,0.32116336
0.24532224,0.28974628
0.20841996,0.2534561
0.19698545,0.24541816
0.21413721,0.2487902
0.29781705,0.3063674
0.5181913,0.4646523
0.65904367,0.6037077
0.74948025,0.6917633
0.7780665,0.7119564
0.7676715,0.6897558
0.79002076,0.69874835
0.78222454,0.68149096
0.75623703,0.6416719
0.7297297,0.61405647
0.6969854,0.590495
0.7110187,0.60565346
0.8165281,0.6791934
0.85862786,0.79577404
0.8674636,0.8131956
0.8274428,0.756619
0.79781705,0.7545804
0.6824324,0.6434374
0.54365903,0.49726227
0.4043659,0.37049922
0.32588357,0.3227874
0.28430355,0.2871117
0.27027026,0.28568757
0.28638253,0.27165753
0.35862786,0.35611865
0.5504158,0.5226738
0.6725572,0.64832973
0.7577963,0.7235842
0.7848233,0.7559993
0.7655925,0.7361661
0.77079004,0.75404334
0.758316,0.73615986
0.7193347,0.7017503
0.68087316,0.6679901
0.65488565,0.6337707
0.6720374,0.61681706
0.774948,0.7094711
0.84511435,0.80929214
0.85862786,0.8337306
0.82172555,0.7741248
0.80717254,0.7510117
