true,forecasted
0.30717257,0.32854015
0.26507276,0.29858023
0.25987527,0.29159036
0.27234927,0.3099581
0.34511435,0.3448418
0.5540541,0.5366227
0.69282746,0.6748711
0.7655925,0.7357799
0.78118503,0.7417797
0.76871103,0.72062045
0.79002076,0.7322762
0.7796258,0.7269964
0.7510395,0.6926864
0.73128897,0.6588779
0.71257794,0.6313459
0.739605,0.6538479
0.82952183,0.7653798
0.85446984,0.8421814
0.86434513,0.83811235
0.8264033,0.7860414
0.80457383,0.7590467
0.6969854,0.6567688
0.56912684,0.50534374
0.4246362,0.36710265
0.35239086,0.35366774
0.32016632,0.3326976
0.29885656,0.32587296
0.31392932,0.34828424
0.3783784,0.39486566
0.57484406,0.56447124
0.6871102,0.7088186
0.758316,0.78341377
0.77650726,0.79605174
0.7635135,0.7808769
0.79365903,0.7968205
0.78118503,0.78873116
0.745842,0.757721
0.7240125,0.72188073
0.71465695,0.6906192
0.72557175,0.6983952
0.8160083,0.7807736
0.8477131,0.8576459
0.8570686,0.85202163
0.8154886,0.8128386
0.80613303,0.7908212
0.6985447,0.6796061
0.57172555,0.5108384
0.43866944,0.37045905
0.34927234,0.36984134
0.30405405,0.34380162
0.28586277,0.33798406
0.30405405,0.35426036
0.36694387,0.38124767
0.5608108,0.53032136
0.6746362,0.66492796
0.7432432,0.739996
0.76611227,0.76393235
0.75363827,0.76224625
0.7759875,0.7767985
0.76299375,0.7682793
0.73492724,0.7374986
0.7047817,0.70078546
0.67411643,0.66947585
0.6787942,0.6760713
0.7817048,0.75207347
0.81912684,0.82741123
0.82276505,0.82439
0.7889813,0.79058653
0.7723493,0.76939327
0.6678794,0.6660638
0.54106027,0.5065328
0.3960499,0.3937982
0.3108108,0.3447441
0.27702704,0.31877312
0.26767153,0.3069001
0.28222454,0.32531112
0.3508316,0.3550641
0.55093557,0.5069875
0.6720374,0.6379194
0.73700625,0.71019155
0.7442827,0.7250601
0.71361744,0.70324844
0.71465695,0.7050442
0.6923077,0.69042265
0.6621622,0.6541564
0.63461536,0.6185562
0.6029106,0.58923274
0.60758835,0.61189437
0.7318087,0.6976688
0.7962578,0.7855657
0.7962578,0.7943972
0.7577963,0.7577993
0.7448025,0.73512775
0.6486486,0.6460209
0.5306653,0.5034201
0.3991684,0.37453547
0.31652805,0.3563171
0.27546778,0.3199002
0.25987527,0.30149478
0.26195425,0.31703252
0.29054055,0.3426742
0.38929313,0.37445307
0.46933472,0.4294217
0.5810811,0.5426117
0.6351351,0.6070765
0.64449066,0.6256384
0.66268194,0.63622135
0.6512474,0.60961765
0.6081081,0.5607031
0.5644491,0.5133479
0.54365903,0.48268634
0.55717254,0.49697447
0.65800416,0.61693287
0.720894,0.72541183
0.7323285,0.7274441
0.6923077,0.69603914
0.6756757,0.6859473
0.59719336,0.6081548
0.47661123,0.46717346
0.3601871,0.38138923
0.27390853,0.35831565
0.22141372,0.31801084
0.20322245,0.28632617
0.20426196,0.29807654
0.23284823,0.33687127
0.2920998,0.34313273
0.3300416,0.30644104
0.44074845,0.41224304
0.52858627,0.4984697
0.5821206,0.56018716
0.5987526,0.58405554
0.5587318,0.5486588
0.491684,0.4860308
0.43035343,0.4201613
0.39449066,0.3890549
0.40072766,0.40321875
0.5155925,0.5329806
0.62785864,0.64833874
0.6621622,0.6576329
0.6543659,0.65729177
0.6408524,0.6584337
0.5654886,0.5896344
0.42931393,0.4450236
0.31860706,0.38803318
0.24532224,0.32369885
0.20841996,0.30311075
0.19698545,0.2975784
0.21413721,0.3208048
0.29781705,0.3556019
0.5181913,0.5105997
0.65904367,0.64605725
0.74948025,0.72626644
0.7780665,0.74255735
0.7676715,0.73176014
0.79002076,0.7382052
0.78222454,0.7255263
0.75623703,0.69695455
0.7297297,0.6639753
0.6969854,0.6369315
0.7110187,0.65087765
0.8165281,0.7717706
0.85862786,0.84553146
0.8674636,0.8252911
0.8274428,0.77774364
0.79781705,0.7494595
0.6824324,0.6434475
0.54365903,0.48726276
0.4043659,0.40586504
0.32588357,0.3477088
0.28430355,0.32692906
0.27027026,0.3211872
0.28638253,0.33384743
0.35862786,0.37460804
0.5504158,0.534177
0.6725572,0.66549367
0.7577963,0.7322362
0.7848233,0.74919724
0.7655925,0.737622
0.77079004,0.7517212
0.758316,0.7420236
0.7193347,0.7049355
0.68087316,0.66844064
0.65488565,0.6349481
0.6720374,0.6347386
0.774948,0.73574466
0.84511435,0.8242743
0.85862786,0.8089502
0.82172555,0.7760058
0.80717254,0.76098037
0.6943867,0.66429794
0.56133056,0.51378673
0.42099792,0.37778968
0.3435551,0.36772633
0.2983368,0.34021592
0.2827443,0.329045
0.2952183,0.34838095
0.37785864,0.37791607
0.57016635,0.52586865
0.69542617,0.66068166
0.766632,0.7361531
0.77286905,0.7448035
0.75051975,0.7215423
0.76091474,0.7299158
0.74636173,0.71534866
0.70842,0.67910504
0.6730769,0.63965374
0.6470894,0.60760826
0.6668399,0.6125497
0.77546775,0.7130133
0.8466736,0.82168293
0.8591476,0.8281484
0.8264033,0.7896492
0.8024948,0.7676792
0.6891892,0.67058015
0.55093557,0.51494014
0.41476092,0.38780478
0.32796258,0.3738104
0.28794178,0.34515953
0.2765073,0.33748722
0.28638253,0.3601683
0.36278588,0.39281666
0.55925155,0.5380995
0.68659043,0.6693545
0.76611227,0.7369468
0.77182955,0.742751
0.74116427,0.72474915
0.74376297,0.7315677
0.71569645,0.7194499
0.6756757,0.6840367
0.63461536,0.64590746
0.6070686,0.61376417
0.6237006,0.6172233
0.735447,0.73122734
0.83575886,0.82768166
0.8570686,0.83416724
0.82276505,0.802136
0.8118503,0.7767265
0.70114344,0.6757276
0.5535343,0.51805687
0.39968815,0.39981633
0.32224533,0.3653381
0.28014553,0.33756205
0.27027026,0.3270934
0.29158005,0.34481677
0.35966736,0.3795898
0.5535343,0.5252854
0.68659043,0.661841
0.75051975,0.7350603
0.75363827,0.7447289
0.7219335,0.7164721
0.7240125,0.7194087
0.6995842,0.7041406
0.6621622,0.6633318
0.6273389,0.629136
0.6060291,0.59689456
0.62681913,0.6060115
0.737526,0.71213305
0.82068604,0.81755257
0.8279626,0.80506575
0.78222454,0.7656543
0.7676715,0.7479303
0.67047817,0.65585065
0.5379418,0.5159796
0.40072766,0.38652906
0.32068607,0.33682656
0.27286902,0.30242482
0.25675675,0.28905427
0.25987527,0.30468008
0.29313928,0.3459653
0.3846154,0.4034677
0.46933472,0.48076963
0.58627856,0.5898884
0.63357586,0.64729786
0.63201666,0.65950567
0.6351351,0.66397864
0.6159044,0.6416502
0.5743243,0.59762156
0.53222454,0.5582569
0.51299375,0.52788264
0.529106,0.5463307
0.63565487,0.67364705
0.71569645,0.76268536
0.71881497,0.7306372
0.67723495,0.6946323
0.6621622,0.68255246
0.5831601,0.59924495
0.44698545,0.46420568
0.3383576,0.37740412
0.262474,0.31442773
0.21673597,0.28417376
0.20322245,0.26063317
0.20738046,0.27102748
0.23752598,0.29539517
0.29417878,0.3102634
0.33887735,0.3302874
0.4454262,0.4402574
0.5556133,0.5225179
0.6330561,0.575267
0.6756757,0.5971166
0.64553016,0.5641153
0.5800416,0.50789565
0.52079004,0.45364943
0.48856547,0.42975277
0.49324325,0.44897792
0.5769231,0.5479712
0.6491684,0.62081844
0.67619544,0.63173753
0.65904367,0.61134833
0.6496881,0.6042491
0.5800416,0.53420895
0.44074845,0.39960742
0.32120582,0.31715348
0.24532224,0.31168246
0.21361746,0.2883392
0.20322245,0.28437313
0.22453223,0.30272105
0.30093554,0.33273718
0.50727654,0.50599974
0.6564449,0.64395005
0.7546778,0.7208889
0.78430355,0.7398172
0.77286905,0.72752607
0.7869023,0.7371258
0.77286905,0.72485095
0.74116427,0.6951781
0.70893973,0.65922517
0.68191266,0.62911916
0.7058212,0.64052755
0.7827443,0.7373015
0.8487526,0.8236837
0.8627859,0.8196413
0.8144491,0.76658064
0.7926195,0.74212766
0.66943866,0.6383463
0.5358628,0.48333937
0.40176716,0.38372847
0.32224533,0.33465487
0.27962577,0.30099496
0.26923078,0.29542965
0.28586277,0.3086237
0.35862786,0.3557364
0.55457383,0.5344762
0.6839917,0.67956823
0.7739085,0.7587921
0.7972973,0.7786693
0.78846157,0.76649886
0.81133056,0.7822557
0.7941788,0.7737511
0.75727654,0.74364406
0.7162162,0.70893174
0.6845114,0.67811054
0.6933472,0.69317204
0.76871103,0.7803489
0.8466736,0.85644025
0.8570686,0.8424983
0.82484406,0.7959803
0.8087318,0.7756096
0.6850312,0.6740763
0.5472973,0.52344537
0.4137214,0.3933501
0.33991683,0.35707778
0.30197504,0.32662138
0.28430355,0.31724903
0.29885656,0.3344226
0.36590436,0.37906817
0.56133056,0.5425611
0.7047817,0.6871959
0.7941788,0.7715626
0.8212058,0.79342914
0.81808734,0.7806967
0.84199584,0.7953121
0.8321206,0.7847158
0.7962578,0.7514356
0.76195425,0.7168564
0.73492724,0.6870566
0.747921,0.69961804
0.8253638,0.7804768
