true,forecasted
0.30717257,0.29196325
0.26507276,0.24865505
0.25987527,0.24805282
0.27234927,0.27689856
0.34511435,0.32654002
0.5540541,0.49049792
0.69282746,0.6220483
0.7655925,0.6882063
0.78118503,0.7137895
0.76871103,0.71088874
0.79002076,0.736389
0.7796258,0.69665694
0.7510395,0.6495924
0.73128897,0.6338058
0.71257794,0.6013949
0.739605,0.6591815
0.82952183,0.7488301
0.85446984,0.7851412
0.86434513,0.802963
0.8264033,0.7474502
0.80457383,0.7345647
0.6969854,0.6463524
0.56912684,0.47054845
0.4246362,0.34998623
0.35239086,0.31792215
0.32016632,0.28365767
0.29885656,0.28300947
0.31392932,0.28382933
0.3783784,0.33713117
0.57484406,0.49796677
0.6871102,0.64722997
0.758316,0.71365076
0.77650726,0.73513645
0.7635135,0.7161019
0.79365903,0.73408586
0.78118503,0.7040186
0.745842,0.65876293
0.7240125,0.64927584
0.71465695,0.617463
0.72557175,0.6766018
0.8160083,0.74116576
0.8477131,0.7927304
0.8570686,0.79478717
0.8154886,0.7539964
0.80613303,0.72382975
0.6985447,0.6314603
0.57172555,0.46851072
0.43866944,0.35747436
0.34927234,0.3224305
0.30405405,0.2938464
0.28586277,0.29096222
0.30405405,0.30683172
0.36694387,0.34093896
0.5608108,0.49671802
0.6746362,0.6363581
0.7432432,0.708506
0.76611227,0.74866074
0.75363827,0.7304383
0.7759875,0.752896
0.76299375,0.718472
0.73492724,0.67952037
0.7047817,0.6592162
0.67411643,0.63947743
0.6787942,0.6910005
0.7817048,0.78351855
0.81912684,0.8004227
0.82276505,0.80021334
0.7889813,0.7721181
0.7723493,0.7494147
0.6678794,0.65277433
0.54106027,0.48664093
0.3960499,0.3731365
0.3108108,0.3271999
0.27702704,0.29205397
0.26767153,0.28226733
0.28222454,0.27992922
0.3508316,0.32892662
0.55093557,0.48510692
0.6720374,0.6446955
0.73700625,0.7065482
0.7442827,0.715661
0.71361744,0.7008257
0.71465695,0.7159608
0.6923077,0.6736599
0.6621622,0.63499045
0.63461536,0.61055714
0.6029106,0.5707495
0.60758835,0.61964625
0.7318087,0.72622055
0.7962578,0.7842226
0.7962578,0.7664305
0.7577963,0.75376457
0.7448025,0.7289791
0.6486486,0.65225756
0.5306653,0.49354187
0.3991684,0.3848496
0.31652805,0.31973517
0.27546778,0.29529864
0.25987527,0.29327786
0.26195425,0.2886987
0.29054055,0.31733984
0.38929313,0.36070576
0.46933472,0.44273216
0.5810811,0.52646345
0.6351351,0.5893682
0.64449066,0.59604484
0.66268194,0.61649936
0.6512474,0.5719038
0.6081081,0.50814354
0.5644491,0.48918915
0.54365903,0.4583967
0.55717254,0.5004183
0.65800416,0.60932064
0.720894,0.6841371
0.7323285,0.70092756
0.6923077,0.6753242
0.6756757,0.65318155
0.59719336,0.5922295
0.47661123,0.46041226
0.3601871,0.3551117
0.27390853,0.33330983
0.22141372,0.29768875
0.20322245,0.2776086
0.20426196,0.2727991
0.23284823,0.2956026
0.2920998,0.28642786
0.3300416,0.32207233
0.44074845,0.42635328
0.52858627,0.5052242
0.5821206,0.5605983
0.5987526,0.5990331
0.5587318,0.5305636
0.491684,0.47648492
0.43035343,0.42941368
0.39449066,0.38076353
0.40072766,0.41564715
0.5155925,0.53515124
0.62785864,0.6372989
0.6621622,0.6656341
0.6543659,0.6673371
0.6408524,0.65589106
0.5654886,0.58845955
0.42931393,0.4372358
0.31860706,0.33995134
0.24532224,0.28136808
0.20841996,0.25540227
0.19698545,0.23503329
0.21413721,0.23725191
0.29781705,0.33011705
0.5181913,0.4354697
0.65904367,0.6002281
0.74948025,0.689486
0.7780665,0.7073768
0.7676715,0.70383865
0.79002076,0.7219325
0.78222454,0.6798022
0.75623703,0.6384584
0.7297297,0.6177911
0.6969854,0.584074
0.7110187,0.61159414
0.8165281,0.7119148
0.85862786,0.79069024
0.8674636,0.7821358
0.8274428,0.7572284
0.79781705,0.75529015
0.6824324,0.66516036
0.54365903,0.49275893
0.4043659,0.3530645
0.32588357,0.323959
0.28430355,0.2969515
0.27027026,0.29616615
0.28638253,0.30149972
0.35862786,0.36750746
0.5504158,0.49016756
0.6725572,0.6505792
0.7577963,0.7307237
0.7848233,0.75034595
0.7655925,0.7405133
0.77079004,0.75161785
0.758316,0.7109258
0.7193347,0.6741328
0.68087316,0.64911675
0.65488565,0.606275
0.6720374,0.661748
0.774948,0.7500748
0.84511435,0.81264335
0.85862786,0.8067528
0.82172555,0.7719887
0.80717254,0.7602294
0.6943867,0.6819415
0.56133056,0.5026066
0.42099792,0.37242737
0.3435551,0.3580146
0.2983368,0.31781414
0.2827443,0.31416506
0.2952183,0.32433793
0.37785864,0.3609796
0.57016635,0.48063722
0.69542617,0.63475496
0.766632,0.6829956
0.77286905,0.70631653
0.75051975,0.6767288
0.76091474,0.6931426
0.74636173,0.6619263
0.70842,0.62115043
0.6730769,0.59904855
0.6470894,0.5552985
0.6668399,0.59114254
0.77546775,0.7012358
0.8466736,0.7960285
0.8591476,0.7985125
0.8264033,0.7688057
0.8024948,0.748481
0.6891892,0.6486895
0.55093557,0.4876362
0.41476092,0.39070386
0.32796258,0.33768448
0.28794178,0.30095208
0.2765073,0.30342096
0.28638253,0.32890812
0.36278588,0.37680846
0.55925155,0.50055796
0.68659043,0.64672905
0.76611227,0.70816326
0.77182955,0.72446144
0.74116427,0.7022825
0.74376297,0.71068805
0.71569645,0.6799344
0.6756757,0.6411952
0.63461536,0.61621916
0.6070686,0.5765009
0.6237006,0.60510033
0.735447,0.72356606
0.83575886,0.8096545
0.8570686,0.8133337
0.82276505,0.79077804
0.8118503,0.7846423
0.70114344,0.6838236
0.5535343,0.51756936
0.39968815,0.38428602
0.32224533,0.30804175
0.28014553,0.27657723
0.27027026,0.26976418
0.29158005,0.273714
0.35966736,0.3447553
0.5535343,0.4676804
0.68659043,0.62802964
0.75051975,0.7025282
0.75363827,0.71754533
0.7219335,0.70703346
0.7240125,0.6966415
0.6995842,0.65199864
0.6621622,0.6165627
0.6273389,0.5935181
0.6060291,0.5444901
0.62681913,0.5759277
0.737526,0.70027715
0.82068604,0.8146727
0.8279626,0.7917551
0.78222454,0.75904036
0.7676715,0.7348312
0.67047817,0.65925276
0.5379418,0.5089977
0.40072766,0.3695006
0.32068607,0.29067084
0.27286902,0.2648975
0.25675675,0.26647434
0.25987527,0.25762984
0.29313928,0.2891724
0.3846154,0.34760875
0.46933472,0.4371518
0.58627856,0.55598336
0.63357586,0.6056895
0.63201666,0.6084035
0.6351351,0.625492
0.6159044,0.5832292
0.5743243,0.53656536
0.53222454,0.5125267
0.51299375,0.49448228
0.529106,0.5342072
0.63565487,0.63292724
0.71569645,0.7198202
0.71881497,0.7131967
0.67723495,0.67526484
0.6621622,0.6556847
0.5831601,0.5903839
0.44698545,0.46503565
0.3383576,0.32850823
0.262474,0.25707474
0.21673597,0.2259255
0.20322245,0.2193595
0.20738046,0.19858855
0.23752598,0.22617623
0.29417878,0.22320928
0.33887735,0.2623602
0.4454262,0.3649307
0.5556133,0.466366
0.6330561,0.533141
0.6756757,0.5681067
0.64553016,0.5169883
0.5800416,0.46309257
0.52079004,0.42888808
0.48856547,0.38044342
0.49324325,0.41978058
0.5769231,0.52763116
0.6491684,0.5927456
0.67619544,0.5949285
0.65904367,0.59812635
0.6496881,0.5991001
0.5800416,0.52925766
0.44074845,0.3968264
0.32120582,0.28531343
0.24532224,0.2689981
0.21361746,0.23778963
0.20322245,0.24019964
0.22453223,0.2358853
