true,forecasted
0.30717257,0.31192622
0.26507276,0.28639427
0.25987527,0.2841451
0.27234927,0.30187485
0.34511435,0.36257508
0.5540541,0.5085258
0.69282746,0.636178
0.7655925,0.73095363
0.78118503,0.7287896
0.76871103,0.7213256
0.79002076,0.72275764
0.7796258,0.6979115
0.7510395,0.6735269
0.73128897,0.6444434
0.71257794,0.6176299
0.739605,0.6510166
0.82952183,0.74833226
0.85446984,0.8239317
0.86434513,0.82365984
0.8264033,0.7751366
0.80457383,0.7483886
0.6969854,0.64671016
0.56912684,0.4606407
0.4246362,0.36197367
0.35239086,0.31988013
0.32016632,0.2978856
0.29885656,0.3045568
0.31392932,0.3135932
0.3783784,0.3714839
0.57484406,0.49159494
0.6871102,0.6382157
0.758316,0.747145
0.77650726,0.7316928
0.7635135,0.7161495
0.79365903,0.7125891
0.78118503,0.70580494
0.745842,0.68493044
0.7240125,0.64589304
0.71465695,0.62937576
0.72557175,0.6644125
0.8160083,0.74942696
0.8477131,0.7965388
0.8570686,0.8083419
0.8154886,0.77563584
0.80613303,0.7467407
0.6985447,0.644579
0.57172555,0.45909798
0.43866944,0.35349602
0.34927234,0.32259548
0.30405405,0.29937264
0.28586277,0.30680957
0.30405405,0.3096125
0.36694387,0.35392043
0.5608108,0.47208232
0.6746362,0.63038963
0.7432432,0.71187943
0.76611227,0.719232
0.75363827,0.7123049
0.7759875,0.7189624
0.76299375,0.69685805
0.73492724,0.66868436
0.7047817,0.63748395
0.67411643,0.62406963
0.6787942,0.66263723
0.7817048,0.7444904
0.81912684,0.7728406
0.82276505,0.78864634
0.7889813,0.7540411
0.7723493,0.7346566
0.6678794,0.62524116
0.54106027,0.45939067
0.3960499,0.3517535
0.3108108,0.33550927
0.27702704,0.30799195
0.26767153,0.30742386
0.28222454,0.31792754
0.3508316,0.34866714
0.55093557,0.4751699
0.6720374,0.6013635
0.73700625,0.68061054
0.7442827,0.6899628
0.71361744,0.68608254
0.71465695,0.6881991
0.6923077,0.6731052
0.6621622,0.6323976
0.63461536,0.60718757
0.6029106,0.55895394
0.60758835,0.5980066
0.7318087,0.69778895
0.7962578,0.7833308
0.7962578,0.76203936
0.7577963,0.72824967
0.7448025,0.7159337
0.6486486,0.63950807
0.5306653,0.48112836
0.3991684,0.3679319
