true,forecasted
0.30717257,0.34153014
0.26507276,0.30211964
0.25987527,0.2928205
0.27234927,0.3226286
0.34511435,0.3837939
0.5540541,0.55438995
0.69282746,0.667367
0.7655925,0.73624486
0.78118503,0.7412385
0.76871103,0.72594285
0.79002076,0.7426608
0.7796258,0.7270965
0.7510395,0.7051315
0.73128897,0.6720339
0.71257794,0.6469142
0.739605,0.70602584
0.82952183,0.82990587
0.85446984,0.87440985
0.86434513,0.8624464
0.8264033,0.801984
0.80457383,0.7660105
0.6969854,0.6690815
0.56912684,0.5151299
0.4246362,0.38590926
0.35239086,0.37312877
0.32016632,0.34719914
0.29885656,0.33688846
0.31392932,0.35853717
0.3783784,0.41283223
0.57484406,0.5621009
0.6871102,0.68134135
0.758316,0.75734895
0.77650726,0.76780444
0.7635135,0.76382804
0.79365903,0.7846336
0.78118503,0.77032167
0.745842,0.74936247
0.7240125,0.7177866
0.71465695,0.68039054
0.72557175,0.7177996
0.8160083,0.7941058
0.8477131,0.8213274
0.8570686,0.8235316
0.8154886,0.8133842
0.80613303,0.7884017
0.6985447,0.6876098
0.57172555,0.52948266
0.43866944,0.3943564
0.34927234,0.4014716
0.30405405,0.38534197
0.28586277,0.36845946
0.30405405,0.3781073
0.36694387,0.4285167
0.5608108,0.55995256
0.6746362,0.6939418
0.7432432,0.7761705
0.76611227,0.7888594
0.75363827,0.7856321
0.7759875,0.799609
0.76299375,0.7851146
0.73492724,0.75829166
0.7047817,0.7289171
0.67411643,0.68946207
0.6787942,0.72881776
0.7817048,0.8092907
0.81912684,0.83141536
0.82276505,0.83089733
0.7889813,0.81648844
0.7723493,0.7949146
0.6678794,0.7024127
0.54106027,0.53992575
0.3960499,0.4082539
0.3108108,0.38988703
0.27702704,0.3640387
0.26767153,0.3437713
0.28222454,0.34773818
0.3508316,0.37630925
0.55093557,0.47709432
0.6720374,0.59355927
0.73700625,0.67653066
0.7442827,0.7018054
0.71361744,0.6882056
0.71465695,0.70063716
0.6923077,0.6747672
0.6621622,0.6455021
0.63461536,0.60410506
0.6029106,0.57406694
0.60758835,0.62759745
0.7318087,0.75181097
0.7962578,0.79132205
0.7962578,0.7862779
0.7577963,0.75411665
0.7448025,0.73357683
0.6486486,0.6506212
0.5306653,0.5082355
0.3991684,0.39429155
0.31652805,0.38626355
0.27546778,0.35978287
0.25987527,0.33920938
0.26195425,0.3414344
0.29054055,0.36171234
0.38929313,0.42588797
0.46933472,0.5184046
0.5810811,0.6076811
0.6351351,0.64193565
0.64449066,0.64208627
0.66268194,0.65250844
0.6512474,0.62481815
0.6081081,0.58651465
0.5644491,0.54242826
0.54365903,0.51093453
0.55717254,0.5452644
0.65800416,0.6687909
0.720894,0.7305785
0.7323285,0.74760896
0.6923077,0.71413803
0.6756757,0.69503677
0.59719336,0.6149696
0.47661123,0.47645992
0.3601871,0.3844026
0.27390853,0.35518664
0.22141372,0.3178519
0.20322245,0.3026803
0.20426196,0.2990341
0.23284823,0.32086784
0.2920998,0.32508022
0.3300416,0.31339982
0.44074845,0.39166775
0.52858627,0.48229283
0.5821206,0.5383195
0.5987526,0.56759566
0.5587318,0.54770064
0.491684,0.49382925
0.43035343,0.43060997
0.39449066,0.4003237
0.40072766,0.41558582
0.5155925,0.537952
0.62785864,0.6215804
0.6621622,0.6496072
0.6543659,0.6349101
0.6408524,0.62589383
0.5654886,0.5587054
0.42931393,0.42543292
0.31860706,0.34746286
0.24532224,0.30359894
0.20841996,0.2857399
0.19698545,0.272039
0.21413721,0.2725365
0.29781705,0.3377414
0.5181913,0.46130928
0.65904367,0.6164622
0.74948025,0.707774
0.7780665,0.7249776
0.7676715,0.7080348
0.79002076,0.69528764
0.78222454,0.68294495
0.75623703,0.66449386
0.7297297,0.6415723
0.6969854,0.6240882
0.7110187,0.67137235
0.8165281,0.77666026
0.85862786,0.8153077
0.8674636,0.81440717
0.8274428,0.75829077
0.79781705,0.7323595
0.6824324,0.6280905
0.54365903,0.48251736
0.4043659,0.37526762
0.32588357,0.35112494
0.28430355,0.31527248
0.27027026,0.31071043
0.28638253,0.32747525
0.35862786,0.390731
0.5504158,0.55156887
