true,forecasted
0.30717257,0.35636702
0.26507276,0.31550667
0.25987527,0.31246638
0.27234927,0.3485585
0.34511435,0.43243435
0.5540541,0.56836516
0.69282746,0.6755575
0.7655925,0.7357126
0.78118503,0.7793533
0.76871103,0.78709716
0.79002076,0.78817594
0.7796258,0.77350056
0.7510395,0.73467106
0.73128897,0.69121575
0.71257794,0.67190146
0.739605,0.7206092
0.82952183,0.8224288
0.85446984,0.85675126
0.86434513,0.8537774
0.8264033,0.8072653
0.80457383,0.7676093
0.6969854,0.68278044
0.56912684,0.55717945
0.4246362,0.4432596
0.35239086,0.39471966
0.32016632,0.37506908
0.29885656,0.36135483
0.31392932,0.37366644
0.3783784,0.39841345
0.57484406,0.53609806
0.6871102,0.6655235
0.758316,0.74724287
0.77650726,0.77219605
0.7635135,0.76606286
0.79365903,0.78256905
0.78118503,0.7684117
0.745842,0.738996
0.7240125,0.7062086
0.71465695,0.68285406
0.72557175,0.7107831
0.8160083,0.78356755
0.8477131,0.8227221
0.8570686,0.84408534
0.8154886,0.80763084
0.80613303,0.78717345
0.6985447,0.68125707
0.57172555,0.5221356
0.43866944,0.40383017
0.34927234,0.38524273
0.30405405,0.37454948
0.28586277,0.35780752
0.30405405,0.3707803
0.36694387,0.39232305
0.5608108,0.5177836
0.6746362,0.65885377
0.7432432,0.7438287
0.76611227,0.77647656
0.75363827,0.7733187
0.7759875,0.79097915
0.76299375,0.77502936
0.73492724,0.74145204
0.7047817,0.7086617
0.67411643,0.67477226
0.6787942,0.68457395
0.7817048,0.75003326
0.81912684,0.81467295
0.82276505,0.82999814
0.7889813,0.7951801
0.7723493,0.77929467
0.6678794,0.68150336
0.54106027,0.5262107
0.3960499,0.40874138
0.3108108,0.35059538
0.27702704,0.33227533
0.26767153,0.31769866
0.28222454,0.32821712
0.3508316,0.36546674
0.55093557,0.50116515
0.6720374,0.64328235
0.73700625,0.71992856
0.7442827,0.74138963
0.71361744,0.72192806
0.71465695,0.72259414
0.6923077,0.69688135
0.6621622,0.6565605
0.63461536,0.62200475
0.6029106,0.58770716
0.60758835,0.5981475
0.7318087,0.6981691
0.7962578,0.7926448
0.7962578,0.7992406
0.7577963,0.76286393
0.7448025,0.74876916
0.6486486,0.65548265
0.5306653,0.51067626
0.3991684,0.38302958
0.31652805,0.35909998
0.27546778,0.32528794
0.25987527,0.30949387
0.26195425,0.31474358
0.29054055,0.32348293
0.38929313,0.37773943
0.46933472,0.45530584
0.5810811,0.56566614
0.6351351,0.623259
0.64449066,0.6363811
0.66268194,0.640696
0.6512474,0.6135269
0.6081081,0.5643733
0.5644491,0.5196686
0.54365903,0.49366763
0.55717254,0.51029897
0.65800416,0.6221917
0.720894,0.7202725
0.7323285,0.7303311
0.6923077,0.7034273
0.6756757,0.6945661
0.59719336,0.6148286
0.47661123,0.47887406
0.3601871,0.37983838
0.27390853,0.368247
0.22141372,0.32617
0.20322245,0.3075147
0.20426196,0.30086988
0.23284823,0.31011716
0.2920998,0.33500025
0.3300416,0.32925856
0.44074845,0.4309743
0.52858627,0.5140608
0.5821206,0.563439
0.5987526,0.5832907
0.5587318,0.5568015
0.491684,0.4944442
0.43035343,0.43523368
0.39449066,0.40643966
0.40072766,0.41688392
0.5155925,0.5341028
0.62785864,0.6385571
0.6621622,0.6650075
0.6543659,0.65585613
0.6408524,0.6475119
0.5654886,0.57515275
0.42931393,0.43331215
0.31860706,0.35615444
0.24532224,0.31838045
0.20841996,0.29182374
0.19698545,0.28293785
0.21413721,0.29507676
0.29781705,0.34396532
0.5181913,0.4813079
0.65904367,0.62803394
0.74948025,0.7160329
0.7780665,0.74004155
0.7676715,0.72817266
0.79002076,0.73034924
0.78222454,0.71659446
0.75623703,0.6788971
0.7297297,0.64665294
0.6969854,0.6261834
0.7110187,0.64677227
0.8165281,0.7282653
0.85862786,0.81486106
0.8674636,0.8246905
0.8274428,0.7723187
0.79781705,0.75910836
0.6824324,0.6424515
0.54365903,0.48596534
0.4043659,0.39232066
0.32588357,0.323351
0.28430355,0.2928559
0.27027026,0.28746188
0.28638253,0.30774564
0.35862786,0.38692644
0.5504158,0.53455657
0.6725572,0.6555116
0.7577963,0.72985697
0.7848233,0.7624156
0.7655925,0.76196015
0.77079004,0.78087616
0.758316,0.77370626
0.7193347,0.7375894
0.68087316,0.6933794
0.65488565,0.66566527
0.6720374,0.6815837
0.774948,0.79698676
0.84511435,0.85864604
0.85862786,0.85566056
0.82172555,0.81680423
0.80717254,0.7969382
0.6943867,0.6969297
0.56133056,0.53638756
0.42099792,0.41332301
0.3435551,0.4041133
0.2983368,0.37898776
0.2827443,0.3629134
0.2952183,0.37717158
0.37785864,0.40245232
0.57016635,0.5408192
0.69542617,0.67761725
0.766632,0.75885993
0.77286905,0.77722305
0.75051975,0.7561992
0.76091474,0.761111
0.74636173,0.7381251
0.70842,0.6955899
0.6730769,0.66047215
0.6470894,0.63144875
0.6668399,0.634089
0.77546775,0.73931694
0.8466736,0.8474343
0.8591476,0.86695516
0.8264033,0.82931465
0.8024948,0.8069964
0.6891892,0.7044736
0.55093557,0.544145
0.41476092,0.42115837
0.32796258,0.38822135
0.28794178,0.3686087
0.2765073,0.3541068
0.28638253,0.3733615
0.36278588,0.3925911
0.55925155,0.5430784
0.68659043,0.68961215
0.76611227,0.7651791
0.77182955,0.77734476
0.74116427,0.7499643
0.74376297,0.7515588
0.71569645,0.72118753
0.6756757,0.6763355
0.63461536,0.64041936
0.6070686,0.6104536
0.6237006,0.61742795
0.735447,0.72644186
0.83575886,0.82249516
0.8570686,0.8479631
0.82276505,0.81214994
0.8118503,0.7894893
0.70114344,0.6857766
0.5535343,0.5239001
