true,forecasted
0.30717257,0.30257082
0.26507276,0.2731858
0.25987527,0.26002544
0.27234927,0.27392837
0.34511435,0.32042313
0.5540541,0.5276573
0.69282746,0.65323174
0.7655925,0.7444451
0.78118503,0.770621
0.76871103,0.7481864
0.79002076,0.73536384
0.7796258,0.7188484
0.7510395,0.7071051
0.73128897,0.6575553
0.71257794,0.66398007
0.739605,0.6714166
0.82952183,0.7909879
0.85446984,0.83278245
0.86434513,0.81880444
0.8264033,0.7928313
0.80457383,0.7639189
0.6969854,0.6674909
0.56912684,0.48406315
0.4246362,0.36534637
0.35239086,0.31575707
0.32016632,0.2911735
0.29885656,0.2915901
0.31392932,0.2902899
0.3783784,0.35021502
0.57484406,0.5494201
0.6871102,0.66680735
0.758316,0.7508177
0.77650726,0.7814518
0.7635135,0.7561371
0.79365903,0.7741625
0.78118503,0.7642663
0.745842,0.7153689
0.7240125,0.69879276
0.71465695,0.6779102
0.72557175,0.6762883
0.8160083,0.7671129
0.8477131,0.83515984
0.8570686,0.8008
0.8154886,0.7792605
0.80613303,0.7365836
0.6985447,0.6342615
0.57172555,0.48336887
0.43866944,0.35456938
0.34927234,0.3508989
0.30405405,0.32614723
0.28586277,0.33207774
0.30405405,0.31431425
0.36694387,0.37109095
0.5608108,0.5232917
0.6746362,0.65058255
0.7432432,0.74134773
0.76611227,0.7644699
0.75363827,0.73806757
0.7759875,0.75345904
0.76299375,0.7615039
0.73492724,0.7159613
0.7047817,0.68243086
0.67411643,0.64385384
0.6787942,0.6592273
0.7817048,0.75180453
0.81912684,0.81409436
0.82276505,0.8209576
0.7889813,0.7784745
0.7723493,0.7613289
0.6678794,0.6507934
0.54106027,0.51170754
0.3960499,0.38955578
0.3108108,0.33916426
0.27702704,0.3047473
0.26767153,0.30521846
0.28222454,0.29950058
0.3508316,0.3494421
0.55093557,0.5115136
0.6720374,0.64495295
0.73700625,0.72707325
0.7442827,0.718457
0.71361744,0.716693
0.71465695,0.7152747
0.6923077,0.7013833
0.6621622,0.6581434
0.63461536,0.60271096
0.6029106,0.6011514
0.60758835,0.59545
0.7318087,0.72462684
0.7962578,0.79460055
0.7962578,0.81470054
0.7577963,0.76438594
0.7448025,0.72412616
0.6486486,0.64080566
0.5306653,0.49444976
0.3991684,0.37620807
0.31652805,0.32534847
0.27546778,0.2958251
0.25987527,0.29948115
0.26195425,0.2827382
0.29054055,0.32647336
0.38929313,0.3961743
0.46933472,0.4561497
0.5810811,0.5691016
0.6351351,0.590296
0.64449066,0.63966304
0.66268194,0.63890254
0.6512474,0.623664
0.6081081,0.55286974
0.5644491,0.49202514
0.54365903,0.4387483
0.55717254,0.4625268
0.65800416,0.5315835
0.720894,0.71596885
0.7323285,0.72950554
0.6923077,0.70878166
0.6756757,0.70017034
0.59719336,0.6156572
0.47661123,0.46833438
0.3601871,0.36810243
0.27390853,0.29643083
0.22141372,0.2692701
0.20322245,0.26435474
0.20426196,0.24827048
0.23284823,0.27651924
0.2920998,0.30829158
0.3300416,0.30286327
0.44074845,0.38957447
0.52858627,0.50848746
0.5821206,0.5871087
0.5987526,0.5846067
0.5587318,0.55183375
0.491684,0.48700547
0.43035343,0.41922447
0.39449066,0.3606565
0.40072766,0.40343213
0.5155925,0.5160768
0.62785864,0.6272041
0.6621622,0.6667113
0.6543659,0.6402686
0.6408524,0.64949554
0.5654886,0.5681967
0.42931393,0.43025875
0.31860706,0.33647397
0.24532224,0.28174895
0.20841996,0.24805084
0.19698545,0.25269836
0.21413721,0.26012707
0.29781705,0.3146994
0.5181913,0.46853036
0.65904367,0.6350665
0.74948025,0.6992751
0.7780665,0.73311967
0.7676715,0.7352105
0.79002076,0.76303095
0.78222454,0.73789877
0.75623703,0.6888372
0.7297297,0.64496833
0.6969854,0.60962933
0.7110187,0.59115684
0.8165281,0.7295813
0.85862786,0.77970666
0.8674636,0.80419546
0.8274428,0.76662314
0.79781705,0.73953843
0.6824324,0.65105885
0.54365903,0.48612243
0.4043659,0.36525774
0.32588357,0.30578616
0.28430355,0.2783608
0.27027026,0.26710546
0.28638253,0.2774235
0.35862786,0.3382827
0.5504158,0.52264625
0.6725572,0.6584474
0.7577963,0.73487914
0.7848233,0.75771844
0.7655925,0.74549973
0.77079004,0.75991625
0.758316,0.7507642
0.7193347,0.69797754
0.68087316,0.6725626
0.65488565,0.665681
0.6720374,0.6607114
0.774948,0.7630866
0.84511435,0.81217915
0.85862786,0.8266331
0.82172555,0.77819985
0.80717254,0.76074564
0.6943867,0.6509029
0.56133056,0.51331234
0.42099792,0.38618258
0.3435551,0.32639742
0.2983368,0.30411
0.2827443,0.30574512
0.2952183,0.3051272
0.37785864,0.3511536
0.57016635,0.5309742
0.69542617,0.66282254
0.766632,0.7511881
0.77286905,0.75252694
0.75051975,0.74146533
