true,forecasted
0.35940224,0.35440853
0.3499436,0.34151864
0.3504819,0.34172863
0.37596124,0.34928477
0.4461448,0.4080225
0.6134266,0.6066575
0.79824156,0.73783153
0.8351533,0.79495096
0.822388,0.8110356
0.8292833,0.82792354
0.8096996,0.8092958
0.774736,0.767857
0.7811699,0.7742439
0.7554342,0.7463616
0.73126215,0.7302701
0.7488209,0.7466214
0.8818825,0.87895495
0.86306775,0.8586637
0.7704296,0.79247034
0.68558395,0.71146214
0.609351,0.6259382
0.5281708,0.51665
0.44181278,0.44744864
0.38049832,0.3708179
0.35589048,0.35083297
0.3435097,0.34481257
0.351943,0.3229659
0.3729878,0.33372983
0.44483748,0.38849324
0.61988616,0.5895861
0.7914744,0.7183172
0.8211832,0.80501777
0.81177586,0.79331464
0.81874806,0.8065923
0.8032913,0.80415034
0.7697119,0.7354306
0.762227,0.7430714
0.73897773,0.7098136
0.70911515,0.6994301
0.72357225,0.72892034
0.8548908,0.8438268
0.85253257,0.8244838
0.77148056,0.75168526
0.68296933,0.6659427
0.6077361,0.5841959
0.5113298,0.4848972
0.42689428,0.41232088
0.36973238,0.33133423
0.34481698,0.3493123
0.3341536,0.3475486
0.33730647,0.33212137
0.35978672,0.33809528
0.42699683,0.40476298
0.60463446,0.59981924
0.7793243,0.7225512
0.8076746,0.7927676
0.80464983,0.7939876
0.79760075,0.7919371
0.7740182,0.7797269
0.72831434,0.7188058
0.7175228,0.71528655
0.6889162,0.67944163
0.6579258,0.6656189
0.6914027,0.69090897
0.8522762,0.7881708
0.83664,0.8030069
0.75474215,0.72390044
0.67389524,0.6426291
0.5973034,0.56492555
0.5037937,0.46218395
0.42358762,0.40884134
0.37024504,0.3359907
0.34125397,0.33372062
0.3332308,0.3335993
0.34030554,0.3195855
0.36352918,0.331637
0.4293807,0.39162058
0.601174,0.5750358
0.76953244,0.7272107
0.80882806,0.7914335
0.7954219,0.7993129
0.79739565,0.7921602
0.76743054,0.77509916
0.7163437,0.70098764
0.6856096,0.6857218
0.6403671,0.61692107
0.6228853,0.6055429
0.6649236,0.62332815
0.7898339,0.75522316
0.79521686,0.77967155
0.69319695,0.68435216
0.6043012,0.59659916
0.5330155,0.5310887
0.46390855,0.443146
0.395263,0.3766249
0.34481698,0.31384188
0.30803344,0.33678383
0.29465294,0.3155821
0.29342255,0.30900013
0.2968061,0.32599884
0.3202348,0.34770367
0.37037322,0.43372232
0.44957963,0.50530446
0.52688915,0.60081786
