true,forecasted
0.35940224,0.3420607
0.3499436,0.3265066
0.3504819,0.3291945
0.37596124,0.3586538
0.4461448,0.45778745
0.6134266,0.6080843
0.79824156,0.7501344
0.8351533,0.8070414
0.822388,0.792083
0.8292833,0.81635875
0.8096996,0.80606514
0.774736,0.77526313
0.7811699,0.7602167
0.7554342,0.74429286
0.73126215,0.7389385
0.7488209,0.75414234
0.8818825,0.89468014
0.86306775,0.87828743
0.7704296,0.7852149
0.68558395,0.6898948
0.609351,0.6136009
0.5281708,0.5250927
0.44181278,0.43431622
0.38049832,0.38566515
0.35589048,0.34001076
0.3435097,0.32019746
0.351943,0.325748
0.3729878,0.33267608
0.44483748,0.39134854
0.61988616,0.5559167
0.7914744,0.69737107
0.8211832,0.7833883
0.81177586,0.7635232
0.81874806,0.782972
0.8032913,0.776504
0.7697119,0.7320329
0.762227,0.721167
0.73897773,0.70780987
0.70911515,0.69417924
0.72357225,0.7303911
0.8548908,0.8391709
0.85253257,0.8125516
0.77148056,0.73193234
0.68296933,0.64867795
0.6077361,0.58871233
0.5113298,0.4968177
0.42689428,0.399203
0.36973238,0.34184778
0.34481698,0.31674767
0.3341536,0.30957618
0.33730647,0.3101943
0.35978672,0.3218659
0.42699683,0.39225516
0.60463446,0.56301486
0.7793243,0.7037337
0.8076746,0.7597385
0.80464983,0.7562344
0.79760075,0.7577293
0.7740182,0.7344571
0.72831434,0.7088256
0.7175228,0.68197995
0.6889162,0.6754425
0.6579258,0.6421764
0.6914027,0.68047583
0.8522762,0.7822287
0.83664,0.77867866
0.75474215,0.7034209
0.67389524,0.6178496
0.5973034,0.5534854
0.5037937,0.46247864
0.42358762,0.37840724
0.37024504,0.33730966
0.34125397,0.3178568
0.3332308,0.30676433
0.34030554,0.3120004
0.36352918,0.33548892
0.4293807,0.3986805
0.601174,0.55821335
0.76953244,0.7218255
0.80882806,0.7657058
0.7954219,0.77130157
0.79739565,0.7849338
0.76743054,0.7579215
0.7163437,0.71396303
