true,forecasted
0.35940224,0.3535979
0.3499436,0.34259045
0.3504819,0.35064012
0.37596124,0.37118715
0.4461448,0.4405032
0.6134266,0.61762005
0.79824156,0.7964867
0.8351533,0.8561378
0.822388,0.8472348
0.8292833,0.8533281
0.8096996,0.8357697
0.774736,0.8009831
0.7811699,0.7935646
0.7554342,0.7647295
0.73126215,0.7468282
0.7488209,0.7685353
0.8818825,0.8846587
0.86306775,0.862849
0.7704296,0.7703293
0.68558395,0.6869345
0.609351,0.6028869
0.5281708,0.51386553
0.44181278,0.41971874
0.38049832,0.36204365
0.35589048,0.35337463
0.3435097,0.34199983
0.351943,0.34726235
0.3729878,0.36736938
0.44483748,0.43857732
0.61988616,0.6169585
0.7914744,0.7817551
0.8211832,0.83154243
0.81177586,0.8216113
0.81874806,0.8208016
0.8032913,0.79499173
0.7697119,0.76362234
0.762227,0.75460225
0.73897773,0.72560936
0.70911515,0.70346177
0.72357225,0.72073066
0.8548908,0.84750795
0.85253257,0.84346664
0.77148056,0.7447912
0.68296933,0.6560165
0.6077361,0.5807524
0.5113298,0.4930267
0.42689428,0.39787906
0.36973238,0.34244525
0.34481698,0.34457994
0.3341536,0.33054817
0.33730647,0.3283673
0.35978672,0.34160534
0.42699683,0.40539673
0.60463446,0.59016633
0.7793243,0.76096386
0.8076746,0.80027395
0.80464983,0.78788435
0.79760075,0.79001415
0.7740182,0.7688568
0.72831434,0.7270905
0.7175228,0.7252348
0.6889162,0.69858474
0.6579258,0.68064296
0.6914027,0.69393593
0.8522762,0.8108961
0.83664,0.81895435
0.75474215,0.73183125
0.67389524,0.64900476
0.5973034,0.5782285
0.5037937,0.49222818
0.42358762,0.40699056
0.37024504,0.34741786
0.34125397,0.3493339
0.3332308,0.34159678
0.34030554,0.33400247
0.36352918,0.35555074
0.4293807,0.42875397
0.601174,0.60823596
0.76953244,0.7683005
0.80882806,0.80636317
0.7954219,0.808477
0.79739565,0.8074672
0.76743054,0.78040797
0.7163437,0.7278354
0.6856096,0.7008026
0.6403671,0.6549245
0.6228853,0.63604426
0.6649236,0.66949135
0.7898339,0.7776731
0.79521686,0.799573
0.69319695,0.70056665
0.6043012,0.60359526
0.5330155,0.53826755
0.46390855,0.4695412
0.395263,0.3894059
0.34481698,0.32489288
0.30803344,0.31618175
0.29465294,0.2977324
0.29342255,0.2900003
0.2968061,0.29987416
0.3202348,0.33345783
0.37037322,0.39006844
0.44957963,0.44782117
0.52688915,0.51948774
0.5833077,0.5775155
0.60599303,0.59161
0.5934328,0.5746839
0.574131,0.545956
0.557572,0.52118456
0.54206395,0.5060209
0.53501487,0.5085212
0.5747719,0.5418135
0.69535017,0.668221
0.6970419,0.688158
0.6046601,0.5885741
0.5266841,0.50263566
0.46213984,0.45295846
0.40326053,0.39440167
0.34835434,0.33987522
0.30585462,0.29214063
0.28819337,0.2779766
0.27709422,0.25322098
0.29601148,0.24310149
0.30300933,0.24505834
0.32369527,0.26184866
0.37760177,0.29638398
0.44988722,0.36412075
0.5342202,0.44407463
0.58871627,0.5089463
0.6238081,0.5431134
0.6203732,0.5596257
0.61852765,0.55865365
0.5953809,0.54275954
0.5969958,0.53575593
0.5967395,0.5510887
0.6183738,0.59863853
0.73920846,0.7054652
0.71870196,0.6991832
0.63893163,0.60353285
0.56526196,0.5131182
0.5150979,0.46825397
0.50002563,0.3926808
0.42005023,0.32596987
0.35565978,0.28404444
0.3497898,0.33763316
0.36568236,0.31576154
0.33966473,0.2998195
0.35924843,0.29118082
0.40536246,0.3230275
0.55231726,0.46220714
0.7043474,0.6537597
0.7851943,0.73045856
0.7950887,0.7358389
0.81515944,0.7627485
0.81113505,0.75843966
0.7723777,0.72783816
0.77827334,0.7237293
0.7592023,0.6993362
0.75510097,0.6612866
0.723239,0.65410584
0.87134725,0.7656126
0.87826824,0.7863544
0.78288734,0.69273156
0.7036297,0.6072966
0.6013534,0.5568441
0.5120732,0.48283726
0.4511945,0.4036845
0.35773608,0.3372909
0.34989235,0.32802755
0.3229519,0.3160323
0.34830308,0.3179497
0.36921972,0.3314843
0.4202553,0.39289838
0.56672305,0.57734627
0.70642364,0.75852627
0.7478981,0.8020671
0.76789194,0.79454345
0.78381014,0.79999053
0.76853275,0.7876196
0.73920846,0.75677395
0.7371578,0.7538856
0.7058597,0.73104674
0.6701784,0.713011
0.67084485,0.7331329
0.79134625,0.84739506
0.7965754,0.8502502
0.7190864,0.75153285
0.63836765,0.66404915
0.5607762,0.5828799
0.47885266,0.49081272
0.401902,0.40033406
0.35468572,0.34439397
0.33069313,0.33650935
0.3143392,0.32336265
0.32151645,0.32238647
0.34681636,0.34220776
0.40823337,0.41260117
0.5526248,0.58229345
0.7050139,0.72096807
0.7551523,0.75789887
0.7514611,0.75259185
0.7428227,0.749287
0.7181893,0.7257848
0.6831232,0.69261444
0.68878806,0.6839796
0.6625141,0.6552626
0.6248334,0.63052297
0.6408541,0.64014214
0.7588178,0.75976837
0.7725315,0.793954
0.6948119,0.7045138
0.6224495,0.61587816
0.5832308,0.54669845
0.50012815,0.4653026
0.426356,0.38383576
0.37703782,0.32898694
0.36324722,0.3547518
0.39559624,0.33719864
0.39011073,0.3271248
0.39682662,0.32993627
0.4453245,0.38105965
0.5742592,0.537711
0.7295704,0.70293504
0.81480056,0.7639007
0.82554084,0.76053023
0.82428485,0.7784461
0.86545163,0.7779856
0.86273456,0.75395596
0.8124423,0.7518212
0.78857785,0.7239209
0.7788629,0.69926417
0.81146824,0.70326155
0.9066185,0.78556526
0.84176666,0.80255115
0.746437,0.7089965
0.6604891,0.62002766
0.5734133,0.5617366
0.48549163,0.47485557
0.40128678,0.393448
0.3819594,0.3378298
0.35345533,0.3262575
0.32108068,0.30845848
0.3059315,0.3075861
0.3222598,0.32334232
0.39649338,0.38709012
0.5274787,0.5681438
0.6604378,0.7330681
0.72172666,0.78263426
0.72777605,0.7761232
0.7372091,0.79029214
