true,forecasted
0.35940224,0.34492004
0.3499436,0.3279115
0.3504819,0.34009784
0.37596124,0.35801354
0.4461448,0.42436418
0.6134266,0.6026324
0.79824156,0.7872535
0.8351533,0.8515381
0.822388,0.8406995
0.8292833,0.8480749
0.8096996,0.8229686
0.774736,0.7842464
0.7811699,0.78098625
0.7554342,0.7620659
0.73126215,0.73618805
0.7488209,0.7602359
0.8818825,0.8818557
0.86306775,0.8561655
0.7704296,0.77508175
0.68558395,0.6955383
0.609351,0.6155543
0.5281708,0.52579033
0.44181278,0.43084145
0.38049832,0.36881924
0.35589048,0.35657585
0.3435097,0.3410296
0.351943,0.35233605
0.3729878,0.3694207
0.44483748,0.44535035
0.61988616,0.62341774
0.7914744,0.8022958
0.8211832,0.85707563
0.81177586,0.85198927
0.81874806,0.8560178
0.8032913,0.8326372
0.7697119,0.7940598
0.762227,0.7813591
0.73897773,0.75521255
0.70911515,0.7208996
0.72357225,0.7382134
0.8548908,0.84417534
0.85253257,0.84305835
0.77148056,0.75383705
0.68296933,0.67375076
0.6077361,0.5989089
0.5113298,0.5051479
0.42689428,0.4094403
0.36973238,0.35004693
0.34481698,0.3443058
0.3341536,0.32619956
0.33730647,0.3352383
0.35978672,0.35287002
0.42699683,0.42500404
0.60463446,0.6102779
0.7793243,0.7860375
0.8076746,0.83764964
0.80464983,0.83137566
0.79760075,0.83836544
0.7740182,0.8213321
0.72831434,0.78132033
0.7175228,0.7687495
0.6889162,0.7382678
0.6579258,0.7050741
0.6914027,0.71843565
0.8522762,0.8329703
0.83664,0.8406596
0.75474215,0.7565656
0.67389524,0.66961837
0.5973034,0.59724045
0.5037937,0.50182897
0.42358762,0.41014364
0.37024504,0.35250887
0.34125397,0.33963907
0.3332308,0.32259014
0.34030554,0.32899213
0.36352918,0.34031084
0.4293807,0.40109944
0.601174,0.57470983
0.76953244,0.7499752
0.80882806,0.8122409
0.7954219,0.8089382
0.79739565,0.8214668
0.76743054,0.78800774
0.7163437,0.732742
0.6856096,0.68839157
0.6403671,0.6414373
0.6228853,0.6058471
0.6649236,0.6250768
0.7898339,0.7395742
0.79521686,0.7600453
0.69319695,0.6655807
0.6043012,0.5738744
0.5330155,0.5156162
0.46390855,0.44350854
0.395263,0.36934254
0.34481698,0.312869
0.30803344,0.30077928
0.29465294,0.28020152
0.29342255,0.27669936
0.2968061,0.2857447
0.3202348,0.31474102
0.37037322,0.37280947
0.44957963,0.45083624
0.52688915,0.5354392
0.5833077,0.5929242
0.60599303,0.6188452
0.5934328,0.6039281
0.574131,0.57895035
0.557572,0.55825955
0.54206395,0.53195715
0.53501487,0.52585936
0.5747719,0.5753517
0.69535017,0.70379436
0.6970419,0.7075543
0.6046601,0.61401325
0.5266841,0.5350104
0.46213984,0.47488433
0.40326053,0.40241274
0.34835434,0.33748206
0.30585462,0.28954595
0.28819337,0.24800543
0.27709422,0.22877237
0.29601148,0.22211194
0.30300933,0.22654644
0.32369527,0.24622859
0.37760177,0.2872791
0.44988722,0.36083344
0.5342202,0.44501683
0.58871627,0.5079765
0.6238081,0.54620767
0.6203732,0.55290484
0.61852765,0.54048115
0.5953809,0.5323525
0.5969958,0.53465414
0.5967395,0.5471406
0.6183738,0.60989213
0.73920846,0.73154205
0.71870196,0.7023334
0.63893163,0.6161141
0.56526196,0.5380186
0.5150979,0.4702189
0.50002563,0.38970673
0.42005023,0.31657836
0.35565978,0.26602057
0.3497898,0.28117424
0.36568236,0.25944433
0.33966473,0.2643546
0.35924843,0.291436
0.40536246,0.3537147
0.55231726,0.53440315
0.7043474,0.7298231
0.7851943,0.7921024
0.7950887,0.78698575
0.81515944,0.8091371
0.81113505,0.7914206
0.7723777,0.76588374
0.77827334,0.75767076
0.7592023,0.74235374
0.75510097,0.71248794
0.723239,0.7429952
0.87134725,0.86196995
0.87826824,0.8319566
0.78288734,0.7472825
0.7036297,0.6583587
0.6013534,0.5780429
0.5120732,0.47942758
0.4511945,0.38738075
0.35773608,0.32635412
0.34989235,0.32363832
0.3229519,0.30262247
0.34830308,0.31523386
0.36921972,0.33602625
0.4202553,0.41175222
0.56672305,0.586233
0.70642364,0.76796484
0.7478981,0.82775956
0.76789194,0.81964415
0.78381014,0.830492
0.76853275,0.81884867
0.73920846,0.7814878
0.7371578,0.7795764
0.7058597,0.7571021
0.6701784,0.72353655
0.67084485,0.7452643
0.79134625,0.8631331
0.7965754,0.8562412
0.7190864,0.76951677
0.63836765,0.68487006
0.5607762,0.6039516
0.47885266,0.50638825
0.401902,0.40791783
0.35468572,0.34358633
0.33069313,0.30770284
0.3143392,0.29004142
0.32151645,0.3018336
0.34681636,0.32668325
0.40823337,0.40365043
0.5526248,0.5757811
0.7050139,0.7415162
0.7551523,0.79382783
0.7514611,0.7878196
0.7428227,0.79104805
0.7181893,0.77340126
0.6831232,0.74078923
0.68878806,0.7323384
0.6625141,0.7039331
0.6248334,0.670563
0.6408541,0.6877118
0.7588178,0.7976101
0.7725315,0.8115662
0.6948119,0.73171633
0.6224495,0.6457544
0.5832308,0.56897837
0.50012815,0.47331002
0.426356,0.38251272
0.37703782,0.32511353
0.36324722,0.31444293
0.39559624,0.29255292
0.39011073,0.30323976
0.39682662,0.31247702
0.4453245,0.3692802
0.5742592,0.5278267
0.7295704,0.70642596
0.81480056,0.77185833
0.82554084,0.77335787
0.82428485,0.7905725
0.86545163,0.7721406
0.86273456,0.7399604
0.8124423,0.7246953
0.78857785,0.6989609
0.7788629,0.67205215
0.81146824,0.6902761
0.9066185,0.7937585
0.84176666,0.7775607
0.746437,0.6961978
0.6604891,0.6108314
0.5734133,0.5479724
0.48549163,0.4575589
0.40128678,0.37146538
0.3819594,0.317774
0.35345533,0.31863934
0.32108068,0.3016589
0.3059315,0.30917385
0.3222598,0.32408714
0.39649338,0.37696332
0.5274787,0.49744964
0.6604378,0.6225914
0.72172666,0.685287
0.72777605,0.71886706
0.7372091,0.7435715
0.7152158,0.73302877
0.6752025,0.71185094
0.65992516,0.6760559
0.65659285,0.64063007
0.59773916,0.62588054
0.6374193,0.6703485
0.71949655,0.7766726
0.71470314,0.7759777
0.6323439,0.6683321
0.58366656,0.5819065
0.48733723,0.5186565
0.41141188,0.42084333
0.3493284,0.35818604
0.30162513,0.300134
0.25868964,0.24986
0.23767047,0.22630338
0.2324413,0.22277093
0.241336,0.2309592
0.2607659,0.25322488
0.3087255,0.30966574
0.38201067,0.3840112
0.45729518,0.46331716
0.5090998,0.521518
0.52588946,0.54330885
0.5263252,0.5400529
0.5031272,0.5222912
0.48239005,0.5044965
0.4628832,0.48294902
0.4556803,0.4774635
0.49020815,0.5190537
0.59781605,0.6326034
0.6351892,0.6584079
0.55459857,0.5805917
0.48595303,0.5062788
0.41835845,0.4494844
0.36024812,0.37622234
0.30441916,0.31281695
0.25407568,0.26143503
0.23100585,0.21492666
0.20773095,0.19683887
0.20388599,0.19424
0.20632114,0.20152885
0.22305956,0.21118303
0.26468778,0.25061247
0.32377216,0.3185292
0.39508358,0.40102726
0.46057624,0.4524001
0.48644006,0.47674465
0.487004,0.48529118
0.4727776,0.4684162
0.45370656,0.45331082
0.44173586,0.44393376
0.45091254,0.4540021
0.47531527,0.50815743
0.615708,0.6285107
0.66230905,0.65084773
0.5865631,0.58333683
0.5103558,0.5074183
0.4447606,0.4294203
0.36668205,0.35232082
0.2992669,0.28749433
0.25922793,0.24363461
0.23702963,0.226104
0.23087768,0.21451093
0.24318159,0.22510666
0.26827642,0.2540829
0.3391264,0.33794406
0.5141495,0.53131866
0.67950886,0.7024684
0.7334666,0.7578126
0.73805493,0.76561165
0.75143546,0.7774564
0.74487334,0.7581796
0.7225982,0.72879314
0.72511023,0.7242429
0.70680815,0.70293814
0.6759715,0.67614025
0.68217474,0.7100141
0.7868092,0.8145113
0.7901415,0.7959877
0.698298,0.71203667
0.6129396,0.62222505
0.5362453,0.5467868
0.4419153,0.44535878
0.36073515,0.3539381
0.3100328,0.3018391
0.28475854,0.25774005
0.2763765,0.24151404
0.27430022,0.2513415
0.298421,0.28075638
0.3663488,0.35220158
0.5347585,0.53573275
0.691864,0.70810646
0.73938787,0.7631572
0.74205375,0.76030064
0.7448477,0.772292
0.7236748,0.75294924
0.70673126,0.7222119
0.7109351,0.7198775
0.68445605,0.6955036
0.65723366,0.6664854
0.66246283,0.693118
0.7747616,0.80474174
0.79042345,0.8045932
0.7037322,0.73277986
0.6253717,0.64793634
0.5464216,0.5608997
0.4569107,0.4624717
0.3721419,0.36920673
0.32010663,0.30684987
0.28965446,0.28199163
0.28268224,0.2670109
0.28521994,0.28022996
0.30893058,0.30098757
0.37503844,0.3737502
0.5436276,0.54215205
0.7070389,0.7124126
0.7526915,0.77114403
0.746437,0.7727097
0.7457705,0.78395545
0.7234697,0.767708
0.687814,0.7360999
