true,forecasted
0.6635317,0.62811816
0.6628135,0.6453783
0.6753877,0.6509824
0.7161314,0.70813394
0.8084631,0.7729124
0.8535641,0.8010609
0.8417342,0.8061243
0.83681786,0.8127217
0.82922506,0.819569
0.82820934,0.81046814
0.824435,0.8007308
0.8179801,0.78661263
0.8160278,0.78006446
0.8102481,0.7743452
0.80692846,0.78220195
0.83607465,0.8047049
0.8416951,0.8229279
0.8341904,0.8207201
0.8134565,0.79098034
0.74442106,0.7416008
0.74695736,0.7497151
0.7181658,0.70298606
0.6727843,0.65833795
0.6415897,0.6213006
0.6209209,0.619352
0.6193843,0.6133763
0.62987995,0.61787736
0.6714741,0.6555068
0.7606575,0.7166186
0.7978271,0.74670875
0.79038256,0.7538164
0.78976256,0.76811206
0.7860573,0.77032423
0.78061914,0.7718107
0.7719295,0.77164775
0.76687396,0.75243044
0.76671165,0.7445879
0.76852876,0.7375766
0.76923794,0.7448818
0.81295466,0.7758946
0.8282965,0.7973102
0.83472735,0.8060497
0.8090501,0.7604063
0.7479541,0.7218651
0.75312877,0.7406446
0.7340155,0.70944947
0.6836737,0.6602521
0.6521215,0.6221371
0.63616055,0.60781
0.6235523,0.6080102
0.6372945,0.6052035
0.6846133,0.64466166
0.7636585,0.7109822
0.79997575,0.73814875
0.7934177,0.7404208
0.7828299,0.7421435
0.7717041,0.7476784
0.76414037,0.74558705
0.7577195,0.73710567
0.7501678,0.7199066
0.7477848,0.71277153
0.74855506,0.7087341
0.7403382,0.716984
0.77678466,0.73772514
0.7766725,0.75312096
0.7800812,0.74613184
0.76025677,0.72218686
0.70175713,0.68152267
0.7116238,0.6981525
0.6814379,0.66700673
0.632253,0.61881137
0.6012557,0.58451694
0.5837141,0.59012014
0.5803435,0.58948076
0.59271634,0.5931488
0.6365933,0.62948096
0.7259329,0.6965041
0.76941526,0.71565187
0.76881725,0.72731715
0.775815,0.7372329
0.7711041,0.74169827
0.7719004,0.74448603
0.7725065,0.7391005
0.7652552,0.72593343
0.7522974,0.7140675
0.75025696,0.7025112
0.7504212,0.7095187
0.78181815,0.7532033
0.7880056,0.7779217
0.78015435,0.77983797
0.75441295,0.74394506
0.7005281,0.69387496
0.704042,0.7126425
0.6762031,0.6790941
0.62744385,0.636384
0.5928085,0.60897356
0.5728418,0.5804522
0.5629451,0.5782238
0.56160885,0.56717235
0.5730141,0.5753677
0.6014981,0.5982551
0.61522025,0.6043689
0.6299461,0.6264709
0.6537923,0.64184296
0.6669525,0.6597091
0.6706597,0.6612211
0.6653187,0.6497082
0.6526824,0.63981867
0.649483,0.63514084
0.6527105,0.6335772
0.6728865,0.65240526
0.72542405,0.71840364
0.75410044,0.76506466
0.7359448,0.7544565
0.6944048,0.7149525
0.65216357,0.67422765
0.6640716,0.6991979
0.65026134,0.6795019
0.6155298,0.6372011
0.5785334,0.60079044
0.55671763,0.5653674
0.5483515,0.5624687
0.54551274,0.5520705
0.5512554,0.5598897
0.57088053,0.5724798
0.57546425,0.55466974
0.58971226,0.5823932
0.609108,0.60567635
0.63573986,0.61204064
0.64381945,0.6181667
0.64362514,0.6123938
0.6407503,0.5926738
0.63299525,0.5958701
0.63020355,0.5894537
0.6362016,0.6003194
0.68181455,0.65192705
0.7049515,0.6876491
0.70156085,0.6884754
0.68323594,0.6499134
0.63194144,0.6302405
0.6558578,0.6520607
0.64635974,0.63012004
0.6142707,0.5860684
0.5784152,0.5589827
0.562854,0.5362986
0.5596215,0.53056455
0.56739765,0.539376
0.605549,0.5911719
0.70554256,0.6624381
0.76134163,0.70201
0.7548807,0.7135154
0.7476796,0.7193352
0.75287235,0.7116397
0.759207,0.7178789
0.75649947,0.697977
0.7511865,0.68722284
