true,forecasted
0.6635317,0.6514691
0.6628135,0.65078086
0.6753877,0.6602429
0.7161314,0.7009546
0.8084631,0.79997
0.8535641,0.8348432
0.8417342,0.84422517
0.83681786,0.832753
0.82922506,0.82577807
0.82820934,0.8267575
0.824435,0.8196901
0.8179801,0.8098503
0.8160278,0.7957025
0.8102481,0.78760004
0.80692846,0.79635406
0.83607465,0.8178117
0.8416951,0.8211831
0.8341904,0.82327235
0.8134565,0.8043495
0.74442106,0.74874973
0.74695736,0.7506218
0.7181658,0.7304944
0.6727843,0.6813742
0.6415897,0.64405584
0.6209209,0.62434405
0.6193843,0.62418514
0.62987995,0.6330205
0.6714741,0.67685336
0.7606575,0.7698504
0.7978271,0.8101391
0.79038256,0.82037145
0.78976256,0.80883723
0.7860573,0.80328393
0.78061914,0.8035355
0.7719295,0.7969074
0.76687396,0.7873594
0.76671165,0.775658
0.76852876,0.77792645
0.76923794,0.7993728
0.81295466,0.81918585
0.8282965,0.8202841
0.83472735,0.8188368
0.8090501,0.7951506
0.7479541,0.7390243
0.75312877,0.7371464
0.7340155,0.7138682
0.6836737,0.6648359
0.6521215,0.6301625
0.63616055,0.62440646
0.6235523,0.6214992
0.6372945,0.6345087
0.6846133,0.6747235
0.7636585,0.7675097
0.79997575,0.80143106
0.7934177,0.8078026
0.7828299,0.80005324
0.7717041,0.7889012
0.76414037,0.7834293
0.7577195,0.7733604
0.7501678,0.7592557
0.7477848,0.7449676
0.74855506,0.72946113
0.7403382,0.7312198
0.77678466,0.7553616
0.7766725,0.7811265
0.7800812,0.7963183
0.76025677,0.77537715
0.70175713,0.7171345
0.7116238,0.71342367
0.6814379,0.6887
0.632253,0.63998747
0.6012557,0.60420716
0.5837141,0.5875985
0.5803435,0.58879554
0.59271634,0.60248286
0.6365933,0.6467583
0.7259329,0.7435979
0.76941526,0.7839078
0.76881725,0.7906666
0.775815,0.7816631
0.7711041,0.7727596
0.7719004,0.77173984
0.7725065,0.76213086
0.7652552,0.75162506
0.7522974,0.7403633
0.75025696,0.73699
0.7504212,0.75528526
0.78181815,0.77872735
0.7880056,0.7940458
0.78015435,0.8035306
0.75441295,0.780985
0.7005281,0.72040164
0.704042,0.72036964
0.6762031,0.6986138
0.62744385,0.6497438
0.5928085,0.6149624
0.5728418,0.5721774
0.5629451,0.57119155
0.56160885,0.5813459
0.5730141,0.61241126
0.6014981,0.6805032
0.61522025,0.70737225
0.6299461,0.7163441
0.6537923,0.7172316
0.6669525,0.7134085
0.6706597,0.70919985
0.6653187,0.69796264
0.6526824,0.6864061
0.649483,0.6741483
0.6527105,0.6715024
0.6728865,0.69708467
0.72542405,0.73994005
0.75410044,0.76922274
0.7359448,0.7815913
0.6944048,0.7529749
0.65216357,0.69361717
0.6640716,0.6945862
0.65026134,0.6749532
0.6155298,0.6292751
0.5785334,0.6002099
0.55671763,0.55655307
0.5483515,0.54609364
0.54551274,0.540834
0.5512554,0.546677
0.57088053,0.5687212
0.57546425,0.5717956
0.58971226,0.5929918
0.609108,0.609603
0.63573986,0.62368345
0.64381945,0.63042665
0.64362514,0.62550986
0.6407503,0.6169928
0.63299525,0.60943913
0.63020355,0.61450446
0.6362016,0.64855474
0.68181455,0.6883064
0.7049515,0.7065667
0.70156085,0.70466983
0.68323594,0.67182374
0.63194144,0.6280844
0.6558578,0.6432343
0.64635974,0.62865025
0.6142707,0.5875681
0.5784152,0.5572256
0.562854,0.55755186
0.5596215,0.5529875
0.56739765,0.5637226
0.605549,0.606682
0.70554256,0.7046365
0.76134163,0.7479928
0.7548807,0.7614928
0.7476796,0.7562644
0.75287235,0.7481269
0.759207,0.7435987
0.75649947,0.7367891
0.7511865,0.7283394
0.7517855,0.7199437
0.7353097,0.7130839
0.72631055,0.7135253
0.75713253,0.7263147
0.7602788,0.73670864
0.7555198,0.74160266
0.73484194,0.721916
0.68266,0.66272134
0.69225615,0.6661152
0.6644543,0.63955045
0.6142937,0.58947814
0.5790012,0.5497908
0.5589684,0.5555624
0.55126745,0.5518687
0.55962354,0.5596143
0.5960309,0.6004764
0.6830256,0.69609016
