true,forecasted
0.6635317,0.64608145
0.6628135,0.6423246
0.6753877,0.6536093
0.7161314,0.687294
0.8084631,0.7763981
0.8535641,0.8196925
0.8417342,0.81305873
0.83681786,0.8001395
0.82922506,0.81129205
0.82820934,0.8067912
0.824435,0.7908287
0.8179801,0.7870132
0.8160278,0.77606386
0.8102481,0.7766782
0.80692846,0.7938848
0.83607465,0.81386465
0.8416951,0.81810427
0.8341904,0.8197407
0.8134565,0.7972272
0.74442106,0.7409027
0.74695736,0.7458178
0.7181658,0.72897273
0.6727843,0.6729776
0.6415897,0.63546115
0.6209209,0.6103981
0.6193843,0.6017615
0.62987995,0.60939914
0.6714741,0.63398373
0.7606575,0.715876
0.7978271,0.7523353
0.79038256,0.7487335
0.78976256,0.74059063
0.7860573,0.74728984
0.78061914,0.7475765
0.7719295,0.73582536
0.76687396,0.73187524
0.76671165,0.72038525
0.76852876,0.72424847
0.76923794,0.7481425
0.81295466,0.7732442
0.8282965,0.7797495
0.83472735,0.7832044
0.8090501,0.7611
0.7479541,0.7051977
0.75312877,0.7093043
0.7340155,0.6931367
0.6836737,0.64367026
0.6521215,0.610258
0.63616055,0.60877395
0.6235523,0.6071309
0.6372945,0.6194216
0.6846133,0.65511364
0.7636585,0.7369275
0.79997575,0.7817665
0.7934177,0.7821197
0.7828299,0.76591593
0.7717041,0.7667653
0.76414037,0.7611073
0.7577195,0.7469309
0.7501678,0.74710566
0.7477848,0.7400528
0.74855506,0.746333
0.7403382,0.76165867
0.77678466,0.7869254
0.7766725,0.7847278
0.7800812,0.7865682
0.76025677,0.7558637
0.70175713,0.70360905
0.7116238,0.7040849
0.6814379,0.6868794
0.632253,0.63966614
0.6012557,0.60069746
0.5837141,0.5707072
0.5803435,0.567616
0.59271634,0.5782776
0.6365933,0.59592944
0.7259329,0.6647706
0.76941526,0.69104165
0.76881725,0.69134027
0.775815,0.6937367
0.7711041,0.70244414
0.7719004,0.7080012
0.7725065,0.6981264
0.7652552,0.70310545
0.7522974,0.6965944
0.75025696,0.7061097
0.7504212,0.7337809
0.78181815,0.7667845
0.7880056,0.77219236
0.78015435,0.7711451
0.75441295,0.73321307
0.7005281,0.68345505
0.704042,0.69640046
0.6762031,0.6824178
0.62744385,0.63381094
0.5928085,0.5964681
0.5728418,0.5692682
0.5629451,0.56357205
0.56160885,0.5712733
0.5730141,0.5844982
0.6014981,0.6323521
0.61522025,0.65859437
0.6299461,0.66347945
0.6537923,0.6707309
0.6669525,0.67742723
0.6706597,0.6765359
0.6653187,0.6683836
0.6526824,0.67083097
0.649483,0.67223674
0.6527105,0.68298745
0.6728865,0.71987045
0.72542405,0.7651132
0.75410044,0.7789427
0.7359448,0.77826566
0.6944048,0.7306954
0.65216357,0.67736226
0.6640716,0.6898585
0.65026134,0.6832341
0.6155298,0.63332015
0.5785334,0.5927351
0.55671763,0.5619373
0.5483515,0.5562225
0.54551274,0.5604893
0.5512554,0.5595758
0.57088053,0.576791
0.57546425,0.57992566
0.58971226,0.58026856
0.609108,0.59734607
0.63573986,0.6115249
0.64381945,0.6255853
0.64362514,0.6222798
0.6407503,0.6210246
0.63299525,0.6160868
0.63020355,0.6268431
0.6362016,0.6599988
0.68181455,0.7048779
0.7049515,0.7184205
0.70156085,0.7150752
0.68323594,0.6793832
0.63194144,0.6324064
0.6558578,0.65487653
0.64635974,0.6472728
0.6142707,0.6027615
0.5784152,0.5702815
0.562854,0.54663646
0.5596215,0.54140806
0.56739765,0.55263543
0.605549,0.5992957
0.70554256,0.68854225
0.76134163,0.7428727
0.7548807,0.7466773
0.7476796,0.73109704
0.75287235,0.73578
0.759207,0.7226106
0.75649947,0.71798813
0.7511865,0.71236193
0.7517855,0.70360345
0.7353097,0.70826584
0.72631055,0.717765
0.75713253,0.73654
0.7602788,0.7321764
0.7555198,0.73429865
0.73484194,0.7103876
0.68266,0.65575
0.69225615,0.65701336
0.6644543,0.6294338
0.6142937,0.5802835
0.5790012,0.54308283
0.5589684,0.5313713
0.55126745,0.5249175
0.55962354,0.5343619
0.5960309,0.5654656
0.6830256,0.64496833
0.73034537,0.6993688
0.7241319,0.7042012
0.72707784,0.6820914
0.72158056,0.6850376
0.7195181,0.6788976
0.7188249,0.67086536
0.7072594,0.67123586
0.69674873,0.65184635
0.6880671,0.65902066
0.68122655,0.6712531
0.7195492,0.69010174
0.73053867,0.6915251
0.7309814,0.6978538
0.7027438,0.6800721
0.6413433,0.6240139
0.65691656,0.62887925
0.6308296,0.6011591
0.5775237,0.5501966
0.5405133,0.5126222
0.52701354,0.5054157
0.51952493,0.49889532
0.52085716,0.50460464
0.5573567,0.53745806
0.64911944,0.62540185
0.68537956,0.676661
0.6787103,0.689244
0.67569023,0.67124206
0.66965806,0.66887397
0.66473573,0.6640871
0.66241485,0.6561033
0.6543072,0.65249527
0.65218556,0.6468801
0.6463307,0.6524861
0.64838415,0.66794825
0.6875843,0.69141674
0.71017635,0.6998124
0.7180657,0.7106984
0.6943116,0.6891852
0.63957435,0.6269414
0.6416348,0.6276919
0.62323076,0.606328
0.5754412,0.5577937
0.5411113,0.5166266
0.5287234,0.5067039
0.5217607,0.50347346
