true,forecasted
0.6635317,0.6371462
0.6628135,0.6323818
0.6753877,0.6429861
0.7161314,0.677832
0.8084631,0.7756546
0.8535641,0.82731724
0.8417342,0.81809765
0.83681786,0.81599694
0.82922506,0.8089896
0.82820934,0.8051499
0.824435,0.81441444
0.8179801,0.7953108
0.8160278,0.7889531
0.8102481,0.80911154
0.80692846,0.814102
0.83607465,0.80822736
0.8416951,0.8145748
0.8341904,0.80181897
0.8134565,0.7802357
0.74442106,0.7226267
0.74695736,0.7202597
0.7181658,0.6869985
0.6727843,0.64798665
0.6415897,0.6112813
0.6209209,0.61239475
0.6193843,0.6105188
0.62987995,0.62681925
0.6714741,0.6647872
0.7606575,0.7576186
0.7978271,0.7941981
0.79038256,0.7814152
0.78976256,0.7876882
0.7860573,0.78242415
0.78061914,0.77735656
0.7719295,0.7783146
0.76687396,0.7806173
0.76671165,0.7663012
0.76852876,0.7840056
0.76923794,0.80098957
0.81295466,0.79849166
0.8282965,0.79481554
0.83472735,0.7922715
0.8090501,0.75521916
0.7479541,0.6981341
0.75312877,0.7003476
0.7340155,0.6841901
0.6836737,0.63983965
0.6521215,0.5994188
0.63616055,0.606751
0.6235523,0.59523785
0.6372945,0.60871726
0.6846133,0.63791907
0.7636585,0.72906387
0.79997575,0.7618019
0.7934177,0.765719
0.7828299,0.7599933
0.7717041,0.7428462
0.76414037,0.7437199
0.7577195,0.74711543
0.7501678,0.73739684
0.7477848,0.71631247
0.74855506,0.73404735
0.7403382,0.74014467
0.77678466,0.7676726
0.7766725,0.75744444
0.7800812,0.7582361
0.76025677,0.71874565
0.70175713,0.65660465
0.7116238,0.66505796
0.6814379,0.6356787
0.632253,0.5880772
0.6012557,0.55526966
0.5837141,0.5629223
0.5803435,0.5622155
0.59271634,0.5672373
0.6365933,0.61272794
0.7259329,0.68956465
0.76941526,0.71160126
0.76881725,0.73097724
0.775815,0.72773874
0.7711041,0.72899204
0.7719004,0.7247686
0.7725065,0.7181634
0.7652552,0.71329266
0.7522974,0.7110984
0.75025696,0.72091836
0.7504212,0.73619705
0.78181815,0.7792402
0.7880056,0.7774388
0.78015435,0.77040094
0.75441295,0.7557719
0.7005281,0.69525796
0.704042,0.69847995
0.6762031,0.6741436
0.62744385,0.6292601
0.5928085,0.5853869
0.5728418,0.5773004
0.5629451,0.55987847
0.56160885,0.5747391
0.5730141,0.57869416
0.6014981,0.60520846
0.61522025,0.6168885
0.6299461,0.6588667
0.6537923,0.65443975
0.6669525,0.67041034
0.6706597,0.66760373
0.6653187,0.6629442
0.6526824,0.64701784
0.649483,0.66608644
0.6527105,0.6592484
0.6728865,0.6923634
0.72542405,0.7707939
0.75410044,0.77527094
0.7359448,0.7786291
0.6944048,0.7235956
0.65216357,0.66885906
0.6640716,0.6849173
0.65026134,0.66723293
0.6155298,0.6121525
0.5785334,0.59520024
0.55671763,0.5553357
0.5483515,0.54216164
0.54551274,0.54473424
0.5512554,0.5489161
0.57088053,0.55950814
0.57546425,0.56008965
0.58971226,0.58574873
0.609108,0.6011033
0.63573986,0.60459584
0.64381945,0.61862737
0.64362514,0.6136765
0.6407503,0.62474173
0.63299525,0.6080213
0.63020355,0.62032616
0.6362016,0.6476697
0.68181455,0.6687656
0.7049515,0.7017047
0.70156085,0.7028862
0.68323594,0.66653603
0.63194144,0.6220431
0.6558578,0.64140993
0.64635974,0.6352959
0.6142707,0.57932013
0.5784152,0.5557123
0.562854,0.5256687
0.5596215,0.5206576
0.56739765,0.5339257
0.605549,0.5792917
0.70554256,0.6580836
0.76134163,0.7137164
0.7548807,0.72763044
0.7476796,0.7163281
0.75287235,0.71275955
0.759207,0.7115279
0.75649947,0.7136493
0.7511865,0.69784623
0.7517855,0.69224274
0.7353097,0.70265085
0.72631055,0.6951005
0.75713253,0.6958908
0.7602788,0.7014777
0.7555198,0.6961952
0.73484194,0.66183215
0.68266,0.61767036
0.69225615,0.62766534
0.6644543,0.593884
0.6142937,0.5450883
0.5790012,0.51179683
0.5589684,0.51186496
0.55126745,0.5068139
0.55962354,0.51555943
0.5960309,0.5640408
0.6830256,0.6412001
0.73034537,0.6846349
0.7241319,0.6878032
0.72707784,0.6889637
0.72158056,0.6735291
0.7195181,0.6819841
0.7188249,0.6734911
0.7072594,0.6707905
0.69674873,0.6614031
0.6880671,0.6592962
0.68122655,0.6679968
0.7195492,0.6906014
0.73053867,0.69853324
0.7309814,0.6884814
0.7027438,0.6548647
0.6413433,0.60837793
0.65691656,0.60824656
0.6308296,0.5831012
0.5775237,0.52986807
0.5405133,0.49894702
0.52701354,0.48119307
0.51952493,0.47325462
0.52085716,0.4757222
0.5573567,0.51957417
0.64911944,0.6017296
0.68537956,0.62876767
0.6787103,0.6345532
0.67569023,0.63086003
0.66965806,0.6376466
0.66473573,0.6265332
0.66241485,0.61674654
0.6543072,0.6115224
0.65218556,0.6135027
0.6463307,0.60749686
0.64838415,0.61122614
0.6875843,0.6550704
0.71017635,0.682833
0.7180657,0.6936296
0.6943116,0.6621065
0.63957435,0.6005873
0.6416348,0.6053297
0.62323076,0.590764
0.5754412,0.5407546
0.5411113,0.5002834
0.5287234,0.49905074
0.5217607,0.49706036
0.53181463,0.5072883
0.575936,0.54843897
0.663721,0.62777495
0.71368825,0.6670513
0.7109026,0.6858114
0.7143414,0.6828536
0.7107253,0.67381173
0.7074718,0.66740733
0.70015043,0.66421455
0.6881342,0.6480804
0.6880931,0.6537062
0.6863101,0.6503026
0.68722266,0.66061
0.7243603,0.6866755
0.74623615,0.71241885
0.7498893,0.71477467
0.72794133,0.6932966
0.6662844,0.6416407
0.6817424,0.65572953
0.6525732,0.6335147
0.60388213,0.5853469
0.5681389,0.5490522
0.5511512,0.561046
0.5514277,0.5516006
0.5638026,0.5589445
0.6104552,0.60766995
0.70679367,0.6948069
0.749695,0.7378018
0.7549118,0.7502646
0.7620598,0.743055
0.7588474,0.7483288
0.7543929,0.72841215
0.74481475,0.7276524
0.7311487,0.7117584
0.7188159,0.71477777
0.7172553,0.7209791
0.7161274,0.71554774
0.7406998,0.7563773
0.76415235,0.7684625
0.7617473,0.77237254
0.7365518,0.7272968
0.6874651,0.67910546
0.69421244,0.69039404
0.6728204,0.64774925
0.62552464,0.6063766
0.5922295,0.574182
0.5736502,0.5542513
0.5665933,0.5383307
0.56627876,0.54089886
0.5803284,0.5566632
0.61290735,0.57997066
0.62040603,0.5831492
0.6355035,0.6107243
0.65459865,0.61973006
0.6650944,0.6220352
0.66059476,0.6248712
0.6469598,0.6165635
0.64059305,0.6086699
0.6364671,0.6077948
0.6389022,0.6042836
0.65838605,0.61195153
0.71104383,0.6860141
0.76166517,0.7231345
0.7521261,0.7280418
0.70766014,0.6856713
0.6649561,0.6440509
0.6841014,0.6646703
0.6682116,0.6375142
0.62761414,0.5916082
0.599042,0.5639328
0.5795181,0.55956316
0.5676791,0.5461546
0.57144344,0.55421245
0.5835859,0.5483731
0.60287344,0.5705566
0.6001939,0.5698358
0.6158153,0.5965345
0.6410548,0.6036121
0.66147226,0.6190386
0.6610215,0.62504756
0.6486296,0.62945735
0.6385236,0.6156414
0.6291257,0.6043415
0.6306853,0.6026108
0.64303815,0.61976975
0.6886991,0.68111414
0.73615015,0.72081435
0.7404013,0.7117457
0.7246548,0.6812627
0.6884147,0.64254445
0.7179204,0.65811574
0.7131143,0.65170956
0.6721472,0.6088718
0.65531284,0.5797635
0.64297205,0.60615367
0.64272463,0.59641045
0.65880275,0.60962
0.70330775,0.65227956
0.7913001,0.7609829
0.8165948,0.78966635
0.82548374,0.8128548
0.82931525,0.80415684
0.8031812,0.8048667
0.79824686,0.78352827
0.7812091,0.7828285
0.7666516,0.75988805
0.76028985,0.7604724
0.7506386,0.736186
0.7394577,0.7696066
0.7676963,0.7655185
0.8084681,0.79746366
0.8093486,0.81976587
0.80027527,0.7828036
0.76031387,0.71860874
0.7713735,0.72711897
0.75187564,0.7176931
0.7134008,0.64985883
0.6941293,0.63424194
0.6839591,0.66555405
0.68559194,0.6544096
0.6953634,0.6779383
0.7358817,0.710658
0.81460845,0.8251992
0.84250546,0.8534341
0.85201347,0.86480075
0.8540329,0.8650374
0.83928,0.8449728
0.82068765,0.8505319
0.79574865,0.84866947
0.76973677,0.83138436
0.7652352,0.81997776
0.7589225,0.80523455
0.7548567,0.8397951
0.77788454,0.8398222
0.82385004,0.8473528
0.8359153,0.85277754
0.8214169,0.830221
0.7709899,0.77248615
0.78241014,0.7789134
0.7714226,0.74846274
0.731337,0.6939612
0.70484436,0.6578432
0.68615484,0.6877123
0.69066447,0.68301535
0.7065582,0.6880134
0.74866325,0.7378433
0.83656144,0.8287342
0.8573475,0.85692424
0.86463475,0.8679165
0.8671029,0.8555203
0.851128,0.8457132
0.8252604,0.8488515
0.8078601,0.8153736
0.78897923,0.81113696
