true,forecasted
0.65791273,0.6565184
0.6222629,0.6196574
0.58408976,0.5951532
0.5864582,0.59562695
0.6509933,0.6492774
0.761364,0.7662047
0.82060504,0.85638994
0.83110034,0.86067206
0.843964,0.8643575
0.8483293,0.8497007
0.8622146,0.85326576
0.8537782,0.8341999
0.82851523,0.80130935
0.7944907,0.77407146
0.78411925,0.7522745
0.7811471,0.7517572
0.814506,0.82212293
0.9014713,0.86672455
0.8584221,0.83839846
0.78464556,0.7651919
0.7276181,0.70357144
0.7717509,0.7492095
0.75040436,0.74256283
0.6812098,0.6614083
0.67910457,0.69206303
0.6416435,0.6555067
0.610684,0.6321976
0.61478615,0.6355921
0.6718755,0.68640244
0.7751565,0.79614276
0.84277207,0.8889403
0.86497,0.8999377
0.8777718,0.9009422
0.87551177,0.89018196
0.88882434,0.8897804
0.8781433,0.871992
0.8493664,0.8411093
0.81921184,0.80884045
0.79766405,0.7821047
0.78907275,0.7842277
0.8244905,0.8612733
0.92348355,0.9252111
0.8800318,0.90189713
0.79958355,0.82138556
0.7472929,0.75512785
0.79097676,0.801121
0.7777261,0.80108017
0.7144294,0.7247652
0.71331483,0.7218771
0.67902714,0.6864712
0.644337,0.656064
0.64682925,0.6612913
0.7066895,0.71576965
0.820249,0.83800524
0.8876324,0.91624063
0.8943971,0.917489
0.897524,0.9094734
0.88117737,0.8884215
0.87490803,0.88290286
0.85402584,0.86105347
0.812602,0.8218711
0.77348465,0.7843862
0.74898016,0.7611892
0.7438564,0.7575161
0.78738546,0.8287598
0.89690477,0.90167445
0.86145616,0.86819315
0.7930975,0.8052271
0.74167377,0.7438057
0.78427404,0.7910477
0.7734073,0.7819862
0.70747894,0.70724124
0.7045068,0.70616955
0.6733461,0.6623391
0.6472782,0.63365316
0.64749485,0.6337265
0.70685977,0.6819346
0.81702924,0.79547036
0.884103,0.85940796
0.894459,0.867827
0.89695126,0.874212
0.8839482,0.8506903
0.88111544,0.8427273
0.8652642,0.8315798
0.82357717,0.7838657
0.7860542,0.74169195
0.75549716,0.7150351
0.74029607,0.7105786
0.776658,0.75997704
0.867292,0.81744033
0.8340415,0.7877083
0.7662711,0.7352316
0.71987826,0.6789912
0.76785004,0.730036
0.7526334,0.7209175
0.67747915,0.64274687
0.66908914,0.65217716
0.6274021,0.60973555
0.59159744,0.5783763
0.5829598,0.55834806
0.6044302,0.564085
0.640529,0.5935411
0.67473924,0.64066625
0.7218132,0.67712563
0.73969233,0.7071918
0.725064,0.69644785
0.72004855,0.6974628
0.72275746,0.7129977
0.6643833,0.6447122
0.61854774,0.6047633
0.5961795,0.56997967
0.59625685,0.5682373
0.6410708,0.6290236
0.74006385,0.70084184
0.72501755,0.6962248
0.67630273,0.64112836
0.6409315,0.59573287
0.69562143,0.66919065
0.6906834,0.6725038
0.62901205,0.60267603
0.6114735,0.60844785
0.5684552,0.5691023
0.5199107,0.5219176
0.4980997,0.4924819
0.50201607,0.48307565
0.515468,0.50182164
0.5259323,0.5256882
0.5614429,0.5660921
0.5962104,0.6015671
0.6139657,0.61640245
0.626365,0.6363838
0.6408231,0.6468336
0.5809319,0.5892811
0.542217,0.547529
0.5257775,0.5184364
0.5256072,0.5104095
0.5679134,0.55396277
0.68011075,0.6517131
0.68040484,0.65554637
0.64065284,0.6163194
0.59949213,0.5873659
0.65042055,0.64519393
0.646272,0.6347271
0.5905294,0.5833821
0.5791982,0.59617364
0.5542448,0.5646629
0.5283007,0.53146785
0.5384709,0.53129184
0.6121391,0.5917288
0.7320918,0.7142529
0.79938227,0.7877136
0.81724596,0.80114466
0.8081748,0.79813516
0.78187466,0.78487223
0.7768283,0.7906388
0.7593671,0.7721223
0.7250485,0.74195635
0.68331504,0.71188897
0.663052,0.6904794
0.6587641,0.6815224
0.69540477,0.7446939
0.8253573,0.84832317
0.80554324,0.81115055
0.73715365,0.7199354
0.68864006,0.65255946
0.7378038,0.70617926
