true,forecasted
0.65791273,0.6417914
0.6222629,0.6075075
0.58408976,0.577685
0.5864582,0.59026784
0.6509933,0.65494186
0.761364,0.76954883
0.82060504,0.8337447
0.83110034,0.8437338
0.843964,0.8531547
0.8483293,0.84321034
0.8622146,0.8417809
0.8537782,0.8349661
0.82851523,0.7933563
0.7944907,0.7639317
0.78411925,0.737205
0.7811471,0.7401504
0.814506,0.7968974
0.9014713,0.86753577
0.8584221,0.82386297
0.78464556,0.7535579
0.7276181,0.7070768
0.7717509,0.73640716
0.75040436,0.7184646
0.6812098,0.65484834
0.67910457,0.6641565
0.6416435,0.6337191
0.610684,0.6055736
0.61478615,0.62173283
0.6718755,0.68331355
0.7751565,0.79740006
0.84277207,0.8635803
0.86497,0.8766333
0.8777718,0.87782234
0.87551177,0.87138665
0.88882434,0.868424
0.8781433,0.86161405
0.8493664,0.8154661
0.81921184,0.78474003
0.79766405,0.75777316
0.78907275,0.76345116
0.8244905,0.8316201
0.92348355,0.9050363
0.8800318,0.8615996
0.79958355,0.79625684
0.7472929,0.7537656
0.79097676,0.78386354
0.7777261,0.7689833
0.7144294,0.7065255
0.71331483,0.717472
0.67902714,0.6883504
0.644337,0.6618328
0.64682925,0.67615324
0.7066895,0.73166996
0.820249,0.84693867
0.8876324,0.9118381
0.8943971,0.9162164
0.897524,0.9111646
0.88117737,0.900156
0.87490803,0.8958322
0.85402584,0.8847603
0.812602,0.83313745
0.77348465,0.8024526
0.74898016,0.77741086
0.7438564,0.77922493
0.78738546,0.8573886
0.89690477,0.9211068
0.86145616,0.8830084
0.7930975,0.82574993
0.74167377,0.785573
0.78427404,0.81520283
0.7734073,0.8018819
0.70747894,0.737728
0.7045068,0.70309675
0.6733461,0.67311704
0.6472782,0.64427304
0.64749485,0.6486933
0.70685977,0.70558864
0.81702924,0.8156553
0.884103,0.8856723
0.894459,0.89514947
0.89695126,0.8975019
0.8839482,0.88631475
0.88111544,0.87751067
0.8652642,0.868971
0.82357717,0.8154032
0.7860542,0.7829521
0.75549716,0.74988985
0.74029607,0.7450134
0.776658,0.8004035
0.867292,0.86636484
0.8340415,0.82870215
0.7662711,0.768038
0.71987826,0.7324712
0.76785004,0.7642449
0.7526334,0.74818164
0.67747915,0.6806193
0.66908914,0.6514465
0.6274021,0.6141707
0.59159744,0.5771906
0.5829598,0.5652195
0.6044302,0.58162165
0.640529,0.6133595
0.67473924,0.6572165
0.7218132,0.69239056
0.73969233,0.7176728
0.725064,0.7208241
0.72004855,0.72020715
0.72275746,0.7250634
0.6643833,0.65405744
0.61854774,0.61323845
0.5961795,0.5799882
0.59625685,0.58016175
0.6410708,0.6360954
0.74006385,0.7305034
0.72501755,0.7140959
0.67630273,0.66527647
0.6409315,0.6334026
0.69562143,0.6775105
0.6906834,0.6755608
0.62901205,0.61383253
0.6114735,0.588618
0.5684552,0.54859126
0.5199107,0.50612247
0.4980997,0.4880347
0.50201607,0.48220792
0.515468,0.49320537
0.5259323,0.51642025
0.5614429,0.55544245
0.5962104,0.60446376
0.6139657,0.6222738
0.626365,0.63093156
0.6408231,0.64801645
0.5809319,0.5780825
0.542217,0.5393731
0.5257775,0.51007676
0.5256072,0.5116492
0.5679134,0.5583652
0.68011075,0.6582135
0.68040484,0.6479075
0.64065284,0.6289891
0.59949213,0.6163926
0.65042055,0.6526583
0.646272,0.6415424
0.5905294,0.5875996
0.5791982,0.57466626
0.5542448,0.5424202
0.5283007,0.519708
0.5384709,0.54247427
0.6121391,0.6164774
0.7320918,0.7268427
0.79938227,0.797004
0.81724596,0.8064912
0.8081748,0.80766416
0.78187466,0.798978
0.7768283,0.7985756
0.7593671,0.7872463
0.7250485,0.7511241
0.68331504,0.71806663
0.663052,0.6980934
0.6587641,0.6928811
0.69540477,0.75893974
0.8253573,0.84414065
0.80554324,0.8124604
0.73715365,0.7350971
0.68864006,0.68331516
0.7378038,0.7178166
0.7276336,0.6988016
0.6639963,0.639077
0.66771144,0.65670794
0.63500273,0.6259118
0.60795957,0.596853
0.61495644,0.6071762
0.6806835,0.6680297
0.7936548,0.77742547
0.8544438,0.83294266
0.8680196,0.8397168
0.8640722,0.8445371
0.856224,0.8345976
0.8590413,0.82694846
0.85114664,0.8213851
0.8180199,0.7732306
0.7843824,0.74528795
0.76659614,0.7170538
0.7600637,0.70881164
0.78992414,0.7514492
0.8920596,0.8347795
0.8522457,0.8051483
0.7773546,0.74167186
0.7222776,0.6966454
0.7605126,0.7225287
0.7451257,0.7083501
0.6794761,0.64981043
0.67908907,0.66645926
0.64359397,0.6360195
0.6078048,0.60705054
0.6098636,0.6165498
0.66534305,0.6782916
0.7653268,0.7883056
0.82404155,0.8485958
0.8472457,0.8589457
0.85577506,0.8562154
0.8483448,0.85150075
0.8468742,0.8469741
0.83897954,0.83739567
0.81280327,0.79358774
0.77743196,0.7636097
0.75207615,0.7377821
0.7410236,0.73522377
0.7678965,0.78056896
0.863066,0.85519063
0.82060504,0.81261516
0.73679763,0.7472217
0.68179804,0.6971735
