true,forecasted
0.65791273,0.6514892
0.6222629,0.6190145
0.58408976,0.58756757
0.5864582,0.59046704
0.6509933,0.65385854
0.761364,0.76772106
0.82060504,0.8396956
0.83110034,0.84728515
0.843964,0.8523057
0.8483293,0.84717697
0.8622146,0.8482698
0.8537782,0.833237
0.82851523,0.8059673
0.7944907,0.7718981
0.78411925,0.75321585
0.7811471,0.74926686
0.814506,0.8067798
0.9014713,0.87258327
0.8584221,0.83645976
0.78464556,0.76408476
0.7276181,0.7080114
0.7717509,0.7530061
0.75040436,0.73322225
0.6812098,0.6617017
0.67910457,0.67050844
0.6416435,0.6400522
0.610684,0.60897213
0.61478615,0.6154276
0.6718755,0.68130577
0.7751565,0.79153436
0.84277207,0.86531776
0.86497,0.8788563
0.8777718,0.8859669
0.87551177,0.88139224
0.88882434,0.88196313
0.8781433,0.8678855
0.8493664,0.83645666
0.81921184,0.7992519
0.79766405,0.7796305
0.78907275,0.7770302
0.8244905,0.8359123
0.92348355,0.92400527
0.8800318,0.8953199
0.79958355,0.82074165
0.7472929,0.76323926
0.79097676,0.8057817
0.7777261,0.7919034
0.7144294,0.72375405
0.71331483,0.7140393
0.67902714,0.6851932
0.644337,0.652738
0.64682925,0.6566114
0.7066895,0.72410405
0.820249,0.833253
0.8876324,0.8928344
0.8943971,0.9020455
0.897524,0.905173
0.88117737,0.8963304
0.87490803,0.8891083
0.85402584,0.8737261
0.812602,0.8384975
0.77348465,0.7990954
0.74898016,0.77641535
0.7438564,0.77175844
0.78738546,0.8349543
0.89690477,0.92625916
0.86145616,0.8982802
0.7930975,0.8216399
0.74167377,0.7651552
0.78427404,0.80892
0.7734073,0.79741
0.70747894,0.7278656
0.7045068,0.7203949
0.6733461,0.68891394
0.6472782,0.6537608
0.64749485,0.6551845
0.70685977,0.7119372
0.81702924,0.81409466
0.884103,0.87635183
0.894459,0.8859402
0.89695126,0.8918146
0.8839482,0.88021755
0.88111544,0.87398016
0.8652642,0.85838544
0.82357717,0.8178932
0.7860542,0.7773638
0.75549716,0.75051916
0.74029607,0.7367536
0.776658,0.77731425
0.867292,0.8568071
0.8340415,0.8268326
0.7662711,0.76153046
0.71987826,0.7122171
0.76785004,0.75840354
0.7526334,0.7432399
0.67747915,0.6729542
0.66908914,0.6560162
0.6274021,0.6178491
0.59159744,0.5775181
0.5829598,0.5620568
0.6044302,0.57790136
0.640529,0.5998417
0.67473924,0.63919187
0.7218132,0.6804322
0.73969233,0.71186656
0.725064,0.7090286
0.72004855,0.71195066
0.72275746,0.70964223
0.6643833,0.65065914
0.61854774,0.6067797
0.5961795,0.5809069
0.59625685,0.5755302
0.6410708,0.62906045
0.74006385,0.7171103
0.72501755,0.7051001
0.67630273,0.6543092
0.6409315,0.6206449
0.69562143,0.677413
0.6906834,0.67179215
0.62901205,0.60604477
0.6114735,0.5900438
0.5684552,0.54905736
0.5199107,0.5020197
0.4980997,0.4787753
0.50201607,0.4813155
0.515468,0.49277768
0.5259323,0.508404
0.5614429,0.5473532
0.5962104,0.5957406
0.6139657,0.61546606
0.626365,0.6311122
0.6408231,0.6460287
0.5809319,0.585401
0.542217,0.5368554
0.5257775,0.51424414
0.5256072,0.5099165
0.5679134,0.5560817
0.68011075,0.66301477
0.68040484,0.6684252
0.64065284,0.63319665
0.59949213,0.5944731
0.65042055,0.6504805
0.646272,0.6458434
0.5905294,0.5841363
0.5791982,0.5836593
0.5542448,0.55525494
0.5283007,0.5288957
0.5384709,0.5416391
0.6121391,0.6156317
0.7320918,0.7256247
0.79938227,0.7865457
0.81724596,0.8018367
0.8081748,0.8024048
0.78187466,0.7945244
0.7768283,0.78849214
0.7593671,0.77419233
0.7250485,0.7445973
0.68331504,0.708691
0.663052,0.68838805
0.6587641,0.68081546
0.69540477,0.73344195
0.8253573,0.83823
0.80554324,0.8084094
0.73715365,0.7307954
0.68864006,0.6713147
0.7378038,0.7188716
0.7276336,0.70448744
0.6639963,0.637136
0.66771144,0.65814286
0.63500273,0.62659574
0.60795957,0.59795094
0.61495644,0.6044327
0.6806835,0.6604321
0.7936548,0.7634076
0.8544438,0.8165808
0.8680196,0.82829607
0.8640722,0.83322465
0.856224,0.8226588
0.8590413,0.8178438
0.85114664,0.80535066
0.8180199,0.77139187
0.7843824,0.7381366
0.76659614,0.71657497
0.7600637,0.7083619
0.78992414,0.75656265
0.8920596,0.8280959
0.8522457,0.8008768
0.7773546,0.73542565
0.7222776,0.6824584
0.7605126,0.7246078
0.7451257,0.7088338
0.6794761,0.64455676
0.67908907,0.6881766
0.64359397,0.6572103
0.6078048,0.6248373
0.6098636,0.62731624
0.66534305,0.68707156
0.7653268,0.7926389
0.82404155,0.85523194
0.8472457,0.86494875
0.85577506,0.8678935
0.8483448,0.86163086
0.8468742,0.8596466
0.83897954,0.8444957
0.81280327,0.8116518
0.77743196,0.7767415
0.75207615,0.7530283
0.7410236,0.74096954
0.7678965,0.7782915
0.863066,0.86508584
0.82060504,0.83059734
0.73679763,0.75154144
0.68179804,0.69180775
0.7190888,0.72623754
0.695575,0.7076802
0.6258851,0.63659996
