true,forecasted
0.65791273,0.6596383
0.6222629,0.6099603
0.58408976,0.57863075
0.5864582,0.58196795
0.6509933,0.63696456
0.761364,0.7500657
0.82060504,0.81470525
0.83110034,0.83020777
0.843964,0.8469632
0.8483293,0.83985853
0.8622146,0.8580046
0.8537782,0.85034823
0.82851523,0.8166737
0.7944907,0.7838152
0.78411925,0.76791096
0.7811471,0.7671458
0.814506,0.8045181
0.9014713,0.8916762
0.8584221,0.8494993
0.78464556,0.7774482
0.7276181,0.73084265
0.7717509,0.77243507
0.75040436,0.7451814
0.6812098,0.6787496
0.67910457,0.67886007
0.6416435,0.6398987
0.610684,0.5979056
0.61478615,0.58796
0.6718755,0.66263187
0.7751565,0.7871552
0.84277207,0.85370857
0.86497,0.8825546
0.8777718,0.8937588
0.87551177,0.8728009
0.88882434,0.8829525
0.8781433,0.8683874
0.8493664,0.8227765
0.81921184,0.7969112
0.79766405,0.7695668
0.78907275,0.77893555
0.8244905,0.8124572
0.92348355,0.9254345
0.8800318,0.89851964
0.79958355,0.8143705
0.7472929,0.7564799
0.79097676,0.8199336
0.7777261,0.79976857
0.7144294,0.7427326
0.71331483,0.7305993
0.67902714,0.6901793
0.644337,0.64996076
0.64682925,0.64592016
0.7066895,0.7056366
0.820249,0.8389657
0.8876324,0.9125725
0.8943971,0.919168
0.897524,0.9277218
0.88117737,0.90952945
0.87490803,0.9031531
0.85402584,0.8851701
0.812602,0.8307605
0.77348465,0.7996667
0.74898016,0.77988064
0.7438564,0.7809327
0.78738546,0.8335428
0.89690477,0.9315528
0.86145616,0.90124685
0.7930975,0.8137064
0.74167377,0.7586128
0.78427404,0.8172667
0.7734073,0.8059313
0.70747894,0.74308425
0.7045068,0.72918725
0.6733461,0.69219446
0.6472782,0.6532957
0.64749485,0.6448096
0.70685977,0.70371413
0.81702924,0.8422467
0.884103,0.91754687
0.894459,0.9228331
0.89695126,0.9304805
0.8839482,0.906988
0.88111544,0.913778
0.8652642,0.88844526
0.82357717,0.8383103
0.7860542,0.804622
0.75549716,0.7711521
0.74029607,0.7651462
0.776658,0.80885774
0.867292,0.8834683
0.8340415,0.85420924
0.7662711,0.77231073
0.71987826,0.726425
0.76785004,0.7753124
0.7526334,0.7646158
0.67747915,0.6819926
0.66908914,0.65477824
0.6274021,0.60061634
0.59159744,0.56245464
0.5829598,0.5425657
0.6044302,0.54913044
0.640529,0.58602583
0.67473924,0.631019
0.7218132,0.67301023
0.73969233,0.7109613
0.725064,0.70129234
0.72004855,0.7069643
0.72275746,0.71005034
0.6643833,0.6356182
0.61854774,0.6045167
0.5961795,0.5661022
0.59625685,0.56442463
0.6410708,0.6144403
0.74006385,0.71160614
0.72501755,0.6896139
0.67630273,0.6277096
0.6409315,0.6043635
0.69562143,0.6647966
0.6906834,0.66206634
0.62901205,0.59703636
0.6114735,0.5783793
0.5684552,0.53331685
0.5199107,0.49065623
0.4980997,0.4640701
0.50201607,0.45647773
0.515468,0.4694502
0.5259323,0.50106806
0.5614429,0.5320885
0.5962104,0.57943344
0.6139657,0.585715
0.626365,0.6152932
0.6408231,0.6229162
0.5809319,0.5389153
0.542217,0.5083082
0.5257775,0.4840963
0.5256072,0.48772585
0.5679134,0.5410575
0.68011075,0.64773655
0.68040484,0.6415747
0.64065284,0.6133568
0.59949213,0.5755997
0.65042055,0.62590706
0.646272,0.6147766
0.5905294,0.56442744
0.5791982,0.5774113
0.5542448,0.5456659
0.5283007,0.5053474
0.5384709,0.5069477
0.6121391,0.56014717
0.7320918,0.6771829
0.79938227,0.7402316
0.81724596,0.7582294
0.8081748,0.7636534
0.78187466,0.74404097
0.7768283,0.7587994
0.7593671,0.7307394
0.7250485,0.68838835
0.68331504,0.6601059
0.663052,0.6406832
0.6587641,0.64280146
0.69540477,0.6922988
0.8253573,0.7893621
0.80554324,0.78100836
0.73715365,0.70503354
0.68864006,0.6590765
0.7378038,0.71503377
0.7276336,0.6950792
0.6639963,0.64150506
0.66771144,0.6675314
0.63500273,0.6255672
0.60795957,0.5902929
0.61495644,0.5987756
0.6806835,0.6699488
0.7936548,0.7894918
0.8544438,0.8735872
0.8680196,0.87968576
0.8640722,0.8750533
0.856224,0.85401165
0.8590413,0.86500305
0.85114664,0.8295866
0.8180199,0.7779829
0.7843824,0.757621
0.76659614,0.721987
0.7600637,0.73242104
0.78992414,0.77554166
0.8920596,0.8736467
0.8522457,0.8348226
0.7773546,0.7530055
0.7222776,0.7030703
0.7605126,0.7469102
0.7451257,0.72735244
0.6794761,0.6672412
0.67908907,0.68790114
0.64359397,0.6364441
0.6078048,0.5980498
0.6098636,0.60924125
0.66534305,0.67672646
0.7653268,0.7807095
0.82404155,0.8444406
0.8472457,0.8497726
0.85577506,0.8547788
0.8483448,0.846064
0.8468742,0.8469958
0.83897954,0.82877994
0.81280327,0.78869253
0.77743196,0.7579142
0.75207615,0.7227625
0.7410236,0.7173606
0.7678965,0.75202435
0.863066,0.8461026
0.82060504,0.8024661
0.73679763,0.71175635
0.68179804,0.67560524
0.7190888,0.7122572
0.695575,0.68581384
0.6258851,0.6235463
0.6146623,0.6212659
0.5764583,0.5781242
0.5341211,0.5372133
0.52859485,0.5299341
0.5783623,0.6013672
0.67955345,0.72003615
0.73237044,0.7572896
0.7460081,0.76828945
0.74797404,0.7674744
0.7399555,0.7421417
0.74603903,0.75245434
0.7335933,0.740562
0.70096195,0.6958479
0.66503346,0.65742713
0.6360089,0.6426751
0.6252195,0.62130207
0.6473246,0.6445761
0.7492588,0.7647531
0.71436745,0.72583836
0.64102435,0.6558777
0.58946127,0.60388595
0.62795943,0.6512727
0.6142908,0.63436484
0.54588574,0.57192516
0.53148955,0.56065416
0.49862602,0.5309129
0.4683321,0.48527768
0.4746943,0.48796844
0.53662884,0.5474098
0.65134937,0.6693355
0.71741694,0.7104528
0.73470783,0.70951355
0.7286862,0.71164083
0.70823747,0.6801376
0.69915086,0.68187124
0.68011075,0.66197443
0.64186025,0.6222477
0.5988265,0.5784562
0.5737493,0.554847
0.559059,0.54732794
0.5935789,0.58263874
0.6953738,0.68837917
0.6701108,0.67431915
0.60814536,0.60531557
0.5654831,0.5496105
0.61017317,0.6115694
0.5940123,0.5891464
0.5226506,0.5288937
0.4972793,0.49574324
0.4517533,0.44809127
0.4117536,0.40583247
0.406862,0.40080702
0.42879683,0.41260526
0.46415257,0.4493851
0.4927437,0.48232165
0.5442294,0.5306207
0.57946134,0.54910815
0.58648914,0.53953767
0.59819186,0.5571001
0.6102351,0.55260503
0.5535637,0.49293122
0.50936896,0.4606353
0.4785952,0.43722615
0.46511233,0.435053
0.49460128,0.4895298
0.5974333,0.5759858
0.593842,0.5679731
0.5473718,0.52636266
0.5179912,0.49582335
0.583517,0.5676818
0.5864272,0.5660382
0.5235329,0.5091394
0.50955474,0.49952415
0.47207823,0.44155627
0.434385,0.41457066
0.42105693,0.38488296
0.43275964,0.39600804
0.45461705,0.4203599
0.46692348,0.4356032
0.50628847,0.47352612
0.54198486,0.5048914
0.55820763,0.5174395
0.5709784,0.53343207
0.57737154,0.5379189
0.5148024,0.46983963
0.4678987,0.42269644
0.44779047,0.3926928
0.44299176,0.397779
0.48508123,0.45707995
0.6042599,0.5691649
0.6105447,0.58800536
0.57311463,0.5403553
0.53675264,0.50993276
0.5875108,0.5749209
0.5813189,0.56698394
0.52330077,0.5063825
0.5147095,0.5217209
0.48223296,0.47189677
0.455035,0.44328406
0.4655922,0.4562214
0.53048337,0.5097105
0.64046705,0.6190384
0.7007453,0.6612874
0.73094624,0.6886606
0.7428812,0.69726884
0.7399555,0.6953308
0.7492124,0.7198326
0.7379741,0.696168
0.7091972,0.65594167
0.67268044,0.62362504
0.6517518,0.5996805
0.6452503,0.58607024
0.66757214,0.6227455
0.7653733,0.7106081
0.73172027,0.6955277
0.6539809,0.62452006
0.59800607,0.5820276
0.6388417,0.6217843
0.6242443,0.60072315
0.55376494,0.53097427
0.5375886,0.52093947
0.5007777,0.48611325
0.46994203,0.45769292
0.4735488,0.4564739
0.52738744,0.5157307
0.63145787,0.63636184
0.68743265,0.69269973
0.715482,0.71169806
0.72396487,0.7182378
0.7218442,0.69820887
0.7278503,0.7107741
0.7174789,0.6936908
0.68523455,0.6511447
0.65472394,0.6195773
0.63534325,0.5891568
0.6263495,0.5825775
0.65799016,0.61588424
0.7620606,0.72340775
0.7331289,0.7034831
0.6619839,0.63401794
0.6127583,0.5826215
0.6563338,0.62724936
0.6415042,0.61189556
0.57689166,0.5426072
0.5660249,0.58601356
0.5344926,0.5448388
0.5075269,0.5198241
0.5173411,0.5194591
0.5807152,0.5925427
0.6852655,0.6964803
0.74433625,0.73469704
0.77986234,0.76075095
0.7803112,0.7613296
0.76546615,0.7534661
0.7667664,0.754209
0.74797404,0.7333887
0.7188411,0.6913033
0.6781138,0.66068524
0.65555984,0.631008
0.6467983,0.63119996
0.6802191,0.67046356
0.80591476,0.7798462
0.7901873,0.7767356
0.7213179,0.6955687
0.6722935,0.66042477
0.7180826,0.70833004
0.7085161,0.69015574
0.65003353,0.6312254
0.6393835,0.63282466
0.6112413,0.59983385
0.5823096,0.5650861
0.59060675,0.56734556
0.6549871,0.63135165
0.76082224,0.7387202
0.81905705,0.80097413
0.8474779,0.82804734
0.8438557,0.8173611
0.82427377,0.8045918
0.8238403,0.8112242
0.80524915,0.7750807
0.7699862,0.7349471
0.72998655,0.70318466
0.70735514,0.68677914
0.6977267,0.67773885
0.726937,0.7123868
0.8426018,0.8210073
0.8275555,0.814942
0.762494,0.7428436
0.713191,0.67891216
0.75737023,0.73676395
0.74572945,0.7321563
0.6833615,0.6605677
0.6755597,0.7017758
0.6468912,0.66295034
0.6193217,0.6306122
0.626721,0.6281153
0.6918444,0.68322515
0.7900016,0.79341185
0.8385925,0.85031116
0.8654344,0.8751505
0.86281836,0.86511767
0.8447225,0.84547144
0.8361777,0.8534725
0.8174472,0.8213316
0.77371687,0.78080076
0.73274195,0.73807096
0.7031291,0.7191126
0.688702,0.70327383
0.7202188,0.72568476
0.8203419,0.83799523
0.8156825,0.82201385
0.75398016,0.7593813
0.71162754,0.71298486
0.7611318,0.767931
0.74418145,0.75733423
0.67785066,0.68115246
0.67446065,0.67338336
0.6351575,0.6321095
0.6002661,0.5954613
0.5920619,0.58455396
0.61545175,0.6290277
0.6526187,0.68956864
0.67716956,0.74029446
0.7250485,0.7745403
0.74433625,0.78753096
0.7295376,0.77122176
0.72247887,0.7814963
0.72363985,0.7598355
0.66210777,0.7045035
0.61326915,0.6526342
0.5872786,0.6337567
0.5753437,0.6292072
0.60520416,0.6501981
0.712386,0.76172006
0.7193984,0.742776
0.6759002,0.68619406
0.6421079,0.6600495
0.705513,0.7127454
0.7022468,0.6986854
0.6461791,0.6467856
0.6356219,0.6241857
0.599972,0.57774
0.56367195,0.5473584
0.54977113,0.5353693
0.5627432,0.5477294
0.5842291,0.571314
0.59833115,0.59556544
0.63930607,0.6344049
0.67083836,0.67103875
0.67774236,0.6898601
0.68370205,0.70336
0.6844141,0.6948216
0.6155292,0.6253721
0.56508064,0.58164334
0.53967834,0.554423
0.5317372,0.5559846
0.5751425,0.5899907
0.7062096,0.7246591
0.74249417,0.7351358
0.7146306,0.69679606
0.6839033,0.6792826
0.7393518,0.7289448
0.7361165,0.71215284
0.6789188,0.66069305
0.67489403,0.71668875
0.6530676,0.67751765
0.6327272,0.6413772
0.6452503,0.6553663
0.71540457,0.7216644
0.8222459,0.8399071
0.8728647,0.8982854
0.9060069,0.932417
0.9067499,0.94047487
0.89419585,0.9397429
0.8969977,0.95672995
0.8872454,0.9293996
0.8578958,0.8870319
0.817602,0.8503602
0.79885596,0.8350979
0.7924783,0.82809323
0.8250632,0.85475194
0.9508982,0.95418847
0.9469044,0.9490886
0.8816882,0.8761383
0.82885575,0.8291907
0.87803495,0.8785581
0.86780286,0.86059946
0.8074008,0.7974887
0.81377846,0.80915654
0.78535765,0.76492614
0.7589182,0.73040277
0.7579585,0.73345613
0.8229889,0.79658014
0.91253936,0.89484805
0.95178056,0.9240316
0.98366886,0.9457313
0.9773995,0.9540726
0.967895,0.9589535
0.9783438,0.96303314
0.9632046,0.95727855
0.9275083,0.91359323
0.884521,0.87740326
0.86312795,0.85379755
0.85010946,0.846363
0.87546533,0.868501
0.9905728,0.9516921
0.98640877,0.96616787
0.92196655,0.88465893
0.8740102,0.8591729
0.92003155,0.9042218
0.9110533,0.8796933
0.8505429,0.8288343
0.8556977,0.8777636
0.82427377,0.84592646
0.79476935,0.8122222
0.7982832,0.82319975
0.8541187,0.89223546
0.94044936,0.9922129
0.9758516,0.9881085
1.0169504,0.99902976
1.0244116,0.9956834
1.0192723,1.0041403
1.0238079,0.9971877
1.0133126,1.0054355
0.97938097,0.98237056
0.95178056,0.9499814
0.9354029,0.9065247
0.92469096,0.9061843
0.9443193,0.8838532
1.0330957,0.96754587
1.0093652,0.98325735
0.9309138,0.9023551
0.8734065,0.86203414
0.9094744,0.9086542
0.88868505,0.87301624
0.82096106,0.8261114
0.8189797,0.82035744
0.7815032,0.7721784
0.7443982,0.72545224
0.73922795,0.7220143
0.7843205,0.77715796
0.8608215,0.8651815
0.8880968,0.9021593
0.92883956,0.90671325
0.9473069,0.9135142
0.9466877,0.8992069
0.9486072,0.9108297
0.9347373,0.9039484
0.90495425,0.8625135
0.8678183,0.8109094
0.84308165,0.77456474
0.8287784,0.7486797
0.8355585,0.76688623
0.91504705,0.8713149
0.89176553,0.8452092
0.8071841,0.7805221
0.74963033,0.7254691
0.78631735,0.76766217
0.7667045,0.74535173
0.7012561,0.67945147
0.69967717,0.704759
0.65984774,0.6607636
0.6247706,0.6197859
0.6193062,0.61365736
0.6688879,0.65454423
0.75031143,0.74870324
0.7871378,0.7726636
0.8287784,0.7968973
0.84424263,0.8147415
0.84500116,0.7953568
0.8438711,0.80892164
0.8315492,0.80173665
0.7834072,0.7444052
0.72706085,0.70284873
0.6902964,0.6734552
0.65986323,0.65832883
0.675343,0.67267966
0.7669212,0.8002907
0.7643361,0.7835901
0.70099294,0.7222483
0.65630287,0.67740697
0.7084851,0.7364749
0.6964883,0.72587705
0.62799037,0.651397
0.6171081,0.60098577
0.5742447,0.55125016
0.5370468,0.50654644
0.51878065,0.48652527
0.5365824,0.49234092
0.5636101,0.5040643
0.58049846,0.5347542
0.62421334,0.59029907
0.6468912,0.61416984
0.6402658,0.60060906
0.63658166,0.61473554
0.6403587,0.6116165
0.58028173,0.5285877
0.5298487,0.495946
0.49509662,0.4641629
0.47871906,0.45422465
0.4993226,0.47919676
0.59741783,0.60977495
0.6117521,0.61107343
0.56182986,0.5616063
0.53424495,0.5303157
0.5916439,0.6050022
0.5908854,0.6045004
0.5310561,0.5459935
0.51520485,0.52550447
0.47647446,0.47693437
0.43673792,0.43183002
0.41983402,0.40176788
0.4271095,0.40664715
0.4414128,0.42225066
0.44712484,0.4353987
0.4835797,0.4840142
0.5175113,0.52462375
0.53574646,0.5321169
0.5539352,0.54765797
0.5707772,0.564617
0.51452374,0.48424658
0.46905968,0.44803816
0.4471558,0.42353386
0.4364438,0.4087146
0.46005046,0.44856143
0.5605451,0.5777547
0.5911021,0.5731111
0.5538578,0.5222845
0.5200964,0.50161856
0.5708082,0.556158
0.5629289,0.5438835
0.50625753,0.49247634
0.4919078,0.49121407
0.46313092,0.4420885
0.43409088,0.40978745
0.44292983,0.4099363
0.50608724,0.46409518
0.60826916,0.5450812
0.6565196,0.61117995
0.6859621,0.6236149
0.6847392,0.6346232
0.67345446,0.61856663
0.6674483,0.6306935
0.6510552,0.62381834
0.6206375,0.57750654
0.5802353,0.53083515
0.56299084,0.51132894
0.55001885,0.4890762
0.5676193,0.53961074
0.6628818,0.63490593
0.6622471,0.6067866
0.5892755,0.53498006
0.54022014,0.48854038
0.5814427,0.55588853
0.5712261,0.5412571
0.5080842,0.48245195
0.49271274,0.49008265
0.4598647,0.44972038
0.4320166,0.4141378
0.43723327,0.4199654
0.49616474,0.4796849
0.59268105,0.56843656
0.64854753,0.6233858
0.6685164,0.63169277
0.66364026,0.64798564
0.65249485,0.6436087
0.6494918,0.6548709
0.63918227,0.64208734
0.6161019,0.5853801
0.57930654,0.550207
0.55619526,0.5339192
0.5469848,0.51043904
0.5687184,0.5495825
0.67235535,0.6255784
0.67150396,0.61710435
0.5955448,0.5341164
0.5518145,0.50218844
0.59407425,0.5604042
0.58412075,0.5438657
0.51627296,0.4852297
0.4999418,0.5199038
0.4672021,0.48468566
0.44000417,0.44042352
0.44560784,0.44941399
0.5043535,0.51561964
0.6062568,0.61517
0.65829974,0.67874783
0.6874017,0.6991062
0.68899614,0.6899611
0.677216,0.6927085
0.67842346,0.7085112
0.6666124,0.69545853
0.63808316,0.66813236
0.598068,0.6443726
0.5728515,0.6190921
0.5566906,0.6073952
0.5683778,0.6338604
0.66726255,0.7074996
0.6882531,0.7054053
0.6191205,0.61921704
0.57155114,0.58515114
0.6225725,0.6347587
0.607619,0.622071
0.5427743,0.5546116
0.5286413,0.5359734
0.49752694,0.48980474
0.47012776,0.4648825
0.4728677,0.4719754
0.53272796,0.52641994
0.6313495,0.6478903
0.6739808,0.6851065
0.69709206,0.68560755
0.6885936,0.68068576
0.6693368,0.6618467
0.6653895,0.66363305
0.6487952,0.6437893
0.61630315,0.6178228
0.57828486,0.58408606
0.5540281,0.546249
0.5401582,0.54285824
0.5543686,0.57288593
0.6515351,0.6327685
0.6617827,0.64198357
0.5893529,0.57762516
0.5394152,0.5501951
0.58218575,0.5892824
0.5703128,0.5600925
0.4960254,0.50168043
0.47724846,0.5073408
0.44071624,0.46658227
0.41293007,0.4350552
0.41362664,0.43444055
0.469199,0.49139917
0.55922925,0.6067879
0.60634965,0.6475315
0.62709254,0.6587852
0.6290894,0.6522522
0.62388825,0.64210093
0.6210864,0.6394301
0.61169016,0.62536013
0.57740253,0.5854011
0.5377279,0.55768627
0.5115052,0.5219017
0.50063837,0.51101285
0.520824,0.5247323
0.5922631,0.5986726
0.595003,0.5943974
0.5182389,0.526425
0.47138163,0.48879543
0.51449275,0.53370094
0.5002514,0.51124436
0.42548415,0.43753976
0.40040693,0.41202265
0.35833293,0.37087846
0.32217222,0.32942697
0.31014445,0.31684855
0.32782233,0.3424638
0.35608837,0.38224262
0.37876624,0.4106138
0.42378137,0.44536954
0.45181522,0.47086677
0.45440033,0.4763635
0.4643074,0.48255357
0.4788274,0.49021366
0.42745006,0.44098476
0.38232657,0.40254992
0.35505122,0.37614492
0.33960244,0.37063324
0.35655278,0.39264315
0.4315522,0.47508508
0.45478734,0.48017365
0.4031159,0.429836
0.3702214,0.39657915
0.42570087,0.4584403
0.4237504,0.4499316
0.3606704,0.38168156
0.3373269,0.35958955
0.29268327,0.31711584
0.2558724,0.27702492
0.24226569,0.2673113
0.2513523,0.27352148
0.26178566,0.297522
0.270702,0.3251708
0.31005156,0.35116193
0.34384388,0.38562745
0.36153725,0.3946441
0.37933898,0.40892097
0.39662987,0.4154836
0.3397108,0.35691753
0.30111974,0.3146569
0.27526855,0.29373366
0.2610117,0.29362684
0.29308575,0.31700322
0.39167634,0.41700774
0.43231073,0.4432791
0.3972026,0.41427186
0.36351866,0.3797952
0.4109177,0.43221918
0.4075586,0.42133045
0.35368901,0.3665986
0.34040737,0.3281116
0.30529928,0.28860772
0.2821106,0.27064332
0.2922963,0.28210235
0.35794595,0.35251912
0.46382752,0.45441607
0.5165051,0.49903402
0.5459941,0.52162373
0.54864115,0.53819597
0.54932225,0.5346097
0.56065345,0.5343031
0.55817664,0.5357312
0.53630376,0.499804
0.5078829,0.47139707
0.4935177,0.45450667
0.48162925,0.44110435
0.4991059,0.4790203
0.5910247,0.5476092
0.59809893,0.53169423
0.5255608,0.47651312
0.47283673,0.43207446
0.5126971,0.47747502
0.5018768,0.46193725
0.4326977,0.4004086
0.4179455,0.39784274
0.3884256,0.35116985
0.36218742,0.33387876
0.36893657,0.3377463
0.43178442,0.39832604
0.5374338,0.4933695
0.5928978,0.5331842
0.6049255,0.5562178
0.59734046,0.5630613
0.58518887,0.5531781
0.5863963,0.5711703
0.578192,0.5530776
0.5485018,0.49444863
0.5144309,0.46781927
0.4869388,0.43261856
0.47162932,0.43443412
0.4889202,0.46799427
0.57539016,0.55878353
0.60090077,0.5548618
0.53133476,0.48791692
0.47978714,0.46900374
0.52582395,0.5035976
0.51622653,0.4727093
0.45025176,0.42586073
0.43755835,0.43768904
0.4093078,0.4003477
0.3887971,0.37348625
0.39885896,0.38374695
0.4660566,0.44796893
0.56422925,0.5513319
0.6107614,0.5855497
0.62009573,0.60075295
0.5970463,0.5930259
0.5713345,0.5684078
0.5631147,0.57302046
0.55187637,0.5534851
0.52031314,0.5054409
0.486397,0.46761766
0.46412164,0.43534636
0.45426103,0.42803258
0.4758398,0.45133018
0.57398146,0.5603342
0.5852043,0.5583362
0.5159479,0.48961294
0.46262008,0.44540322
0.5006848,0.48906487
0.49046817,0.46627662
0.42412192,0.40935898
0.40871957,0.4091274
0.3726672,0.37003416
0.3413052,0.33583552
0.34296155,0.33855593
0.4038744,0.39047536
0.5045393,0.49133912
0.56046766,0.54279715
0.58237153,0.5610132
0.58617955,0.5616063
0.5847554,0.5576626
0.5946315,0.5757307
0.5855604,0.5592104
0.55907446,0.5275378
0.5277744,0.4996054
0.5032854,0.48781687
0.48859513,0.47040284
0.50438446,0.5018413
0.58136535,0.5777089
0.5972011,0.58077127
0.52328527,0.509158
0.47322372,0.4733944
0.5159943,0.5096176
0.50457025,0.4936439
0.43639737,0.43148333
0.41836345,0.40890452
0.38669187,0.3674239
0.35940105,0.34137
0.36597994,0.33051375
0.4269702,0.3862811
0.5260562,0.48808494
0.58049846,0.5328484
0.59128785,0.56740665
0.58340865,0.56531394
0.5610404,0.5525907
0.555251,0.5654294
0.5447867,0.54770255
0.51280546,0.49943355
0.47796053,0.47457474
0.45330128,0.44806525
0.43749645,0.43727988
0.45975634,0.45002344
0.53684556,0.5469603
0.5625729,0.54038763
0.50133497,0.49122855
0.46388942,0.45924085
0.51173735,0.5062551
0.5017375,0.48982164
0.43008164,0.42157024
0.40898272,0.40087423
0.37427709,0.35613734
0.34209466,0.31779525
0.3362588,0.3048691
0.36347222,0.30499893
0.3916299,0.35982758
0.42670706,0.39011183
0.47658283,0.44086966
0.5073721,0.4745747
0.5120934,0.46458018
0.5274029,0.49776724
0.5484244,0.5044304
0.50189227,0.44902712
0.4735488,0.41714606
0.456583,0.39686126
0.45224866,0.39159405
0.47684598,0.42325574
0.54861015,0.510693
0.5781765,0.52813876
0.5266289,0.4856413
0.49272823,0.460976
0.55345535,0.5184834
