true,forecasted
0.65791273,0.6592817
0.6222629,0.6294328
0.58408976,0.59396785
0.5864582,0.60167944
0.6509933,0.6629782
0.761364,0.77616006
0.82060504,0.857864
0.83110034,0.8701753
0.843964,0.87604666
0.8483293,0.8759141
0.8622146,0.87922955
0.8537782,0.8610936
0.82851523,0.83525693
0.7944907,0.8040073
0.78411925,0.7819493
0.7811471,0.78172445
0.814506,0.829332
0.9014713,0.9095148
0.8584221,0.8651387
0.78464556,0.79185474
0.7276181,0.7333019
0.7717509,0.7697679
0.75040436,0.75039244
0.6812098,0.68477947
0.67910457,0.67896795
0.6416435,0.64494187
0.610684,0.61362314
0.61478615,0.62214106
0.6718755,0.6798836
0.7751565,0.7907371
0.84277207,0.8635818
0.86497,0.87919265
0.8777718,0.88602096
0.87551177,0.8826804
0.88882434,0.8853725
0.8781433,0.8696963
0.8493664,0.8408374
0.81921184,0.8062744
0.79766405,0.78571737
0.78907275,0.78350216
0.8244905,0.83820045
0.92348355,0.92846555
0.8800318,0.8884815
0.79958355,0.81762886
0.7472929,0.76492894
0.79097676,0.8042995
0.7777261,0.7892654
0.7144294,0.7313067
0.71331483,0.7147299
0.67902714,0.6790708
0.644337,0.647982
0.64682925,0.6535066
0.7066895,0.7140756
0.820249,0.8209799
0.8876324,0.87924016
0.8943971,0.89070946
0.897524,0.88738805
0.88117737,0.87165076
0.87490803,0.86533713
0.85402584,0.8472951
0.812602,0.80783063
0.77348465,0.7640218
0.74898016,0.738053
0.7438564,0.727439
0.78738546,0.7856429
0.89690477,0.8777532
0.86145616,0.8403956
0.7930975,0.77717674
0.74167377,0.73255515
0.78427404,0.77441037
0.7734073,0.7569611
0.70747894,0.6993128
0.7045068,0.70778173
0.6733461,0.6746974
0.6472782,0.64206314
0.64749485,0.6489733
0.70685977,0.71350795
0.81702924,0.8183613
0.884103,0.882908
0.894459,0.89269406
0.89695126,0.8946732
0.8839482,0.889633
0.88111544,0.8809115
0.8652642,0.86834794
0.82357717,0.8218938
0.7860542,0.78339255
0.75549716,0.7556947
0.74029607,0.7421334
0.776658,0.7876188
0.867292,0.8595666
0.8340415,0.82271427
0.7662711,0.7618749
0.71987826,0.71520686
0.76785004,0.7550819
0.7526334,0.7272028
0.67747915,0.6631409
0.66908914,0.6663271
0.6274021,0.62433887
0.59159744,0.5828461
0.5829598,0.5721698
0.6044302,0.6013328
0.640529,0.6392634
0.67473924,0.6746199
0.7218132,0.7178512
0.73969233,0.7455125
0.725064,0.7407786
0.72004855,0.73602486
0.72275746,0.7490277
0.6643833,0.6880835
0.61854774,0.6411251
0.5961795,0.6094468
0.59625685,0.6024085
0.6410708,0.6558307
0.74006385,0.7505899
0.72501755,0.7197199
0.67630273,0.672059
0.6409315,0.6246151
0.69562143,0.6903001
0.6906834,0.68352807
0.62901205,0.6197221
0.6114735,0.6116938
0.5684552,0.5710048
0.5199107,0.52662176
0.4980997,0.512095
0.50201607,0.5243232
0.515468,0.53307587
0.5259323,0.54536706
0.5614429,0.5752086
0.5962104,0.61708677
0.6139657,0.6397282
0.626365,0.65288705
0.6408231,0.672448
0.5809319,0.60657144
0.542217,0.56141824
0.5257775,0.5315808
0.5256072,0.53062654
0.5679134,0.57483196
0.68011075,0.68106824
0.68040484,0.6904162
0.64065284,0.65207684
0.59949213,0.6075517
0.65042055,0.6524944
0.646272,0.6389364
0.5905294,0.58553684
0.5791982,0.5774353
0.5542448,0.54757303
0.5283007,0.51448536
0.5384709,0.52852505
0.6121391,0.60488516
0.7320918,0.71535206
0.79938227,0.78034055
0.81724596,0.804449
0.8081748,0.80758387
0.78187466,0.7994291
0.7768283,0.8010031
0.7593671,0.794517
0.7250485,0.7638253
0.68331504,0.7268394
0.663052,0.7058009
0.6587641,0.7050272
0.69540477,0.75280654
0.8253573,0.8648177
0.80554324,0.8282168
0.73715365,0.7531951
0.68864006,0.69100404
0.7378038,0.7394507
0.7276336,0.7238353
0.6639963,0.65359414
0.66771144,0.66197777
0.63500273,0.6313689
0.60795957,0.5977606
0.61495644,0.60631216
0.6806835,0.67005956
0.7936548,0.77409154
0.8544438,0.83521235
0.8680196,0.8490678
0.8640722,0.84768164
0.856224,0.837797
0.8590413,0.8337625
0.85114664,0.81791073
0.8180199,0.786638
0.7843824,0.746331
0.76659614,0.72417974
0.7600637,0.72481567
0.78992414,0.7647503
0.8920596,0.860333
0.8522457,0.82885045
0.7773546,0.7554013
0.7222776,0.699846
0.7605126,0.74025416
0.7451257,0.7251426
0.6794761,0.66088307
