true,forecasted
0.65791273,0.64986515
0.6222629,0.6153903
0.58408976,0.58270055
0.5864582,0.60151947
0.6509933,0.6483553
0.761364,0.7633081
0.82060504,0.8385819
0.83110034,0.8483297
0.843964,0.84978724
0.8483293,0.84326863
0.8622146,0.83586746
0.8537782,0.82592267
0.82851523,0.79779434
0.7944907,0.7525472
0.78411925,0.7316868
0.7811471,0.73543
0.814506,0.7834357
0.9014713,0.8577684
0.8584221,0.8244985
0.78464556,0.754966
0.7276181,0.704816
0.7717509,0.7428552
0.75040436,0.7236946
0.6812098,0.66283417
0.67910457,0.6727289
0.6416435,0.6323109
0.610684,0.5977412
0.61478615,0.61864275
0.6718755,0.6687142
0.7751565,0.7818196
0.84277207,0.85132366
0.86497,0.8642967
0.8777718,0.8692363
0.87551177,0.86110246
0.88882434,0.85720044
0.8781433,0.84462345
0.8493664,0.8152287
0.81921184,0.7701769
0.79766405,0.7507034
0.78907275,0.74986756
0.8244905,0.8058138
0.92348355,0.8810326
0.8800318,0.84579426
0.79958355,0.7628237
0.7472929,0.7200833
0.79097676,0.76125264
0.7777261,0.73231804
0.7144294,0.6643802
0.71331483,0.7077647
0.67902714,0.6697429
0.644337,0.6325054
0.64682925,0.6491125
0.7066895,0.70124775
0.820249,0.81515026
0.8876324,0.88180417
0.8943971,0.89734375
0.897524,0.8993597
0.88117737,0.90080714
0.87490803,0.8931443
0.85402584,0.87013894
0.812602,0.8327894
0.77348465,0.7971457
0.74898016,0.77545965
0.7438564,0.7859924
0.78738546,0.8328656
0.89690477,0.91449356
0.86145616,0.8765787
0.7930975,0.8006054
0.74167377,0.7536567
0.78427404,0.7966914
0.7734073,0.77942765
0.70747894,0.70620346
0.7045068,0.7056799
0.6733461,0.67233145
0.6472782,0.6281926
0.64749485,0.64535624
0.70685977,0.7061015
0.81702924,0.8154088
0.884103,0.88860995
0.894459,0.89394635
0.89695126,0.88752264
0.8839482,0.87090343
0.88111544,0.85751015
0.8652642,0.845655
0.82357717,0.79089266
0.7860542,0.7517662
0.75549716,0.7269186
0.74029607,0.7384591
0.776658,0.7638688
0.867292,0.84842527
0.8340415,0.8077788
0.7662711,0.7529454
0.71987826,0.69743574
0.76785004,0.76023215
0.7526334,0.7386634
0.67747915,0.66819507
0.66908914,0.6582411
0.6274021,0.61832833
0.59159744,0.5740956
0.5829598,0.57454985
0.6044302,0.61220455
0.640529,0.6280488
0.67473924,0.6763222
0.7218132,0.7005301
0.73969233,0.722208
0.725064,0.7100364
0.72004855,0.7190161
0.72275746,0.70817053
0.6643833,0.6593556
0.61854774,0.5892922
0.5961795,0.57331586
0.59625685,0.58078915
0.6410708,0.62218595
0.74006385,0.7103697
0.72501755,0.708565
0.67630273,0.65757537
0.6409315,0.6227824
0.69562143,0.69388306
0.6906834,0.6818875
0.62901205,0.6317953
0.6114735,0.6178371
0.5684552,0.56580925
0.5199107,0.53747076
0.4980997,0.5024929
0.50201607,0.5181662
0.515468,0.5475149
0.5259323,0.5656513
0.5614429,0.5905211
0.5962104,0.62884104
0.6139657,0.6592194
0.626365,0.6728216
0.6408231,0.68739456
0.5809319,0.61278707
0.542217,0.5639528
0.5257775,0.5401841
0.5256072,0.550645
0.5679134,0.6055417
0.68011075,0.7147205
0.68040484,0.72340804
0.64065284,0.67501926
0.59949213,0.64104235
0.65042055,0.69131935
0.646272,0.68461883
0.5905294,0.61862975
0.5791982,0.60766363
0.5542448,0.57058626
0.5283007,0.52725077
0.5384709,0.5660201
0.6121391,0.6233311
0.7320918,0.70333964
0.79938227,0.7638565
0.81724596,0.7940594
0.8081748,0.82193524
0.78187466,0.8079512
0.7768283,0.8042387
0.7593671,0.77067775
0.7250485,0.75701517
0.68331504,0.7167255
0.663052,0.6849251
0.6587641,0.697722
0.69540477,0.7429621
0.8253573,0.82599723
0.80554324,0.79312015
0.73715365,0.71138227
0.68864006,0.6853706
0.7378038,0.7349553
0.7276336,0.71042746
0.6639963,0.65906703
0.66771144,0.65960217
0.63500273,0.6340397
0.60795957,0.5976856
0.61495644,0.6418014
0.6806835,0.7053029
0.7936548,0.7808615
0.8544438,0.853164
0.8680196,0.84639764
0.8640722,0.836346
0.856224,0.81444436
0.8590413,0.7989598
0.85114664,0.78659123
0.8180199,0.7344904
0.7843824,0.6903825
0.76659614,0.6695932
0.7600637,0.67360854
0.78992414,0.6973721
0.8920596,0.79726315
0.8522457,0.7887448
0.7773546,0.7386234
0.7222776,0.67966557
0.7605126,0.7212111
0.7451257,0.69747424
0.6794761,0.65001225
0.67908907,0.6593861
0.64359397,0.625481
0.6078048,0.58162344
0.6098636,0.5942251
0.66534305,0.6479253
0.7653268,0.74482644
0.82404155,0.8041115
0.8472457,0.8203439
0.85577506,0.8358209
0.8483448,0.8354682
0.8468742,0.8285057
0.83897954,0.8191864
0.81280327,0.7835927
0.77743196,0.7365121
0.75207615,0.7121146
0.7410236,0.72157407
0.7678965,0.74825263
0.863066,0.84671557
0.82060504,0.82775044
0.73679763,0.7542567
0.68179804,0.68883437
0.7190888,0.73869956
0.695575,0.7304791
0.6258851,0.66099125
0.6146623,0.6079806
0.5764583,0.57153475
0.5341211,0.53026825
0.52859485,0.5473883
0.5783623,0.59433985
0.67955345,0.7083892
0.73237044,0.7654209
0.7460081,0.7640687
0.74797404,0.767772
0.7399555,0.78325665
0.74603903,0.76167935
0.7335933,0.77814096
0.70096195,0.7360655
0.66503346,0.69523495
0.6360089,0.6774692
0.6252195,0.6778415
0.6473246,0.70761204
0.7492588,0.7864108
0.71436745,0.7382155
0.64102435,0.69077456
0.58946127,0.629556
0.62795943,0.67162323
0.6142908,0.6557635
0.54588574,0.5986489
0.53148955,0.56982327
0.49862602,0.5329447
0.4683321,0.48796725
0.4746943,0.5257202
0.53662884,0.57386947
0.65134937,0.65562475
0.71741694,0.74443275
0.73470783,0.7451277
0.7286862,0.7368967
0.70823747,0.7358896
0.69915086,0.7252485
0.68011075,0.71397007
0.64186025,0.67390215
0.5988265,0.61917084
0.5737493,0.62874705
0.559059,0.62423575
0.5935789,0.65695095
0.6953738,0.7199316
0.6701108,0.6813405
0.60814536,0.62876284
0.5654831,0.58560324
0.61017317,0.6429234
0.5940123,0.6117364
0.5226506,0.53110623
0.4972793,0.48736918
0.4517533,0.45637316
0.4117536,0.41399992
0.406862,0.41224626
0.42879683,0.43859398
0.46415257,0.46066856
0.4927437,0.5109066
0.5442294,0.5327077
0.57946134,0.55635625
0.58648914,0.54243535
0.59819186,0.5528119
0.6102351,0.569101
0.5535637,0.519411
0.50936896,0.47003442
0.4785952,0.44552875
0.46511233,0.44006574
0.49460128,0.4795592
0.5974333,0.5391163
0.593842,0.5430046
0.5473718,0.5068245
0.5179912,0.45518488
0.583517,0.52048796
0.5864272,0.53411335
0.5235329,0.46901518
0.50955474,0.5416912
0.47207823,0.49299118
0.434385,0.42817366
0.42105693,0.43628535
0.43275964,0.41642284
0.45461705,0.42108008
0.46692348,0.44581357
0.50628847,0.47498068
0.54198486,0.509367
0.55820763,0.5254913
0.5709784,0.5406611
0.57737154,0.5518709
0.5148024,0.4887617
0.4678987,0.4248062
0.44779047,0.43036216
0.44299176,0.41027576
0.48508123,0.46438566
0.6042599,0.5502198
0.6105447,0.5638777
0.57311463,0.54958653
0.53675264,0.50168675
0.5875108,0.561192
0.5813189,0.5233145
0.52330077,0.49133706
0.5147095,0.5018827
0.48223296,0.48333755
0.455035,0.44924295
0.4655922,0.47698882
0.53048337,0.56793284
0.64046705,0.66623783
0.7007453,0.72442526
0.73094624,0.7366058
0.7428812,0.7389987
0.7399555,0.7145768
0.7492124,0.7240525
0.7379741,0.678238
0.7091972,0.64816976
0.67268044,0.6217505
0.6517518,0.592154
0.6452503,0.61349785
0.66757214,0.6499591
0.7653733,0.71817946
0.73172027,0.70952123
0.6539809,0.6408893
0.59800607,0.5950802
0.6388417,0.6388077
0.6242443,0.6142687
0.55376494,0.5534368
0.5375886,0.5118701
0.5007777,0.48978075
0.46994203,0.45353067
0.4735488,0.45695826
0.52738744,0.52688783
0.63145787,0.616922
0.68743265,0.6582723
0.715482,0.6633878
0.72396487,0.67829394
0.7218442,0.660015
0.7278503,0.6664943
0.7174789,0.6486031
0.68523455,0.61459464
0.65472394,0.5953699
0.63534325,0.5527449
0.6263495,0.5718511
0.65799016,0.60368776
0.7620606,0.65181077
0.7331289,0.6346918
0.6619839,0.5960384
0.6127583,0.5642414
0.6563338,0.58980453
0.6415042,0.5801155
0.57689166,0.5271704
0.5660249,0.53883386
0.5344926,0.50942874
0.5075269,0.47277725
0.5173411,0.4940683
0.5807152,0.5541972
0.6852655,0.6589484
0.74433625,0.6999797
0.77986234,0.7000661
0.7803112,0.70028573
0.76546615,0.68981
0.7667664,0.6840048
0.74797404,0.68154615
0.7188411,0.6438939
0.6781138,0.59941196
0.65555984,0.5838351
0.6467983,0.5806528
0.6802191,0.62700844
0.80591476,0.70074105
0.7901873,0.6825918
0.7213179,0.6196108
0.6722935,0.569436
0.7180826,0.60626966
0.7085161,0.5819061
0.65003353,0.5359311
0.6393835,0.62661505
0.6112413,0.59726405
0.5823096,0.55249166
0.59060675,0.5897711
0.6549871,0.62731904
0.76082224,0.7185236
0.81905705,0.76566887
0.8474779,0.7888447
0.8438557,0.78908014
0.82427377,0.7620888
0.8238403,0.74744445
0.80524915,0.72537047
0.7699862,0.6845863
0.72998655,0.6423679
0.70735514,0.60807014
0.6977267,0.61758375
0.726937,0.6394861
0.8426018,0.7622849
0.8275555,0.77667683
0.762494,0.67961335
0.713191,0.63544357
0.75737023,0.6880846
0.74572945,0.6594739
0.6833615,0.5942728
0.6755597,0.6656756
0.6468912,0.62156224
0.6193217,0.58249366
0.626721,0.6084003
0.6918444,0.65499735
0.7900016,0.7076429
0.8385925,0.75524443
0.8654344,0.7866973
0.86281836,0.81183267
0.8447225,0.7958313
0.8361777,0.7684708
0.8174472,0.7329634
0.77371687,0.6792328
0.73274195,0.66043854
0.7031291,0.59114736
0.688702,0.6549984
0.7202188,0.6618955
0.8203419,0.7491584
0.8156825,0.72277576
0.75398016,0.6762061
0.71162754,0.63523555
0.7611318,0.6969118
0.74418145,0.6865215
0.67785066,0.6038854
0.67446065,0.637578
0.6351575,0.6000741
0.6002661,0.5709193
0.5920619,0.58230704
0.61545175,0.6115561
0.6526187,0.6343682
0.67716956,0.68663615
0.7250485,0.7079826
0.74433625,0.7115993
0.7295376,0.69740987
0.72247887,0.6951977
0.72363985,0.6777534
0.66210777,0.6336016
0.61326915,0.5662998
0.5872786,0.5352737
0.5753437,0.5523239
0.60520416,0.58437824
0.712386,0.6693109
0.7193984,0.6796728
0.6759002,0.64909124
0.6421079,0.6094062
0.705513,0.6759821
0.7022468,0.6592023
0.6461791,0.6232407
0.6356219,0.6145655
0.599972,0.5754496
0.56367195,0.5354885
0.54977113,0.5231044
0.5627432,0.53011316
0.5842291,0.54781175
0.59833115,0.5676398
0.63930607,0.5980828
0.67083836,0.6179556
0.67774236,0.62888676
0.68370205,0.6292743
0.6844141,0.6281374
0.6155292,0.55734277
0.56508064,0.5116215
0.53967834,0.46923423
0.5317372,0.4835567
0.5751425,0.49737364
0.7062096,0.6208322
0.74249417,0.65654206
0.7146306,0.62462854
0.6839033,0.59104365
0.7393518,0.64120877
0.7361165,0.63469017
0.6789188,0.5876805
0.67489403,0.66739917
0.6530676,0.63304055
0.6327272,0.6012692
0.6452503,0.62606984
0.71540457,0.6904082
0.8222459,0.767792
0.8728647,0.84220177
0.9060069,0.8666941
0.9067499,0.88944745
0.89419585,0.85389817
0.8969977,0.84967643
0.8872454,0.8285707
0.8578958,0.80893695
0.817602,0.7785134
0.79885596,0.7290492
0.7924783,0.72593623
0.8250632,0.7605113
0.9508982,0.84587777
0.9469044,0.86390823
0.8816882,0.777869
0.82885575,0.7384468
0.87803495,0.79686487
0.86780286,0.8055675
0.8074008,0.7211962
0.81377846,0.744465
0.78535765,0.7174473
0.7589182,0.6671841
0.7579585,0.7140729
0.8229889,0.75197166
0.91253936,0.8431741
0.95178056,0.88997275
0.98366886,0.9040257
0.9773995,0.89882517
0.967895,0.9012144
0.9783438,0.8637963
0.9632046,0.8543349
0.9275083,0.7938088
0.884521,0.76732105
0.86312795,0.7237579
0.85010946,0.7677002
0.87546533,0.7939117
0.9905728,0.88849735
0.98640877,0.83661705
0.92196655,0.79939663
0.8740102,0.7541655
0.92003155,0.79954743
0.9110533,0.75542694
0.8505429,0.7166012
