true,forecasted
0.65791273,0.6213535
0.6222629,0.5971175
0.58408976,0.5671668
0.5864582,0.5779928
0.6509933,0.62911737
0.761364,0.7340503
0.82060504,0.81086767
0.83110034,0.8332284
0.843964,0.8407397
0.8483293,0.82442003
0.8622146,0.83590883
0.8537782,0.8203058
0.82851523,0.8089062
0.7944907,0.7638752
0.78411925,0.7589944
0.7811471,0.7656735
0.814506,0.83110726
0.9014713,0.90839756
0.8584221,0.84259605
0.78464556,0.76969904
0.7276181,0.70973396
0.7717509,0.7440489
0.75040436,0.7537573
0.6812098,0.6721757
0.67910457,0.64525586
0.6416435,0.6190337
0.610684,0.6049678
0.61478615,0.5968959
0.6718755,0.6581244
0.7751565,0.7740103
0.84277207,0.8429124
0.86497,0.8619959
0.8777718,0.8682082
0.87551177,0.8473003
0.88882434,0.8574063
0.8781433,0.847179
0.8493664,0.8160922
0.81921184,0.7767238
0.79766405,0.7435295
0.78907275,0.7540647
0.8244905,0.8459168
0.92348355,0.91468453
0.8800318,0.85888034
0.79958355,0.8022872
0.7472929,0.74406517
0.79097676,0.7804435
0.7777261,0.77417284
0.7144294,0.7256004
0.71331483,0.7013638
0.67902714,0.65374106
0.644337,0.6375113
0.64682925,0.6343071
0.7066895,0.70058703
0.820249,0.79189724
0.8876324,0.86396605
0.8943971,0.87809885
0.897524,0.8830208
0.88117737,0.86642575
0.87490803,0.8579908
0.85402584,0.8478659
0.812602,0.80991787
0.77348465,0.7634395
0.74898016,0.73388326
0.7438564,0.73790497
0.78738546,0.80318314
0.89690477,0.9008859
0.86145616,0.856158
0.7930975,0.7849973
0.74167377,0.72529596
0.78427404,0.782299
0.7734073,0.7728814
0.70747894,0.7145391
0.7045068,0.7047083
0.6733461,0.668665
0.6472782,0.6404697
0.64749485,0.6519426
0.70685977,0.6886094
0.81702924,0.8043298
0.884103,0.8631388
0.894459,0.8708888
0.89695126,0.8891386
0.8839482,0.86566335
0.88111544,0.86076814
0.8652642,0.84532875
0.82357717,0.8108985
0.7860542,0.7687444
0.75549716,0.74193656
0.74029607,0.7342906
0.776658,0.7708766
0.867292,0.8555599
0.8340415,0.8111473
0.7662711,0.75200754
0.71987826,0.69377166
0.76785004,0.7488119
0.7526334,0.7476885
0.67747915,0.68291
0.66908914,0.6585055
0.6274021,0.631275
0.59159744,0.5887454
0.5829598,0.58786064
0.6044302,0.60659367
0.640529,0.62968296
0.67473924,0.68567044
0.7218132,0.7104791
0.73969233,0.74406666
0.725064,0.7263061
0.72004855,0.74328
0.72275746,0.7361462
0.6643833,0.67418545
0.61854774,0.63102454
0.5961795,0.6020445
0.59625685,0.5907907
0.6410708,0.6461631
0.74006385,0.7289761
0.72501755,0.7065262
0.67630273,0.671374
0.6409315,0.63343376
0.69562143,0.6741163
0.6906834,0.6866645
0.62901205,0.63037264
0.6114735,0.58481234
0.5684552,0.5498305
0.5199107,0.52008516
0.4980997,0.48991233
0.50201607,0.4992556
0.515468,0.51471066
0.5259323,0.52734506
0.5614429,0.5592236
0.5962104,0.59542
0.6139657,0.6155811
0.626365,0.63774866
0.6408231,0.65106136
0.5809319,0.5904698
0.542217,0.55335295
0.5257775,0.5391705
0.5256072,0.5197089
0.5679134,0.5817056
0.68011075,0.6790635
0.68040484,0.6731655
0.64065284,0.63351434
0.59949213,0.5932887
0.65042055,0.64788353
0.646272,0.64883333
0.5905294,0.5930758
0.5791982,0.56523186
0.5542448,0.53532076
0.5283007,0.50183153
0.5384709,0.52013874
0.6121391,0.6052788
0.7320918,0.7122604
0.79938227,0.7804219
0.81724596,0.79357904
0.8081748,0.79183066
0.78187466,0.80101544
0.7768283,0.80831677
0.7593671,0.7929006
0.7250485,0.77638394
0.68331504,0.74746186
0.663052,0.7381003
0.6587641,0.73507184
0.69540477,0.8023487
0.8253573,0.8794327
0.80554324,0.82874376
0.73715365,0.7483248
0.68864006,0.70434016
0.7378038,0.73905945
0.7276336,0.7360834
0.6639963,0.6695929
0.66771144,0.6340048
0.63500273,0.61341834
0.60795957,0.57487196
0.61495644,0.5996506
0.6806835,0.65417856
0.7936548,0.7738854
0.8544438,0.8106784
0.8680196,0.8196309
0.8640722,0.8291964
0.856224,0.8084116
0.8590413,0.8089227
0.85114664,0.7987917
0.8180199,0.74895054
0.7843824,0.6980526
0.76659614,0.7002026
0.7600637,0.69344294
0.78992414,0.72496116
0.8920596,0.8549402
0.8522457,0.7850704
0.7773546,0.7230838
0.7222776,0.6624306
0.7605126,0.7107969
0.7451257,0.7133859
0.6794761,0.64769495
0.67908907,0.65548337
0.64359397,0.6298438
0.6078048,0.6036027
0.6098636,0.6009288
0.66534305,0.6669244
0.7653268,0.76698476
0.82404155,0.8285683
0.8472457,0.8439688
0.85577506,0.8450075
0.8483448,0.82510185
0.8468742,0.8299113
0.83897954,0.8250933
0.81280327,0.77617013
0.77743196,0.7371035
0.75207615,0.71013933
0.7410236,0.70064324
0.7678965,0.7335484
0.863066,0.84179795
0.82060504,0.77846175
0.73679763,0.7159405
0.68179804,0.67191523
0.7190888,0.6871192
0.695575,0.699289
0.6258851,0.6196412
0.6146623,0.5916819
0.5764583,0.54875034
0.5341211,0.5147438
0.52859485,0.51267517
0.5783623,0.56626093
0.67955345,0.6658975
0.73237044,0.71763563
0.7460081,0.7215248
0.74797404,0.7181935
0.7399555,0.7239602
0.74603903,0.7269797
0.7335933,0.71205616
0.70096195,0.68743056
0.66503346,0.65504783
0.6360089,0.62859696
0.6252195,0.61505455
0.6473246,0.6511881
0.7492588,0.7332052
0.71436745,0.6987224
0.64102435,0.6331298
0.58946127,0.58720094
0.62795943,0.6369609
0.6142908,0.6163387
0.54588574,0.55448776
0.53148955,0.5521664
0.49862602,0.5241391
0.4683321,0.4977677
0.4746943,0.49185273
0.53662884,0.5708501
0.65134937,0.6755546
0.71741694,0.734624
0.73470783,0.74842614
0.7286862,0.73754287
0.70823747,0.7100206
0.69915086,0.70641905
0.68011075,0.6831742
0.64186025,0.64976853
0.5988265,0.6078667
0.5737493,0.581738
0.559059,0.58413297
0.5935789,0.6289583
0.6953738,0.7071411
0.6701108,0.6878591
0.60814536,0.6192904
0.5654831,0.57787067
0.61017317,0.6204745
0.5940123,0.61929
0.5226506,0.5554827
0.4972793,0.50475097
0.4517533,0.46889293
0.4117536,0.43325508
0.406862,0.42730483
0.42879683,0.4474648
0.46415257,0.48326614
0.4927437,0.5217577
0.5442294,0.5559873
0.57946134,0.5863249
0.58648914,0.5967254
0.59819186,0.60891914
0.6102351,0.6093076
0.5535637,0.55945003
0.50936896,0.51679367
0.4785952,0.4895566
0.46511233,0.4820262
0.49460128,0.52737176
0.5974333,0.613714
0.593842,0.61148864
0.5473718,0.5602317
0.5179912,0.5253729
0.583517,0.60615516
0.5864272,0.59329283
0.5235329,0.5340809
0.50955474,0.50575763
0.47207823,0.47340578
0.434385,0.4348195
0.42105693,0.4208737
0.43275964,0.43129718
0.45461705,0.44501275
0.46692348,0.46161476
0.50628847,0.5041467
0.54198486,0.5333262
0.55820763,0.5475499
0.5709784,0.55279213
0.57737154,0.56096375
0.5148024,0.48941475
0.4678987,0.45140615
0.44779047,0.42996103
0.44299176,0.4293406
0.48508123,0.489327
0.6042599,0.6059329
0.6105447,0.62178713
0.57311463,0.5759892
0.53675264,0.5434599
0.5875108,0.60203135
0.5813189,0.58703583
0.52330077,0.53742075
0.5147095,0.5220495
0.48223296,0.49239737
0.455035,0.46630478
0.4655922,0.479831
0.53048337,0.54405934
0.64046705,0.65172297
0.7007453,0.70999193
0.73094624,0.7439843
0.7428812,0.7425718
0.7399555,0.7373106
0.7492124,0.7463172
0.7379741,0.7383457
0.7091972,0.705756
0.67268044,0.6685732
0.6517518,0.65387344
0.6452503,0.64183825
0.66757214,0.664633
0.7653733,0.76468045
0.73172027,0.7191717
0.6539809,0.65620136
0.59800607,0.5914481
0.6388417,0.63301975
0.6242443,0.63582844
0.55376494,0.5632036
0.5375886,0.5338258
0.5007777,0.50903326
0.46994203,0.4887892
0.4735488,0.47852919
0.52738744,0.54302263
0.63145787,0.65966684
0.68743265,0.7067646
0.715482,0.7248656
0.72396487,0.7303478
0.7218442,0.7088793
0.7278503,0.7126264
0.7174789,0.69568735
0.68523455,0.67178637
0.65472394,0.64230615
0.63534325,0.62857884
0.6263495,0.6175625
0.65799016,0.6581504
0.7620606,0.7557603
0.7331289,0.7160854
0.6619839,0.64641863
0.6127583,0.59287685
0.6563338,0.6468718
0.6415042,0.63799566
0.57689166,0.5708654
0.5660249,0.5845477
0.5344926,0.56289285
0.5075269,0.54477936
0.5173411,0.5415276
0.5807152,0.60741204
0.6852655,0.7036846
0.74433625,0.74914646
0.77986234,0.76990247
0.7803112,0.7739189
0.76546615,0.7572475
0.7667664,0.74854016
0.74797404,0.7369068
0.7188411,0.6949674
0.6781138,0.67259264
0.65555984,0.64749295
0.6467983,0.6391515
0.6802191,0.69004035
0.80591476,0.79295224
0.7901873,0.75846356
0.7213179,0.70357805
0.6722935,0.6603096
0.7180826,0.7075331
0.7085161,0.70124763
0.65003353,0.64201236
0.6393835,0.62571687
0.6112413,0.6003773
0.5823096,0.57599074
0.59060675,0.59048986
0.6549871,0.6352963
0.76082224,0.7345466
0.81905705,0.78093225
0.8474779,0.8083219
0.8438557,0.79837376
0.82427377,0.7783151
0.8238403,0.7802329
0.80524915,0.7768939
0.7699862,0.7138033
0.72998655,0.68770486
0.70735514,0.6674951
0.6977267,0.64634496
0.726937,0.64625067
0.8426018,0.7980311
0.8275555,0.7616717
0.762494,0.7054685
0.713191,0.6581457
0.75737023,0.7060347
0.74572945,0.7021944
0.6833615,0.65145403
0.6755597,0.6938352
0.6468912,0.6569006
0.6193217,0.6399074
0.626721,0.64883703
0.6918444,0.69308096
0.7900016,0.8094855
0.8385925,0.8612429
0.8654344,0.87493855
0.86281836,0.8842359
0.8447225,0.8579819
0.8361777,0.8465725
0.8174472,0.82621574
0.77371687,0.79120797
0.73274195,0.742053
0.7031291,0.7117396
0.688702,0.7141537
0.7202188,0.7820149
0.8203419,0.85209274
0.8156825,0.8023666
0.75398016,0.75108844
0.71162754,0.7106666
0.7611318,0.75428754
0.74418145,0.7462817
0.67785066,0.6919417
0.67446065,0.663099
0.6351575,0.6305858
0.6002661,0.5993076
0.5920619,0.5994124
0.61545175,0.6175818
0.6526187,0.64982605
0.67716956,0.68310267
0.7250485,0.71442086
0.74433625,0.740129
0.7295376,0.7383492
0.72247887,0.73719645
0.72363985,0.73288625
0.66210777,0.6621986
0.61326915,0.6200177
0.5872786,0.5813177
0.5753437,0.5702271
0.60520416,0.6155259
0.712386,0.725372
0.7193984,0.6967452
0.6759002,0.67105734
0.6421079,0.63915104
0.705513,0.7010461
0.7022468,0.69590324
0.6461791,0.6315286
0.6356219,0.6333341
0.599972,0.59977704
0.56367195,0.5616414
0.54977113,0.5399862
0.5627432,0.54438037
0.5842291,0.55590236
0.59833115,0.56674933
0.63930607,0.5984991
0.67083836,0.65065324
0.67774236,0.66118085
0.68370205,0.6519466
0.6844141,0.679589
0.6155292,0.6189995
0.56508064,0.57839894
0.53967834,0.55370456
0.5317372,0.54433554
0.5751425,0.6044645
0.7062096,0.72040623
0.74249417,0.7256822
0.7146306,0.69103056
0.6839033,0.6508859
0.7393518,0.7203757
0.7361165,0.7011979
0.6789188,0.6656096
0.67489403,0.6458575
0.6530676,0.6129518
0.6327272,0.58080196
0.6452503,0.63520235
0.71540457,0.68815935
0.8222459,0.76780295
0.8728647,0.8420848
0.9060069,0.8504459
0.9067499,0.85749954
0.89419585,0.86594695
0.8969977,0.8677802
0.8872454,0.87918466
0.8578958,0.8237991
0.817602,0.7994719
0.79885596,0.7550458
0.7924783,0.78893614
0.8250632,0.84063536
0.9508982,0.9187499
0.9469044,0.8643953
0.8816882,0.81299883
0.82885575,0.7473925
0.87803495,0.78959566
0.86780286,0.77508813
0.8074008,0.7329931
0.81377846,0.76083446
0.78535765,0.74176437
0.7589182,0.69773704
0.7579585,0.7289311
0.8229889,0.7953617
0.91253936,0.8655175
0.95178056,0.93005174
0.98366886,0.96554416
0.9773995,0.9543131
0.967895,0.9397023
0.9783438,0.9016323
0.9632046,0.9185272
0.9275083,0.87946135
0.884521,0.8447943
0.86312795,0.7970198
0.85010946,0.8495474
0.87546533,0.890425
0.9905728,0.90453845
0.98640877,0.9433285
0.92196655,0.89146525
0.8740102,0.8260672
0.92003155,0.8711668
0.9110533,0.85404676
