true,forecasted
0.65791273,0.6622832
0.6222629,0.62008905
0.58408976,0.59740883
0.5864582,0.5943482
0.6509933,0.6659721
0.761364,0.7760809
0.82060504,0.8547107
0.83110034,0.8591482
0.843964,0.85274696
0.8483293,0.84647244
0.8622146,0.83920133
0.8537782,0.8196956
0.82851523,0.76736844
0.7944907,0.75369465
0.78411925,0.7381402
0.7811471,0.7298227
0.814506,0.7972327
0.9014713,0.8576274
0.8584221,0.820958
0.78464556,0.7473988
0.7276181,0.69726336
0.7717509,0.7363473
0.75040436,0.7409709
0.6812098,0.6742247
0.67910457,0.68014896
0.6416435,0.6373761
0.610684,0.60632193
0.61478615,0.61571085
0.6718755,0.6825943
0.7751565,0.7964526
0.84277207,0.8752104
0.86497,0.87668467
0.8777718,0.8720995
0.87551177,0.8668484
0.88882434,0.85524523
0.8781433,0.84254086
0.8493664,0.7912211
0.81921184,0.77069205
0.79766405,0.7574694
0.78907275,0.7525876
0.8244905,0.8209019
0.92348355,0.8827045
0.8800318,0.839707
0.79958355,0.7678523
0.7472929,0.71367663
0.79097676,0.75277054
0.7777261,0.76041365
0.7144294,0.69465154
0.71331483,0.7105464
0.67902714,0.672964
0.644337,0.6370867
0.64682925,0.64571536
0.7066895,0.70046127
0.820249,0.8227184
0.8876324,0.8927915
0.8943971,0.89528894
0.897524,0.88969564
0.88117737,0.8802047
0.87490803,0.8683804
0.85402584,0.8492974
0.812602,0.8046172
0.77348465,0.7728837
0.74898016,0.75955
0.7438564,0.75453806
0.78738546,0.8209862
0.89690477,0.8829864
0.86145616,0.8508935
0.7930975,0.78253216
0.74167377,0.73437333
0.78427404,0.78190386
0.7734073,0.7810641
0.70747894,0.71492
0.7045068,0.6969272
0.6733461,0.6679589
0.6472782,0.6223942
0.64749485,0.6403966
0.70685977,0.6855534
0.81702924,0.80955726
0.884103,0.8674562
0.894459,0.86576366
0.89695126,0.86670256
0.8839482,0.8496354
0.88111544,0.8287388
0.8652642,0.81462204
0.82357717,0.7677454
0.7860542,0.72821724
0.75549716,0.7168359
0.74029607,0.7068354
0.776658,0.7598613
0.867292,0.81751597
0.8340415,0.7933426
0.7662711,0.7281969
0.71987826,0.6974092
0.76785004,0.74988806
0.7526334,0.7385514
0.67747915,0.67282563
0.66908914,0.66701484
0.6274021,0.628991
0.59159744,0.5684516
0.5829598,0.5663165
0.6044302,0.564299
0.640529,0.6155852
0.67473924,0.6614597
0.7218132,0.6845234
0.73969233,0.70984674
0.725064,0.7017352
0.72004855,0.70192194
0.72275746,0.6966175
0.6643833,0.6378104
0.61854774,0.59633696
0.5961795,0.58897865
0.59625685,0.58508134
0.6410708,0.6313622
0.74006385,0.7093978
0.72501755,0.6967367
0.67630273,0.65678144
0.6409315,0.6343766
0.69562143,0.6849638
0.6906834,0.6944375
0.62901205,0.635119
0.6114735,0.60976714
0.5684552,0.57670766
0.5199107,0.5157524
0.4980997,0.50872386
0.50201607,0.4981803
0.515468,0.5148151
0.5259323,0.5439807
0.5614429,0.5826642
0.5962104,0.62585527
0.6139657,0.6211258
0.626365,0.6355667
0.6408231,0.64223444
0.5809319,0.5744932
0.542217,0.52881867
0.5257775,0.51699334
0.5256072,0.51225317
0.5679134,0.5659146
0.68011075,0.65656507
0.68040484,0.67309284
0.64065284,0.6397345
0.59949213,0.6011089
