true,forecasted
0.4557221,0.45589083
0.43341586,0.4336046
0.43668774,0.4339008
0.46009275,0.45678076
0.5294144,0.53318655
0.69004357,0.70055413
0.8210329,0.8395035
0.85895,0.87999797
0.86486316,0.88496137
0.8773919,0.8972655
0.8856317,0.9109344
0.87333,0.89858115
0.8583814,0.88239104
0.83746153,0.86033213
0.81023335,0.8466431
0.7967365,0.84719807
0.86383665,0.9084151
0.9097184,0.9250445
0.872719,0.88156796
0.7904033,0.7863902
0.71463835,0.7152912
0.65779924,0.6515333
0.57483226,0.56300473
0.5055743,0.49547982
0.46535683,0.44635272
0.44009224,0.42461824
0.4456054,0.42479008
0.46952796,0.45079252
0.5322537,0.52947533
0.69713,0.6972015
0.8266019,0.83718085
0.8694413,0.8775592
0.87598723,0.8818358
0.8871597,0.8935916
0.8955301,0.9077485
0.8861555,0.8916998
0.8734897,0.8728439
0.8441875,0.84715384
0.8217833,0.8328368
0.804322,0.83327955
0.8631363,0.9005896
0.91109353,0.9135111
0.879026,0.86709654
0.7934626,0.7751316
0.7218541,0.70701116
0.66489965,0.64527434
0.57930493,0.55760366
0.51417285,0.49095744
0.47388896,0.45702976
0.45484963,0.43276346
0.45644593,0.43106425
0.47848055,0.45011902
0.5428298,0.5185498
0.70334697,0.68283796
0.8349027,0.82618064
0.8696329,0.87169385
0.876269,0.876013
0.8845457,0.88627297
0.8902354,0.9011195
0.87828755,0.8844464
0.86099744,0.8658448
0.8379165,0.83856535
0.81613994,0.82135576
0.7967126,0.8174068
0.85046995,0.88076496
0.8977518,0.90377086
0.86650205,0.8655165
0.79036164,0.7775159
0.720302,0.7142436
0.6629583,0.6545628
0.58105236,0.56710863
0.52494943,0.4995787
0.48220012,0.46077424
0.45763278,0.43673995
0.46145597,0.43486297
0.4852916,0.4569727
0.54404753,0.52765757
0.70184547,0.6839173
0.83150315,0.8210633
0.8760361,0.86793107
0.88975054,0.8785632
0.90039223,0.88682956
0.91152525,0.8956342
0.89847004,0.87287796
0.8652368,0.8413417
0.83302265,0.8064892
0.8086037,0.79237694
0.8002421,0.796413
0.85322404,0.861657
0.88189566,0.8722252
0.8390189,0.8217603
0.7473651,0.729458
0.6673076,0.6595777
0.61212605,0.60853946
0.53881836,0.5272378
0.4687834,0.46150264
0.41384798,0.41423965
0.3826662,0.383105
0.36835834,0.37172258
0.36632085,0.36608896
0.36550245,0.3761414
0.38209596,0.4042411
0.4486142,0.48707235
0.531149,0.5624945
0.60863686,0.62679
0.65224034,0.6602844
0.6679961,0.67327625
0.6473215,0.6565021
0.6033806,0.6186149
0.5654236,0.5868761
0.55505604,0.57569355
0.555547,0.59435624
0.61751825,0.6641023
0.66602325,0.6878956
0.6285806,0.64201087
0.55213416,0.56083906
0.49608934,0.5149554
0.47316805,0.48639607
0.4018188,0.42237085
0.3392021,0.36162674
0.28895736,0.29360318
0.26849267,0.26774177
0.2629714,0.25650623
0.26464787,0.2483762
0.26232257,0.2353616
0.26448572,0.22323537
0.31093118,0.27741554
0.3917429,0.35060227
0.4782837,0.43015397
0.5377968,0.4875514
0.5843956,0.5319462
0.56684494,0.5246706
0.5150568,0.48205507
0.47763827,0.4479503
0.46254194,0.43684763
0.46339074,0.45880646
0.53022724,0.53358
0.615474,0.5853413
0.58703125,0.56501144
0.5330919,0.51107097
0.5023369,0.48464093
0.50809395,0.480698
0.45064023,0.4135875
0.40004346,0.35498935
0.3617698,0.3308833
0.3448801,0.31639975
0.35070565,0.32586724
0.38473904,0.35919505
0.46857622,0.4497924
0.6376944,0.64174545
0.7733344,0.78906643
0.8241903,0.8453139
0.85266286,0.8636639
0.88051575,0.8820824
0.891121,0.9019473
0.8793654,0.8937506
0.8508098,0.88048387
0.8149585,0.85353273
0.7883618,0.83313566
0.7658389,0.81797624
0.8144655,0.8656533
0.8829483,0.8925267
0.85753685,0.86314535
0.76944995,0.77318895
0.7001656,0.7003265
0.65856403,0.6366208
0.57833,0.5354152
0.5226865,0.4627909
0.4794055,0.45064753
0.4553487,0.42662543
0.45695198,0.4294329
0.47659507,0.45118365
0.54278225,0.5289904
0.6851211,0.69196504
0.79252684,0.8219433
0.82878464,0.8636391
0.83573306,0.871575
0.83849007,0.88441664
0.8467333,0.8940193
0.8344834,0.8800567
0.812617,0.8629664
0.78391814,0.8352965
0.75120586,0.81404537
0.7286818,0.8075846
0.78248334,0.8772744
0.8658782,0.9231551
0.8504981,0.8831401
0.773858,0.7834619
0.7080298,0.7126424
0.6494689,0.6527296
0.5660839,0.5628189
0.502688,0.4963292
0.4607461,0.45206714
0.44304252,0.42984578
0.4497029,0.43078604
0.4747772,0.45794916
0.5415195,0.53816056
0.6953367,0.69208616
0.8147968,0.81672955
0.8469373,0.854267
0.84708685,0.8571253
0.8573564,0.86724055
0.86196065,0.87873197
0.8520077,0.858176
0.8346665,0.83723253
0.80581087,0.8107441
0.7836398,0.7953555
0.7632927,0.7929402
0.82143533,0.8761543
0.9056416,0.9171447
0.8877581,0.88045233
0.8117952,0.77644706
0.73506045,0.696065
0.6753148,0.63957435
0.5845501,0.5514965
0.52172846,0.48811942
0.4813056,0.45255935
0.46565548,0.42739543
0.45688352,0.4273865
0.4812119,0.44183162
0.54410744,0.51061666
0.71681523,0.67219275
0.84220177,0.81473064
0.89242625,0.8665807
0.91422826,0.88048613
0.9359505,0.89836496
0.9565465,0.91487664
0.9483121,0.9049906
0.92797464,0.88673544
0.90991527,0.86123943
0.8941352,0.84111506
0.8765591,0.8334421
0.898032,0.87809587
0.929155,0.90216416
0.89091396,0.8583641
0.79718506,0.77046955
0.7251377,0.70660096
0.66261196,0.6425683
0.5725601,0.5487137
0.50454915,0.47783706
0.45458704,0.4434595
0.4317117,0.416558
0.43639407,0.42248595
0.46276873,0.443194
0.53927416,0.5181489
0.7006057,0.68579334
0.8197897,0.8231548
0.8624532,0.870992
0.8720154,0.8819562
0.8853778,0.89351946
0.8969451,0.90150845
0.8821819,0.8817183
0.85357136,0.8515044
0.8164449,0.81391436
0.78398955,0.79338604
0.7511725,0.78471184
0.7902497,0.8484496
0.85308105,0.8952207
0.82295436,0.8511748
0.73903614,0.7492788
0.6613517,0.67730266
0.60069907,0.6218112
0.51659703,0.5301638
0.44828835,0.45598245
0.39914396,0.38754684
0.3679255,0.35842633
0.36166126,0.3502458
0.35999152,0.34550303
0.3606388,0.3501969
0.37948376,0.3796009
0.44191217,0.464801
0.5246215,0.5436511
0.59792334,0.60824966
0.6403249,0.6444897
0.6569628,0.66120523
0.6416942,0.6457702
0.6008612,0.6054643
0.5626447,0.57043976
0.5439466,0.5561893
0.5302678,0.5642429
0.5714149,0.62043047
0.6433796,0.6501139
0.61014485,0.61209005
0.5305797,0.535426
0.48116302,0.4948468
0.45922795,0.47108543
0.40017027,0.40170604
0.33791503,0.33784896
0.29454055,0.29561788
0.2713373,0.26986453
0.26465058,0.25922808
0.26394612,0.2555388
0.25477734,0.24648495
0.2438402,0.22900596
0.27656874,0.27428055
0.35777164,0.34157676
0.43068835,0.41550756
0.47434095,0.46503478
0.51463366,0.5046725
0.49319515,0.492265
0.45106137,0.447767
0.42131913,0.4128911
0.40639442,0.40249294
0.41988274,0.42663932
0.48638454,0.5198355
0.5918825,0.5896757
0.581528,0.5753764
0.53327566,0.51052105
0.50040346,0.47580308
0.502631,0.4723162
0.4431641,0.408589
0.3906418,0.3531258
0.35183078,0.34120715
0.33873907,0.32620677
0.34606045,0.33375517
0.38088185,0.37048772
0.47065943,0.45994937
0.6572504,0.6389317
0.78392154,0.7747903
0.8275397,0.82959676
0.8416962,0.8472847
0.8577542,0.8650384
0.87742364,0.8835332
0.8660728,0.87399507
0.8521975,0.85932714
0.8313214,0.8322689
0.80886316,0.81309134
0.7822052,0.80414253
0.80922574,0.8524897
0.87376845,0.87478644
0.8490597,0.84492916
0.762086,0.7599045
0.6886058,0.6845823
0.62718385,0.62102145
0.5447959,0.5248045
0.48417726,0.45874837
0.44917837,0.4374985
0.43129528,0.4152165
0.43717262,0.42060572
0.46904376,0.44641373
0.5370565,0.52897024
0.6921067,0.68696725
0.80450714,0.8139055
0.84590244,0.8566841
0.8494806,0.86601776
0.8637993,0.8816659
0.87721777,0.8942384
0.86914647,0.8786316
0.85980064,0.8602038
0.8421135,0.83345973
0.8228321,0.8128619
0.7987215,0.8000768
0.82495743,0.86001706
0.8917941,0.9044128
0.8791744,0.87616134
0.8053771,0.775548
0.71907526,0.69876456
0.65182304,0.63735956
0.56751716,0.5469067
0.503142,0.4819663
0.46368825,0.44994622
0.4420975,0.42689943
0.44576892,0.42964494
0.46774453,0.45364776
0.5352361,0.5312441
0.69463605,0.69228065
0.8044914,0.8217641
0.84415615,0.8646084
0.843277,0.8707655
0.85861987,0.884304
0.8678621,0.8965503
0.85012853,0.88207805
