true,forecasted
0.4557221,0.45439842
0.43341586,0.43092
0.43668774,0.4342425
0.46009275,0.45971796
0.5294144,0.538198
0.69004357,0.7068483
0.8210329,0.8352701
0.85895,0.8741292
0.86486316,0.8779064
0.8773919,0.893247
0.8856317,0.9103118
0.87333,0.8937293
0.8583814,0.8806025
0.83746153,0.8571572
0.81023335,0.84373033
0.7967365,0.83711874
0.86383665,0.8936375
0.9097184,0.9213832
0.872719,0.8867424
0.7904033,0.7905756
0.71463835,0.717258
0.65779924,0.65609735
0.57483226,0.5625834
0.5055743,0.4927442
0.46535683,0.46037453
0.44009224,0.43449938
0.4456054,0.43192708
0.46952796,0.45335153
0.5322537,0.5284161
0.69713,0.6929541
0.8266019,0.83118945
0.8694413,0.872067
0.87598723,0.876975
0.8871597,0.8901923
0.8955301,0.9088173
0.8861555,0.8882058
0.8734897,0.86973745
0.8441875,0.84387547
0.8217833,0.83107656
0.804322,0.82807565
0.8631363,0.8886492
0.91109353,0.9119157
0.879026,0.87685484
0.7934626,0.78227514
0.7218541,0.71012634
0.66489965,0.65470535
0.57930493,0.5620412
0.51417285,0.49132302
0.47388896,0.46210265
0.45484963,0.43620223
0.45644593,0.43437994
0.47848055,0.45642272
0.5428298,0.52621484
0.70334697,0.6940046
0.8349027,0.8324687
0.8696329,0.8770999
0.876269,0.8820384
0.8845457,0.89343953
0.8902354,0.910882
0.87828755,0.8924938
0.86099744,0.874325
0.8379165,0.84723586
0.81613994,0.8301897
0.7967126,0.8202415
0.85046995,0.8782245
0.8977518,0.90577215
0.86650205,0.8741321
0.79036164,0.7868339
0.720302,0.7179941
0.6629583,0.6617511
0.58105236,0.57033026
0.52494943,0.50230193
0.48220012,0.46188027
0.45763278,0.43698278
0.46145597,0.4374445
0.4852916,0.46404353
0.54404753,0.537517
0.70184547,0.69755095
0.83150315,0.8312341
0.8760361,0.8753418
0.88975054,0.88227063
0.90039223,0.89472103
0.91152525,0.90556633
0.89847004,0.8805311
0.8652368,0.8511104
0.83302265,0.8154925
0.8086037,0.79951996
0.8002421,0.7921442
0.85322404,0.85303664
0.88189566,0.8761912
0.8390189,0.83007073
0.7473651,0.73728204
0.6673076,0.6601557
0.61212605,0.61028963
0.53881836,0.5246691
0.4687834,0.45691198
0.41384798,0.42159507
0.3826662,0.38933218
0.36835834,0.37535435
0.36632085,0.36984947
0.36550245,0.37598273
0.38209596,0.39853102
0.4486142,0.47651482
0.531149,0.5482796
0.60863686,0.6138167
0.65224034,0.65160114
0.6679961,0.66719306
0.6473215,0.6464499
0.6033806,0.60546774
0.5654236,0.57327634
0.55505604,0.56263775
0.555547,0.5666466
0.61751825,0.6384894
0.66602325,0.68334967
0.6285806,0.63761795
0.55213416,0.5562372
0.49608934,0.5000202
0.47316805,0.48116452
0.4018188,0.4136384
0.3392021,0.34740633
0.28895736,0.30204332
0.26849267,0.27322868
0.2629714,0.2642449
0.26464787,0.25924286
0.26232257,0.2505156
0.26448572,0.23560888
0.31093118,0.27831557
0.3917429,0.35276014
0.4782837,0.43286008
0.5377968,0.49223644
0.5843956,0.53895867
0.56684494,0.5290641
0.5150568,0.48544744
0.47763827,0.4489604
0.46254194,0.43786398
0.46339074,0.4508026
0.53022724,0.5307763
0.615474,0.5895058
0.58703125,0.5715602
0.5330919,0.5168059
0.5023369,0.48590124
0.50809395,0.4848977
0.45064023,0.417265
0.40004346,0.35582316
0.3617698,0.34959906
0.3448801,0.3298034
0.35070565,0.33821434
0.38473904,0.37330237
0.46857622,0.4620534
0.6376944,0.6555955
0.7733344,0.7994574
0.8241903,0.85709953
0.85266286,0.8721371
0.88051575,0.89332795
0.891121,0.9166955
0.8793654,0.9031434
0.8508098,0.8889161
0.8149585,0.86274576
0.7883618,0.8441758
0.7658389,0.82342696
0.8144655,0.8640083
0.8829483,0.9026853
0.85753685,0.8796719
0.76944995,0.7837997
0.7001656,0.70874053
0.65856403,0.6484684
0.57833,0.5507687
0.5226865,0.4800654
0.4794055,0.45482576
0.4553487,0.4302134
0.45695198,0.43180728
0.47659507,0.45871148
0.54278225,0.5322207
0.6851211,0.70089597
0.79252684,0.8252666
0.82878464,0.86746496
0.83573306,0.870539
0.83849007,0.8850775
0.8467333,0.9034554
0.8344834,0.8850157
0.812617,0.8671016
0.78391814,0.839525
0.75120586,0.8227591
0.7286818,0.8034167
0.78248334,0.86567867
0.8658782,0.9221708
0.8504981,0.8887611
0.773858,0.7899388
0.7080298,0.71459806
0.6494689,0.658579
0.5660839,0.56752414
0.502688,0.49968246
0.4607461,0.45619988
0.44304252,0.431891
0.4497029,0.43104875
0.4747772,0.45961305
0.5415195,0.5360546
0.6953367,0.6878484
0.8147968,0.80631495
0.8469373,0.8441627
0.84708685,0.847863
0.8573564,0.8609627
0.86196065,0.8812238
0.8520077,0.85879546
0.8346665,0.8366127
0.80581087,0.81024
0.7836398,0.7960808
0.7632927,0.77833337
0.82143533,0.8505402
0.9056416,0.91505283
0.8877581,0.8828152
0.8117952,0.77769065
0.73506045,0.69500387
0.6753148,0.6423932
0.5845501,0.55135673
0.52172846,0.48427233
0.4813056,0.45281956
0.46565548,0.42857096
0.45688352,0.42815495
0.4812119,0.4504936
0.54410744,0.5183903
0.71681523,0.68676233
0.84220177,0.8200076
0.89242625,0.8693799
0.91422826,0.8808227
0.9359505,0.9001119
0.9565465,0.922161
0.9483121,0.90738547
0.92797464,0.8938151
0.90991527,0.8675518
0.8941352,0.84723806
0.8765591,0.8277166
0.898032,0.8605179
0.929155,0.89494866
0.89091396,0.86030143
0.79718506,0.7724084
0.7251377,0.70366395
0.66261196,0.64235437
0.5725601,0.5439573
0.50454915,0.47291285
0.45458704,0.44846612
0.4317117,0.42441678
0.43639407,0.42659718
0.46276873,0.45656773
0.53927416,0.5358997
0.7006057,0.7060377
0.8197897,0.841211
0.8624532,0.884468
0.8720154,0.8897763
0.8853778,0.9056053
0.8969451,0.9161279
0.8821819,0.88902694
0.85357136,0.86030906
0.8164449,0.8233208
0.78398955,0.80476594
0.7511725,0.79131114
0.7902497,0.8518075
0.85308105,0.8992606
0.82295436,0.8518107
0.73903614,0.7492944
0.6613517,0.671002
0.60069907,0.6200586
0.51659703,0.52732265
0.44828835,0.4551212
0.39914396,0.39895743
0.3679255,0.3674664
0.36166126,0.3575446
0.35999152,0.35153532
0.3606388,0.3565488
0.37948376,0.37917614
0.44191217,0.4570643
0.5246215,0.5326102
0.59792334,0.60015243
0.6403249,0.6395686
0.6569628,0.6577971
0.6416942,0.63923526
0.6008612,0.59711725
0.5626447,0.5618586
0.5439466,0.54359555
0.5302678,0.5344976
0.5714149,0.5897841
0.6433796,0.64983296
0.61014485,0.6181982
0.5305797,0.5405368
0.48116302,0.4905061
0.45922795,0.47527814
0.40017027,0.40549165
0.33791503,0.3365903
0.29454055,0.3089713
0.2713373,0.27957517
0.26465058,0.27456474
0.26394612,0.27305457
0.25477734,0.27253148
0.2438402,0.24721411
0.27656874,0.2766735
0.35777164,0.34396333
0.43068835,0.41921678
0.47434095,0.47300035
0.51463366,0.5172669
0.49319515,0.50238216
0.45106137,0.45442784
0.42131913,0.4156468
0.40639442,0.40209797
0.41988274,0.4045671
0.48638454,0.4929894
0.5918825,0.59079283
0.581528,0.5867652
0.53327566,0.5160209
0.50040346,0.47693387
0.502631,0.4784559
0.4431641,0.41498625
0.3906418,0.35489303
0.35183078,0.3610647
0.33873907,0.3410474
0.34606045,0.34921223
