true,forecasted
0.4557221,0.46836066
0.43341586,0.4465013
0.43668774,0.45382315
0.46009275,0.4791742
0.5294144,0.5409424
0.69004357,0.7297098
0.8210329,0.8773885
0.85895,0.9142588
0.86486316,0.9086162
0.8773919,0.9162597
0.8856317,0.9326123
0.87333,0.91569144
0.8583814,0.9008907
0.83746153,0.8868998
0.81023335,0.860041
0.7967365,0.8579424
0.86383665,0.9070457
0.9097184,0.9497726
0.872719,0.9037015
0.7904033,0.8136779
0.71463835,0.7331606
0.65779924,0.67326933
0.57483226,0.580336
0.5055743,0.50934124
0.46535683,0.473643
0.44009224,0.44086754
0.4456054,0.44406685
0.46952796,0.45995435
0.5322537,0.50957316
0.69713,0.69361186
0.8266019,0.845439
0.8694413,0.8879615
0.87598723,0.88117194
0.8871597,0.89443696
0.8955301,0.9134997
0.8861555,0.89363784
0.8734897,0.874818
0.8441875,0.8536502
0.8217833,0.8360014
0.804322,0.8307857
0.8631363,0.888013
0.91109353,0.9485839
0.879026,0.89205813
0.7934626,0.80894214
0.7218541,0.72733545
0.66489965,0.6762696
0.57930493,0.57677346
0.51417285,0.50770444
0.47388896,0.48823568
0.45484963,0.46094385
0.45644593,0.46522433
0.47848055,0.48597878
0.5428298,0.55659044
0.70334697,0.7249928
0.8349027,0.86948526
0.8696329,0.9094817
0.876269,0.9077705
0.8845457,0.91533566
0.8902354,0.9312762
0.87828755,0.9076689
0.86099744,0.88127285
0.8379165,0.86059093
0.81613994,0.8462335
0.7967126,0.82843226
0.85046995,0.8858409
0.8977518,0.9519149
0.86650205,0.90304375
0.79036164,0.8137012
0.720302,0.7460451
0.6629583,0.6836844
0.58105236,0.590403
0.52494943,0.5301862
0.48220012,0.49418753
0.45763278,0.4670003
0.46145597,0.4753294
0.4852916,0.5013134
0.54404753,0.568924
0.70184547,0.7334091
0.83150315,0.87521106
0.8760361,0.9195023
0.88975054,0.9247614
0.90039223,0.9354855
0.91152525,0.94085455
0.89847004,0.9091198
0.8652368,0.8697116
0.83302265,0.8413077
0.8086037,0.8161002
0.8002421,0.81052893
0.85322404,0.87014544
0.88189566,0.91447276
0.8390189,0.855215
0.7473651,0.7563897
0.6673076,0.6809026
0.61212605,0.628171
0.53881836,0.54624885
0.4687834,0.48133898
0.41384798,0.43616042
0.3826662,0.40302634
0.36835834,0.39655924
0.36632085,0.38989854
0.36550245,0.38570318
0.38209596,0.39518934
0.4486142,0.4707151
0.531149,0.55200154
0.60863686,0.6219227
0.65224034,0.6616002
0.6679961,0.68045425
0.6473215,0.65555406
0.6033806,0.6105238
0.5654236,0.5853808
0.55505604,0.56433713
0.555547,0.56685096
0.61751825,0.62722945
0.66602325,0.69410175
0.6285806,0.643302
0.55213416,0.56518716
0.49608934,0.5038741
0.47316805,0.48844388
0.4018188,0.4194887
0.3392021,0.35909653
0.28895736,0.3175689
0.26849267,0.290253
0.2629714,0.28575745
0.26464787,0.28453603
0.26232257,0.2639144
0.26448572,0.26717708
0.31093118,0.29888618
0.3917429,0.3747626
0.4782837,0.45759958
0.5377968,0.5050526
0.5843956,0.5631317
0.56684494,0.55579954
0.5150568,0.51075286
0.47763827,0.48230812
0.46254194,0.45470104
0.46339074,0.4678377
0.53022724,0.548231
0.615474,0.6371244
0.58703125,0.6047853
0.5330919,0.546861
0.5023369,0.5149145
0.50809395,0.51415783
0.45064023,0.43925235
0.40004346,0.38451275
0.3617698,0.37315413
0.3448801,0.35326532
0.35070565,0.37459993
0.38473904,0.41070816
0.46857622,0.48280978
0.6376944,0.6827616
0.7733344,0.8187319
0.8241903,0.87568384
0.85266286,0.89318573
0.88051575,0.90471363
0.891121,0.927184
0.8793654,0.9143499
0.8508098,0.89532715
0.8149585,0.87746084
0.7883618,0.8409965
0.7658389,0.81921875
0.8144655,0.8605087
0.8829483,0.9192352
0.85753685,0.8766023
0.76944995,0.78589565
0.7001656,0.711136
0.65856403,0.6526177
0.57833,0.5573432
0.5226865,0.48849365
0.4794055,0.46940503
0.4553487,0.4440263
0.45695198,0.45757145
0.47659507,0.47623414
0.54278225,0.526231
0.6851211,0.70804524
0.79252684,0.84178287
0.82878464,0.8922623
0.83573306,0.891782
0.83849007,0.8920981
0.8467333,0.91502994
0.8344834,0.89884126
0.812617,0.87527955
0.78391814,0.8604704
0.75120586,0.8302857
0.7286818,0.82012975
0.78248334,0.86537325
0.8658782,0.9301678
0.8504981,0.89241606
0.773858,0.80218095
0.7080298,0.73227036
0.6494689,0.67203873
0.5660839,0.577282
0.502688,0.50435764
0.4607461,0.47564274
0.44304252,0.45241958
0.4497029,0.45703053
0.4747772,0.4859229
0.5415195,0.5393387
0.6953367,0.68460774
0.8147968,0.81077945
0.8469373,0.8602804
0.84708685,0.85768044
0.8573564,0.8689007
0.86196065,0.88595355
0.8520077,0.86308086
0.8346665,0.83753914
0.80581087,0.8200055
0.7836398,0.79276305
0.7632927,0.7800284
0.82143533,0.8362509
0.9056416,0.9293423
0.8877581,0.8913019
0.8117952,0.8004814
0.73506045,0.7160133
0.6753148,0.6674236
0.5845501,0.5733179
0.52172846,0.5094134
0.4813056,0.46616578
0.46565548,0.44731084
0.45688352,0.4548421
0.4812119,0.4788304
0.54410744,0.5443895
0.71681523,0.7044349
0.84220177,0.83342993
0.89242625,0.8885053
0.91422826,0.8973591
0.9359505,0.90756494
0.9565465,0.93185997
0.9483121,0.90373844
0.92797464,0.8848018
0.90991527,0.86881685
0.8941352,0.84518176
0.8765591,0.8284031
0.898032,0.8598637
0.929155,0.9314791
0.89091396,0.8810327
0.79718506,0.79335886
0.7251377,0.7082114
0.66261196,0.63969004
0.5725601,0.54164296
0.50454915,0.47384742
0.45458704,0.45511183
0.4317117,0.43151256
0.43639407,0.4388249
