true,forecasted
0.4557221,0.43295062
0.43341586,0.4196316
0.43668774,0.42745125
0.46009275,0.45721796
0.5294144,0.5403269
0.69004357,0.72253835
0.8210329,0.85637826
0.85895,0.9049107
0.86486316,0.9033083
0.8773919,0.9152641
0.8856317,0.92555004
0.87333,0.91143507
0.8583814,0.893286
0.83746153,0.86928874
0.81023335,0.8635049
0.7967365,0.8766481
0.86383665,0.9135337
0.9097184,0.9253611
0.872719,0.90506434
0.7904033,0.81852144
0.71463835,0.7404679
0.65779924,0.6741097
0.57483226,0.5825287
0.5055743,0.5106458
0.46535683,0.4739555
0.44009224,0.44706967
0.4456054,0.44247267
0.46952796,0.46959257
0.5322537,0.5264949
0.69713,0.70183307
0.8266019,0.8397931
0.8694413,0.8983396
0.87598723,0.8897331
0.8871597,0.9044305
0.8955301,0.9279131
0.8861555,0.9165118
0.8734897,0.8913468
0.8441875,0.8648806
0.8217833,0.85834426
0.804322,0.85364676
0.8631363,0.88940686
0.91109353,0.921521
0.879026,0.904254
0.7934626,0.8162219
0.7218541,0.74385434
0.66489965,0.6840729
0.57930493,0.59763545
0.51417285,0.526459
0.47388896,0.48531857
0.45484963,0.4590171
0.45644593,0.4541736
0.47848055,0.47860977
0.5428298,0.5616285
0.70334697,0.7262725
0.8349027,0.8686935
0.8696329,0.91210866
0.876269,0.90301204
0.8845457,0.9165025
0.8902354,0.9284366
0.87828755,0.9145897
0.86099744,0.8962234
0.8379165,0.8718234
0.81613994,0.8552379
0.7967126,0.85149837
0.85046995,0.90007
0.8977518,0.9458879
0.86650205,0.9132286
0.79036164,0.8240518
0.720302,0.7498476
0.6629583,0.6852032
0.58105236,0.5968334
0.52494943,0.53265435
0.48220012,0.48441103
0.45763278,0.46072695
0.46145597,0.45743963
0.4852916,0.48121846
0.54404753,0.5534088
0.70184547,0.72328323
0.83150315,0.8592176
0.8760361,0.9033962
0.88975054,0.9097102
0.90039223,0.92060214
0.91152525,0.9161895
0.89847004,0.9083264
0.8652368,0.8671137
0.83302265,0.82956564
0.8086037,0.8112992
0.8002421,0.80487233
0.85322404,0.85958976
0.88189566,0.886417
0.8390189,0.851276
0.7473651,0.7510277
0.6673076,0.6804492
0.61212605,0.6246327
0.53881836,0.54474854
0.4687834,0.47879586
0.41384798,0.4168078
0.3826662,0.3894724
0.36835834,0.37637833
0.36632085,0.37834617
0.36550245,0.37785253
0.38209596,0.40046284
0.4486142,0.45441824
0.531149,0.53735685
0.60863686,0.6051658
0.65224034,0.64992666
0.6679961,0.6617912
0.6473215,0.64994514
0.6033806,0.5988498
0.5654236,0.5739518
0.55505604,0.56316876
0.555547,0.5729265
0.61751825,0.6392119
0.66602325,0.6786689
0.6285806,0.65004647
0.55213416,0.55973667
0.49608934,0.50482297
0.47316805,0.48232386
0.4018188,0.41669333
0.3392021,0.35866338
0.28895736,0.30008918
0.26849267,0.27704772
0.2629714,0.266422
0.26464787,0.266074
0.26232257,0.25651467
0.26448572,0.24870797
0.31093118,0.2817977
0.3917429,0.34838486
0.4782837,0.42655054
0.5377968,0.48852724
0.5843956,0.53346026
0.56684494,0.52703243
0.5150568,0.476539
0.47763827,0.44682142
0.46254194,0.42832732
0.46339074,0.43433443
0.53022724,0.51309246
0.615474,0.60046566
0.58703125,0.58273304
0.5330919,0.51755875
0.5023369,0.48857895
0.50809395,0.48367366
0.45064023,0.42150244
0.40004346,0.3643452
0.3617698,0.36114725
0.3448801,0.34814996
0.35070565,0.35086945
0.38473904,0.38849962
0.46857622,0.4787233
0.6376944,0.67733014
0.7733344,0.82067865
0.8241903,0.8892094
0.85266286,0.9023958
0.88051575,0.923128
0.891121,0.94399446
0.8793654,0.93858063
0.8508098,0.9132929
0.8149585,0.87945044
0.7883618,0.8618536
0.7658389,0.84052885
0.8144655,0.8719768
0.8829483,0.93131995
0.85753685,0.89612633
0.76944995,0.8070496
0.7001656,0.72925204
0.65856403,0.67598647
0.57833,0.584128
0.5226865,0.50662386
0.4794055,0.4654241
0.4553487,0.44837922
0.45695198,0.44971535
0.47659507,0.48009318
0.54278225,0.5564929
0.6851211,0.72090983
0.79252684,0.8448437
0.82878464,0.892094
0.83573306,0.89668
0.83849007,0.90865934
0.8467333,0.92788976
0.8344834,0.9181644
0.812617,0.8914776
0.78391814,0.856965
0.75120586,0.84173656
0.7286818,0.8223248
0.78248334,0.865116
0.8658782,0.9270659
0.8504981,0.9033077
0.773858,0.81821233
0.7080298,0.7407654
0.6494689,0.68449837
0.5660839,0.5969699
0.502688,0.5222956
0.4607461,0.47642195
0.44304252,0.45538345
0.4497029,0.4522663
0.4747772,0.47790563
0.5415195,0.5410256
0.6953367,0.68157846
0.8147968,0.8012684
0.8469373,0.8433778
0.84708685,0.84480524
0.8573564,0.8584211
0.86196065,0.8721769
0.8520077,0.86352247
0.8346665,0.8338107
0.80581087,0.80766904
0.7836398,0.7914804
0.7632927,0.7775165
0.82143533,0.81970304
0.9056416,0.9081621
0.8877581,0.8878803
0.8117952,0.8064102
0.73506045,0.72781277
0.6753148,0.67015994
0.5845501,0.58929485
0.52172846,0.5148147
0.4813056,0.46382478
0.46565548,0.44215062
0.45688352,0.44216558
0.4812119,0.4706747
0.54410744,0.55176646
0.71681523,0.70110136
0.84220177,0.828769
0.89242625,0.8799851
0.91422826,0.88755214
0.9359505,0.9117574
0.9565465,0.9287182
0.9483121,0.91840553
0.92797464,0.9004009
0.90991527,0.8731879
0.8941352,0.85182184
0.8765591,0.8385419
0.898032,0.8588192
0.929155,0.9069138
0.89091396,0.8832287
0.79718506,0.789072
0.7251377,0.7086499
0.66261196,0.63974184
0.5725601,0.54736125
0.50454915,0.46972704
0.45458704,0.44244206
0.4317117,0.42017332
0.43639407,0.4255565
0.46276873,0.46817166
0.53927416,0.5629841
0.7006057,0.73438865
0.8197897,0.861054
0.8624532,0.8999855
0.8720154,0.9091761
0.8853778,0.92334735
0.8969451,0.9215706
0.8821819,0.9127813
0.85357136,0.8669038
0.8164449,0.82367355
0.78398955,0.79513544
0.7511725,0.78857434
0.7902497,0.81793875
0.85308105,0.8539667
0.82295436,0.824932
0.73903614,0.7242016
0.6613517,0.6451904
0.60069907,0.58834255
0.51659703,0.5076113
0.44828835,0.43868184
0.39914396,0.38897207
0.3679255,0.36508086
0.36166126,0.3619075
0.35999152,0.36922276
0.3606388,0.37323508
0.37948376,0.40652776
0.44191217,0.46595746
0.5246215,0.54167056
0.59792334,0.6113356
0.6403249,0.65159893
0.6569628,0.67091405
0.6416942,0.65902865
0.6008612,0.6008271
0.5626447,0.5672632
0.5439466,0.5635085
0.5302678,0.5536733
0.5714149,0.6054479
0.6433796,0.6493541
0.61014485,0.6406354
0.5305797,0.5572512
0.48116302,0.4958261
0.45922795,0.47368112
0.40017027,0.41815785
0.33791503,0.3540581
0.29454055,0.31584418
0.2713373,0.28389272
0.26465058,0.2771168
0.26394612,0.28383765
0.25477734,0.261784
0.2438402,0.2578178
0.27656874,0.27460012
0.35777164,0.35921344
0.43068835,0.4325126
0.47434095,0.5016951
0.51463366,0.5429184
0.49319515,0.53599226
0.45106137,0.4730647
0.42131913,0.44992375
0.40639442,0.4231582
0.41988274,0.42156854
0.48638454,0.50417525
0.5918825,0.5998879
0.581528,0.59379333
0.53327566,0.52861315
0.50040346,0.5027615
0.502631,0.5019447
0.4431641,0.43295988
0.3906418,0.37955174
0.35183078,0.34818673
0.33873907,0.34307083
0.34606045,0.34869847
0.38088185,0.40728965
0.47065943,0.52022463
0.6572504,0.7259093
0.78392154,0.84365726
0.8275397,0.89849913
0.8416962,0.9127193
0.8577542,0.93836397
0.87742364,0.9492262
0.8660728,0.943632
0.8521975,0.9221399
0.8313214,0.90737647
0.80886316,0.87819165
0.7822052,0.85437036
0.80922574,0.8633781
0.87376845,0.92227733
0.8490597,0.898897
0.762086,0.8082541
0.6886058,0.7301449
0.62718385,0.6667206
0.5447959,0.5758065
0.48417726,0.50708395
0.44917837,0.46988723
0.43129528,0.4522225
0.43717262,0.4497384
0.46904376,0.48148018
0.5370565,0.5682598
0.6921067,0.7390209
0.80450714,0.85441995
0.84590244,0.90070546
0.8494806,0.90252244
0.8637993,0.9312586
0.87721777,0.94182986
0.86914647,0.93153954
0.85980064,0.9133115
0.8421135,0.8861748
0.8228321,0.8692906
0.7987215,0.84469205
0.82495743,0.869586
0.8917941,0.9191418
0.8791744,0.9051932
0.8053771,0.81426865
0.71907526,0.74156207
0.65182304,0.6784577
0.56751716,0.5858301
0.503142,0.51555085
0.46368825,0.4598541
0.4420975,0.43466207
0.44576892,0.42851588
0.46774453,0.455012
0.5352361,0.52575195
0.69463605,0.7037388
0.8044914,0.826953
0.84415615,0.8757398
0.843277,0.87833583
0.85861987,0.8962221
0.8678621,0.9007042
0.85012853,0.89836407
0.8371726,0.86918414
0.81395495,0.8540997
0.7936752,0.8352745
0.7676649,0.8109879
0.8020514,0.8374707
0.8816209,0.90377253
0.8727305,0.89521617
0.7873927,0.7971986
0.7150561,0.7352957
0.6536364,0.67199683
0.5655876,0.5851675
0.50022376,0.5159187
0.46405694,0.48448315
0.44317785,0.46004584
0.44241554,0.45955715
0.4658433,0.48486367
0.5368716,0.56539345
0.69277424,0.7378973
